phoneme,name,county,latitude,longitude
0122,Anchorage,Anchorage Municipality,61.218,-149.900
1645,Fairbanks,Fairbanks North Star Borough,64.838,-147.716
2532,Juneau,Juneau City and Borough,58.302,-134.420
0238,Badger,Fairbanks North Star Borough,64.800,-147.533
4594,Sitka,Sitka City and Borough,57.053,-135.330
3155,Meadow Lakes,Matanuska-Susitna Borough,61.625,-149.601
1885,Gateway,Matanuska-Susitna Borough,61.573,-149.241
0410,Bethel,Bethel ,60.792,-161.756
3771,Palmer,Matanuska-Susitna Borough,61.600,-149.113
4764,Sterling,Kenai Peninsula Borough,60.537,-150.765
2340,Homer,Kenai Peninsula Borough,59.642,-151.548
5091,Valdez,Chugach ,61.084,-146.317
0702,Butte,Matanuska-Susitna Borough,61.542,-149.033
3554,Nome,Nome ,64.501,-165.406
3867,Petersburg,Petersburg Borough,56.811,-132.951
0427,Big Lake,Matanuska-Susitna Borough,61.545,-149.818
4216,Ridgeway,Kenai Peninsula Borough,60.532,-151.085
4528,Seward,Kenai Peninsula Borough,60.104,-149.442
1115,Cordova,Chugach ,60.530,-145.642
2366,Houston,Matanuska-Susitna Borough,61.630,-149.818
5417,Willow,Matanuska-Susitna Borough,61.747,-150.037
2109,Haines,Haines Borough,59.229,-135.444
0317,Bear Creek,Kenai Peninsula Borough,60.164,-149.395
1156,Craig,Prince of Wales-Hyder ,55.476,-133.148
2220,Healy,Denali Borough,63.857,-148.966
4430,Sand Point,Aleutians East Borough,55.340,-160.497
3961,Pleasant Valley,Fairbanks North Star Borough,64.881,-146.869
2140,Happy Valley,Kenai Peninsula Borough,59.947,-151.732
5186,Wainwright,North Slope Borough,70.637,-160.038
3405,Mountain Village,Kusilvak ,62.086,-163.729
4720,St. Mary's,Kusilvak ,62.063,-163.244
0659,Buckland,Northwest Arctic Borough,65.980,-161.123
3071,Marshall,Kusilvak ,61.878,-162.081
4724,St. Paul,Aleutians West ,57.122,-170.275
1850,Galena,Yukon-Koyukuk ,64.733,-156.928
4382,St. Michael,Nome ,63.478,-162.039
5052,Two Rivers,Fairbanks North Star Borough,64.872,-147.038
2599,King Salmon,Bristol Bay Borough,58.688,-156.661
4475,Saxman,Ketchikan Gateway Borough,55.318,-131.596
1526,Elim,Nome ,64.618,-162.261
3135,McGrath,Yukon-Koyukuk ,62.956,-155.596
5389,Whittier,Chugach ,60.777,-148.664
0109,Ambler,Northwest Arctic Borough,67.086,-157.851
1395,Dry Creek,Southeast Fairbanks ,63.653,-144.665
2324,Hollis,Prince of Wales-Hyder ,55.557,-132.636
2336,Holy Cross,Yukon-Koyukuk ,62.199,-159.771
0124,Anderson,Denali Borough,64.344,-149.187
1280,Deering,Northwest Arctic Borough,66.076,-162.717
1795,Fox,Fairbanks North Star Borough,64.958,-147.618
5195,Wales,Nome ,65.609,-168.088
5419,Willow Creek,Copper River ,61.830,-145.199
3274,Minto,Yukon-Koyukuk ,65.150,-149.350
4342,Ruby,Yukon-Koyukuk ,64.739,-155.487
4586,Silver Springs,Copper River ,62.019,-145.358
2351,Hope,Kenai Peninsula Borough,60.920,-149.640
4054,Primrose,Kenai Peninsula Borough,60.342,-149.296
0327,Beaver,Yukon-Koyukuk ,66.385,-147.288
1432,Eagle,Southeast Fairbanks ,64.788,-141.200
3837,Pelican,Hoonah-Angoon ,57.961,-136.227
2381,Hughes,Yukon-Koyukuk ,66.049,-154.256
4378,St. George,Aleutians West ,56.600,-169.542
3860,Perryville,Lake and Peninsula Borough,55.914,-159.163
4113,Rampart,Yukon-Koyukuk ,65.505,-150.170
1187,Crooked Creek,Bethel ,61.870,-158.111
3898,Pilot Point,Lake and Peninsula Borough,57.564,-157.579
1198,Crown Point,Kenai Peninsula Borough,60.422,-149.367
0871,Central,Yukon-Koyukuk ,65.573,-144.803
1440,Eagle Village,Southeast Fairbanks ,64.781,-141.114
0964,Circle,Yukon-Koyukuk ,65.826,-144.061
1663,Ferry,Denali Borough,64.017,-149.117
1632,Evansville,Yukon-Koyukuk ,66.923,-151.508
4847,Sunrise,Kenai Peninsula Borough,60.890,-149.421
0437,Birch Creek,Yukon-Koyukuk ,66.259,-145.819
1897,Georgetown,Unorganized Borough,61.899,-157.701
0905,Chase,Matanuska-Susitna Borough,62.449,-150.102
1363,Donnelly,Unorganized Borough,63.674,-145.883
1725,Flat,Yukon-Koyukuk ,62.454,-158.007
1977,Gordon,North Slope Borough,69.680,-141.206
2910,Loring,Ketchikan Gateway Borough,55.602,-131.636
3869,Petersville,Matanuska-Susitna Borough,62.496,-150.766
3976,Point Baker,Prince of Wales-Hyder ,56.353,-133.621
