phoneme,name,county,latitude,longitude
2855,Little Rock,Pulaski County,34.746,-92.290
1694,Fayetteville,Washington County,36.063,-94.157
1777,Fort Smith,Sebastian County,35.386,-94.399
4684,Springdale,Benton County,36.191,-94.155
2517,Jonesboro,Craighead County,35.842,-90.704
4289,Rogers,Benton County,36.332,-94.119
1099,Conway,Faulkner County,35.089,-92.442
0392,Bentonville,Benton County,36.373,-94.209
2364,Hot Springs,Garland County,34.504,-93.055
0390,Benton,Saline County,34.565,-92.587
4558,Sherwood,Pulaski County,34.815,-92.224
0350,Bella Vista,Benton County,36.467,-94.266
4357,Russellville,Pope County,35.278,-93.134
4927,Texarkana,Miller County,33.442,-94.038
2469,Jacksonville,Pulaski County,34.866,-92.110
0710,Cabot,Lonoke County,34.975,-92.017
5108,Van Buren,Crawford County,35.437,-94.348
0652,Bryant,Saline County,34.596,-92.489
0868,Centerton,Benton County,36.360,-94.285
4579,Siloam Springs,Benton County,36.188,-94.540
1507,El Dorado,Union County,33.208,-92.666
3058,Marion,Crittenden County,35.215,-90.196
2163,Harrison,Boone County,36.230,-93.108
3399,Mountain Home,Baxter County,36.335,-92.385
1754,Forrest City,St. Francis County,35.008,-90.790
0294,Batesville,Independence County,35.770,-91.641
2997,Magnolia,Columbia County,33.267,-93.239
3010,Malvern,Hot Spring County,34.362,-92.813
0738,Camden,Ouachita County,33.585,-92.834
0168,Arkadelphia,Clark County,34.121,-93.054
2936,Lowell,Benton County,36.255,-94.131
2062,Greenwood,Sebastian County,35.216,-94.256
0983,Clarksville,Johnson County,35.471,-93.467
2351,Hope,Hempstead County,33.667,-93.592
3317,Monticello,Drew County,33.629,-91.791
5441,Wynne,Cross County,35.225,-90.787
1682,Farmington,Washington County,36.042,-94.247
4812,Stuttgart,Arkansas County,34.500,-91.553
3534,Newport,Jackson County,35.605,-91.282
3973,Pocahontas,Randolph County,36.261,-90.971
4038,Prairie Grove,Washington County,35.976,-94.318
3827,Pea Ridge,Benton County,36.454,-94.115
3715,Osceola,Mississippi County,35.705,-89.970
5216,Ward,Lonoke County,35.030,-91.950
2047,Greenbrier,Faulkner County,35.234,-92.388
0085,Alma,Crawford County,35.478,-94.222
0402,Berryville,Carroll County,36.365,-93.568
3177,Mena,Polk County,34.586,-94.240
5358,White Hall,Jefferson County,34.274,-92.091
5221,Warren,Bradley County,33.613,-92.065
4555,Sheridan,Grant County,34.307,-92.401
3923,Piney,Garland County,34.503,-93.126
4278,Rockwell,Garland County,34.464,-93.134
4659,Southside,Independence County,35.698,-91.623
3440,Nashville,Howard County,33.946,-93.847
0224,Austin,Lonoke County,34.998,-91.984
2184,Haskell,Saline County,34.501,-92.637
1894,Gentry,Benton County,36.268,-94.485
1404,Dumas,Desha County,33.887,-91.492
1909,Gibson,Pulaski County,34.884,-92.236
0527,Booneville,Logan County,35.140,-93.922
1539,Elkins,Washington County,36.001,-94.008
3021,Manila,Mississippi County,35.880,-90.167
2505,Johnson,Washington County,36.133,-94.165
0057,Alexander,Pulaski County,34.619,-92.451
3054,Marianna,Lee County,34.774,-90.758
3750,Ozark,Franklin County,35.487,-93.828
1752,Fordyce,Dallas County,33.814,-92.413
5193,Waldron,Scott County,34.898,-94.091
3787,Paris,Logan County,35.292,-93.730
4024,Pottsville,Pope County,35.248,-93.049
1123,Corning,Clay County,36.408,-90.580
4047,Prescott,Nevada County,33.803,-93.381
2395,Huntsville,Madison County,36.086,-93.741
1330,DeWitt,Arkansas County,34.293,-91.338
3404,Mountain View,Stone County,35.868,-92.118
0201,Atkins,Pope County,35.246,-92.937
2373,Hoxie,Lawrence County,36.050,-90.975
0898,Charleston,Franklin County,35.297,-94.036
0525,Bono,Craighead County,35.909,-90.803
2361,Horseshoe Bend,Fulton County,36.219,-91.738
1012,Clinton,Van Buren County,35.591,-92.460
2120,Hamburg,Ashley County,33.228,-91.798
2685,Lake City,Craighead County,35.816,-90.434
2828,Lincoln,Washington County,35.950,-94.424
4037,Prairie Creek,Benton County,36.342,-94.062
4745,Star City,Lincoln County,33.943,-91.843
4389,Salem,Saline County,34.629,-92.558
2162,Harrisburg,Poinsett County,35.564,-90.717
1983,Goshen,Washington County,36.101,-93.991
1951,Glenwood,Montgomery County,34.328,-93.527
2703,Lake Village,Chicot County,33.329,-91.282
1255,Danville,Yell County,35.054,-93.394
0781,Carlisle,Lonoke County,34.783,-91.747
0219,Augusta,Woodruff County,35.282,-91.365
2689,Lake Hamilton,Garland County,34.425,-93.095
0834,Cave City,Independence County,35.948,-91.547
3171,Melbourne,Izard County,36.060,-91.908
1321,Des Arc,Prairie County,34.977,-91.495
1443,Earle,Crittenden County,35.275,-90.467
4297,Romance,White County,35.240,-92.067
1281,Decatur,Benton County,36.336,-94.461
2718,Lamar,Johnson County,35.441,-93.388
1624,Eudora,Chicot County,33.110,-91.262
4389,Salem,Fulton County,36.371,-91.823
3410,Mulberry,Crawford County,35.501,-94.052
4154,Redfield,Jefferson County,34.445,-92.183
0972,Clarendon,Monroe County,34.693,-91.314
5514,Wrightsville,Pulaski County,34.602,-92.217
