phoneme,name,county,latitude,longitude
06672,Phoenix,Maricopa County,33.448,-112.074
08666,Tucson,Pima County,32.222,-110.926
05481,Mesa,Maricopa County,33.422,-111.823
01553,Chandler,Maricopa County,33.306,-111.841
03307,Gilbert,Maricopa County,33.353,-111.789
03352,Glendale,Maricopa County,33.539,-112.186
06619,Peoria,Maricopa County,33.786,-112.308
08339,Surprise,Maricopa County,33.631,-112.333
01164,Buckeye,Maricopa County,33.370,-112.584
09509,Yuma,Yuma County,32.725,-114.624
00388,Avondale,Maricopa County,33.436,-112.350
01421,Casas Adobes,Pima County,32.323,-110.995
05243,Maricopa,Pinal County,33.058,-112.048
06953,Prescott,Yavapai County,34.540,-112.469
08307,Sun City,Maricopa County,33.598,-112.272
07576,San Luis,Yuma County,32.487,-114.782
02646,El Mirage,Maricopa County,33.590,-112.327
04464,Kingman,Mohave County,35.189,-114.053
03027,Florence,Pinal County,33.031,-111.387
00230,Anthem,Maricopa County,33.867,-112.147
03526,Green Valley,Pima County,31.854,-110.994
06100,Nogales,Santa Cruz County,31.340,-110.934
06027,New River,Maricopa County,33.916,-112.136
06558,Payson,Gila County,34.231,-111.325
02415,Douglas,Cochise County,31.345,-109.545
08780,Vail,Pima County,32.048,-110.712
01913,Coolidge,Pinal County,32.978,-111.518
07968,Somerton,Yuma County,32.596,-114.710
06495,Paradise Valley,Maricopa County,33.531,-111.943
07502,Saddlebrooke,Pinal County,32.540,-110.856
01983,Cottonwood,Yavapai County,34.739,-112.010
01316,Camp Verde,Yavapai County,34.564,-111.854
07505,Safford,Graham County,32.834,-109.708
06683,Picture Rocks,Pima County,32.346,-111.246
09361,Winslow,Navajo County,35.024,-110.697
03386,Golden Valley,Mohave County,35.223,-114.223
06452,Page,Coconino County,36.915,-111.456
03370,Globe,Gila County,33.394,-110.787
09505,Youngtown,Maricopa County,33.594,-112.303
03850,Hereford,Cochise County,31.437,-110.248
07947,Snowflake,Navajo County,34.513,-110.078
09304,Williamson,Yavapai County,34.690,-112.541
01671,Citrus Park,Maricopa County,33.549,-112.444
00688,Benson,Cochise County,31.968,-110.295
08476,Thatcher,Graham County,32.849,-109.759
03587,Guadalupe,Maricopa County,33.371,-111.963
01461,Cave Creek,Maricopa County,33.833,-111.951
08299,Summit,Pima County,32.067,-110.951
00789,Bisbee,Cochise County,31.448,-109.928
03969,Holbrook,Navajo County,34.902,-110.158
08515,Three Points,Pima County,32.077,-111.314
01688,Clarkdale,Yavapai County,34.771,-112.058
07566,San Carlos,Gila County,33.345,-110.453
08429,Taylor,Navajo County,34.465,-110.091
04617,Lake of the Woods,Navajo County,34.164,-109.990
01738,Clifton,Greenlee County,33.051,-109.296
03081,Fort Defiance,Apache County,35.744,-109.076
01375,Carefree,Maricopa County,33.822,-111.918
01954,Cornville,Yavapai County,34.718,-111.922
08108,St. Johns,Apache County,34.506,-109.361
06505,Parker,La Paz County,34.150,-114.289
09300,Williams,Coconino County,35.249,-112.191
08787,Valle Vista,Mohave County,35.411,-113.863
09205,Whetstone,Cochise County,31.719,-110.292
07126,Red Rock,Pinal County,32.575,-111.325
04872,Linden,Navajo County,34.296,-110.093
02308,Desert Hills,Mohave County,34.554,-114.372
08159,Star Valley,Gila County,34.255,-111.258
01842,Colorado City,Mohave County,36.990,-112.976
08334,Superior,Pinal County,33.294,-111.096
09094,Wellton,Yuma County,32.673,-114.147
07266,Rio Verde,Maricopa County,33.723,-111.676
00411,Bagdad,Yavapai County,34.581,-113.205
07731,Sells,Pima County,31.912,-111.881
00588,Beaver Dam,Mohave County,36.899,-113.933
03090,Fort Valley,Coconino County,35.323,-111.740
00826,Blackwater,Pinal County,33.031,-111.583
06138,North Fork,Navajo County,34.011,-109.960
07664,Scenic,Mohave County,36.794,-114.013
04363,Kearny,Pinal County,33.057,-110.911
06711,Pine,Gila County,34.384,-111.455
01885,Congress,Yavapai County,34.163,-112.851
04489,Kirkland,Yavapai County,34.417,-112.712
08062,Spring Valley,Yavapai County,34.345,-112.159
05495,Miami,Gila County,33.399,-110.869
08097,St. David,Cochise County,31.904,-110.214
07120,Red Lake,Coconino County,35.361,-112.172
03148,Fredonia,Coconino County,36.946,-112.527
05724,Morenci,Greenlee County,33.079,-109.365
06509,Parks,Coconino County,35.261,-111.949
01418,Casa Blanca,Pinal County,33.120,-111.888
07361,Roll,Yuma County,32.752,-113.989
05168,Mammoth,Pinal County,32.723,-110.641
05331,Mayer,Yavapai County,34.398,-112.236
08931,Wagon Wheel,Navajo County,34.198,-110.027
07743,Seven Mile,Navajo County,33.785,-109.957
01707,Claypool,Gila County,33.411,-110.843
05398,McNary,Apache County,34.092,-109.851
00890,Blue Ridge,Coconino County,34.634,-111.110
08251,Strawberry,Gila County,34.408,-111.493
01310,Cameron,Coconino County,35.876,-111.413
09293,Wilhoit,Yavapai County,34.426,-112.587
05827,Mountainaire,Coconino County,35.085,-111.666
