phoneme,name,county,latitude,longitude
1318,Denver,Denver County,39.739,-104.985
0222,Aurora,Adams County,39.704,-104.720
2715,Lakewood,Jefferson County,39.705,-105.081
4947,Thornton,Adams County,39.920,-104.941
0182,Arvada,Adams County,39.834,-105.150
5332,Westminster,Adams County,39.880,-105.062
2031,Greeley,Weld County,40.423,-104.709
0861,Centennial,Arapahoe County,39.579,-104.877
0534,Boulder,Boulder County,40.015,-105.271
2929,Loveland,Larimer County,40.398,-105.075
0825,Castle Rock,Douglas County,39.372,-104.856
1997,Grand Junction,Mesa County,39.064,-108.551
3792,Parker,Douglas County,39.519,-104.761
2859,Littleton,Arapahoe County,39.590,-105.020
0597,Brighton,Adams County,39.966,-104.794
5435,Windsor,Larimer County,40.478,-104.915
1591,Englewood,Arapahoe County,39.648,-104.988
1605,Erie,Boulder County,40.040,-105.038
2673,Lafayette,Boulder County,39.994,-105.090
1786,Fountain,El Paso County,38.682,-104.701
1630,Evans,Weld County,40.376,-104.692
2927,Louisville,Boulder County,39.978,-105.132
3321,Montrose,Montrose County,38.478,-107.876
1010,Clifton,Mesa County,39.092,-108.449
1962,Golden,Jefferson County,39.756,-105.221
1421,Durango,La Plata County,37.275,-107.880
2510,Johnstown,Larimer County,40.384,-104.968
1810,Frederick,Weld County,40.099,-104.937
2890,Lone Tree,Douglas County,39.531,-104.862
4764,Sterling,Logan County,40.626,-103.208
4851,Superior,Boulder County,39.931,-105.159
5277,Wellington,Larimer County,40.704,-105.009
1776,Fort Morgan,Morgan County,40.250,-103.800
0923,Cherry Creek,Arapahoe County,39.635,-104.883
0395,Berkley,Adams County,39.804,-105.026
3324,Monument,El Paso County,39.092,-104.873
1665,Falcon,El Paso County,38.933,-104.608
1499,Edwards,Eagle County,39.645,-106.594
1657,Fairmount,Jefferson County,39.793,-105.171
4525,Severance,Weld County,40.524,-104.851
1635,Evergreen,Jefferson County,39.633,-105.317
1306,Delta,Delta County,38.742,-108.069
4157,Redlands,Mesa County,39.079,-108.636
1320,Derby,Adams County,39.839,-104.919
1156,Craig,Moffat County,40.515,-107.546
1130,Cortez,Montezuma County,37.349,-108.586
5490,Woodmoor,El Paso County,39.101,-104.847
3246,Milliken,Weld County,40.329,-104.855
2098,Gypsum,Eagle County,39.647,-106.952
5012,Trinidad,Las Animas County,37.169,-104.501
0242,Bailey,Park County,39.405,-105.472
5484,Woodland Park,Teller County,38.994,-105.057
1839,Fruitvale,Mesa County,39.082,-108.497
2718,Lamar,Prowers County,38.087,-102.621
5048,Twin Lakes,Adams County,39.825,-105.005
1432,Eagle,Eagle County,39.655,-106.829
2090,Gunnison,Gunnison County,38.546,-106.925
0774,Carbondale,Garfield County,39.402,-107.211
0232,Avon,Eagle County,39.631,-106.522
4555,Sheridan,Arapahoe County,39.647,-105.025
1468,Eaton,Weld County,40.530,-104.711
4392,Salida,Chaffee County,38.535,-105.999
3153,Mead,Weld County,40.233,-104.999
0574,Breckenridge,Summit County,39.482,-106.038
3194,Meridian,Douglas County,39.552,-104.859
1484,Edgewater,Jefferson County,39.753,-105.064
3478,New Castle,Garfield County,39.573,-107.536
5090,Vail,Eagle County,39.640,-106.374
1942,Glendale,Arapahoe County,39.705,-104.934
1889,Genesee,Jefferson County,39.686,-105.273
0287,Basalt,Eagle County,39.369,-107.049
1736,Florence,Fremont County,38.390,-105.119
4281,Rocky Ford,Otero County,38.053,-103.720
2831,Lincoln Park,Fremont County,38.429,-105.220
5540,Yuma,Yuma County,40.122,-102.725
4798,Strasburg,Adams County,39.721,-104.318
0383,Bennett,Adams County,39.746,-104.443
0688,Burlington,Kit Carson County,39.306,-102.269
0666,Buena Vista,Chaffee County,38.842,-106.131
3953,Platteville,Weld County,40.215,-104.823
1832,Frisco,Summit County,39.574,-106.098
0303,Bayfield,La Plata County,37.226,-107.598
3765,Palisade,Mesa County,39.110,-108.351
1025,Coal Creek,Boulder County,39.905,-105.372
2434,Inverness,Arapahoe County,39.577,-104.861
2662,La Salle,Weld County,40.349,-104.702
3168,Meeker,Rio Blanco County,40.037,-107.913
2337,Holyoke,Phillips County,40.584,-102.302
1076,Colorado City,Pueblo County,37.945,-104.835
4131,Wray,Yuma County,40.076,-102.223
2973,Lyons,Boulder County,40.225,-105.271
2739,Laporte,Larimer County,40.626,-105.138
1994,Granby,Grand County,40.086,-105.939
1528,Elizabeth,Elbert County,39.360,-104.597
2203,Hayden,Routt County,40.495,-107.257
0862,Center,Rio Grande County,37.751,-106.111
3655,Olathe,Montrose County,38.605,-107.982
0038,Akron,Washington County,40.161,-103.214
3857,Perry Park,Douglas County,39.260,-104.982
2379,Hudson,Weld County,40.074,-104.643
5393,Wiggins,Morgan County,40.231,-104.073
2415,Indian Hills,Jefferson County,39.617,-105.237
3451,Nederland,Boulder County,39.961,-105.511
2581,Kersey,Weld County,40.387,-104.562
2883,Loma,Mesa County,39.196,-108.813
0707,Byers,Arapahoe County,39.711,-104.228
1808,Fraser,Grand County,39.945,-105.817
4686,Springfield,Baca County,37.408,-102.614
1547,Ellicott,El Paso County,38.838,-104.387
3405,Mountain Village,San Miguel County,37.931,-107.856
1792,Fowler,Otero County,38.129,-104.023
4216,Ridgway,Ouray County,38.153,-107.762
1897,Georgetown,Clear Creek County,39.706,-105.698
1181,Cripple Creek,Teller County,38.747,-105.178
3889,Pierce,Weld County,40.636,-104.755
1343,Dillon,Summit County,39.630,-106.043
5449,Winter Park,Grand County,39.892,-105.763
3275,Minturn,Eagle County,39.586,-106.431
5244,Watkins,Adams County,39.698,-104.577
2369,Howard,Fremont County,38.449,-105.835
1141,Cottonwood,Douglas County,39.562,-104.802
3736,Ouray,Ouray County,38.023,-107.671
4446,Sanford,Conejos County,37.258,-105.905
1357,Dolores,Montezuma County,37.474,-108.505
0495,Blue River,Summit County,39.430,-106.044
3610,Oak Creek,Routt County,40.275,-106.958
2409,Ignacio,La Plata County,37.115,-107.633
2321,Holly,Prowers County,38.052,-102.123
2383,Hugo,Lincoln County,39.136,-103.470
0872,Central City,Clear Creek County,39.795,-105.509
4398,Salt Creek,Pueblo County,38.238,-104.587
5406,Williamsburg,Fremont County,38.382,-105.152
2653,La Jara,Conejos County,37.275,-105.960
2614,Kiowa,Elbert County,39.347,-104.464
1658,Fairplay,Park County,39.225,-106.002
1430,Eads,Kiowa County,38.481,-102.782
4588,Silverton,San Juan County,37.812,-107.665
4582,Silver Cliff,Custer County,38.135,-105.446
4801,Stratton,Kit Carson County,39.303,-102.605
4416,San Luis,Costilla County,37.201,-105.424
2588,Keystone,Summit County,39.599,-105.987
4871,Swink,Otero County,38.014,-103.628
5190,Walden,Jackson County,40.732,-106.284
0099,Altona,Boulder County,40.134,-105.283
5210,Walsh,Baca County,37.386,-102.278
3404,Mountain View,Jefferson County,39.774,-105.056
3602,Norwood,San Miguel County,38.131,-108.292
4276,Rockvale,Fremont County,38.370,-105.164
3727,Otis,Washington County,40.149,-102.963
4639,South Fork,Rio Grande County,37.670,-106.640
4822,Sugarloaf,Boulder County,40.017,-105.407
1993,Granada,Prowers County,38.064,-102.310
5399,Wiley,Prowers County,38.154,-102.720
1086,Como,Park County,39.316,-105.892
0233,Avondale,Pueblo County,38.237,-104.351
3584,North Washington,Adams County,39.807,-104.979
2685,Lake City,Hinsdale County,38.030,-107.315
1026,Coaldale,Fremont County,38.366,-105.758
1728,Fleming,Logan County,40.680,-102.839
1998,Grand Lake,Grand County,40.252,-105.823
5523,Yampa,Routt County,40.152,-106.909
1161,Crawford,Delta County,38.704,-107.609
5155,Vineland,Pueblo County,38.246,-104.459
3915,Pine Valley,Clear Creek County,39.693,-105.411
1520,Eldora,Boulder County,39.949,-105.564
3356,Morrison,Jefferson County,39.654,-105.191
5140,Victor,Teller County,38.710,-105.140
1025,Coal Creek,Fremont County,38.361,-105.148
3942,Placerville,San Miguel County,38.005,-108.040
1584,Empire,Clear Creek County,39.761,-105.684
3881,Phippsburg,Routt County,40.232,-106.944
4299,Romeo,Conejos County,37.172,-105.985
0526,Boone,Pueblo County,38.249,-104.257
0085,Alma,Park County,39.284,-106.063
4817,Sugar City,Crowley County,38.232,-103.663
1961,Gold Hill,Boulder County,40.063,-105.410
4720,St. Mary's,Clear Creek County,39.817,-105.647
0092,Alpine,Rio Grande County,37.689,-106.589
3741,Ovid,Sedgwick County,40.961,-102.388
3220,Midland,Teller County,38.858,-105.162
4142,Red Cliff,Eagle County,39.512,-106.368
1863,Garden City,Weld County,40.394,-104.689
2476,Jamestown,Boulder County,40.116,-105.389
0115,Amherst,Phillips County,40.683,-102.166
0625,Brookside,Fremont County,38.415,-105.192
0920,Cheraw,Otero County,38.107,-103.510
1515,Elbert,Elbert County,39.219,-104.537
1807,Franktown,Douglas County,39.391,-104.753
0832,Catherine,Garfield County,39.407,-107.153
2742,Larkspur,Douglas County,39.229,-104.887
4850,Sunshine,Boulder County,40.066,-105.367
4366,Rye,Pueblo County,37.924,-104.930
2478,Jansen,Las Animas County,37.157,-104.538
3687,Ophir,San Miguel County,37.857,-107.833
0520,Bond,Eagle County,39.874,-106.688
1196,Crowley,Crowley County,38.193,-103.856
0414,Bethune,Kit Carson County,39.304,-102.425
4510,Sedgwick,Sedgwick County,40.936,-102.525
4159,Redstone,Pitkin County,39.181,-107.240
2805,Lewis,Montezuma County,37.500,-108.669
0952,Crisman,Boulder County,40.041,-105.361
1892,Genoa,Lincoln County,39.278,-103.500
2078,Grover,Weld County,40.871,-104.225
5048,Twin Lakes,Lake County,39.083,-106.382
3112,Maysville,Chaffee County,38.539,-106.190
4521,Seven Hills,Boulder County,40.026,-105.312
0211,Atwood,Logan County,40.548,-103.270
4617,Snyder,Morgan County,40.329,-103.596
3046,Marble,Gunnison County,39.072,-107.189
3695,Orchard,Morgan County,40.331,-104.118
1740,Florissant,Teller County,38.946,-105.289
5216,Ward,Boulder County,40.072,-105.508
0452,Black Hawk,Gilpin County,39.797,-105.494
0771,Capulin,Conejos County,37.284,-106.111
2186,Hasty,Bent County,38.113,-102.957
4012,Portland,Ouray County,38.081,-107.701
4109,Ramah,El Paso County,39.122,-104.166
4111,Raymer,Weld County,40.608,-103.844
3287,Moffat,Saguache County,37.999,-105.910
0749,Campo,Baca County,37.105,-102.580
5146,Vilas,Baca County,37.374,-102.446
3082,Marvel,La Plata County,37.112,-108.127
1942,Glendale,Boulder County,40.082,-105.366
2350,Hooper,Alamosa County,37.743,-105.875
3933,Pitkin,Gunnison County,38.609,-106.517
3315,Montezuma,Summit County,39.581,-105.867
2502,Joes,Yuma County,39.656,-102.679
1868,Gardner,Huerfano County,37.783,-105.166
4751,Starkville,Las Animas County,37.115,-104.524
1966,Goldfield,Teller County,38.718,-105.126
3807,Parshall,Grand County,40.057,-106.175
4631,Somerset,Gunnison County,38.926,-107.470
4508,Sedalia,Douglas County,39.437,-104.960
0569,Branson,Las Animas County,37.018,-103.884
2174,Hartman,Prowers County,38.120,-102.220
2406,Idalia,Yuma County,39.704,-102.294
3853,Peoria,Arapahoe County,39.680,-104.114
3125,McCoy,Eagle County,39.916,-106.726
2844,Lynn,Las Animas County,37.427,-104.641
3782,Paoli,Phillips County,40.612,-102.473
3888,Piedra,Hinsdale County,37.442,-107.168
5091,Valdez,Las Animas County,37.122,-104.702
2747,Last Chance,Washington County,39.740,-103.594
5335,Weston,Las Animas County,37.133,-104.849
4784,Stoneham,Weld County,40.605,-103.666
4996,Towner,Kiowa County,38.471,-102.080
2710,Lakeside,Jefferson County,39.777,-105.056
0519,Bonanza,Saguache County,38.295,-106.142
0027,Agate,Elbert County,39.462,-103.942
