phoneme,name,county,latitude,longitude
0589,Bridgeport,Fairfield County,41.187,-73.196
4732,Stamford,Fairfield County,41.080,-73.546
3491,New Haven,New Haven County,41.311,-72.925
2170,Hartford,Tolland County,41.766,-72.682
5236,Waterbury,New Haven County,41.559,-73.037
3598,Norwalk,Fairfield County,41.093,-73.420
1247,Danbury,Fairfield County,41.399,-73.478
3473,New Britain,Hartford County,41.677,-72.786
5296,West Hartford,Hartford County,41.767,-72.755
2061,Greenwich,Fairfield County,41.045,-73.634
1651,Fairfield,Fairfield County,41.176,-73.272
2121,Hamden,New Haven County,41.397,-72.922
0603,Bristol,New Haven County,41.682,-72.941
3191,Meriden,New Haven County,41.537,-72.795
3013,Manchester,Hartford County,41.775,-72.524
5297,West Haven,New Haven County,41.272,-72.968
3227,Milford,New Haven County,41.225,-73.061
4797,Stratford,Fairfield County,41.206,-73.128
3215,Middletown,Middlesex County,41.549,-72.657
5201,Wallingford,New Haven County,41.459,-72.805
4648,Southington,Hartford County,41.607,-72.879
1591,Enfield,Hartford County,41.984,-72.556
4542,Shelton,Fairfield County,41.305,-73.139
3600,Norwich,New London County,41.548,-72.089
5021,Trumbull,Fairfield County,41.273,-73.212
4988,Torrington,Litchfield County,41.834,-73.131
3531,Newington,Hartford County,41.687,-72.731
5130,Vernon,Tolland County,41.838,-72.459
5433,Windsor,Hartford County,41.871,-72.675
0931,Cheshire,New Haven County,41.512,-72.904
0568,Branford,New Haven County,41.280,-72.786
1454,East Haven,New Haven County,41.293,-72.859
3498,New London,New London County,41.333,-72.096
3536,Newtown,Fairfield County,41.400,-73.294
5336,Westport,Fairfield County,41.121,-73.343
5339,Wethersfield,Hartford County,41.702,-72.669
1683,Farmington,Hartford County,41.730,-72.842
3029,Mansfield,Tolland County,41.789,-72.228
5432,Windham,New London County,41.714,-72.169
3573,North Haven,New Haven County,41.381,-72.856
1919,Guilford,New Haven County,41.339,-72.706
1258,Darien,Fairfield County,41.052,-73.480
0480,Bloomfield,Hartford County,41.844,-72.741
4280,Rocky Hill,Hartford County,41.657,-72.662
0410,Bethel,Fairfield County,41.370,-73.389
0397,Berlin,Hartford County,41.605,-72.778
0231,Avon,Hartford County,41.787,-72.852
0140,Ansonia,New Haven,41.344,-73.070
3296,Monroe,Fairfield County,41.339,-73.223
3320,Montville,New London County,41.464,-72.156
5429,Wilton,Fairfield County,41.211,-73.441
5410,Willimantic,Windham County,41.717,-72.212
2988,Madison,New Haven County,41.344,-72.625
0618,Brookfield,Fairfield County,41.470,-73.395
3946,Plainville,Hartford County,41.674,-72.854
4522,Seymour,New Haven County,41.385,-73.084
1550,Ellington,Tolland County,41.914,-72.446
5459,Wolcott,New Haven County,41.595,-72.969
4814,Suffield,Hartford County,42.000,-72.679
2773,Ledyard,New London County,41.431,-72.020
3943,Plainfield,Windham County,41.694,-71.901
4976,Tolland,Tolland County,41.883,-72.359
1186,Cromwell,Middlesex County,41.617,-72.662
3689,Orange,New Haven County,41.285,-73.025
3747,Oxford,New Haven County,41.444,-73.148
1322,Derby,New Haven County,41.326,-73.083
1149,Coventry,Tolland County,41.780,-72.344
3969,Plymouth,New Haven County,41.666,-73.027
4729,Stafford,Tolland County,41.984,-72.308
2071,Griswold,New London County,41.585,-71.921
1461,East Windsor,Hartford County,41.904,-72.564
1994,Granby,Hartford County,41.971,-72.830
5431,Winchester,Litchfield County,41.927,-73.109
0764,Canton,Hartford County,41.859,-72.911
5473,Woodbury,New Haven County,41.562,-73.206
2566,Kensington,Hartford County,41.626,-72.769
0688,Burlington,Hartford County,41.749,-72.949
3628,Oakville,Litchfield County,41.589,-73.090
4010,Portland,Middlesex County,41.599,-72.589
