phoneme,name,county,latitude,longitude
5426,Wilmington,New Castle County,39.746,-75.547
1375,Dover,Kent County,39.158,-75.524
3522,Newark,New Castle County,39.684,-75.750
3218,Middletown,New Castle County,39.450,-75.716
0316,Bear,New Castle County,39.629,-75.658
1930,Glasgow,New Castle County,39.605,-75.745
0625,Brookside,New Castle County,39.667,-75.727
4612,Smyrna,Kent County,39.292,-75.607
3230,Milford,Kent County,38.910,-75.422
4500,Seaford,Sussex County,38.641,-75.611
3583,North Star,New Castle County,39.761,-75.719
1897,Georgetown,Sussex County,38.690,-75.385
3251,Millsboro,Sussex County,38.592,-75.291
1569,Elsmere,New Castle County,39.739,-75.598
3478,New Castle,New Castle County,39.662,-75.566
0738,Camden,Kent County,39.113,-75.542
2755,Laurel,Sussex County,38.556,-75.571
0994,Clayton,Kent County,39.274,-75.632
2160,Harrington,Kent County,38.924,-75.578
3260,Milton,Sussex County,38.778,-75.310
4997,Townsend,New Castle County,39.395,-75.692
2060,Greenville,New Castle County,39.779,-75.598
3636,Ocean View,Sussex County,38.545,-75.089
0593,Bridgeville,Sussex County,38.743,-75.604
1303,Delmar,Sussex County,38.457,-75.577
4247,Riverview,Kent County,39.026,-75.511
3254,Millville,Sussex County,38.550,-75.123
5521,Wyoming,Kent County,39.118,-75.559
1697,Felton,Kent County,39.008,-75.578
0355,Bellefonte,New Castle County,39.766,-75.509
2062,Greenwood,Sussex County,38.807,-75.591
2828,Lincoln,Sussex County,38.870,-75.423
3534,Newport,New Castle County,39.714,-75.609
1801,Frankford,Sussex County,38.517,-75.235
1543,Ellendale,Sussex County,38.807,-75.423
0163,Arden,New Castle County,39.809,-75.487
2366,Houston,Kent County,38.918,-75.505
3643,Odessa,New Castle County,39.457,-75.661
0540,Bowers,Kent County,39.062,-75.403
2997,Magnolia,Kent County,39.071,-75.476
0410,Bethel,Sussex County,38.571,-75.620
2571,Kenton,Kent County,39.228,-75.663
5493,Woodside,Kent County,39.072,-75.568
2787,Leipsic,Kent County,39.241,-75.517
5160,Viola,Kent County,39.043,-75.572
1682,Farmington,Kent County,38.869,-75.579
0130,Angola,Sussex County,38.669,-75.189
0375,Belvedere,New Castle County,39.722,-75.616
0848,Cedar Creek,Sussex County,38.868,-75.380
0870,Centerville,New Castle County,39.821,-75.617
0953,Christiana,New Castle County,39.665,-75.660
0983,Clarksville,Sussex County,38.549,-75.148
1090,Concord,Sussex County,38.642,-75.555
1414,Dunleith,New Castle County,39.709,-75.556
1558,Elmhurst,New Castle County,39.731,-75.590
1695,Federalsburg,Sussex County,38.828,-75.429
2033,Green Acres,New Castle County,39.790,-75.497
2045,Greenbank,New Castle County,39.739,-75.636
2261,Hickman,Kent County,38.833,-75.723
2500,Jimtown,Sussex County,38.732,-75.187
2619,Kirkwood,New Castle County,39.572,-75.696
2842,Lynnfield,New Castle County,39.789,-75.508
2932,Loveville,New Castle County,39.771,-75.664
3072,Marshallton,New Castle County,39.726,-75.654
3084,Marydel,Kent County,39.112,-75.744
3109,Mayfield,New Castle County,39.797,-75.508
3441,Nassau,Sussex County,38.752,-75.188
3738,Overbrook,Sussex County,38.767,-75.215
3744,Owens,Sussex County,38.806,-75.526
4273,Rockland,New Castle County,39.796,-75.572
4337,Roxana,Sussex County,38.496,-75.170
4740,Stanton,New Castle County,39.716,-75.641
4754,State Road,New Castle County,39.651,-75.623
4906,Tavistock,New Castle County,39.806,-75.558
5216,Ward,Sussex County,38.485,-75.478
5481,Woodland Beach,Kent County,39.333,-75.475
5533,Yorklyn,New Castle County,39.808,-75.676
5551,Zoar,Sussex County,38.647,-75.297
