phoneme,name,county,latitude,longitude
00347,Atlanta,DeKalb County,33.763,-84.423
00367,Augusta,Richmond County,33.361,-82.075
01849,Columbus,Muscogee County,32.461,-84.988
05125,Macon,Bibb County,32.809,-83.694
07650,Savannah,Chatham County,32.084,-81.100
00342,Athens,Clarke County,33.952,-83.367
07988,South Fulton,Fulton County,33.601,-84.551
07612,Sandy Springs,Fulton County,33.924,-84.379
07419,Roswell,Cobb County,34.039,-84.351
00082,Albany,Dougherty County,31.579,-84.156
05245,Marietta,Cobb County,33.953,-84.550
07936,Smyrna,Cobb County,33.884,-84.514
01105,Brookhaven,DeKalb County,33.858,-84.340
03206,Gainesville,Hall County,34.298,-83.824
05583,Milton,Fulton County,34.132,-84.301
02832,Evans,Columbia County,33.534,-82.131
02563,East Point,Fulton County,33.680,-84.439
07204,Rome,Floyd County,34.257,-85.165
08664,Tucker,DeKalb County,33.855,-84.217
09431,Woodstock,Cherokee County,34.101,-84.519
02418,Douglasville,Douglas County,33.752,-84.748
03946,Hinesville,Liberty County,31.847,-81.596
01353,Canton,Cherokee County,34.237,-84.491
02175,Dalton,Whitfield County,34.770,-84.970
05281,Martinez,Columbia County,33.517,-82.076
02474,Duluth,Gwinnett County,34.003,-84.145
04587,LaGrange,Troup County,33.039,-85.031
04733,Lawrenceville,Gwinnett County,33.956,-83.988
05375,McDonough,Henry County,33.447,-84.147
08208,Stockbridge,Henry County,33.544,-84.234
01401,Carrollton,Carroll County,33.580,-85.077
08740,Union City,Fulton County,33.587,-84.542
08282,Sugar Hill,Gwinnett County,34.106,-84.034
02239,Decatur,DeKalb County,33.775,-84.296
03564,Griffin,Spalding County,33.247,-84.264
01411,Cartersville,Bartow County,34.165,-84.800
00024,Acworth,Cobb County,34.066,-84.677
06628,Perry,Houston County,32.472,-83.726
08349,Suwanee,Gwinnett County,34.051,-84.071
03065,Forest Park,Clayton County,33.622,-84.369
02939,Fayetteville,Fayette County,33.449,-84.455
04472,Kingsland,Camden County,30.800,-81.690
08496,Thomasville,Thomas County,30.837,-83.979
09341,Winder,Barrow County,33.993,-83.720
08118,St. Marys,Camden County,30.731,-81.546
01519,Centerville,Gwinnett County,33.804,-84.043
01195,Buford,Gwinnett County,34.120,-83.990
06110,Norcross,Gwinnett County,33.941,-84.214
07227,Richmond Hill,Bryan County,31.938,-81.303
03986,Holly Springs,Cherokee County,34.174,-84.501
01288,Calhoun,Gordon County,34.503,-84.951
05554,Milledgeville,Baldwin County,33.080,-83.232
06916,Powder Springs,Cobb County,33.860,-84.684
02864,Fairburn,Fulton County,33.567,-84.581
02460,Dublin,Laurens County,32.540,-82.904
00188,Americus,Sumter County,32.072,-84.233
05658,Monroe,Walton County,33.795,-83.713
04845,Lilburn,Gwinnett County,33.890,-84.143
07284,Riverdale,Clayton County,33.573,-84.413
04950,Loganville,Gwinnett County,33.837,-83.896
01149,Brunswick,Glynn County,31.150,-81.491
05767,Moultrie,Colquitt County,31.180,-83.789
01696,Clarkston,DeKalb County,33.810,-84.240
02173,Dallas,Paulding County,33.924,-84.841
02003,Covington,Newton County,33.597,-83.860
00419,Bainbridge,Decatur County,30.904,-84.575
04263,Jefferson,Jackson County,34.117,-83.572
01823,College Park,Clayton County,33.641,-84.463
09048,Waycross,Pierce County,31.211,-82.358
05824,Mountain Park,Gwinnett County,33.844,-84.129
03279,Georgetown,Chatham County,31.983,-81.227
02415,Douglas,Coffee County,31.509,-82.850
05032,Lovejoy,Clayton County,33.436,-84.314
07258,Rincon,Effingham County,32.296,-81.235
08873,Vidalia,Montgomery County,32.212,-82.402
07689,Scottdale,DeKalb County,33.790,-84.264
03233,Garden City,Chatham County,32.114,-81.154
01497,Cedartown,Polk County,34.054,-85.255
01279,Cairo,Grady County,30.877,-84.201
04283,Jesup,Wayne County,31.607,-81.885
08494,Thomaston,Upson County,32.888,-84.327
04940,Locust Grove,Henry County,33.346,-84.109
08562,Toccoa,Stephens County,34.577,-83.332
02145,Cusseta,Chattahoochee County,32.347,-84.788
02995,Fitzgerald,Ben Hill County,31.713,-83.251
02860,Fair Oaks,Cobb County,33.916,-84.545
03090,Fort Valley,Peach County,32.554,-83.887
02447,Druid Hills,DeKalb County,33.780,-84.336
03669,Hampton,Henry County,33.387,-84.283
01519,Centerville,Houston County,32.630,-83.690
04199,Irondale,Clayton County,33.481,-84.359
00360,Auburn,Barrow County,34.015,-83.834
08721,Tyrone,Fayette County,33.471,-84.597
01858,Commerce,Jackson County,34.204,-83.457
01032,Bremen,Carroll County,33.711,-85.152
02127,Cumming,Forsyth County,34.207,-84.140
