phoneme,name,county,latitude,longitude
1324,Des Moines,Polk County,41.573,-93.610
0855,Cedar Rapids,Linn County,42.008,-91.644
1262,Davenport,Scott County,41.524,-90.578
5238,Waterloo,Black Hawk County,42.493,-92.343
0113,Ames,Story County,42.035,-93.620
1402,Dubuque,Dubuque County,42.501,-90.665
3056,Marion,Linn County,42.034,-91.598
3071,Marshalltown,Marshall County,42.049,-92.908
3087,Mason City,Cerro Gordo County,43.154,-93.201
1772,Fort Dodge,Webster County,42.497,-94.168
1012,Clinton,Clinton County,41.844,-90.189
2507,Johnston,Polk County,41.673,-93.698
0688,Burlington,Des Moines County,40.808,-91.113
3576,North Liberty,Johnson County,41.749,-91.598
0099,Altoona,Polk County,41.644,-93.465
2070,Grimes,Dallas County,41.678,-93.802
2419,Indianola,Warren County,41.358,-93.557
3535,Newton,Jasper County,41.700,-93.048
3598,Norwalk,Polk County,41.492,-93.702
0526,Boone,Boone County,42.060,-93.880
3716,Oskaloosa,Mahaska County,41.296,-92.644
4658,Spencer,Clay County,43.141,-95.144
3954,Pleasant Hill,Polk County,41.584,-93.520
3837,Pella,Mahaska County,41.405,-92.917
5249,Waverly,Bremer County,42.726,-92.475
0795,Carroll,Carroll County,42.066,-94.867
1651,Fairfield,Jefferson County,41.009,-91.963
3386,Mount Pleasant,Henry County,40.964,-91.558
1311,Denison,Crawford County,42.018,-95.355
0521,Bondurant,Polk County,41.701,-93.462
3854,Perry,Dallas County,41.839,-94.107
0997,Clear Lake,Cerro Gordo County,43.138,-93.379
1175,Creston,Union County,41.059,-94.361
2631,Knoxville,Marion County,41.321,-93.109
0897,Charles City,Floyd County,43.066,-92.672
5230,Washington,Washington County,41.299,-91.693
3462,Nevada,Story County,42.023,-93.452
0203,Atlantic,Cass County,41.404,-95.014
1525,Eldridge,Scott County,41.658,-90.585
0020,Adel,Dallas County,41.614,-94.017
3690,Orange City,Sioux County,43.007,-96.058
2410,Independence,Buchanan County,42.469,-91.889
0182,Asbury,Dubuque County,42.514,-90.752
3981,Polk City,Polk County,41.771,-93.713
4147,Red Oak,Montgomery County,41.010,-95.226
3713,Osceola,Clarke County,41.034,-93.766
1332,DeWitt,Clinton County,41.823,-90.538
4540,Sheldon,O'Brien County,43.180,-95.844
4661,Spirit Lake,Dickinson County,43.422,-95.102
0066,Algona,Kossuth County,43.070,-94.233
0870,Centerville,Appanoose County,40.734,-92.874
4957,Tiffin,Johnson County,41.706,-91.663
1952,Glenwood,Mills County,41.047,-95.743
5434,Windsor Heights,Polk County,41.598,-93.708
0921,Cherokee,Cherokee County,42.749,-95.552
3013,Manchester,Delaware County,42.484,-91.455
5157,Vinton,Benton County,42.169,-92.024
2149,Harlan,Shelby County,41.653,-95.326
4543,Shenandoah,Fremont County,40.758,-95.372
2383,Humboldt,Humboldt County,42.721,-94.215
2399,Huxley,Story County,41.895,-93.601
3390,Mount Vernon,Linn County,41.922,-91.417
2130,Hampton,Franklin County,42.742,-93.202
