phoneme,name,county,latitude,longitude
00918,Boise City,Ada County,43.614,-116.203
05469,Meridian,Ada County,43.612,-116.392
01285,Caldwell,Canyon County,43.663,-116.687
04823,Lewiston,Nez Perce County,46.417,-117.018
02518,Eagle,Ada County,43.695,-116.354
05753,Moscow,Latah County,46.732,-117.000
00194,Ammon,Bonneville County,43.470,-111.967
05819,Mountain Home,Elmore County,43.133,-115.691
03622,Hayden,Kootenai County,47.766,-116.787
08155,Star,Ada County / Canyon County,43.701,-116.491
04277,Jerome,Jerome County,42.724,-114.519
00816,Blackfoot,Bingham County,43.190,-112.345
03233,Garden City,Ada County,43.622,-116.238
01223,Burley,Cassia County / Minidoka County,42.537,-113.791
05518,Middleton,Canyon County,43.707,-116.620
03632,Hailey,Blaine County,43.520,-114.315
02749,Emmett,Gem County,43.873,-116.499
03186,Fruitland,Payette County,44.008,-116.917
07462,Rupert,Minidoka County,42.619,-113.677
09078,Weiser,Washington County,44.251,-116.969
06955,Preston,Franklin County,42.096,-111.877
07798,Shelley,Bingham County,43.381,-112.123
04454,Kimberly,Twin Falls County,42.534,-114.365
01185,Buhl,Twin Falls County,42.599,-114.759
04861,Lincoln,Bonneville County,43.513,-111.964
05353,McCall,Valley County,44.911,-116.099
08088,St. Anthony,Fremont County,43.966,-111.682
03399,Gooding,Gooding County,42.939,-114.713
04426,Ketchum,Blaine County,43.681,-114.364
03470,Grangeville,Idaho County,45.927,-116.122
07546,Salmon,Lemhi County,45.176,-113.896
07954,Soda Springs,Caribou County,42.654,-111.605
09095,Wendell,Gooding County,42.776,-114.704
04185,Iona,Bonneville County,43.526,-111.933
02970,Filer,Twin Falls County,42.570,-114.608
05686,Montpelier,Bear Lake County,42.322,-111.298
08279,Sugar City,Madison County,43.873,-111.748
00649,Bellevue,Blaine County,43.464,-114.261
08039,Spirit Lake,Kootenai County,47.966,-116.869
04377,Kellogg,Shoshone County,47.538,-116.119
08869,Victor,Teton County,43.603,-111.111
06517,Parma,Canyon County,43.785,-116.943
08310,Sun Valley,Blaine County,43.697,-114.352
00008,Aberdeen,Bingham County,42.944,-112.838
06734,Pinehurst,Shoshone County,47.539,-116.237
07836,Shoshone,Lincoln County,42.936,-114.406
09289,Wilder,Canyon County,43.677,-116.912
06019,New Plymouth,Payette County,43.970,-116.819
06546,Paul,Minidoka County,42.608,-113.783
05723,Moreland,Bingham County,43.223,-112.442
03681,Hansen,Twin Falls County,42.531,-114.301
03133,Franklin,Franklin County,42.014,-111.807
06822,Plummer,Benewah County,47.335,-116.889
03270,Genesee,Latah County,46.551,-116.925
03582,Groveland,Bingham County,43.220,-112.372
07287,Riverside,Bingham County,43.197,-112.435
01422,Cascade,Valley County,44.516,-116.042
03628,Hagerman,Gooding County,42.812,-114.899
00330,Ashton,Fremont County,44.072,-111.448
03430,Grace,Caribou County,42.576,-111.731
02419,Dover,Bonner County,48.252,-116.611
00263,Arco,Butte County,43.637,-113.300
01989,Council,Adams County,44.730,-116.438
08652,Troy,Latah County,46.737,-116.770
01983,Cottonwood,Idaho County,46.048,-116.350
04039,Horseshoe Bend,Boise County,43.915,-116.198
03539,Greenleaf,Canyon County,43.671,-116.816
03801,Hazelton,Jerome County,42.596,-114.136
08963,Wallace,Shoshone County,47.474,-115.928
08466,Teton,Fremont County,43.887,-111.678
06237,Oakley,Cassia County,42.243,-113.882
06903,Potlatch,Latah County,46.922,-116.898
03767,Hauser,Kootenai County,47.773,-117.028
00344,Athol,Kootenai County,47.948,-116.708
01376,Carey,Blaine County,43.308,-113.945
02957,Fernwood,Benewah County,47.112,-116.393
05843,Mullan,Shoshone County,47.470,-115.802
02425,Downey,Bannock County,42.429,-112.124
06499,Paris,Bear Lake County,42.227,-111.401
07302,Roberts,Jefferson County,43.720,-112.126
02982,Firth,Bingham County,43.305,-112.183
09180,Weston,Franklin County,42.037,-111.979
02226,Dayton,Franklin County,42.113,-111.994
02461,Dubois,Clark County,44.176,-112.231
03279,Georgetown,Bear Lake County,42.482,-111.371
05116,Mackay,Custer County,43.915,-113.613
06686,Pierce,Clearwater County,46.491,-115.799
02870,Fairfield,Camas County,43.347,-114.792
03459,Grand View,Owyhee County,42.990,-116.093
07219,Richfield,Lincoln County,43.049,-114.156
01738,Clifton,Franklin County,42.190,-112.008
04825,Lewisville,Jefferson County,43.696,-112.011
00839,Blanchard,Bonner County,48.017,-116.984
03237,Garden Valley,Boise County,44.090,-115.952
02604,Eden,Jerome County,42.606,-114.211
07253,Riggins,Idaho County,45.422,-116.315
00508,Basalt,Bingham County,43.315,-112.164
01308,Cambridge,Washington County,44.573,-116.676
09486,Yellow Pine,Valley County,44.965,-115.494
00450,Bancroft,Caribou County,42.720,-111.886
06505,Parker,Fremont County,43.959,-111.758
09340,Winchester,Lewis County,46.240,-116.624
02338,Dietrich,Lincoln County,42.909,-114.265
04391,Kendrick,Latah County,46.614,-116.647
04206,Irwin,Bonneville County,43.409,-111.299
08368,Sweetwater,Nez Perce County,46.372,-116.793
02394,Donnelly,Valley County,44.731,-116.078
00850,Bliss,Gooding County,42.927,-114.950
03980,Hollister,Twin Falls County,42.353,-114.575
09101,Worley,Kootenai County,47.401,-116.917
00089,Albion,Cassia County,42.413,-113.578
07333,Rockland,Power County,42.573,-112.877
06298,Oldtown,Bonner County,48.179,-117.038
03724,Harrison,Kootenai County,47.454,-116.785
05855,Murphy,Owyhee County,43.218,-116.552
03151,Freedom,Caribou County,42.983,-111.044
00869,Bloomington,Bear Lake County,42.192,-111.401
05527,Midvale,Washington County,44.471,-116.735
06325,Onaway,Latah County,46.928,-116.891
04214,Island Park,Fremont County,44.424,-111.371
07329,Rockford,Bingham County,43.190,-112.535
08206,Stites,Idaho County,46.092,-115.976
08092,St. Charles,Bear Lake County,42.114,-111.389
05165,Malta,Cassia County,42.306,-113.369
05699,Moore,Butte County,43.736,-113.366
06581,Peck,Nez Perce County,46.475,-116.424
02088,Crouch,Boise County,44.115,-115.971
02230,De Smet,Benewah County,47.146,-116.916
02687,Elk River,Clearwater County,46.784,-116.180
02952,Ferdinand,Idaho County,46.152,-116.389
00019,Acequia,Minidoka County,42.668,-113.597
00686,Bennington,Bear Lake County,42.391,-111.322
08147,Stanley,Custer County,44.217,-114.939
06965,Princeton,Latah County,46.914,-116.834
02681,Elk City,Idaho County,45.827,-115.437
04019,Hope,Bonner County,48.248,-116.307
03658,Hamer,Jefferson County,43.927,-112.206
01252,Butte City,Butte County,43.610,-113.244
06771,Placerville,Boise County,43.943,-115.947
08166,State Line,Kootenai County,47.705,-117.037
06437,Oxford,Franklin County,42.259,-112.021
05044,Lowell,Idaho County,46.144,-115.597
08035,Spencer,Clark County,44.360,-112.187
03920,Hill City,Camas County,43.301,-115.051
00382,Avery,Shoshone County,47.250,-115.802
07837,Shoup,Lemhi County,45.377,-114.277
04951,Lowman,Boise County,44.084,-115.621
02448,Drummond,Fremont County,43.999,-111.345
01709,Clayton,Custer County,44.259,-114.400
00455,Banks,Boise County,44.080,-116.124
00934,Bone,Bonneville County,43.313,-111.795
00147,Almo,Cassia County,42.100,-113.634
00262,Archer,Madison County,43.714,-111.783
00347,Atlanta,Elmore County,43.802,-115.127
00386,Avon,Latah County,46.826,-116.614
00409,Bear,Adams County,45.024,-116.672
00549,Bayview,Kootenai County,47.980,-116.560
00706,Bern,Bear Lake County,42.340,-111.386
00748,Big Creek,Shoshone County,47.514,-116.067
00830,Blaine,Latah County,46.657,-116.949
01002,Bramwell,Gem County,43.838,-116.583
01240,Burton,Madison County,43.797,-111.858
01269,Cache,Teton County,43.788,-111.163
01306,Camas,Jefferson County,44.008,-112.221
01384,Carmen,Lemhi County,45.242,-113.893
01464,Cavendish,Clearwater County,46.560,-116.434
01519,Centerville,Boise County,43.913,-115.892
01560,Chapin,Teton County,43.643,-111.111
01597,Cherry Creek,Oneida County,42.098,-112.229
01609,Chester,Fremont County,43.999,-111.570
01629,Chilly,Custer County,44.078,-113.879
01697,Clarksville,Kootenai County,47.754,-116.733
01702,Clawson,Teton County,43.798,-111.111
01721,Clearwater,Idaho County,46.023,-115.891
01728,Clementsville,Teton County,43.877,-111.370
01780,Cobalt,Lemhi County,45.093,-114.232
01802,Colburn,Bonner County,48.397,-116.535
01914,Coolin,Bonner County,48.480,-116.849
01924,Copeland,Boundary County,48.902,-116.389
01955,Cornwall,Latah County,46.709,-116.866
02044,Crescent,Latah County,46.643,-116.426
02198,Darby,Teton County,43.694,-111.066
02298,Dent,Clearwater County,46.624,-116.203
02361,Dixie,Elmore County,43.317,-115.447
02361,Dixie,Idaho County,45.554,-115.461
02585,Eastport,Boundary County,48.999,-116.181
02654,Elba,Cassia County,42.248,-113.561
02704,Ellis,Custer County,44.692,-114.048
02720,Elmira,Bonner County,48.480,-116.463
