phoneme,name,county,latitude,longitude
0221,Aurora,DuPage County,41.763,-88.290
2511,Joliet,Kendall County,41.518,-88.149
4269,Rockford,Ogle County,42.259,-89.063
1526,Elgin,Cook County,42.039,-88.326
3851,Peoria,Peoria County,40.694,-89.589
0961,Cicero,Cook County,41.846,-87.754
0484,Bloomington,McLean County,40.484,-88.994
1632,Evanston,Cook County,42.041,-87.690
0171,Arlington Heights,Cook County,42.088,-87.981
1282,Decatur,Macon County,39.840,-88.955
3760,Palatine,Cook County,42.110,-88.034
0407,Berwyn,Cook County,41.851,-87.794
3560,Normal,McLean County,40.514,-88.991
3616,Oak Park,Cook County,41.885,-87.784
5346,Wheaton,DuPage County,41.866,-88.107
1951,Glenview,Cook County,42.070,-87.788
3943,Plainfield,Kendall County,41.630,-88.245
1560,Elmhurst,Cook County,41.897,-87.944
0670,Buffalo Grove,Cook County,42.166,-87.962
3287,Moline,Rock Island County,41.507,-90.515
0358,Belleville,St. Clair County,38.520,-89.984
0281,Bartlett,Cook County,41.961,-88.178
1207,Crystal Lake,McHenry County,42.241,-88.316
4087,Quincy,Adams County,39.936,-91.410
3788,Park Ridge,Cook County,42.011,-87.841
5348,Wheeling,Cook County,42.130,-87.921
0793,Carpentersville,Kane County,42.121,-88.258
4261,Rock Island,Rock Island County,41.509,-90.579
3723,Oswego,Kendall County,41.683,-88.339
3585,Northbrook,Cook County,42.128,-87.829
5468,Woodridge,Cook County,41.737,-88.044
4691,St. Charles,DuPage County,41.919,-88.311
3606,O'Fallon,St. Clair County,38.592,-89.911
3833,Pekin,Peoria County,40.569,-89.625
3545,Niles,Cook County,42.019,-87.803
2277,Highland Park,Lake County,42.182,-87.800
0067,Algonquin,Kane County,42.159,-88.322
0679,Burbank,Cook County,41.734,-87.779
1256,Danville,Vermilion County,40.124,-87.630
2724,Lansing,Cook County,41.565,-87.539
2392,Huntley,Kane County,42.161,-88.435
3610,Oak Forest,Cook County,41.603,-87.744
0293,Batavia,DuPage County,41.848,-88.311
5492,Woodstock,McHenry County,42.315,-88.449
0097,Alton,Madison County,38.891,-90.184
5546,Zion,Lake County,42.446,-87.833
1067,Collinsville,Madison County,38.676,-90.006
3172,Melrose Park,Cook County,41.901,-87.857
5331,Westmont,DuPage County,41.796,-87.976
1566,Elmwood Park,Cook County,41.921,-87.809
2849,Lisle,DuPage County,41.801,-88.075
1819,Freeport,Stephenson County,42.297,-89.621
3113,Maywood,Cook County,41.879,-87.843
4310,Roselle,Cook County,41.980,-88.086
5533,Yorkville,Kendall County,41.641,-88.447
0483,Bloomingdale,DuPage County,41.958,-88.081
5146,Villa Park,DuPage County,41.890,-87.989
1258,Darien,DuPage County,41.746,-87.981
0774,Carbondale,Jackson County,37.722,-89.224
3313,Montgomery,Kane County,41.721,-88.358
1360,Dolton,Cook County,41.639,-87.607
1803,Frankfort,Cook County,41.507,-87.871
2182,Harvey,Cook County,41.610,-87.647
2685,Lake Forest,Lake County,42.259,-87.841
1292,Deerfield,Cook County,42.166,-87.852
0618,Brookfield,Cook County,41.824,-87.852
2343,Homewood,Cook County,41.557,-87.666
3728,Ottawa,LaSalle County,41.346,-88.843
3098,Matteson,Cook County,41.504,-87.713
4327,Round Lake,Lake County,42.353,-88.093
4872,Sycamore,DeKalb County,41.989,-88.687
0369,Bellwood,Cook County,41.881,-87.883
1805,Franklin Park,Cook County,41.935,-87.866
4560,Shorewood,Will County,41.520,-88.202
0777,Cary,McHenry County,42.212,-88.238
2467,Jacksonville,Morgan County,39.734,-90.229
1957,Godfrey,Madison County,38.956,-90.187
2721,Lemont,Cook County,41.667,-87.984
2300,Hinsdale,Cook County,41.801,-87.928
3099,Mattoon,Coles County,39.483,-88.373
3056,Marion,Williamson County,37.731,-88.933
5320,Westchester,Cook County,41.851,-87.882
1145,Country Club Hills,Cook County,41.568,-87.720
2650,La Grange,Cook County,41.805,-87.869
0557,Bradley,Kankakee County,41.142,-87.861
5223,Warrenville,DuPage County,41.818,-88.173
3390,Mount Vernon,Jefferson County,38.317,-88.903
4554,Shiloh,St. Clair County,38.561,-89.897
2837,Lindenhurst,Lake County,42.411,-88.026
4861,Swansea,St. Clair County,38.534,-89.989
2264,Hickory Hills,Cook County,41.726,-87.825
1762,Forest Park,Cook County,41.879,-87.814
3218,Midlothian,Cook County,41.625,-87.718
2826,Lincoln,Logan County,40.148,-89.365
3589,Northlake,Cook County,41.917,-87.896
2532,Justice,Cook County,41.744,-87.838
1503,Effingham,Effingham County,39.120,-88.543
3947,Plano,Kendall County,41.663,-88.537
4121,Rantoul,Champaign County,40.308,-88.156
0875,Centralia,Clinton County,38.522,-89.124
4235,River Forest,Cook County,41.898,-87.814
3059,Markham,Cook County,41.594,-87.695
5019,Troy,Madison County,38.729,-89.883
5238,Waterloo,Monroe County,38.336,-90.150
1070,Columbia,Monroe County,38.458,-90.216
1798,Fox Lake,Lake County,42.428,-88.184
4830,Summit,Cook County,41.788,-87.810
1177,Crestwood,Cook County,41.661,-87.753
0278,Barrington,Cook County,42.152,-88.129
4241,Riverdale,Cook County,41.643,-87.636
2273,Highland,Madison County,38.739,-89.671
3862,Peru,Bureau County,41.347,-89.133
2997,Mahomet,Champaign County,40.195,-88.404
2181,Harvard,McHenry County,42.422,-88.614
2458,Itasca,DuPage County,41.975,-88.007
4255,Rochelle,Lee County,41.920,-89.062
2424,Ingleside,Lake County,42.381,-88.139
4817,Sugar Grove,Kane County,41.761,-88.444
5422,Willowbrook,DuPage County,41.770,-87.936
4243,Riverside,Cook County,41.835,-87.823
2969,Lynwood,Cook County,41.526,-87.539
4465,Savoy,Champaign County,40.055,-88.252
4259,Rock Falls,Whiteside County,41.780,-89.689
1942,Glencoe,Cook County,42.135,-87.758
1952,Glenwood,Cook County,41.543,-87.602
1179,Crete,Cook County,41.441,-87.624
2892,Long Grove,Lake County,42.178,-87.998
3085,Maryville,Madison County,38.724,-89.956
2293,Hillside,Cook County,41.878,-87.903
2454,Island Lake,Lake County,42.279,-88.200
0609,Broadview,Cook County,41.864,-87.853
2831,Lincolnshire,Lake County,42.190,-87.908
3786,Park City,Lake County,42.348,-87.884
0932,Chester,Randolph County,37.914,-89.822
3051,Marengo,McHenry County,42.249,-88.608
2432,Inverness,Cook County,42.118,-88.096
4430,Sandwich,DeKalb County,41.650,-88.619
5079,University Park,Cook County,41.447,-87.713
4770,Stickney,Cook County,41.821,-87.783
1012,Clinton,De Witt County,40.154,-88.965
5113,Vandalia,Fayette County,38.961,-89.094
3376,Mount Carmel,Wabash County,38.411,-87.761
2850,Litchfield,Montgomery County,39.175,-89.654
2060,Greenville,Bond County,38.892,-89.413
2502,Johnsburg,McHenry County,42.380,-88.242
1146,Countryside,Cook County,41.783,-87.878
2704,Lakemoor,Lake County,42.339,-88.203
0284,Bartonville,Peoria County,40.650,-89.652
0806,Carterville,Williamson County,37.760,-89.077
1024,Coal City,Grundy County,41.279,-88.280
5421,Willow Springs,Cook County,41.741,-87.860
2689,Lake Holiday,LaSalle County,41.613,-88.672
4668,Spring Grove,McHenry County,42.444,-88.236
4673,Spring Valley,Bureau County,41.328,-89.200
2280,Highwood,Lake County,42.200,-87.809
0371,Belmont,DuPage County,41.793,-88.038
0395,Berkeley,Cook County,41.889,-87.903
3899,Pinckneyville,Perry County,38.080,-89.382
1629,Eureka,Woodford County,40.721,-89.273
3222,Milan,Rock Island County,41.453,-90.572
1180,Creve Coeur,Tazewell County,40.647,-89.591
3068,Marseilles,LaSalle County,41.331,-88.708
1651,Fairfield,Wayne County,38.379,-88.360
1736,Flora,Clay County,38.669,-88.486
0338,Beecher,Will County,41.341,-87.621
0704,Butterfield,DuPage County,41.836,-88.042
4548,Sherman,Sangamon County,39.894,-89.605
4249,Robbins,Cook County,41.644,-87.704
4539,Shelbyville,Shelby County,39.406,-88.790
3821,Paxton,Ford County,40.460,-88.095
1131,Cortland,DeKalb County,41.920,-88.689
0816,Caseyville,St. Clair County,38.637,-90.026
2713,Lakewood,McHenry County,42.229,-88.355
2341,Hometown,Cook County,41.734,-87.731
2762,Lawrenceville,Lawrence County,38.729,-87.682
3935,Pittsfield,Pike County,39.608,-90.805
0132,Anna,Union County,37.460,-89.247
3353,Morrison,Whiteside County,41.810,-89.965
1430,Dwight,Grundy County,41.098,-88.425
0690,Burnham,Cook County,41.639,-87.557
4655,Sparta,Randolph County,38.123,-89.702
4311,Rosemont,Cook County,41.995,-87.885
1523,Eldorado,Saline County,37.814,-88.438
4139,Red Bud,Randolph County,38.212,-89.994
1768,Forsyth,Macon County,39.933,-88.951
3646,Oglesby,LaSalle County,41.295,-89.060
1291,Deer Park,Cook County,42.166,-88.086
0055,Aledo,Mercer County,41.200,-90.749
1648,Fairbury,Livingston County,40.747,-88.515
3695,Oregon,Ogle County,42.015,-89.332
2110,Hainesville,Lake County,42.345,-88.068
4244,Riverton,Sangamon County,39.844,-89.540
5178,Wadsworth,Lake County,42.429,-87.924
2767,Le Roy,McLean County,40.352,-88.764
3466,New Baden,Clinton County,38.537,-89.707
1851,Galena,Jo Daviess County,42.417,-90.429
5160,Virden,Macoupin County,39.506,-89.771
4593,Sleepy Hollow,Kane County,42.094,-88.303
2988,Madison,Madison County,38.686,-90.102
5337,Westville,Vermilion County,40.042,-87.639
4351,Rushville,Schuyler County,40.121,-90.563
2895,Long Lake,Lake County,42.371,-88.128
0927,Cherry Valley,Boone County,42.235,-88.975
0007,Abingdon,Knox County,40.804,-90.402
4215,Ridgewood,Will County,41.536,-88.040
2631,Knoxville,Knox County,40.908,-90.285
1511,El Paso,McLean County,40.740,-89.018
2789,Lena,Stephenson County,42.379,-89.822
2124,Hamilton,Hancock County,40.396,-91.339
3535,Newton,Jasper County,38.991,-88.163
4832,Sumner,Lawrence County,38.717,-87.861
1334,Diamond,Grundy County,41.285,-88.251
1657,Fairmont,Will County,41.556,-88.059
5006,Trenton,Clinton County,38.606,-89.682
4547,Sheridan,LaSalle County,41.530,-88.680
4959,Tilton,Vermilion County,40.095,-87.648
5232,Washington Park,St. Clair County,38.635,-90.093
5145,Villa Grove,Douglas County,39.863,-88.162
2560,Kenilworth,Cook County,42.086,-87.718
0815,Casey,Clark County,39.305,-87.985
4945,Thornton,Cook County,41.568,-87.608
4511,Seneca,Grundy County,41.303,-88.615
1683,Farmington,Fulton County,40.697,-90.002
2694,Lake of the Woods,Champaign County,40.206,-88.369
5422,Willowbrook,Will County,41.458,-87.536
5252,Wayne,DuPage County,41.947,-88.253
3985,Polo,Ogle County,41.986,-89.579
3865,Petersburg,Menard County,40.012,-89.848
0180,Arthur,Douglas County,39.714,-88.470
1573,Elwood,Will County,41.404,-88.112
0095,Altamont,Effingham County,39.062,-88.748
0597,Brighton,Jersey County,39.041,-90.140
5103,Valley View,Kane County,41.966,-88.299
2627,Knollwood,Lake County,42.272,-87.896
1717,Fisher,Champaign County,40.315,-88.350
2298,Hinckley,DeKalb County,41.769,-88.641
4266,Rockdale,Will County,41.506,-88.115
4036,Prairie Grove,McHenry County,42.279,-88.261
0197,Athens,Menard County,39.961,-89.724
0049,Albion,Edwards County,38.378,-88.056
0359,Bellevue,Peoria County,40.684,-89.680
0736,Cambria,Williamson County,37.781,-89.119
3699,Orion,Henry County,41.355,-90.382
1924,Gilman,Iroquois County,40.767,-87.992
2515,Jonesboro,Union County,37.452,-89.268
2490,Jerome,Sangamon County,39.768,-89.681
3880,Phoenix,Cook County,41.611,-87.635
0715,Cairo,Alexander County,37.005,-89.176
3998,Port Byron,Rock Island County,41.606,-90.335
2614,Kirkland,DeKalb County,42.093,-88.851
2242,Heritage Lake,Tazewell County,40.547,-89.326
4054,Princeville,Peoria County,40.930,-89.758
1447,Earlville,LaSalle County,41.589,-88.922
2722,Lanark,Carroll County,42.102,-89.833
1415,Dunlap,Peoria County,40.862,-89.679
5328,Westlake Village,Winnebago County,42.306,-89.287
4188,Rome,Peoria County,40.883,-89.503
5431,Winchester,Scott County,39.630,-90.456
2682,Lake Camelot,Peoria County,40.631,-89.742
5225,Warsaw,Hancock County,40.359,-91.435
1761,Forest Lake,Lake County,42.208,-88.056
5143,Vienna,Johnson County,37.415,-88.898
4335,Roxana,Madison County,38.848,-90.076
5239,Waterman,DeKalb County,41.772,-88.774
5409,Williamsville,Sangamon County,39.954,-89.549
2668,Ladd,Bureau County,41.383,-89.219
0770,Capron,Boone County,42.400,-88.740
2006,Grandview,Sangamon County,39.816,-89.619
2593,Kincaid,Christian County,39.589,-89.415
1869,Gardner,Grundy County,41.186,-88.310
4977,Toluca,Marshall County,41.002,-89.133
1010,Clifton,Iroquois County,40.935,-87.934
4696,St. Elmo,Fayette County,39.027,-88.848
5518,Wyoming,Stark County,41.062,-89.773
0411,Bethany,Moultrie County,39.646,-88.738
2891,Long Creek,Macon County,39.812,-88.848
3762,Palestine,Crawford County,39.004,-87.613
2285,Hillcrest,Ogle County,41.951,-89.065
0952,Chrisman,Edgar County,39.804,-87.674
4322,Rossville,Vermilion County,40.379,-87.669
2170,Hartford,Madison County,38.833,-90.096
1210,Cuba,Fulton County,40.493,-90.191
4975,Toledo,Cumberland County,39.274,-88.244
5249,Waverly,Morgan County,39.592,-89.953
2985,Macon,Macon County,39.713,-88.997
3277,Mitchell,Madison County,38.762,-90.085
0210,Atwood,Douglas County,39.799,-88.463
1492,Edinburg,Christian County,39.657,-89.390
0872,Central City,Marion County,38.549,-89.127
5501,Worden,Madison County,38.931,-89.839
5221,Warrensburg,Macon County,39.933,-89.062
3236,Milledgeville,Carroll County,41.963,-89.775
2870,Lockport Heights,Will County,41.619,-88.025
4535,Shawneetown,Gallatin County,37.713,-88.187
2338,Homer,Champaign County,40.035,-87.958
4339,Royalton,Franklin County,37.877,-89.115
2051,Greenfield,Greene County,39.344,-90.213
3354,Morrisonville,Christian County,39.420,-89.456
2820,Lily Lake,Kane County,41.949,-88.478
1035,Cobden,Union County,37.531,-89.253
5229,Washburn,Marshall County,40.920,-89.292
3640,Odell,Livingston County,41.004,-88.525
3521,Newark,Kendall County,41.537,-88.583
1061,Colfax,McLean County,40.567,-88.616
1590,Energy,Williamson County,37.774,-89.026
5283,Wenona,LaSalle County,41.049,-89.052
4540,Sheldon,Iroquois County,40.769,-87.564
0201,Atkinson,Henry County,41.421,-90.015
0189,Ashton,Lee County,41.866,-89.221
4112,Ramsey,Fayette County,39.144,-89.109
4130,Raymond,Montgomery County,39.319,-89.572
2786,Leland,LaSalle County,41.613,-88.800
2122,Hamel,Madison County,38.889,-89.845
3029,Mansfield,Piatt County,40.211,-88.506
3954,Pleasant Hill,Pike County,39.443,-90.872
3641,Odin,Marion County,38.617,-89.052
4961,Timberlane,Boone County,42.335,-88.861
1913,Gifford,Champaign County,40.306,-88.021
0194,Astoria,Fulton County,40.228,-90.360
4528,Shannon,Carroll County,42.155,-89.740
4314,Roseville,Warren County,40.732,-90.665
2163,Harrison,Jackson County,37.797,-89.337
4786,Stonington,Christian County,39.640,-89.193
5158,Viola,Mercer County,41.203,-90.587
3177,Mendon,Adams County,40.088,-91.284
2138,Hanover,Jo Daviess County,42.256,-90.280
0044,Albany,Whiteside County,41.789,-90.219
0991,Clay City,Clay County,38.689,-88.354
4224,Ringwood,McHenry County,42.392,-88.297
1143,Coulterville,Randolph County,38.186,-89.606
1616,Essex,Kankakee County,41.177,-88.186
3819,Paw Paw,Lee County,41.689,-88.981
2350,Hopedale,Tazewell County,40.421,-89.415
4536,Sheffield,Bureau County,41.358,-89.737
4928,Texico,Jefferson County,38.439,-88.897
3957,Pleasant Plains,Sangamon County,39.873,-89.921
1850,Galatia,Saline County,37.841,-88.609
5420,Willow Lake,Stephenson County,42.333,-89.636
4652,Spaulding,Sangamon County,39.866,-89.540
3501,New Milford,Winnebago County,42.187,-89.068
0059,Alexis,Mercer County,41.063,-90.555
5385,Witt,Montgomery County,39.256,-89.348
0600,Brimfield,Peoria County,40.839,-89.886
2862,Livingston,Madison County,38.968,-89.764
2144,Hardin,Calhoun County,39.157,-90.618
2221,Hurst,Williamson County,37.833,-89.143
3693,Orangeville,Stephenson County,42.468,-89.644
5312,West Salem,Edwards County,38.521,-88.005
4942,Thomson,Carroll County,41.959,-90.099
5475,Woodhull,Henry County,41.179,-90.316
2236,Hennepin,Putnam County,41.254,-89.342
2059,Greenview,Menard County,40.083,-89.738
3143,McLean,McLean County,40.314,-89.170
3626,Oakland,Coles County,39.654,-88.026
3971,Pocahontas,Bond County,38.828,-89.540
3643,Ogden,Champaign County,40.114,-87.956
4958,Tilden,Randolph County,38.212,-89.683
0636,Brownstown,Fayette County,38.996,-88.953
1591,Enfield,White County,38.099,-88.338
1530,Elizabeth,Jo Daviess County,42.318,-90.222
4545,Sherrard,Mercer County,41.319,-90.506
1991,Grafton,Jersey County,38.970,-90.431
3678,Oneida,Knox County,41.072,-90.225
0231,Avon,Fulton County,40.662,-90.435
1681,Farmersville,Montgomery County,39.443,-89.652
4017,Potomac,Vermilion County,40.305,-87.801
0090,Alpha,Henry County,41.192,-90.380
5433,Windsor,Mercer County,41.202,-90.444
1086,Como,Whiteside County,41.766,-89.767
5243,Watson,Effingham County,39.025,-88.570
0556,Bradford,Stark County,41.177,-89.658
1288,Deer Creek,Tazewell County,40.630,-89.332
2617,Kirkwood,Warren County,40.866,-90.748
1712,Findlay,Shelby County,39.523,-88.754
3369,Mounds,Pulaski County,37.114,-89.198
3157,Mechanicsburg,Sangamon County,39.809,-89.397
1244,Dalzell,Bureau County,41.356,-89.173
0858,Cedarville,Stephenson County,42.376,-89.633
1960,Golconda,Pope County,37.367,-88.486
0621,Brooklyn,St. Clair County,38.659,-90.166
1962,Golden,Adams County,40.109,-91.018
1194,Crossville,White County,38.162,-88.065
2626,Noble,Richland County,38.698,-88.224
3619,Oak Run,Knox County,40.963,-90.145
4932,Thayer,Sangamon County,39.538,-89.763
1175,Creston,Ogle County,41.931,-88.965
2043,Green Valley,Tazewell County,40.408,-89.643
4710,St. Libory,St. Clair County,38.363,-89.710
3245,Millington,Kendall County,41.560,-88.604
3470,New Boston,Mercer County,41.170,-90.997
5482,Woodlawn,Jefferson County,38.330,-89.033
1658,Fairmount,Vermilion County,40.046,-87.831
3771,Palmyra,Macoupin County,39.435,-89.996
1958,Godley,Grundy County,41.244,-88.243
4735,Stanford,McLean County,40.435,-89.218
1804,Franklin,Morgan County,39.620,-90.044
0068,Alhambra,Madison County,38.888,-89.731
1266,Davis,Stephenson County,42.423,-89.414
2450,Irvington,Washington County,38.439,-89.163
5414,Willisville,Perry County,37.984,-89.590
0446,Bismarck,Vermilion County,40.264,-87.608
3934,Pittsburg,Williamson County,37.777,-88.850
4698,St. Francisville,Lawrence County,38.591,-87.647
5092,Valier,Franklin County,38.015,-89.043
5065,Union,McHenry County,42.233,-88.542
3666,Olive Branch,Alexander County,37.169,-89.352
0224,Ava,Jackson County,37.888,-89.495
1170,Crescent City,Iroquois County,40.770,-87.859
2412,Indian Creek,Lake County,42.227,-87.980
5428,Wilsonville,Macoupin County,39.071,-89.856
0688,Burlington,Kane County,42.053,-88.548
2813,Liberty,Adams County,39.879,-91.108
2529,Junction City,Marion County,38.580,-89.128
4796,Strasburg,Shelby County,39.353,-88.619
3368,Mound City,Pulaski County,37.085,-89.163
1633,Evansville,Randolph County,38.090,-89.938
0881,Chadwick,Carroll County,42.013,-89.891
2002,Grand Ridge,LaSalle County,41.237,-88.831
2127,Hammond,Piatt County,39.797,-88.592
1269,Dawson,Sangamon County,39.853,-89.463
1969,Golf,Cook County,42.059,-87.793
4555,Shipman,Macoupin County,39.118,-90.044
4695,St. David,Fulton County,40.493,-90.049
2460,Iuka,Marion County,38.616,-88.790
1234,Dahlgren,Hamilton County,38.198,-88.684
2917,Lost Nation,Ogle County,41.911,-89.367
4178,Rest Haven,Will County,41.262,-88.136
4184,Reynolds,Mercer County,41.332,-90.672
4119,Rankin,Vermilion County,40.465,-87.896
0660,Buckley,Iroquois County,40.597,-88.038
5491,Woodson,Morgan County,39.629,-90.219
