phoneme,name,county,latitude,longitude
1633,Evansville,Vanderburgh County,37.975,-87.556
4627,South Bend,St. Joseph County,41.683,-86.250
0783,Carmel,Hamilton County,39.978,-86.118
0484,Bloomington,Monroe County,39.165,-86.526
2127,Hammond,Lake County,41.583,-87.500
2671,Lafayette,Tippecanoe County,40.417,-86.875
1879,Gary,Lake County,41.593,-87.346
3411,Muncie,Delaware County,40.193,-85.386
2062,Greenwood,Johnson County,39.614,-86.107
2634,Kokomo,Howard County,40.486,-86.134
0123,Anderson,Madison County,40.105,-85.680
1539,Elkhart,Elkhart County,41.682,-85.977
5323,Westfield,Hamilton County,40.043,-86.127
1081,Columbus,Bartholomew County,39.201,-85.921
2484,Jeffersonville,Clark County,38.278,-85.737
2760,Lawrence,Marion County,39.839,-86.025
5300,West Lafayette,Tippecanoe County,40.426,-86.908
4006,Portage,Porter County,41.576,-87.176
3463,New Albany,Floyd County,38.286,-85.824
4201,Richmond,Wayne County,39.829,-84.890
3943,Plainfield,Hendricks County,39.704,-86.399
1983,Goshen,Elkhart County,41.582,-85.834
1198,Crown Point,Lake County,41.417,-87.365
5104,Valparaiso,Porter County,41.473,-87.061
3206,Michigan City,LaPorte County,41.708,-86.895
5547,Zionsville,Boone County,39.951,-86.262
2008,Granger,St. Joseph County,41.753,-86.111
2305,Hobart,Lake County,41.532,-87.255
3056,Marion,Grant County,40.558,-85.659
1804,Franklin,Johnson County,39.481,-86.055
2051,Greenfield,Hancock County,39.785,-85.769
3415,Munster,Lake County,41.564,-87.513
2273,Highland,Lake County,41.554,-87.452
0231,Avon,Hendricks County,39.763,-86.400
2657,La Porte,LaPorte County,41.611,-86.723
0983,Clarksville,Clark County,38.297,-85.760
4522,Seymour,Jackson County,38.959,-85.890
4705,St. John,Lake County,41.450,-87.470
4539,Shelbyville,Shelby County,39.521,-85.777
2877,Logansport,Cass County,40.754,-86.357
3477,New Castle,Henry County,39.929,-85.370
2391,Huntington,Huntington County,40.883,-85.497
2772,Lebanon,Boone County,40.048,-86.469
2478,Jasper,Dubois County,38.391,-86.931
1803,Frankfort,Clinton County,40.279,-86.511
5151,Vincennes,Knox County,38.677,-87.529
1431,Dyer,Lake County,41.494,-87.522
1162,Crawfordsville,Montgomery County,40.041,-86.874
5225,Warsaw,Kosciusko County,41.238,-85.853
3491,New Haven,Allen County,41.071,-85.014
0853,Cedar Lake,Lake County,41.365,-87.441
0337,Beech Grove,Marion County,39.722,-86.090
0334,Bedford,Lawrence County,38.861,-86.487
0213,Auburn,DeKalb County,41.367,-85.059
2988,Madison,Jefferson County,38.736,-85.380
2057,Greensburg,Decatur County,39.337,-85.484
5230,Washington,Daviess County,38.659,-87.173
3079,Martinsville,Morgan County,39.428,-86.428
5532,Yorktown,Delaware County,40.174,-85.494
3862,Peru,Miami County,40.754,-86.069
5374,Whitestown,Boone County,39.997,-86.346
2934,Lowell,Lake County,41.291,-87.421
1256,Danville,Hendricks County,39.761,-86.526
3969,Plymouth,Marshall County,41.344,-86.310
5170,Wabash,Wabash County,40.798,-85.821
0500,Bluffton,Wells County,40.739,-85.172
1078,Columbia City,Whitley County,41.157,-85.488
2049,Greencastle,Putnam County,39.644,-86.865
1282,Decatur,Adams County,40.831,-84.929
3328,Mooresville,Morgan County,39.613,-86.374
0129,Angola,Steuben County,41.635,-84.999
1573,Elwood,Madison County,40.274,-85.837
4053,Princeton,Gibson County,38.355,-87.568
0573,Brazil,Clay County,39.524,-87.125
