phoneme,name,county,latitude,longitude
2537,Kansas City,Wyandotte County,39.114,-94.627
3654,Olathe,Johnson County,38.881,-94.819
2760,Lawrence,Douglas County,38.972,-95.235
4533,Shawnee,Johnson County,39.042,-94.720
3016,Manhattan,Pottawatomie County,39.188,-96.606
0859,Salina,Saline County,38.840,-97.611
2398,Hutchinson,Reno County,38.061,-97.930
2770,Leavenworth,Leavenworth County,39.311,-94.922
2771,Leawood,Johnson County,38.967,-94.617
1354,Dodge City,Ford County,37.753,-100.017
1322,Derby,Sedgwick County,37.546,-97.269
2529,Junction City,Geary County,39.029,-96.831
2204,Hays,Ellis County,38.879,-99.327
3934,Pittsburg,Crawford County,37.411,-94.705
0125,Andover,Butler County,37.714,-97.136
2028,Great Bend,Barton County,38.364,-98.765
0168,Arkansas City,Cowley County,37.062,-97.038
5436,Winfield,Cowley County,37.240,-96.996
2206,Haysville,Sedgwick County,37.564,-97.352
2724,Lansing,Leavenworth County,39.249,-94.900
3274,Mission,Johnson County,39.028,-94.656
3806,Parsons,Labette County,37.340,-95.261
0218,Augusta,Butler County,37.687,-96.977
1041,Coffeyville,Montgomery County,37.037,-95.616
4669,Spring Hill,Johnson County,38.757,-94.821
3786,Park City,Sedgwick County,37.800,-97.318
2410,Independence,Montgomery County,37.224,-95.708
0340,Bel Aire,Sedgwick County,37.776,-97.247
5275,Wellington,Sumner County,37.265,-97.372
5095,Valley Center,Sedgwick County,37.835,-97.373
4040,Pratt,Pratt County,37.644,-98.738
0006,Abilene,Dickinson County,38.917,-97.214
1275,De Soto,Johnson County,38.972,-94.951
3001,Maize,Sedgwick County,37.779,-97.467
5060,Ulysses,Grant County,37.581,-101.355
1049,Colby,Thomas County,39.396,-101.052
1956,Goddard,Sedgwick County,37.660,-97.575
1091,Concordia,Cloud County,39.571,-97.663
2922,Louisburg,Miami County,38.619,-94.681
1502,Edwardsville,Wyandotte County,39.061,-94.820
1973,Goodland,Sherman County,39.351,-101.710
4306,Rose Hill,Butler County,37.558,-97.135
0990,Clay Center,Clay County,39.377,-97.125
4483,Scott City,Scott County,38.483,-100.907
3275,Mission Hills,Johnson County,39.018,-94.617
2971,Lyons,Rice County,38.345,-98.202
2254,Hesston,Harvey County,38.138,-97.431
3084,Marysville,Marshall County,39.841,-96.647
0372,Beloit,Mitchell County,39.456,-98.106
1834,Frontenac,Crawford County,37.456,-94.689
2332,Holton,Jackson County,39.465,-95.736
2598,Kingman,Kingman County,37.646,-98.114
1081,Columbus,Cherokee County,37.169,-94.844
3596,Norton,Norton County,39.834,-99.892
4716,St. Marys,Pottawatomie County,39.194,-96.064
1851,Galena,Cherokee County,37.076,-94.640
2291,Hillsboro,Marion County,38.352,-97.204
1002,Clearwater,Sedgwick County,37.503,-97.504
1927,Girard,Crawford County,37.511,-94.838
4762,Sterling,Rice County,38.210,-98.207
2313,Holcomb,Finney County,37.986,-100.989
0917,Cheney,Sedgwick County,37.630,-97.783
0928,Cherryvale,Montgomery County,37.270,-95.552
4511,Seneca,Nemaha County,39.834,-96.064
1814,Fredonia,Wilson County,37.534,-95.827
2160,Herington,Dickinson County,38.697,-96.807
0142,Anthony,Harper County,37.153,-98.031
3627,Oakley,Gove County,39.123,-100.845
3268,Minneapolis,Ottawa County,39.122,-97.707
5280,Wellsville,Franklin County,38.718,-95.082
3056,Marion,Marion County,38.348,-97.017
1539,Elkhart,Morton County,37.008,-101.890
4879,Syracuse,Hamilton County,37.981,-101.753
3946,Plainville,Rooks County,39.235,-99.298
0759,Caney,Montgomery County,37.011,-95.935
1485,Edgerton,Johnson County,38.765,-95.008
5338,Westwood,Johnson County,39.041,-94.617
3723,Oswego,Cherokee County,37.168,-95.112
4503,Sedgwick,Harvey County,37.918,-97.420
2360,Horton,Brown County,39.661,-95.526
3151,Meade,Meade County,37.286,-100.340
2504,Johnson City,Stanton County,37.571,-101.751
4779,Stockton,Rooks County,39.438,-99.265
0893,Chapman,Dickinson County,38.972,-97.023
0774,Carbondale,Osage County,38.819,-95.689
3711,Osborne,Osborne County,39.439,-98.695
2428,Inman,McPherson County,38.232,-97.773
4697,St. Francis,Cheyenne County,39.772,-101.800
2156,Harper,Harper County,37.287,-98.026
2645,La Crosse,Rush County,38.531,-99.309
3961,Pleasanton,Linn County,38.178,-94.711
2371,Hoxie,Sheridan County,39.358,-100.442
1573,Elwood,Doniphan County,39.756,-94.872
5097,Valley Falls,Jefferson County,39.343,-95.460
3543,Nickerson,Reno County,38.147,-98.084
2836,Lyndon,Osage County,38.610,-95.684
0095,Altamont,Labette County,37.190,-95.297
3944,Plains,Meade County,37.260,-100.593
4502,Sedan,Chautauqua County,37.127,-96.187
3736,Overbrook,Osage County,38.781,-95.557
4619,Solomon,Dickinson County,38.921,-97.369
4218,Riley,Riley County,39.299,-96.831
0687,Burlingame,Osage County,38.754,-95.835
1342,Dighton,Lane County,38.482,-100.467
5019,Troy,Doniphan County,39.783,-95.090
3312,Montezuma,Gray County,37.596,-100.443
0390,Benton,Butler County,37.789,-97.109
4729,Stafford,Stafford County,37.962,-98.601
3826,Peabody,Marion County,38.169,-97.107
2273,Highland,Doniphan County,39.860,-95.270
3988,Pomona,Franklin County,38.608,-95.452
1857,Galva,McPherson County,38.382,-97.538
3854,Perry,Jefferson County,39.076,-95.393
3022,Mankato,Jewell County,39.787,-98.210
5186,Wakefield,Clay County,39.213,-97.006
0085,Alma,Wabaunsee County,39.017,-96.289
3381,Mount Hope,Sedgwick County,37.869,-97.665
0112,Americus,Lyon County,38.507,-96.262
0187,Ashland,Clark County,37.189,-99.766
4244,Riverton,Cherokee County,37.075,-94.705
1804,Franklin,Crawford County,37.526,-94.706
3269,Minneola,Clark County,37.443,-100.015
3191,Meriden,Jefferson County,39.189,-95.570
1803,Frankfort,Marshall County,39.706,-96.417
5332,Westmoreland,Pottawatomie County,39.394,-96.414
1598,Enterprise,Dickinson County,38.903,-97.117
2057,Greensburg,Kiowa County,37.603,-99.293
4911,Tecumseh,Shawnee County,39.048,-95.579
1021,Clyde,Cloud County,39.591,-97.399
2792,Leon,Butler County,37.690,-96.782
5377,Whitewater,Butler County,37.965,-97.148
5055,Udall,Cowley County,37.388,-97.114
2197,Haviland,Kiowa County,37.619,-99.106
3368,Mound City,Linn County,38.143,-94.814
4488,Scranton,Osage County,38.782,-95.739
0386,Bennington,Ottawa County,39.031,-97.594
4721,St. Paul,Neosho County,37.519,-95.173
2372,Hoyt,Jackson County,39.248,-95.706
3597,Nortonville,Jefferson County,39.417,-95.334
0921,Cherokee,Crawford County,37.346,-94.809
5249,Waverly,Coffey County,38.394,-95.603
0388,Bentley,Sedgwick County,37.886,-97.517
5257,Weir,Cherokee County,37.310,-94.772
1793,Fowler,Meade County,37.386,-100.196
0208,Attica,Harper County,37.241,-98.227
1503,Effingham,Atchison County,39.522,-95.401
0875,Centralia,Nemaha County,39.726,-96.127
2852,Little River,Rice County,38.398,-98.012
2982,Macksville,Stafford County,37.959,-98.969
3333,Moran,Allen County,37.916,-95.170
1218,Cunningham,Kingman County,37.644,-98.431
1010,Clifton,Clay County,39.568,-97.281
5354,White City,Morris County,38.796,-96.736
5431,Winchester,Jefferson County,39.322,-95.267
1930,Glasco,Cloud County,39.357,-97.841
3600,Norwich,Kingman County,37.457,-97.849
4932,Thayer,Neosho County,37.493,-95.470
0094,Alta Vista,Wabaunsee County,38.864,-96.489
2846,Linwood,Leavenworth County,39.001,-95.039
3408,Mulberry,Crawford County,37.557,-94.622
2098,Gypsum,Saline County,38.706,-97.428
2566,Kensington,Smith County,39.767,-99.032
3227,Milford,Geary County,39.168,-96.913
4805,Strong City,Chase County,38.397,-96.537
0233,Axtell,Marshall County,39.872,-96.259
0905,Chase,Rice County,38.355,-98.350
2803,Lewis,Edwards County,37.936,-99.253
1737,Florence,Marion County,38.244,-96.928
1498,Edna,Labette County,37.060,-95.359
1981,Gorham,Russell County,38.882,-99.023
4291,Rolla,Morton County,37.120,-101.632
1074,Colony,Anderson County,38.071,-95.366
1281,Dearing,Montgomery County,37.059,-95.713
3126,McCune,Crawford County,37.355,-95.017
0086,Almena,Norton County,39.892,-99.707
2496,Jewell,Jewell County,39.671,-98.154
2219,Healy,Lane County,38.600,-100.617
2170,Hartford,Lyon County,38.308,-95.956
3106,Mayetta,Jackson County,39.339,-95.722
0099,Altoona,Wilson County,37.524,-95.661
0940,Chicopee,Crawford County,37.382,-94.742
3257,Milton,Sumner County,37.432,-97.771
2940,Lucas,Russell County,39.056,-98.536
3287,Moline,Elk County,37.360,-96.304
2068,Gridley,Coffey County,38.098,-95.884
1306,Delphos,Ottawa County,39.274,-97.772
0615,Bronson,Bourbon County,37.896,-95.073
3725,Otis,Rush County,38.535,-99.053
5073,Uniontown,Bourbon County,37.847,-94.975
0580,Brewster,Thomas County,39.367,-101.377
4876,Sylvan Grove,Lincoln County,39.009,-98.394
3132,McFarland,Wabaunsee County,39.053,-96.238
3362,Moscow,Stevens County,37.324,-101.206
2031,Greeley,Anderson County,38.367,-95.127
0158,Arcadia,Crawford County,37.642,-94.624
2016,Grantville,Jefferson County,39.083,-95.561
1534,Elk City,Montgomery County,37.289,-95.912
4120,Ransom,Ness County,38.636,-99.934
4053,Princeton,Franklin County,38.489,-95.275
0628,Brookville,Saline County,38.775,-97.868
2727,Lane,Franklin County,38.440,-95.082
1661,Fairview,Brown County,39.841,-95.728
3790,Parker,Linn County,38.328,-94.992
2474,Jamestown,Cloud County,39.599,-97.861
0691,Burns,Marion County,38.090,-96.886
1891,Geneseo,Rice County,38.516,-98.157
0667,Buffalo,Wilson County,37.710,-95.697
0680,Burdett,Pawnee County,38.192,-99.527
1748,Fontana,Miami County,38.426,-94.838
1430,Dwight,Morris County,38.844,-96.593
1123,Corning,Nemaha County,39.657,-96.029
1464,Easton,Leavenworth County,39.345,-95.116
4045,Prescott,Linn County,38.064,-94.696
0031,Agra,Phillips County,39.762,-99.119
0323,Beattie,Marshall County,39.861,-96.420
4183,Rexford,Thomas County,39.472,-100.743
5380,Whiting,Jackson County,39.590,-95.613
2292,Hillsdale,Miami County,38.660,-94.850
5185,Wakarusa,Shawnee County,38.886,-95.696
4506,Selden,Sheridan County,39.541,-100.568
4966,Tipton,Mitchell County,39.343,-98.471
3343,Morganville,Clay County,39.466,-97.202
