phoneme,name,county,latitude,longitude
2925,Louisville,Jefferson County,38.254,-85.759
4266,Rockdale,Boyd County,38.419,-82.698
0544,Bowling Green,Warren County,36.990,-86.444
1151,Covington,Kenton County,39.084,-84.509
1898,Georgetown,Scott County,38.210,-84.559
4201,Richmond,Madison County,37.748,-84.295
1737,Florence,Boone County,38.999,-84.627
1532,Elizabethtown,Hardin County,37.694,-85.859
2410,Independence,Kenton County,38.943,-84.544
1803,Frankfort,Franklin County,38.201,-84.873
2233,Henderson,Henderson County,37.836,-87.590
3754,Paducah,McCracken County,37.083,-88.600
4094,Radcliff,Hardin County,37.840,-85.949
0187,Ashland,Boyd County,38.478,-82.638
2991,Madisonville,Hopkins County,37.328,-87.499
5431,Winchester,Clark County,37.990,-84.180
0688,Burlington,Boone County,39.028,-84.724
3391,Mount Washington,Bullitt County,38.050,-85.546
4717,St. Matthews,Jefferson County,38.253,-85.656
4539,Shelbyville,Shelby County,38.212,-85.224
3419,Murray,Calloway County,36.610,-88.315
1256,Danville,Boyle County,37.646,-84.772
1779,Fort Thomas,Campbell County,39.075,-84.447
0393,Berea,Madison County,37.569,-84.296
4557,Shively,Jefferson County,38.200,-85.823
1931,Glasgow,Barren County,36.996,-85.912
3533,Newport,Campbell County,39.091,-84.496
4623,Somerset,Pulaski County,37.092,-84.604
2761,Lawrenceburg,Anderson County,38.037,-84.897
0747,Campbellsville,Taylor County,37.343,-85.342
2836,Lyndon,Jefferson County,38.257,-85.602
5133,Versailles,Woodford County,38.053,-84.730
0058,Alexandria,Campbell County,38.960,-84.388
3785,Paris,Bourbon County,38.210,-84.253
2650,La Grange,Oldham County,38.408,-85.379
1804,Franklin,Simpson County,36.722,-86.577
3107,Mayfield,Graves County,36.742,-88.637
3215,Middletown,Jefferson County,38.245,-85.539
1571,Elsmere,Kenton County,39.013,-84.605
2168,Harrodsburg,Mercer County,37.762,-84.843
3110,Maysville,Mason County,38.641,-83.744
2296,Hillview,Bullitt County,38.070,-85.686
1776,Fort Mitchell,Kenton County,39.059,-84.547
1488,Edgewood,Kenton County,39.019,-84.582
3611,Oak Grove,Christian County,36.665,-87.443
1112,Corbin,Knox County,36.932,-84.101
3387,Mount Sterling,Montgomery County,38.056,-83.943
5065,Union,Boone County,38.946,-84.680
2883,London,Laurel County,37.129,-84.083
3893,Pikeville,Pike County,37.479,-82.519
1728,Flatwoods,Greenup County,38.523,-82.717
4355,Russellville,Logan County,36.845,-86.887
2275,Highland Heights,Campbell County,39.033,-84.452
1231,Cynthiana,Harrison County,38.390,-84.294
2772,Lebanon,Marion County,37.570,-85.253
1177,Crestwood,Oldham County,38.324,-85.472
1051,Cold Spring,Campbell County,39.022,-84.440
4053,Princeton,Caldwell County,37.109,-87.882
2224,Hebron,Boone County,39.066,-84.701
5425,Wilmore,Jessamine County,37.862,-84.662
0872,Central City,Muhlenberg County,37.294,-87.123
3314,Monticello,Wayne County,36.830,-84.849
1271,Dayton,Campbell County,39.113,-84.473
5211,Walton,Boone County,38.862,-84.615
0359,Bellevue,Campbell County,39.106,-84.479
0661,Buckner,Oldham County,38.384,-85.440
5404,Williamsburg,Whitley County,36.743,-84.160
2209,Hazard,Perry County,37.250,-83.193
1070,Columbia,Adair County,37.103,-85.306
0390,Benton,Marshall County,36.857,-88.350
