phoneme,name,county,latitude,longitude
2671,Lafayette,Lafayette Parish,30.224,-92.020
3296,Monroe,Ouachita Parish,32.509,-92.119
0058,Alexandria,Rapides Parish,31.311,-92.445
4039,Prairieville,Ascension Parish,30.303,-90.972
0871,Central,East Baton Rouge Parish,30.554,-91.037
2736,Laplace,St. John the Baptist Parish,30.067,-90.480
4922,Terrytown,Jefferson Parish,29.910,-90.033
4357,Ruston,Lincoln Parish,32.523,-92.638
2182,Harvey,Jefferson Parish,29.904,-90.077
4823,Sulphur,Calcasieu Parish,30.237,-93.377
4543,Shenandoah,East Baton Rouge Parish,30.401,-91.001
2127,Hammond,Tangipahoa Parish,30.504,-90.461
2067,Gretna,Jefferson Parish,29.915,-90.054
5535,Youngsville,Lafayette Parish,30.100,-91.990
3919,Pineville,Rapides Parish,31.322,-92.434
2947,Luling,St. Charles Parish,29.932,-90.366
4238,River Ridge,Jefferson Parish,29.960,-90.216
0968,Claiborne,Ouachita Parish,32.516,-92.192
5307,West Monroe,Ouachita Parish,32.518,-92.148
1970,Gonzales,Ascension Parish,30.239,-90.920
0246,Baker,East Baton Rouge Parish,30.588,-91.168
3259,Minden,Webster Parish,32.615,-93.287
1196,Crowley,Acadia Parish,30.214,-92.375
1151,Covington,St. Tammany Parish,30.475,-90.101
5486,Woodmere,Jefferson Parish,29.858,-90.080
3339,Morgan City,St. Martin Parish,29.710,-91.192
0001,Abbeville,Vermilion Parish,29.975,-92.134
4091,Raceland,Lafourche Parish,29.727,-90.599
4961,Timberlane,Jefferson Parish,29.877,-90.032
2482,Jefferson,Jefferson Parish,29.966,-90.153
2487,Jennings,Jefferson Davis Parish,30.222,-92.657
0292,Bastrop,Morehouse Parish,32.756,-91.872
1628,Eunice,Acadia Parish,30.490,-92.419
4177,Reserve,St. John the Baptist Parish,30.054,-90.552
4482,Scott,Lafayette Parish,30.236,-92.095
4724,St. Rose,St. Charles Parish,29.947,-90.323
0587,Bridge City,Jefferson Parish,29.933,-90.170
3621,Oakdale,Allen Parish,30.816,-92.660
1565,Elmwood,Jefferson Parish,29.957,-90.190
1804,Franklin,St. Mary Parish,29.796,-91.501
5195,Walker,Livingston Parish,30.488,-90.861
2025,Gray,Terrebonne Parish,29.698,-90.786
