phoneme,name,county,latitude,longitude
0532,Boston,Suffolk County,42.358,-71.060
5500,Worcester,Worcester County,42.263,-71.802
4678,Springfield,Hampden County,42.101,-72.590
0737,Cambridge,Middlesex County,42.375,-71.106
2934,Lowell,Middlesex County,42.633,-71.316
0611,Brockton,Plymouth County,42.083,-71.018
4087,Quincy,Norfolk County,42.253,-71.002
3468,New Bedford,Bristol County,41.636,-70.934
2842,Lynn,Essex County,42.467,-70.949
1670,Fall River,Bristol County,41.701,-71.155
2760,Lawrence,Essex County,42.707,-71.163
3535,Newton,Middlesex County,42.337,-71.209
4624,Somerville,Middlesex County,42.388,-71.100
2195,Haverhill,Essex County,42.776,-71.077
3004,Malden,Middlesex County,42.425,-71.066
5210,Waltham,Middlesex County,42.376,-71.236
0620,Brookline,Norfolk County,42.324,-71.142
3161,Medford,Middlesex County,42.418,-71.106
4903,Taunton,Bristol County,41.900,-71.090
4181,Revere,Suffolk County,42.408,-71.012
5341,Weymouth,Norfolk County,42.207,-70.944
0940,Chicopee,Hampden County,42.149,-72.608
3826,Peabody,Essex County,42.528,-70.929
1635,Everett,Middlesex County,42.408,-71.054
0170,Arlington,Middlesex County,42.415,-71.156
4382,Salem,Essex County,42.520,-70.897
3935,Pittsfield,Berkshire County,42.450,-73.245
0417,Beverly,Essex County,42.558,-70.880
1721,Fitchburg,Worcester County,42.583,-71.802
3061,Marlborough,Middlesex County,42.346,-71.552
5323,Westfield,Hampden County,42.125,-72.750
0114,Amherst,Hampshire County,42.364,-72.507
4562,Shrewsbury,Worcester County,42.285,-71.714
0914,Chelsea,Suffolk County,42.392,-71.033
0561,Braintree,Norfolk County,42.206,-71.002
2335,Holyoke,Hampden County,42.204,-72.616
0913,Chelmsford,Middlesex County,42.597,-71.370
5240,Watertown,Middlesex County,42.369,-71.178
4117,Randolph,Norfolk County,42.179,-71.053
2808,Lexington,Middlesex County,42.447,-71.225
1804,Franklin,Norfolk County,42.085,-71.411
3450,Needham,Norfolk County,42.282,-71.242
3601,Norwood,Norfolk County,42.187,-71.196
4924,Tewksbury,Middlesex County,42.612,-71.228
3227,Milford,Worcester County,42.159,-71.521
1955,Gloucester,Essex County,42.616,-70.662
3171,Melrose,Middlesex County,42.458,-71.066
3584,Northampton,Hampshire County,42.325,-72.641
4790,Stoughton,Norfolk County,42.119,-71.104
0594,Bridgewater,Plymouth County,41.972,-70.979
4462,Saugus,Essex County,42.468,-71.014
5313,West Springfield,Hampden County,42.125,-72.650
3257,Milton,Norfolk County,42.242,-71.082
1255,Danvers,Essex County,42.575,-70.930
5186,Wakefield,Middlesex County,42.504,-71.064
0371,Belmont,Middlesex County,42.396,-71.179
0688,Burlington,Middlesex County,42.505,-71.196
4137,Reading,Middlesex County,42.526,-71.095
1285,Dedham,Norfolk County,42.242,-71.166
5524,Yarmouth,Barnstable County,41.675,-70.226
1464,Easton,Bristol County,42.039,-71.109
0764,Canton,Norfolk County,42.176,-71.125
5324,Westford,Middlesex County,42.586,-71.440
0011,Acton,Middlesex County,42.484,-71.438
3029,Mansfield,Bristol County,42.017,-71.216
5424,Wilmington,Middlesex County,42.546,-71.174
4782,Stoneham,Middlesex County,42.480,-71.100
5431,Winchester,Middlesex County,42.452,-71.137
1869,Gardner,Worcester County,42.575,-71.998
2945,Ludlow,Hampden County,42.184,-72.458
3046,Marblehead,Essex County,42.500,-70.858
2314,Holden,Worcester County,42.356,-71.863
2377,Hudson,Middlesex County,42.389,-71.546
1991,Grafton,Worcester County,42.209,-71.684
3596,Norton,Bristol County,41.965,-71.182
4813,Sudbury,Middlesex County,42.383,-71.421
0187,Ashland,Middlesex County,42.258,-71.474
5449,Winthrop,Suffolk County,42.376,-70.971
3839,Pembroke,Plymouth County,42.068,-70.806
4623,Somerset,Bristol County,41.770,-71.129
1090,Concord,Middlesex County,42.463,-71.365
4271,Rockland,Plymouth County,42.129,-70.909
4646,Southbridge,Worcester County,42.060,-72.034
2051,Greenfield,Franklin County,42.588,-72.600
5266,Webster,Worcester County,42.047,-71.846
4861,Swansea,Bristol County,41.758,-71.214
0213,Auburn,Worcester County,42.199,-71.846
5336,Westport,Bristol County,41.580,-71.082
5338,Westwood,Norfolk County,42.220,-71.217
1429,Duxbury,Plymouth County,42.044,-70.706
1652,Fairhaven,Bristol County,41.634,-70.871
5381,Whitman,Plymouth County,42.079,-70.939
4132,Raynham,Bristol County,41.930,-71.046
2138,Hanover,Plymouth County,42.123,-70.856
0334,Bedford,Middlesex County,42.499,-71.282
3235,Millbury,Worcester County,42.192,-71.778
5251,Wayland,Middlesex County,42.360,-71.361
0903,Charlton,Worcester County,42.134,-71.968
3165,Medway,Norfolk County,42.156,-71.430
2840,Lynnfield,Essex County,42.534,-71.038
3566,North Adams,Berkshire County,42.701,-73.109
4165,Rehoboth,Bristol County,41.847,-71.245
3769,Palmer,Hampden County,42.189,-72.306
1403,Dudley,Worcester County,42.054,-71.935
2712,Lakeville,Plymouth County,41.834,-70.957
