phoneme,name,county,latitude,longitude
06892,Portland,Cumberland County,43.661,-70.255
04823,Lewiston,Androscoggin County,44.100,-70.215
00453,Bangor,Penobscot County,44.801,-68.778
00360,Auburn,Androscoggin County,44.098,-70.231
07615,Sanford,York County,43.439,-70.774
01149,Brunswick,Cumberland County,43.896,-69.973
07498,Saco,York County,43.501,-70.443
09162,Westbrook,Cumberland County,43.677,-70.371
00367,Augusta,Kennebec County,44.311,-69.779
09342,Windham,Cumberland County,43.795,-70.405
09031,Waterville,Kennebec County,44.552,-69.632
09494,York,York County,43.165,-70.591
06367,Orono,Penobscot County,44.882,-68.739
09089,Wells,York County,43.311,-70.633
04889,Lisbon,Androscoggin County,44.020,-70.079
01042,Brewer,Penobscot County,44.797,-68.761
08585,Topsham,Sagadahoc County,43.965,-69.956
09479,Yarmouth,Cumberland County,43.788,-70.156
00523,Bath,Sagadahoc County,43.911,-69.821
06954,Presque Isle,Aroostook County,46.681,-68.016
03156,Freeport,Cumberland County,43.845,-70.090
02125,Cumberland,Cumberland County,43.787,-70.251
02709,Ellsworth,Hancock County,44.543,-68.419
01259,Buxton,York County,43.636,-70.539
03496,Gray,Cumberland County,43.905,-70.368
00723,Berwick,York County,43.299,-70.842
09361,Winslow,Kennebec County,44.524,-69.577
03666,Hampden,Penobscot County,44.733,-68.883
02921,Farmington,Franklin County,44.677,-70.141
03417,Gorham,Cumberland County,43.680,-70.444
06291,Old Town,Penobscot County,44.934,-68.645
01377,Caribou,Aroostook County,46.861,-68.012
07333,Rockland,Knox County,44.104,-69.109
00623,Belfast,Waldo County,44.426,-69.006
02675,Eliot,York County,43.147,-70.774
04758,Lebanon,York County,43.400,-70.913
03853,Hermon,Penobscot County,44.820,-68.917
02870,Fairfield,Somerset County,44.652,-69.661
06234,Oakland,Kennebec County,44.579,-69.733
09370,Winthrop,Kennebec County,44.310,-69.963
03994,Houlton,Aroostook County,46.140,-67.842
03240,Gardiner,Kennebec County,44.230,-69.775
06836,Poland,Androscoggin County,44.048,-70.394
07459,Rumford,Oxford County,44.560,-70.625
01309,Camden,Knox County,44.222,-69.063
06499,Paris,Oxford County,44.248,-70.491
06186,Norway,Oxford County,44.226,-70.610
01177,Bucksport,Hancock County,44.642,-68.760
09003,Warren,Knox County,44.128,-69.244
04861,Lincoln,Penobscot County,45.355,-68.440
03979,Hollis,York County,43.631,-70.614
07844,Sidney,Kennebec County,44.438,-69.756
05132,Madison,Somerset County,44.826,-69.800
04258,Jay,Franklin County,44.517,-70.202
03350,Glenburn,Penobscot County,44.893,-68.845
06218,Oak Hill,Cumberland County,43.590,-70.334
05093,Lyman,York County,43.500,-70.648
07090,Raymond,Cumberland County,43.918,-70.468
01634,China,Kennebec County,44.414,-69.535
06437,Oxford,Oxford County,44.145,-70.473
02503,Durham,Androscoggin County,43.956,-70.132
05655,Monmouth,Kennebec County,44.233,-70.015
06765,Pittsfield,Somerset County,44.770,-69.434
09337,Wilton,Franklin County,44.628,-70.249
02322,Dexter,Penobscot County,45.041,-69.282
07335,Rockport,Knox County,44.170,-69.093
04891,Litchfield,Kennebec County,44.172,-69.934
07225,Richmond,Sagadahoc County,44.117,-69.830
03190,Fryeburg,Oxford County,44.043,-70.934
01741,Clinton,Kennebec County,44.665,-69.541
03971,Holden,Penobscot County,44.762,-68.676
04857,Limerick,York County,43.688,-70.782
00628,Belgrade,Kennebec County,44.523,-69.838
09440,Woolwich,Sagadahoc County,43.960,-69.769
06065,Newport,Penobscot County,44.867,-69.219
05540,Milford,Penobscot County,44.993,-68.576
01280,Calais,Washington County,45.189,-67.279
04595,Lake Arrowhead,York County,43.664,-70.735
02920,Farmingdale,Kennebec County,44.261,-69.828
06767,Pittston,Kennebec County,44.180,-69.704
04812,Levant,Penobscot County,44.877,-68.997
01942,Corinth,Penobscot County,44.980,-69.011
01078,Bristol,Lincoln County,43.892,-69.473
01385,Carmel,Penobscot County,44.800,-69.003
00883,Blue Hill,Hancock County,44.402,-68.528
01587,Chelsea,Kennebec County,44.266,-69.730
05608,Minot,Androscoggin County,44.138,-70.336
08494,Thomaston,Knox County,44.108,-69.171
05492,Mexico,Oxford County,44.553,-70.495
00692,Benton,Kennebec County,44.591,-69.518
00027,Acton,York County,43.537,-70.940
09343,Windsor,Kennebec County,44.315,-69.571
08101,St. George,Knox County,43.909,-69.233
04263,Jefferson,Lincoln County,44.172,-69.515
07101,Readfield,Kennebec County,44.384,-69.950
03647,Hallowell,Kennebec County,44.286,-69.791
03671,Hancock,Hancock County,44.525,-68.285
03724,Harrison,Cumberland County,44.103,-70.652
05172,Manchester,Kennebec County,44.342,-69.862
09241,Whitefield,Lincoln County,44.198,-69.620
08737,Union,Knox County,44.229,-69.287
04868,Lincolnville,Waldo County,44.295,-69.066
05580,Milo,Piscataquis County,45.270,-68.988
04767,Leeds,Androscoggin County,44.295,-70.133
06362,Orland,Hancock County,44.576,-68.670
02601,Eddington,Penobscot County,44.806,-68.611
01330,Canaan,Somerset County,44.782,-69.546
06670,Phippsburg,Sagadahoc County,43.741,-69.826
04918,Livermore,Androscoggin County,44.412,-70.216
02226,Dayton,York County,43.551,-70.574
08084,St. Albans,Somerset County,44.927,-69.387
08808,Van Buren,Aroostook County,47.181,-68.008
00089,Albion,Kennebec County,44.508,-69.445
06475,Palmyra,Somerset County,44.843,-69.368
05114,Machias,Washington County,44.696,-67.444
08835,Veazie,Penobscot County,44.847,-68.714
04656,Lamoine,Hancock County,44.492,-68.320
02439,Dresden,Lincoln County,44.086,-69.737
05809,Mount Vernon,Kennebec County,44.466,-69.960
07066,Randolph,Kennebec County,44.237,-69.751
03426,Gouldsboro,Hancock County,44.431,-68.077
02901,Falmouth,Cumberland County,43.730,-70.242
04019,Hope,Knox County,44.241,-69.189
02243,Dedham,Hancock County,44.701,-68.558
01122,Brownfield,Oxford County,43.931,-70.919
08340,Surry,Hancock County,44.467,-68.507
06055,Newfield,York County,43.638,-70.876
03953,Hiram,Oxford County,43.849,-70.831
08952,Wales,Androscoggin County,44.151,-70.062
08624,Trenton,Hancock County,44.466,-68.391
06887,Porter,Oxford County,43.838,-70.947
06048,Newburgh,Penobscot County,44.705,-69.013
01567,Charleston,Penobscot County,45.078,-69.031
09014,Washington,Knox County,44.261,-69.392
06463,Palermo,Waldo County,44.396,-69.431
09025,Waterford,Oxford County,44.203,-70.722
03133,Franklin,Hancock County,44.601,-68.244
06176,Northport,Waldo County,44.359,-68.990
08622,Tremont,Hancock County,44.257,-68.458
06927,Pownal,Cumberland County,43.904,-70.182
00433,Baldwin,Cumberland County,43.839,-70.745
01953,Cornish,York County,43.767,-70.809
04858,Limestone,Aroostook County,46.907,-67.863
02143,Cushing,Knox County,44.014,-69.259
06032,New Sharon,Franklin County,44.650,-70.000
