phoneme,name,county,latitude,longitude
02312,Detroit,Wayne County,42.331,-83.046
03454,Grand Rapids,Kent County,42.963,-85.668
09003,Warren,Macomb County,42.500,-83.005
04661,Lansing,Clinton County / Eaton County / Ingham County,42.714,-84.561
02237,Dearborn,Wayne County,42.322,-83.176
01741,Clinton,Macomb County,42.590,-82.917
07793,Sheldon,Wayne County,42.309,-83.482
01353,Canton,Wayne County,42.308,-83.486
01274,Cady,Macomb County,42.587,-82.920
04921,Livonia,Wayne County,42.368,-83.353
05124,Macomb,Macomb County,42.659,-82.931
05406,Meade,Macomb County,42.659,-82.931
08947,Waldenburg,Macomb County,42.659,-82.931
08652,Troy,Oakland County,42.606,-83.150
09176,Westland,Wayne County,42.324,-83.400
03019,Flint,Genesee County,43.013,-83.687
07791,Shelby,Macomb County,42.673,-83.037
09481,Yates,Macomb County,42.671,-83.033
09467,Wyoming,Kent County,42.913,-85.705
04346,Kalamazoo,Kalamazoo County,42.292,-85.587
09025,Waterford,Oakland County,42.662,-83.388
09112,West Bloomfield,Oakland County,42.567,-83.387
08429,Taylor,Wayne County,42.241,-83.270
06861,Pontiac,Oakland County,42.639,-83.291
07443,Royal Oak,Oakland County,42.489,-83.145
09506,Ypsilanti,Washtenaw County,42.214,-83.599
03279,Georgetown,Ottawa County,42.905,-85.845
04412,Kentwood,Kent County,42.869,-85.645
00526,Battle Creek,Calhoun County,42.321,-85.180
06885,Portage,Kalamazoo County,42.201,-85.580
07137,Redford,Wayne County,42.395,-83.294
07406,Roseville,Macomb County,42.497,-82.937
00373,Austin,Kalamazoo County,42.210,-85.589
06214,Oak Grove,Oakland County,42.576,-83.267
05469,Meridian,Ingham County,42.725,-84.420
00862,Bloomfield,Oakland County,42.578,-83.274
07508,Saginaw,Saginaw County,43.419,-83.951
01610,Chesterfield,Macomb County,42.671,-82.809
05583,Milton,Macomb County,42.671,-82.809
05523,Midland,Bay County / Midland County,43.625,-84.232
01858,Commerce,Oakland County,42.579,-83.488
03358,Glengary,Oakland County,42.579,-83.488
04864,Lincoln Park,Wayne County,42.251,-83.179
03615,Holland,Ottawa County,42.821,-86.076
06765,Pittsfield,Washtenaw County,42.208,-83.716
06360,Orion,Oakland County,42.757,-83.262
05865,Muskegon,Muskegon County,43.234,-86.248
09206,Whigville,Genesee County,42.935,-83.647
04130,Independence,Oakland County,42.747,-83.392
08982,Walters,Oakland County,42.740,-83.383
02584,Eastpointe,Macomb County,42.468,-82.955
03615,Holland,Allegan County / Ottawa County,42.768,-86.099
06776,Plainfield,Kent County,43.074,-85.611
05566,Millett,Eaton County,42.727,-84.660
01134,Brownstown,Wayne County,42.109,-83.229
02285,Delta,Eaton County,42.728,-84.661
00532,Bay City,Bay County,43.594,-83.889
00601,Bedford,Monroe County,41.773,-83.597
06180,Northville,Wayne County,42.416,-83.487
04232,Jackson,Jackson County,42.246,-84.401
05207,Maple Beach,Wayne County,42.126,-83.257
08808,Van Buren,Wayne County,42.221,-83.484
06436,Oxbow,Oakland County,42.648,-83.496
09227,White Lake,Oakland County,42.648,-83.496
08013,Southgate,Wayne County,42.214,-83.194
01240,Burton,Genesee County,42.999,-83.616
06224,Oak Park,Oakland County,42.459,-83.183
03204,Gaines,Kent County,42.805,-85.605
02299,Denton,Wayne County,42.221,-83.487
03062,Forest Hills,Kent County,42.948,-85.492
05133,Madison Heights,Oakland County,42.486,-83.105
02274,Delhi,Ingham County,42.626,-84.533
00788,Byron,Kent County,42.812,-85.724
03233,Garden City,Wayne County,42.326,-83.331
04170,Inkster,Wayne County,42.294,-83.310
03993,Holt,Ingham County,42.641,-84.515
08955,Walker,Kent County,43.001,-85.768
01942,Corinth,Kent County,42.834,-85.637
02509,Dutton,Kent County,42.834,-85.637
