phoneme,name,county,latitude,longitude
05599,Minneapolis,Hennepin County,44.980,-93.264
08124,St. Paul,Ramsey County,44.944,-93.093
00869,Bloomington,Hennepin County,44.841,-93.298
02474,Duluth,St. Louis County,46.783,-92.107
01111,Brooklyn Park,Hennepin County,45.094,-93.356
06824,Plymouth,Hennepin County,45.011,-93.456
09400,Woodbury,Washington County,44.924,-92.959
04643,Lakeville,Dakota County,44.650,-93.243
00830,Blaine,Anoka County / Ramsey County,45.171,-93.206
05210,Maple Grove,Hennepin County,45.072,-93.456
08095,St. Cloud,Benton County / Sherburne County / Stearns County,45.527,-94.171
02517,Eagan,Dakota County,44.804,-93.167
01232,Burnsville,Dakota County,44.768,-93.278
01916,Coon Rapids,Anoka County,45.120,-93.288
00245,Apple Valley,Dakota County,44.732,-93.218
02618,Edina,Hennepin County,44.890,-93.350
05186,Mankato,Blue Earth County / Le Sueur County / Nicollet County,44.171,-93.976
05709,Moorhead,Clay County,46.874,-96.768
05222,Maplewood,Ramsey County,44.953,-92.995
01972,Cottage Grove,Washington County,44.828,-92.944
07219,Richfield,Hennepin County,44.883,-93.283
07406,Roseville,Ramsey County,45.006,-93.157
07648,Savage,Scott County,44.779,-93.336
00208,Andover,Anoka County,45.233,-93.291
07061,Ramsey,Anoka County,45.261,-93.450
06229,Oakdale,Washington County,44.963,-92.965
07401,Rosemount,Dakota County,44.739,-93.126
02687,Elk River,Sherburne County,45.304,-93.567
09360,Winona,Winona County,44.050,-91.639
09217,White Bear Lake,Ramsey County / Washington County,45.065,-93.013
02921,Farmington,Dakota County,44.640,-93.144
05958,New Brighton,Ramsey County,45.066,-93.202
02109,Crystal,Hennepin County,45.033,-93.360
03386,Golden Valley,Hennepin County,45.010,-93.349
03757,Hastings,Dakota County / Washington County,44.732,-92.855
01847,Columbia Heights,Anoka County,45.041,-93.263
06405,Otsego,Wright County,45.274,-93.591
05998,New Hope,Hennepin County,45.038,-93.387
06171,Northfield,Dakota County / Rice County,44.453,-93.176
