phoneme,name,county,latitude,longitude
2537,Kansas City,Cass County,39.122,-94.555
4711,St. Louis,St. Louis city,38.627,-90.198
4678,Springfield,Christian County,37.194,-93.293
1070,Columbia,Boone County,38.952,-92.334
2410,Independence,Clay County,39.085,-94.352
3606,O'Fallon,St. Charles County,38.811,-90.700
4707,St. Joseph,Buchanan County,39.769,-94.847
4691,St. Charles,St. Charles County,38.784,-90.481
0496,Blue Springs,Jackson County,39.017,-94.282
1741,Florissant,St. Louis County,38.789,-90.323
2518,Joplin,Jasper County,37.075,-94.501
0933,Chesterfield,St. Louis County,38.663,-90.577
2483,Jefferson City,Callaway County,38.567,-92.175
3628,Oakville,St. Louis County,38.470,-90.305
5396,Wildwood,St. Louis County,38.583,-90.663
2813,Liberty,Clay County,39.246,-94.419
4133,Raytown,Jackson County,39.009,-94.464
2617,Kirkwood,St. Louis County,38.583,-90.407
3168,Mehlville,St. Louis County,38.508,-90.323
1928,Gladstone,Clay County,39.204,-94.555
2006,Grandview,Jackson County,38.886,-94.533
2214,Hazelwood,St. Louis County,38.771,-90.371
0374,Belton,Cass County,38.812,-94.532
3748,Ozark,Christian County,37.021,-93.206
4501,Sedalia,Pettis County,38.704,-93.228
0176,Arnold,Jefferson County,38.433,-90.378
4291,Rolla,Phelps County,37.951,-91.771
5221,Warrensburg,Johnson County,38.763,-93.736
4174,Republic,Christian County,37.169,-93.413
0025,Affton,St. Louis County,38.551,-90.333
1090,Concord,St. Louis County,38.525,-90.357
1180,Creve Coeur,St. Louis County,38.661,-90.423
1702,Ferguson,St. Louis County,38.744,-90.305
1683,Farmington,St. Francois County,37.781,-90.422
3013,Manchester,St. Louis County,38.597,-90.509
2136,Hannibal,Marion County,39.710,-91.394
0994,Clayton,St. Louis County,38.643,-90.324
4568,Sikeston,New Madrid County,36.885,-89.587
3737,Overland,St. Louis County,38.701,-90.362
0807,Carthage,Jasper County,37.176,-94.310
2464,Jackson,Cape Girardeau County,37.382,-89.666
2772,Lebanon,Laclede County,37.681,-92.664
5230,Washington,Franklin County,38.558,-91.012
3069,Marshall,Saline County,39.123,-93.197
5019,Troy,Lincoln County,38.979,-90.981
5263,Webb City,Jasper County,37.146,-94.463
2487,Jennings,St. Louis County,38.719,-90.260
0569,Branson,Stone County,36.612,-93.292
1844,Fulton,Callaway County,38.847,-91.948
3459,Neosho,Newton County,36.869,-94.368
5065,Union,Franklin County,38.450,-91.008
1177,Crestwood,St. Louis County,38.557,-90.382
1629,Eureka,Jefferson County,38.498,-90.645
3201,Mexico,Audrain County,39.170,-91.883
4993,Town and Country,St. Louis County,38.612,-90.463
0591,Bridgeton,St. Louis County,38.767,-90.412
0515,Bolivar,Polk County,37.614,-93.410
3085,Maryville,Nodaway County,40.346,-94.872
2545,Kearney,Clay County,39.368,-94.362
4602,Smithville,Clay County,39.397,-94.571
2165,Harrisonville,Cass County,38.653,-94.349
1554,Ellisville,St. Louis County,38.593,-90.587
3291,Monett,Barry County,36.921,-93.927
1012,Clinton,Henry County,38.369,-93.778
4202,Richmond Heights,St. Louis County,38.629,-90.320
5222,Warrenton,Warren County,38.811,-91.142
3954,Pleasant Hill,Cass County,38.806,-94.272
3787,Park Hills,St. Francois County,37.854,-90.518
3858,Perryville,Perry County,37.724,-89.861
0739,Cameron,Caldwell County,39.745,-94.232
3611,Oak Grove,Jackson County,39.007,-94.128
3418,Murphy,Jefferson County,38.490,-90.487
3462,Nevada,Vernon County,37.839,-94.355
3042,Maplewood,St. Louis County,38.613,-90.325
0578,Brentwood,St. Louis County,38.618,-90.349
0395,Berkeley,St. Louis County,38.755,-90.331
1333,Dexter,Stoddard County,36.796,-89.958
0528,Boonville,Cooper County,38.974,-92.743
3796,Parkville,Platte County,39.195,-94.682
3073,Marshfield,Webster County,37.339,-92.907
3751,Pacific,Franklin County,38.481,-90.751
0221,Aurora,Lawrence County,36.971,-93.718
4822,Sullivan,Crawford County,38.213,-91.164
5101,Valley Park,St. Louis County,38.549,-90.493
4705,St. John,St. Louis County,38.715,-90.346
0273,Barnhart,Jefferson County,38.344,-90.393
1275,De Soto,Jefferson County,38.139,-90.555
5401,Willard,Greene County,37.305,-93.429
4562,Shrewsbury,St. Louis County,38.590,-90.337
1943,Glendale,St. Louis County,38.596,-90.377
2062,Greenwood,Cass County,38.842,-94.334
4201,Richmond,Ray County,39.279,-93.977
3642,Odessa,Lafayette County,38.999,-93.954
2985,Macon,Macon County,39.742,-92.473
5255,Waynesville,Pulaski County,37.829,-92.201
5508,Wright City,Warren County,38.828,-91.020
2409,Imperial,Jefferson County,38.370,-90.378
4464,Savannah,Andrew County,39.942,-94.830
0898,Charleston,Mississippi County,36.921,-89.351
1303,Dellwood,St. Louis County,38.749,-90.286
0187,Ashland,Boone County,38.774,-92.257
4692,St. Clair,Franklin County,38.345,-90.981
1206,Crystal City,Jefferson County,38.221,-90.379
4260,Rock Hill,St. Louis County,38.608,-90.378
0875,Centralia,Audrain County,39.211,-92.134
2323,Hollister,Taney County,36.621,-93.215
4382,Salem,Dent County,37.646,-91.536
2808,Lexington,Lafayette County,39.185,-93.880
0724,California,Moniteau County,38.628,-92.567
3390,Mount Vernon,Lawrence County,37.104,-93.819
1521,Eldon,Miller County,38.348,-92.582
4288,Rogersville,Greene County,37.115,-93.075
4483,Scott City,Cape Girardeau County,37.225,-89.538
1813,Fredericktown,Madison County,37.560,-90.294
2716,Lamar,Barton County,37.495,-94.277
0544,Bowling Green,Pike County,39.342,-91.195
3562,Normandy,St. Louis County,38.721,-90.297
0700,Butler,Bates County,38.259,-94.331
4243,Riverside,Platte County,39.178,-94.613
1699,Fenton,St. Louis County,38.513,-90.436
4703,St. James,Phelps County,37.997,-91.614
1834,Frontenac,St. Louis County,38.636,-90.415
3004,Malden,Dunklin County,36.557,-89.966
3771,Palmyra,Marion County,39.794,-91.523
2291,Hillsboro,Jefferson County,38.232,-90.563
5113,Vandalia,Audrain County,39.308,-91.489
0667,Buffalo,Dallas County,37.644,-93.092
4721,St. Paul,St. Charles County,38.861,-90.742
2924,Louisiana,Pike County,39.449,-91.052
4816,Sugar Creek,Clay County,39.139,-94.409
0821,Cassville,Barry County,36.677,-93.869
5147,Villa Ridge,Franklin County,38.473,-90.887
1210,Cuba,Crawford County,38.063,-91.403
0661,Buckner,Jackson County,39.133,-94.199
0224,Ava,Douglas County,36.952,-92.660
4966,Tipton,Moniteau County,38.656,-92.780
5433,Windsor,Henry County,38.532,-93.523
3959,Pleasant Valley,Clay County,39.216,-94.484
3743,Owensville,Gasconade County,38.346,-91.502
1694,Fayette,Howard County,39.146,-92.684
1768,Forsyth,Taney County,36.685,-93.120
2039,Green Park,St. Louis County,38.524,-90.338
3297,Monroe City,Marion County,39.654,-91.732
0764,Canton,Lewis County,40.125,-91.625
