phoneme,name,county,latitude,longitude
0901,Charlotte,Mecklenburg County,35.227,-80.843
4105,Raleigh,Durham County,35.830,-78.641
2056,Greensboro,Guilford County,36.073,-79.792
1425,Durham,Durham County,35.978,-78.900
1695,Fayetteville,Cumberland County,35.053,-78.878
0777,Cary,Chatham County,35.781,-78.823
5424,Wilmington,New Hanover County,34.226,-77.945
2272,High Point,Davidson County,35.991,-79.993
1090,Concord,Cabarrus County,35.409,-80.580
0185,Asheville,Buncombe County,35.601,-82.554
2060,Greenville,Pitt County,35.613,-77.366
1882,Gastonia,Gaston County,35.262,-81.187
2467,Jacksonville,Onslow County,34.754,-77.430
2389,Huntersville,Mecklenburg County,35.411,-80.843
0891,Chapel Hill,Durham County,35.921,-79.045
0688,Burlington,Alamance County,36.076,-79.468
4281,Rocky Mount,Edgecombe County,35.969,-77.804
3328,Mooresville,Iredell County,35.585,-80.810
5427,Wilson,Wilson County,35.721,-77.916
2260,Hickory,Burke County,35.740,-81.322
2327,Holly Springs,Wake County,35.651,-78.834
4387,Salisbury,Rowan County,35.671,-80.474
3296,Monroe,Union County,34.985,-80.550
1967,Goldsboro,Wayne County,35.385,-77.993
1872,Garner,Wake County,35.711,-78.614
1120,Cornelius,Mecklenburg County,35.487,-80.860
3356,Morrisville,Durham County,35.836,-78.839
4439,Sanford,Lee County,35.480,-79.180
3095,Matthews,Mecklenburg County,35.117,-80.724
4753,Statesville,Iredell County,35.783,-80.887
0994,Clayton,Johnston County,35.652,-78.449
4939,Thomasville,Davidson County,35.882,-80.080
2786,Leland,Brunswick County,34.256,-78.045
4538,Shelby,Cleveland County,35.292,-81.536
1006,Clemmons,Forsyth County,36.022,-80.382
2611,Kinston,Lenoir County,35.263,-77.582
2808,Lexington,Davidson County,35.824,-80.253
2162,Harrisburg,Cabarrus County,35.324,-80.656
2949,Lumberton,Robeson County,34.618,-79.009
0526,Boone,Watauga County,36.217,-81.675
3916,Pinehurst,Moore County,35.195,-79.469
3380,Mount Holly,Gaston County,35.298,-81.016
3341,Morganton,Burke County,35.745,-81.685
1992,Graham,Alamance County,36.069,-79.401
2194,Havelock,Craven County,34.879,-76.901
1481,Eden,Rockingham County,36.488,-79.767
0371,Belmont,Gaston County,35.243,-81.037
1265,Davidson,Iredell County,35.481,-80.821
2234,Hendersonville,Henderson County,35.319,-82.461
2233,Henderson,Vance County,36.330,-78.399
4161,Reidsville,Rockingham County,36.355,-79.664
2807,Lewisville,Forsyth County,36.097,-80.419
3535,Newton,Catawba County,35.670,-81.221
3425,Myrtle Grove,New Hanover County,34.135,-77.882
4598,Smithfield,Johnston County,35.508,-78.339
4670,Spring Lake,Cumberland County,35.168,-78.973
5282,Wendell,Wake County,35.781,-78.370
2599,Kings Mountain,Cleveland County,35.236,-81.350
2832,Lincolnton,Lincoln County,35.474,-81.255
1567,Elon,Alamance County,36.103,-79.507
4826,Summerfield,Guilford County,36.209,-79.905
3919,Pineville,Mecklenburg County,35.083,-80.892
5448,Winterville,Pitt County,35.529,-77.401
3372,Mount Airy,Surry County,36.499,-80.607
5255,Waynesville,Haywood County,35.489,-82.989
2291,Hillsborough,Orange County,36.075,-79.100
5230,Washington,Beaufort County,35.547,-77.052
4726,St. Stephens,Catawba County,35.765,-81.273
0004,Aberdeen,Moore County,35.132,-79.429
4270,Rockingham,Richmond County,34.939,-79.774
5288,Wesley Chapel,Union County,35.007,-80.675
3615,Oak Island,Brunswick County,33.917,-78.161
3747,Oxford,Granville County,36.311,-78.591
3643,Ogden,New Hanover County,34.272,-77.819
1096,Conover,Catawba County,35.707,-81.219
1419,Dunn,Harnett County,35.306,-78.609
1012,Clinton,Sampson County,34.998,-78.323
1731,Fletcher,Henderson County,35.431,-82.501
5541,Zebulon,Johnston County,35.830,-78.314
3056,Marion,McDowell County,35.684,-82.009
3618,Oak Ridge,Guilford County,36.173,-79.989
1621,Etowah,Henderson County,35.318,-82.594
