phoneme,name,county,latitude,longitude
0446,Bismarck,Burleigh County,46.808,-100.784
3270,Minot,Ward County,48.233,-101.296
5413,Williston,Williams County,48.147,-103.618
1340,Dickinson,Stark County,46.879,-102.790
3014,Mandan,Morton County,46.827,-100.890
2474,Jamestown,Stutsman County,46.911,-98.708
5182,Wahpeton,Richland County,46.265,-96.606
5096,Valley City,Barnes County,46.923,-98.003
2826,Lincoln,Burleigh County,46.762,-100.700
1991,Grafton,Walsh County,48.412,-97.411
2354,Horace,Cass County,46.759,-96.904
0415,Beulah,Mercer County,47.263,-101.778
3513,New Town,Mountrail County,47.981,-102.490
4345,Rugby,Pierce County,48.369,-99.996
4737,Stanley,Mountrail County,48.317,-102.390
2215,Hazen,Mercer County,47.294,-101.623
2848,Lisbon,Ransom County,46.442,-97.681
3622,Oakes,Dickey County,46.139,-98.090
3112,Mayville,Traill County,47.498,-97.325
2291,Hillsboro,Traill County,47.404,-97.062
2182,Harvey,Wells County,47.770,-99.935
1875,Garrison,McLean County,47.652,-101.416
5229,Washburn,McLean County,47.289,-101.029
4291,Rolla,Rolette County,48.858,-99.618
4940,Thompson,Grand Forks County,47.774,-97.110
1189,Crosby,Divide County,48.914,-103.295
2844,Linton,Emmons County,46.267,-100.233
3509,New Salem,Morton County,46.845,-101.411
0311,Beach,Golden Valley County,46.918,-104.004
3595,Northwood,Grand Forks County,47.734,-97.567
1106,Cooperstown,Griggs County,47.444,-98.124
5194,Walhalla,Pembina County,48.923,-97.918
3805,Parshall,Mountrail County,47.953,-102.135
2183,Harwood,Cass County,46.979,-96.881
2224,Hebron,Morton County,46.901,-102.045
5064,Underwood,McLean County,47.456,-101.137
2033,Green Acres,Rolette County,48.838,-99.690
3434,Napoleon,Logan County,46.508,-99.771
1387,Drayton,Pembina County,48.571,-97.178
5429,Wilton,Burleigh County,47.158,-100.784
2190,Hatton,Traill County,47.640,-97.453
4129,Ray,Williams County,48.344,-103.165
2715,Lakota,Nelson County,48.043,-98.336
