phoneme,name,county,latitude,longitude
06319,Omaha,Douglas County,41.259,-95.938
04861,Lincoln,Lancaster County,40.800,-96.667
00649,Bellevue,Sarpy County,41.137,-95.891
03445,Grand Island,Hall County,40.925,-98.342
04363,Kearney,Buffalo County,40.699,-99.081
03159,Fremont,Dodge County,41.433,-96.498
03757,Hastings,Adams County,40.586,-98.388
06114,Norfolk,Madison County,42.028,-97.417
00578,Beatrice,Gage County,40.268,-96.747
01536,Chalco,Sarpy County,41.184,-96.150
04826,Lexington,Dawson County,40.781,-99.742
09494,York,York County,40.868,-97.592
00136,Alliance,Box Butte County,42.102,-102.872
00831,Blair,Washington County,41.544,-96.125
07751,Seward,Seward County,40.907,-97.099
05363,McCook,Red Willow County,40.202,-100.626
02057,Crete,Saline County,40.628,-96.961
07674,Schuyler,Colfax County,41.447,-97.059
07054,Ralston,Douglas County,41.205,-96.043
07844,Sidney,Cheyenne County,41.143,-102.978
09050,Wayne,Wayne County,42.231,-97.018
03562,Gretna,Sarpy County,41.141,-96.240
08934,Wahoo,Saunders County,41.211,-96.620
00371,Aurora,Hamilton County,40.867,-98.004
09046,Waverly,Lancaster County,40.917,-96.528
02898,Falls City,Richardson County,40.061,-95.602
02865,Fairbury,Jefferson County,40.137,-97.181
06207,O'Neill,Holt County,42.458,-98.648
00360,Auburn,Nemaha County,40.393,-95.839
09150,West Point,Cuming County,41.842,-96.709
03423,Gothenburg,Dawson County,40.929,-100.161
00327,Ashland,Saunders County,41.032,-96.398
01849,Columbus,Platte County,41.455,-97.308
05587,Minden,Kearney County,40.499,-98.948
08789,Valley,Douglas County,41.313,-96.346
01521,Central City,Merrick County,41.116,-98.002
03873,Hickman,Lancaster County,40.620,-96.629
08783,Valentine,Cherry County,42.873,-100.551
08124,St. Paul,Howard County,41.215,-98.458
04452,Kimball,Kimball County,41.236,-103.663
05132,Madison,Madison County,41.828,-97.455
06785,Platte,Dodge County,41.450,-96.570
03272,Geneva,Fillmore County,40.527,-97.596
05540,Milford,Seward County,40.774,-97.051
02168,Dakota City,Dakota County,42.416,-96.418
04128,Imperial,Chase County,40.517,-101.643
00686,Bennington,Douglas County,41.365,-96.158
08737,Union,Saunders County,41.256,-96.415
09281,Wilber,Saline County,40.481,-96.961
08385,Syracuse,Otoe County,40.657,-96.186
