phoneme,name,county,latitude,longitude
05172,Manchester,Hillsborough County,42.996,-71.455
05898,Nashua,Hillsborough County,42.765,-71.468
01869,Concord,Merrimack County,43.208,-71.538
02164,Derry,Rockingham County,42.888,-71.282
02419,Dover,Strafford County,43.198,-70.874
07309,Rochester,Strafford County,43.305,-70.976
07536,Salem,Rockingham County,42.788,-71.222
04961,Londonderry,Rockingham County,42.880,-71.392
00601,Bedford,Hillsborough County,42.936,-71.537
04370,Keene,Cheshire County,42.934,-72.278
06893,Portsmouth,Rockingham County,43.072,-70.763
04578,Laconia,Belknap County,43.528,-71.470
09342,Windham,Rockingham County,42.811,-71.303
02503,Durham,Strafford County,43.117,-70.919
04758,Lebanon,Grafton County,43.642,-72.252
06588,Pelham,Hillsborough County,42.731,-71.337
01679,Claremont,Sullivan County,43.377,-72.347
02852,Exeter,Rockingham County,42.981,-70.948
03669,Hampton,Rockingham County,42.938,-70.839
00702,Berlin,Coos County,44.469,-71.185
00493,Barrington,Strafford County,43.216,-71.039
06064,Newmarket,Rockingham County,43.071,-70.947
09056,Weare,Hillsborough County,43.078,-71.704
03668,Hampstead,Rockingham County,42.881,-71.172
03133,Franklin,Merrimack County,43.444,-71.647
03680,Hanover,Grafton County,43.702,-72.290
04891,Litchfield,Hillsborough County,42.846,-71.468
03979,Hollis,Hillsborough County,42.750,-71.585
05540,Milford,Hillsborough County,42.835,-71.649
07706,Seabrook,Rockingham County,42.883,-70.861
00962,Bow,Merrimack County,43.133,-71.537
03313,Gilford,Belknap County,43.520,-71.376
06596,Pembroke,Merrimack County,43.168,-71.439
00664,Belmont,Belknap County,43.474,-71.482
00346,Atkinson,Rockingham County,42.839,-71.167
02783,Epping,Rockingham County,43.051,-71.088
02921,Farmington,Strafford County,43.367,-71.063
04074,Hudson,Hillsborough County,42.765,-71.440
05466,Meredith,Belknap County,43.631,-71.499
06824,Plymouth,Grafton County,43.744,-71.727
06639,Peterborough,Hillsborough County,42.890,-71.941
06065,Newport,Sullivan County,43.371,-72.203
