phoneme,name,county,latitude,longitude
3521,Newark,Essex County,40.736,-74.172
3810,Paterson,Passaic County,40.917,-74.172
1530,Elizabeth,Union County,40.664,-74.211
1493,Edison,Middlesex County,40.504,-74.349
2124,Hamilton,Mercer County,40.206,-74.675
5006,Trenton,Mercer County,40.217,-74.743
1010,Clifton,Passaic County,40.858,-74.164
0925,Cherry Hill,Camden County,39.905,-74.997
0738,Camden,Camden County,39.926,-75.120
3809,Passaic,Passaic County,40.857,-74.128
1804,Franklin,Somerset County,40.477,-74.550
3215,Middletown,Monmouth County,40.405,-74.071
2713,Lakewood,Ocean County,40.098,-74.218
1955,Gloucester,Camden County,39.792,-75.036
5067,Union City,Hudson County,40.780,-74.024
5153,Vineland,Cumberland County,39.486,-75.026
3928,Piscataway,Middlesex County,40.546,-74.461
2450,Irvington,Essex County,40.724,-74.233
5065,Union,Union County,40.695,-74.269
2464,Jackson,Ocean County,40.091,-74.361
2307,Hoboken,Hudson County,40.744,-74.032
3943,Plainfield,Union County,40.634,-74.407
5252,Wayne,Passaic County,40.946,-74.245
2370,Howell,Monmouth County,40.178,-74.206
0480,Bloomfield,Essex County,40.809,-74.187
5230,Washington,Gloucester County,39.748,-75.069
3296,Monroe,Middlesex County,40.319,-74.429
5309,West Orange,Essex County,40.786,-74.265
1504,Egg Harbor,Atlantic County,39.380,-74.612
4492,Seabrook,Cumberland County,39.502,-75.219
0594,Bridgewater,Somerset County,40.592,-74.604
3013,Manchester,Ocean County,39.962,-74.375
2101,Hackensack,Bergen County,40.886,-74.043
0395,Berkeley,Ocean County,39.913,-74.193
2836,Linden,Union County,40.622,-74.245
2291,Hillsborough,Somerset County,40.498,-74.671
3305,Montclair,Essex County,40.825,-74.211
3011,Manalapan,Monmouth County,40.282,-74.347
2545,Kearny,Hudson County,40.768,-74.145
5444,Winslow,Camden County,39.702,-74.908
1774,Fort Lee,Bergen County,40.851,-73.970
0205,Atlantic City,Atlantic County,39.364,-74.423
1855,Galloway,Atlantic County,39.491,-74.474
3296,Monroe,Gloucester County,39.660,-74.969
0358,Belleville,Essex County,40.793,-74.161
1640,Ewing,Mercer County,40.270,-74.800
2760,Lawrence,Mercer County,40.296,-74.720
1870,Garfield,Bergen County,40.881,-74.113
2890,Long Branch,Monmouth County,40.304,-73.992
5169,Voorhees,Camden County,39.849,-74.953
2862,Livingston,Essex County,40.786,-74.329
1516,Elberon,Monmouth County,40.269,-73.992
4053,Princeton,Mercer County,40.349,-74.659
5323,Westfield,Union County,40.659,-74.347
1461,East Windsor,Mercer County,40.259,-74.534
4729,Stafford,Ocean County,39.706,-74.264
5315,West Windsor,Mercer County,40.290,-74.628
2664,Lacey,Ocean County,39.855,-74.267
1592,Englewood,Bergen County,40.893,-73.973
3385,Mount Olive,Morris County,40.866,-74.742
3460,Neptune,Monmouth County,40.214,-74.054
2124,Hamilton,Atlantic County,39.482,-74.737
3632,Ocean,Monmouth County,40.254,-74.032
3251,Millville,Cumberland County,39.402,-75.039
3838,Pemberton,Burlington County,39.959,-74.605
0591,Bridgeton,Cumberland County,39.427,-75.234
4117,Randolph,Morris County,40.842,-74.579
5197,Wall,Monmouth County,40.166,-74.098
4215,Ridgewood,Bergen County,40.979,-74.117
2875,Lodi,Bergen County,40.882,-74.083
3042,Maplewood,Essex County,40.734,-74.271
4623,Somerset,Somerset County,40.498,-74.488
5305,West Milford,Passaic County,41.105,-74.391
3161,Medford,Burlington County,39.864,-74.825
4123,Raritan,Hunterdon County,40.547,-74.896
3313,Montgomery,Somerset County,40.426,-74.678
3352,Morris,Morris County,40.796,-74.495
4336,Roxbury,Morris County,40.888,-74.651
4830,Summit,Union County,40.741,-74.360
5130,Vernon,Sussex County,41.195,-74.489
4310,Roselle,Union County,40.664,-74.263
3320,Montville,Morris County,40.913,-74.359
2966,Lyndhurst,Bergen County,40.797,-74.113
2293,Hillside,Union County,40.696,-74.229
3234,Millburn,Essex County,40.742,-74.321
5471,Woodbridge,Middlesex County,40.558,-74.285
1566,Elmwood Park,Bergen County,40.904,-74.118
3962,Pleasantville,Atlantic County,39.390,-74.524
0309,Bayville,Ocean County,39.909,-74.155
2482,Jefferson,Morris County,41.001,-74.551
3355,Morristown,Morris County,40.797,-74.482
4655,Sparta,Sussex County,41.052,-74.628
2202,Hawthorne,Passaic County,40.949,-74.154
0004,Aberdeen,Monmouth County,40.430,-74.225
2163,Harrison,Hudson County,40.746,-74.156
3977,Point Pleasant,Ocean County,40.083,-74.068
4359,Rutherford,Bergen County,40.826,-74.107
1377,Dover,Morris County,40.884,-74.562
1408,Dumont,Bergen County,40.941,-73.997
5230,Washington,Morris County,40.785,-74.798
5516,Wyckoff,Bergen County,40.999,-74.169
4678,Springfield,Union County,40.698,-74.334
2988,Madison,Morris County,40.760,-74.417
3501,New Milford,Bergen County,40.935,-74.019
1804,Franklin,Gloucester County,39.599,-75.021
5219,Warren,Somerset County,40.635,-74.519
3033,Mantua,Gloucester County,39.762,-75.173
0975,Clark,Union County,40.618,-74.316
4676,Springdale,Camden County,39.903,-74.966
4250,Robbinsville,Mercer County,40.224,-74.595
3874,Phillipsburg,Warren County,40.694,-75.190
2277,Highland Park,Middlesex County,40.496,-74.424
5408,Williamstown,Gloucester County,39.686,-74.995
1661,Fairview,Bergen County,40.813,-73.999
4112,Ramsey,Bergen County,41.057,-74.141
1486,Edgewater,Bergen County,40.827,-73.976
2138,Hanover,Morris County,40.820,-74.428
3213,Middlesex,Middlesex County,40.573,-74.493
5132,Verona,Essex County,40.832,-74.243
2163,Harrison,Gloucester County,39.726,-75.205
5331,Westmont,Camden County,39.910,-75.048
3506,New Providence,Union County,40.698,-74.402
0850,Cedar Grove,Essex County,40.858,-74.230
2851,Little Falls,Passaic County,40.876,-74.217
5481,Woodland Park,Passaic County,40.890,-74.195
1805,Franklin Park,Somerset County,40.444,-74.543
5498,Woolwich,Gloucester County,39.743,-75.326
4138,Red Bank,Monmouth County,40.347,-74.064
2949,Lumberton,Burlington County,39.959,-74.802
3626,Oakland,Bergen County,41.013,-74.264
4624,Somerville,Somerset County,40.574,-74.610
4253,Robertsville,Monmouth County,40.346,-74.288
0196,Atco,Camden County,39.770,-74.888
1452,East Greenwich,Gloucester County,39.791,-75.241
1939,Glen Rock,Bergen County,40.963,-74.133
3079,Martinsville,Somerset County,40.601,-74.559
0363,Bellmawr,Camden County,39.868,-75.095
4224,Ringwood,Passaic County,41.113,-74.245
2095,Guttenberg,Hudson County,40.792,-74.004
4210,Ridgefield,Bergen County,40.834,-74.009
5338,Westwood,Bergen County,40.991,-74.033
3633,Ocean City,Cape May County,39.278,-74.575
4933,The Hills,Somerset County,40.656,-74.620
0313,Beachwood,Ocean County,39.939,-74.193
3618,Oak Ridge,Morris County,41.031,-74.498
2829,Lincoln Park,Morris County,40.924,-74.302
3035,Manville,Somerset County,40.541,-74.588
3904,Pine Hill,Camden County,39.784,-74.992
3064,Marlton,Burlington County,39.891,-74.922
5237,Waterford,Camden County,39.743,-74.821
3249,Millstone,Monmouth County,40.213,-74.432
4645,Southampton,Burlington County,39.916,-74.718
0617,Brookdale,Essex County,40.834,-74.183
5468,Wood-Ridge,Bergen County,40.846,-74.088
5473,Woodbury,Gloucester County,39.838,-75.153
5192,Waldwick,Bergen County,41.011,-74.118
2292,Hillsdale,Bergen County,41.003,-74.040
3113,Maywood,Bergen County,40.903,-74.062
3380,Mount Holly,Burlington County,39.995,-74.786
0688,Burlington,Burlington County,40.071,-74.865
5149,Villas,Cape May County,39.029,-74.939
1725,Flanders,Morris County,40.846,-74.695
2544,Keansburg,Monmouth County,40.442,-74.130
5358,White Horse,Mercer County,40.191,-74.702
3093,Matawan,Monmouth County,40.415,-74.230
2693,Lake Mohawk,Sussex County,41.018,-74.660
3788,Park Ridge,Bergen County,41.038,-74.041
0907,Chatham,Morris County,40.741,-74.384
5230,Washington,Bergen County,40.988,-74.065
0187,Ashland,Camden County,39.863,-75.006
0506,Bogota,Bergen County,40.876,-74.030
4602,Smithville,Atlantic County,39.494,-74.457
4123,Raritan,Somerset County,40.570,-74.633
0994,Clayton,Gloucester County,39.660,-75.092
3632,Ocean,Ocean County,39.791,-74.215
1487,Edgewater Park,Burlington County,40.054,-74.918
3029,Mansfield,Burlington County,40.087,-74.712
0719,Caldwell,Essex County,40.840,-74.277
3932,Pitman,Gloucester County,39.733,-75.132
1081,Columbus,Burlington County,40.072,-74.721
0215,Audubon,Camden County,39.891,-75.073
2893,Long Hill,Morris County,40.683,-74.492
3535,Newton,Sussex County,41.058,-74.753
3319,Montvale,Bergen County,41.047,-74.023
3587,Northfield,Atlantic County,39.370,-74.550
3988,Pomona,Atlantic County,39.478,-74.575
2560,Kenilworth,Union County,40.676,-74.291
1271,Dayton,Middlesex County,40.373,-74.510
0335,Bedminster,Somerset County,40.673,-74.686
0700,Butler,Morris County,41.004,-74.342
0709,Byram,Sussex County,40.960,-74.713
4243,Riverside,Burlington County,40.036,-74.956
