phoneme,name,county,latitude,longitude
0050,Albuquerque,Bernalillo County,35.084,-106.651
4453,Santa Fe,Santa Fe County,35.687,-105.938
4325,Roswell,Chaves County,33.394,-104.523
1682,Farmington,San Juan County,36.728,-108.219
2308,Hobbs,Lea County,32.703,-103.136
1020,Clovis,Curry County,34.405,-103.205
4650,South Valley,Bernalillo County,35.010,-106.678
0782,Carlsbad,Eddy County,32.421,-104.229
1308,Deming,Luna County,32.269,-107.759
2912,Los Alamos,Los Alamos County,35.888,-106.307
2746,Las Vegas,San Miguel County,35.594,-105.224
0180,Artesia,Eddy County,32.842,-104.403
4581,Silver City,Grant County,32.770,-108.280
0143,Anthony,Do��a Ana County,32.004,-106.606
4621,Socorro,Socorro County,34.058,-106.891
0479,Bloomfield,San Juan County,36.711,-107.985
4901,Taos,Taos County,36.407,-105.573
0236,Aztec,San Juan County,36.822,-107.993
1486,Edgewood,Bernalillo County,35.131,-106.220
5367,White Rock,Los Alamos County,35.828,-106.204
3943,Placitas,Sandoval County,35.307,-106.425
1627,Eunice,Lea County,32.437,-103.159
4457,Santa Rosa,Guadalupe County,34.939,-104.682
0994,Clayton,Union County,36.452,-103.184
5081,University Park,Do��a Ana County,32.283,-106.753
3225,Milan,Cibola County,35.170,-107.891
4425,San Rafael,Cibola County,35.113,-107.883
0864,Center Point,San Juan County,36.877,-107.946
4426,San Ysidro,Do��a Ana County,32.351,-106.811
5092,Valencia,Valencia County,34.800,-106.700
0302,Bayard,Grant County,32.762,-108.131
4099,Radium Springs,Do��a Ana County,32.501,-106.928
2658,La Plata,San Juan County,36.929,-108.190
4450,Santa Clara,Grant County,32.780,-108.150
0283,Barton,Bernalillo County,35.065,-106.257
2187,Hatch,Do��a Ana County,32.665,-107.153
1081,Columbus,Luna County,31.828,-107.640
4667,Spencerville,San Juan County,36.820,-108.058
0208,Atoka,Eddy County,32.770,-104.389
4893,Talpa,Taos County,36.341,-105.597
0453,Black Rock,McKinley County,35.088,-108.791
1511,El Rancho,Santa Fe County,35.889,-106.080
2933,Loving,Eddy County,32.286,-104.096
2396,Hurley,Grant County,32.699,-108.132
4265,Rock Springs,McKinley County,35.609,-108.829
5048,Twin Lakes,McKinley County,35.709,-108.775
2346,Hondo,Lincoln County,33.392,-105.275
1331,Dexter,Chaves County,33.197,-104.373
2415,Indian Hills,Torrance County,34.983,-106.140
4422,San Pablo,Do��a Ana County,32.250,-106.773
2105,Hagerman,Chaves County,33.115,-104.327
2878,Logan,Quay County,35.365,-103.411
4685,Springer,Colfax County,36.361,-104.595
4930,Texico,Curry County,34.389,-103.051
2140,Happy Valley,Eddy County,32.428,-104.290
0041,Alamo,Socorro County,34.421,-107.511
0886,Chama,Rio Arriba County,36.903,-106.579
3406,Mountainair,Torrance County,34.520,-106.241
0850,Cedar Grove,Santa Fe County,35.171,-106.190
3312,Monterey Park,Valencia County,34.759,-106.641
0962,Cimarron,Colfax County,36.511,-104.916
0849,Cedar Crest,Bernalillo County,35.108,-106.373
4413,San Jose,Rio Arriba County,36.039,-106.098
5095,Valle Vista,Santa Fe County,35.584,-106.060
5123,Ventura,Luna County,32.244,-107.683
4421,San Miguel,Do��a Ana County,32.155,-106.735
5055,Tyrone,Grant County,32.710,-108.302
0851,Cedar Hill,San Juan County,36.937,-107.890
4389,Salem,Do��a Ana County,32.708,-107.213
3199,Mesquite,Do��a Ana County,32.165,-106.697
4904,Tatum,Lea County,33.257,-103.318
1339,Dixon,Rio Arriba County,36.199,-105.889
3223,Midway,Chaves County,33.295,-104.451
3350,Morningside,Eddy County,32.861,-104.397
3335,Mora,Mora County,35.974,-105.330
1210,Cuba,Sandoval County,36.022,-106.958
3173,Melrose,Curry County,34.430,-103.632
2655,La Mesa,Do��a Ana County,32.122,-106.708
2620,Kirtland,San Juan County,36.734,-108.360
4840,Sundance,McKinley County,35.460,-108.638
0762,Canova,Rio Arriba County,36.159,-105.985
4150,Red River,Taos County,36.708,-105.406
4288,Rowe,San Miguel County,35.492,-105.675
3139,McIntosh,Torrance County,34.865,-106.052
3943,Placitas,Do��a Ana County,32.665,-107.169
3527,Newcomb,San Juan County,36.285,-108.706
5406,Williamsburg,Sierra County,33.116,-107.293
4109,Ramah,McKinley County,35.133,-108.492
4988,Torreon,Sandoval County,35.797,-107.214
2654,La Madera,Sandoval County,35.223,-106.371
0179,Arroyo Hondo,Santa Fe County,35.610,-105.945
4962,Timberlake,Cibola County,35.201,-108.484
4850,Sunshine,Luna County,32.138,-107.753
0471,Blanco,San Juan County,36.724,-107.825
2402,Hyde Park,Santa Fe County,35.711,-105.887
2682,Lake Arthur,Chaves County,32.998,-104.367
2654,La Madera,Rio Arriba County,36.377,-106.043
5037,Turley,San Juan County,36.753,-107.765
4223,Rincon,Do��a Ana County,32.673,-107.065
3963,Pleasanton,Catron County,33.272,-108.873
2476,Jamestown,McKinley County,35.481,-108.433
1586,Encinal,Cibola County,35.117,-107.465
1204,Crystal,McKinley County,36.030,-108.989
4179,Reserve,Catron County,33.713,-108.758
2653,La Jara,Sandoval County,36.088,-106.975
0179,Arroyo Hondo,Taos County,36.536,-105.670
1596,Ensenada,Rio Arriba County,36.727,-106.533
5120,Vaughn,Guadalupe County,34.602,-105.208
2995,Madrid,Santa Fe County,35.407,-106.153
2951,Lumberton,Rio Arriba County,36.930,-106.937
4310,Rosedale,Grant County,32.765,-108.243
0941,Chili,Rio Arriba County,36.105,-106.150
2138,Hanover,Grant County,32.813,-108.091
3105,Maxwell,Colfax County,36.540,-104.543
4415,San Lorenzo,Grant County,32.810,-107.920
3324,Monument,Lea County,32.624,-103.264
4988,Torreon,Torrance County,34.722,-106.299
5150,Villanueva,San Miguel County,35.267,-105.361
5403,Willard,Torrance County,34.596,-106.034
4452,Santa Cruz,Santa Fe County,35.992,-106.047
0498,Bluewater,McKinley County,35.315,-108.176
1176,Crestview,McKinley County,35.487,-108.854
2828,Lincoln,Lincoln County,33.492,-105.384
4339,Roy,Harding County,35.944,-104.196
1115,Cordova,Rio Arriba County,36.007,-105.861
4416,San Luis,Sandoval County,35.683,-107.051
2811,Lyden,Rio Arriba County,36.146,-106.006
3004,Malaga,Eddy County,32.224,-104.072
4426,San Ysidro,Sandoval County,35.563,-106.771
1525,Elida,Roosevelt County,33.947,-103.657
4086,Quemado,Catron County,34.344,-108.496
1127,Corona,Lincoln County,34.251,-105.597
2293,Hillsboro,Sierra County,32.917,-107.567
5162,Virden,Hidalgo County,32.687,-109.002
3993,Ponderosa,Sandoval County,35.660,-106.668
1366,Dora,Roosevelt County,33.939,-103.337
0154,Aragon,Catron County,33.881,-108.539
5270,Weed,Otero County,32.803,-105.517
1322,Des Moines,Union County,36.761,-103.834
2351,Hope,Eddy County,32.810,-104.733
4409,San Cristobal,Taos County,36.596,-105.639
4286,Rodeo,Hidalgo County,31.837,-109.032
4739,Stanley,Santa Fe County,35.148,-105.977
0609,Broadview,Cibola County,35.229,-107.872
0812,Casas Adobes,Grant County,32.810,-107.940
3631,Oasis,Sierra County,32.925,-107.317
1990,Grady,Curry County,34.821,-103.317
1742,Floyd,Roosevelt County,34.214,-103.581
5092,Valencia,Santa Fe County,35.578,-105.791
4166,Regina,Sandoval County,36.184,-106.957
2607,Kingston,Sierra County,32.917,-107.706
0771,Capulin,Union County,36.741,-103.994
4413,San Jose,San Miguel County,35.397,-105.475
1587,Encino,Torrance County,34.651,-105.462
2952,Luna,Catron County,33.819,-108.955
0085,Alma,Catron County,33.379,-108.903
1951,Glenwood,Catron County,33.317,-108.883
1745,Folsom,Union County,36.845,-103.918
3925,Piñon,Otero County,32.618,-105.394
5448,Winston,Sierra County,33.347,-107.647
4406,San Antonio,Socorro County,33.918,-106.866
0097,Alto,Lincoln County,33.399,-105.681
0116,Amistad,Union County,35.919,-103.154
0367,Bellview,Curry County,34.821,-103.108
0399,Bernardo,Socorro County,34.416,-106.844
0799,Carson,Taos County,36.364,-105.765
0950,Chloride,Sierra County,33.339,-107.678
1235,Derry,Sierra County,32.788,-107.282
1530,Elizabethtown,Colfax County,36.619,-105.284
1837,Fruitland,San Juan County,36.739,-108.396
1869,Garfield,Do��a Ana County,32.757,-107.264
1927,Gladstone,Union County,36.304,-103.973
1941,Glencoe,Lincoln County,33.409,-105.449
1962,Golden,Santa Fe County,35.267,-106.214
2843,Lingo,Roosevelt County,33.788,-103.115
2866,Llano,Taos County,36.140,-105.682
3205,Miami,Colfax County,36.350,-104.793
3315,Montezuma,San Miguel County,35.652,-105.276
3317,Monticello,Sierra County,33.397,-107.451
3403,Mountain Park,Otero County,32.951,-105.825
3533,Newkirk,Guadalupe County,35.068,-104.265
3658,Old Town,Luna County,32.553,-107.915
3943,Placitas,Sierra County,33.377,-107.433
4082,Quay,Quay County,34.934,-103.761
4245,Riverside,Eddy County,32.836,-104.311
4245,Riverside,Grant County,32.932,-108.596
4245,Riverside,Lincoln County,33.333,-105.060
4245,Riverside,San Juan County,36.982,-107.876
4420,San Mateo,Cibola County,35.331,-107.643
