phoneme,name,county,latitude,longitude
04700,Las Vegas,Clark County,36.175,-115.137
03834,Henderson,Clark County,36.040,-114.982
07174,Reno,Washoe County,39.530,-119.814
02777,Enterprise,Clark County,36.031,-115.198
08062,Spring Valley,Clark County,36.108,-115.245
06493,Paradise,Clark County,36.097,-115.147
08026,Sparks,Washoe County,39.535,-119.753
01406,Carson City,Carson City,39.164,-119.767
09267,Whitney,Clark County,36.071,-115.084
08310,Sun Valley,Washoe County,39.596,-119.776
05484,Mesquite,Clark County,36.806,-114.067
02661,Elko,Elko County,40.832,-115.763
08051,Spring Creek,Elko County,40.727,-115.586
02226,Dayton,Lyon County,39.237,-119.593
00956,Boulder City,Clark County,35.979,-114.832
01807,Cold Springs,Washoe County,39.680,-119.977
02858,Fallon,Churchill County,39.474,-118.777
04712,Laughlin,Clark County,35.142,-114.619
04141,Indian Hills,Douglas County,39.086,-119.784
07868,Silver Springs,Lyon County,39.415,-119.225
02672,Ely,White Pine County,39.247,-114.889
05587,Minden,Douglas County,38.954,-119.766
03780,Hawthorne,Mineral County,38.525,-118.625
08137,Stagecoach,Lyon County,39.374,-119.374
01380,Carlin,Elko County,40.714,-116.104
04471,Kingsbury,Douglas County,38.977,-119.907
08579,Tonopah,Nye County,38.067,-117.230
05035,Lovelock,Pershing County,40.179,-118.473
07613,Sandy Valley,Clark County,35.817,-115.632
07920,Smith Valley,Lyon County,38.787,-119.369
02570,East Valley,Douglas County,38.942,-119.693
09089,Wells,Elko County,41.112,-114.964
00078,Alamo,Lincoln County,37.365,-115.164
08847,Verdi,Washoe County,39.518,-119.989
01291,Caliente,Lincoln County,37.615,-114.512
03273,Genoa,Douglas County,39.004,-119.847
03486,Grass Valley,Pershing County,40.797,-117.760
06435,Owyhee,Elko County,41.948,-116.099
08168,Stateline,Douglas County,38.962,-119.940
03386,Golden Valley,Washoe County,39.615,-119.827
04146,Indian Springs,Clark County,36.570,-115.671
08905,Virginia City,Storey County,39.310,-119.650
00579,Beatty,Nye County,36.909,-116.759
08928,Wadsworth,Washoe County,39.634,-119.285
02987,Fish Springs,Douglas County,38.954,-119.651
02827,Eureka,Eureka County,39.513,-115.961
07893,Skyland,Douglas County,39.022,-119.948
06095,Nixon,Washoe County,39.832,-119.358
00880,Blue Diamond,Clark County,36.046,-115.404
02515,Dyer,Esmeralda County,37.667,-118.066
04634,Lakeridge,Douglas County,39.036,-119.948
03349,Glenbrook,Douglas County,39.089,-119.939
03387,Goldfield,Esmeralda County,37.709,-117.236
02110,Crystal Bay,Washoe County,39.226,-120.004
07483,Ruth,White Pine County,39.278,-114.989
06955,Preston,White Pine County,38.914,-115.061
05447,Mina,Mineral County,38.390,-118.109
02751,Empire,Washoe County,40.576,-119.342
07860,Silver City,Lyon County,39.264,-119.641
06495,Paradise Valley,Humboldt County,41.494,-117.535
05076,Lund,White Pine County,38.857,-115.008
04126,Imlay,Pershing County,40.661,-118.150
03381,Golconda,Humboldt County,40.953,-117.489
05178,Manhattan,Nye County,38.539,-117.075
00684,Bennett Springs,Lincoln County,37.714,-114.467
05373,McDermitt,Humboldt County,41.997,-117.718
07909,Sloan,Clark County,35.944,-115.217
04474,Kingston,Lander County,39.210,-117.070
03405,Goodsprings,Clark County,35.832,-115.434
01597,Cherry Creek,White Pine County,39.904,-114.890
04655,Lamoille,Elko County,40.728,-115.478
05928,Nelson,Clark County,35.708,-114.825
06245,Oasis,Elko County,41.029,-114.487
00423,Baker,White Pine County,39.013,-114.123
08804,Valmy,Humboldt County,40.793,-117.127
00592,Beaverdam,Lincoln County,37.690,-114.449
00373,Austin,Lander County,39.493,-117.070
05815,Mountain City,Elko County,41.839,-115.965
03886,Hiko,Lincoln County,37.597,-115.224
00197,Amos,Humboldt County,41.390,-117.809
00265,Arden,Clark County,36.018,-115.230
00307,Arthur,Elko County,40.797,-115.191
00468,Barclay,Lincoln County,37.513,-114.252
01416,Carvers,Nye County,38.787,-117.179
01519,Centerville,Douglas County,38.911,-119.779
01686,Clark,Storey County,39.564,-119.482
01797,Coin,Elko County,40.883,-115.716
01946,Corn Creek,Clark County,36.421,-115.382
02109,Crystal,Clark County,36.501,-114.763
02109,Crystal,Nye County,36.492,-116.168
02137,Currie,Elko County,40.267,-114.743
02289,Denio,Humboldt County,41.990,-118.634
02577,Eastgate,Churchill County,39.306,-117.879
03325,Gilpin,Storey County,39.598,-119.336
03352,Glendale,Clark County,36.665,-114.567
03382,Gold Hill,Storey County,39.291,-119.657
03479,Grantsville,Nye County,38.846,-117.573
03623,Hadley,Nye County,38.698,-117.162
03643,Halleck,Elko County,40.951,-115.453
03803,Hazen,Churchill County,39.565,-119.046
04259,Jean,Clark County,35.780,-115.330
04936,Lockwood,Storey County,39.507,-119.647
04964,Lone Mountain,Clark County,36.238,-115.316
05296,Mason,Lyon County,38.950,-119.190
05465,Mercury,Nye County,36.660,-115.993
05501,Midas,Elko County,41.244,-116.797
05542,Mill City,Pershing County,40.684,-118.071
05673,Montello,Elko County,41.261,-114.194
05812,Mount Wilson,Lincoln County,38.235,-114.450
06138,North Fork,Elko County,41.483,-115.817
06465,Palisade,Eureka County,40.610,-116.199
06494,Paradise Hill,Humboldt County,41.279,-117.691
06806,Pleasant Valley,Washoe County,39.352,-119.776
06963,Primm,Clark County,35.612,-115.388
07029,Rachel,Lincoln County,37.645,-115.744
07287,Riverside,Clark County,36.736,-114.221
07427,Round Mountain,Nye County,38.710,-117.066
07769,Shantytown,Elko County,40.162,-115.503
07809,Sheridan,Douglas County,38.898,-119.823
07811,Sherman,Elko County,40.953,-115.738
07836,Shoshone,White Pine County,38.854,-114.392
07876,Simpson,Lyon County,38.869,-119.399
07916,Smith,Lyon County,38.800,-119.328
07987,South Fork,Elko County,40.640,-115.726
08195,Stewarts Point,Clark County,36.381,-114.408
08324,Sunnyside,Nye County,38.423,-115.021
08580,Tule,Humboldt County,41.024,-117.650
08695,Tuscarora,Elko County,41.314,-116.220
08753,Unionville,Pershing County,40.445,-118.121
09000,Warm Springs,Nye County,38.191,-116.370
09080,Welcome,Elko County,41.100,-115.104
09087,Wellington,Lyon County,38.756,-119.376
09285,Wild Horse,Elko County,41.637,-115.804
09340,Winchester,Clark County,36.137,-115.119
