phoneme,name,county,latitude,longitude
0621,Brooklyn,Kings County,40.625,-73.952
3018,Manhattan,New York County,40.728,-73.994
2233,Hempstead,Nassau County,40.634,-73.609
0619,Brookhaven,Suffolk County,40.857,-72.960
0667,Buffalo,Erie County,42.886,-78.878
4258,Rochester,Monroe County,43.155,-77.616
2393,Huntington,Suffolk County,40.884,-73.377
4881,Syracuse,Onondaga County,43.048,-76.147
0115,Amherst,Erie County,43.012,-78.757
0044,Albany,Albany County,42.653,-73.756
2030,Greece,Monroe County,43.250,-77.701
3393,Mount Vernon,Westchester County,40.913,-73.837
4653,Southampton,Suffolk County,40.882,-72.462
0578,Brentwood,Suffolk County,40.781,-73.246
5087,Utica,Oneida County,43.101,-75.233
0989,Clay,Onondaga County,43.179,-76.192
5365,White Plains,Westchester County,41.034,-73.763
5067,Union,Broome County,42.126,-76.032
2804,Levittown,Nassau County,40.726,-73.514
5021,Troy,Rensselaer County,42.728,-73.692
4366,Rye,Westchester County,41.006,-73.688
3540,Niagara Falls,Niagara County,43.094,-79.057
2239,Henrietta,Monroe County,43.054,-77.640
4025,Poughkeepsie,Dutchess County,41.667,-73.911
3389,Mount Pleasant,Westchester County,41.112,-73.816
1818,Freeport,Nassau County,40.658,-73.583
1111,Coram,Suffolk County,40.869,-73.001
3844,Penfield,Monroe County,43.151,-77.444
0597,Brighton,Monroe County,43.148,-77.551
1561,Elmont,Nassau County,40.701,-73.713
5535,Yorktown,Westchester County,41.270,-73.818
0413,Bethlehem,Albany County,42.585,-73.827
2891,Long Beach,Nassau County,40.588,-73.658
3479,New City,Rockland County,41.148,-73.989
0250,Baldwin,Nassau County,40.656,-73.609
0859,Salina,Onondaga County,43.105,-76.171
4681,Spring Valley,Rockland County,41.113,-74.044
0971,Clarence,Erie County,43.025,-78.646
5074,Uniondale,Nassau County,40.700,-73.593
3523,Newburgh,Orange County,41.557,-74.057
4190,Rome,Oneida County,43.213,-75.456
2461,Ithaca,Tompkins County,42.441,-76.497
0300,Bay Shore,Suffolk County,40.725,-73.245
0961,Cicero,Onondaga County,43.172,-76.056
3637,Oceanside,Nassau County,40.639,-73.640
5204,Wallkill,Orange County,41.489,-74.400
4326,Rotterdam,Schenectady County,42.812,-74.012
3218,Middletown,Orange County,41.446,-74.423
3938,Pittsford,Monroe County,43.075,-77.528
1949,Glenville,Schenectady County,42.888,-73.989
0941,Chili,Monroe County,43.086,-77.745
2163,Harrison,Westchester County,40.969,-73.713
1451,East Hampton,Suffolk County,41.092,-72.106
2476,Jamestown,Chautauqua County,42.097,-79.235
4463,Saratoga Springs,Saratoga County,43.083,-73.785
4564,Shirley,Suffolk County,40.801,-72.868
2839,Lindenhurst,Suffolk County,40.687,-73.373
2314,Holbrook,Suffolk County,40.812,-73.078
1290,Deer Park,Suffolk County,40.762,-73.329
3947,Plainview,Nassau County,40.776,-73.467
0214,Auburn,Cayuga County,42.932,-76.566
4609,Smithtown,Suffolk County,40.856,-73.201
1275,De Witt,Onondaga County,43.054,-76.072
3163,Medford,Suffolk County,40.818,-73.000
1863,Garden City,Nassau County,40.727,-73.634
3682,Onondaga,Onondaga County,42.981,-76.223
3491,New Hartford,Oneida County,43.058,-75.282
3263,Mineola,Nassau County,40.749,-73.641
1995,Grand Island,Erie County,43.018,-78.963
4630,Somers,Westchester County,41.304,-73.723
4513,Selden,Suffolk County,40.866,-73.036
2871,Lockport,Niagara County,43.171,-78.690
3644,Ogden,Monroe County,43.170,-77.814
3954,Plattsburgh,Clinton County,44.699,-73.453
0480,Blooming Grove,Orange County,41.394,-74.183
5346,Wheatfield,Niagara County,43.095,-78.884
3170,Melville,Suffolk County,40.793,-73.415
4302,Roosevelt,Nassau County,40.679,-73.589
3478,New Castle,Westchester County,41.183,-73.773
5376,Whitestown,Oneida County,43.136,-75.336
5431,Wilton,Saratoga County,43.153,-73.727
3009,Malta,Saratoga County,42.982,-73.789
5489,Woodmere,Nassau County,40.632,-73.713
1131,Cortland,Cortland County,42.601,-76.180
1888,Geddes,Onondaga County,43.077,-76.225
4942,Thompson,Sullivan County,41.647,-74.677
4007,Port Washington,Nassau County,40.826,-73.698
0363,Bellmore,Nassau County,40.669,-73.527
3830,Pearl River,Rockland County,41.059,-74.022
2676,LaGrange,Dutchess County,41.685,-73.796
3802,Parma,Monroe County,43.269,-77.800
2602,Kings Park,Suffolk County,40.886,-73.257
3478,New Cassel,Nassau County,40.759,-73.570
4500,Seaford,Nassau County,40.666,-73.488
2506,Johnson City,Broome County,42.116,-75.959
1630,Evans,Erie County,42.655,-79.005
2563,Kenmore,Erie County,42.966,-78.870
1319,Depew,Erie County,42.904,-78.692
4824,Sullivan,Madison County,43.091,-75.884
4787,Stony Point,Rockland County,41.252,-74.004
1682,Farmington,Ontario County,42.989,-77.309
2490,Jericho,Nassau County,40.792,-73.540
5108,Van Buren,Onondaga County,43.120,-76.355
2748,Latham,Albany County,42.747,-73.759
4709,St. James,Suffolk County,40.879,-73.157
0222,Aurora,Erie County,42.739,-78.639
0314,Beacon,Dutchess County,41.505,-73.970
0159,Arcadia,Wayne County,43.098,-77.083
1588,Endicott,Broome County,42.098,-76.049
4284,Rocky Point,Suffolk County,40.953,-72.925
4866,Sweden,Monroe County,43.177,-77.926
3989,Pomfret,Chautauqua County,42.409,-79.331
4210,Ridge,Suffolk County,40.894,-72.896
2569,Kent,Putnam County,41.458,-73.725
1126,Cornwall,Orange County,41.414,-74.061
2604,Kingsbury,Washington County,43.335,-73.551
4394,Salisbury,Nassau County,40.746,-73.560
0646,Brunswick,Rensselaer County,42.746,-73.585
1412,Dunkirk,Chautauqua County,42.480,-79.334
1891,Geneva,Ontario County,42.863,-76.983
3092,Massena,St. Lawrence County,44.962,-74.835
5476,Woodbury,Orange County,41.328,-74.102
0253,Ballston,Saratoga County,42.951,-73.887
2280,Highlands,Orange County,41.370,-74.006
3030,Manorville,Suffolk County,40.874,-72.808
1571,Elwood,Suffolk County,40.845,-73.335
4903,Tarrytown,Westchester County,41.076,-73.859
1556,Elma,Erie County,42.828,-78.648
3812,Patterson,Putnam County,41.484,-73.588
1843,Fulton,Oswego County,43.323,-76.417
2867,Lloyd,Ulster County,41.714,-73.995
0755,Canandaigua,Ontario County,42.862,-77.314
4925,Terryville,Suffolk County,40.909,-73.065
4601,Sleepy Hollow,Westchester County,41.086,-73.858
0916,Chenango,Broome County,42.216,-75.902
2435,Inwood,Nassau County,40.622,-73.747
3679,Oneida,Madison County,43.093,-75.651
1657,Fairmount,Onondaga County,43.047,-76.239
3692,Orange Lake,Orange County,41.540,-74.098
2922,Loudonville,Albany County,42.705,-73.755
0035,Airmont,Rockland County,41.101,-74.116
2616,Kirkland,Oneida County,43.037,-75.385
3645,Ogdensburg,St. Lawrence County,44.694,-75.486
2725,Lancaster,Erie County,42.901,-78.670
3877,Philipstown,Putnam County,41.412,-73.921
1813,Fredonia,Chautauqua County,42.440,-79.332
2120,Hamburg,Erie County,42.716,-78.829
0051,Alden,Erie County,42.907,-78.521
3961,Pleasant Valley,Dutchess County,41.771,-73.805
2244,Herkimer,Herkimer County,43.061,-75.000
3299,Monroe,Orange County,41.331,-74.187
4658,Southport,Chemung County,42.050,-76.877
0509,Bohemia,Suffolk County,40.769,-73.115
2060,Greenville,Westchester County,40.993,-73.820
3015,Manchester,Ontario County,42.987,-77.194
2185,Hastings,Oswego County,43.320,-76.157
4689,Springs,Suffolk County,41.016,-72.159
4174,Rensselaer,Rensselaer County,42.643,-73.743
3529,Newfane,Niagara County,43.290,-78.693
5214,Walworth,Wayne County,43.155,-77.313
1161,Crawford,Orange County,41.571,-74.316
5476,Woodbury,Nassau County,40.826,-73.468
4774,Stillwater,Saratoga County,42.969,-73.687
3179,Mendon,Monroe County,42.982,-77.556
3522,Newark,Wayne County,43.047,-77.095
0305,Bayport,Suffolk County,40.738,-73.051
3063,Marlborough,Ulster County,41.636,-73.987
2792,Lenox,Madison County,43.112,-75.757
1547,Ellicott,Chautauqua County,42.133,-79.236
3519,New Windsor,Orange County,41.477,-74.024
2126,Hamlin,Monroe County,43.322,-77.920
2287,Hillcrest,Rockland County,41.128,-74.041
0283,Barton,Tioga County,42.083,-76.493
1681,Farmingdale,Nassau County,40.733,-73.445
4429,Sand Lake,Rensselaer County,42.630,-73.543
2596,Kinderhook,Columbia County,42.411,-73.683
1375,Dover,Dutchess County,41.679,-73.569
