phoneme,name,county,latitude,longitude
01849,Columbus,Delaware County / Fairfield County / Franklin County,39.986,-82.986
01732,Cleveland,Cuyahoga County,41.499,-81.695
01666,Cincinnati,Hamilton County,39.103,-84.515
08571,Toledo,Lucas County,41.664,-83.555
00073,Akron,Summit County,41.081,-81.519
02226,Dayton,Greene County / Montgomery County,39.785,-84.200
06517,Parma,Cuyahoga County,41.405,-81.723
01353,Canton,Stark County,40.799,-81.378
04998,Lorain,Lorain County,41.453,-82.182
09117,West Chester,Butler County,39.338,-84.417
03659,Hamilton,Butler County,39.400,-84.561
09014,Washington,Montgomery County,39.626,-84.161
09503,Youngstown,Mahoning County / Trumbull County,41.099,-80.646
03506,Green,Hamilton County,39.165,-84.642
01813,Colerain,Hamilton County,39.255,-84.624
08067,Springfield,Clark County,39.924,-83.809
04427,Kettering,Greene County / Montgomery County,39.696,-84.150
00590,Beavercreek,Greene County,39.728,-84.034
06773,Plain,Stark County,40.871,-81.367
02736,Elyria,Lorain County,41.368,-82.108
05495,Miami,Montgomery County,39.627,-84.264
05519,Middletown,Butler County / Warren County,39.503,-84.365
08382,Sylvania,Lucas County,41.694,-83.721
06047,Newark,Licking County,40.058,-82.401
04644,Lakewood,Cuyahoga County,41.482,-81.798
08737,Union,Clermont County,39.108,-84.266
02460,Dublin,Delaware County / Franklin County / Union County,40.113,-83.146
02822,Euclid,Cuyahoga County,41.593,-81.527
05194,Mansfield,Richland County,40.758,-82.515
05461,Mentor,Lake County,41.666,-81.340
04232,Jackson,Franklin County,39.855,-83.071
08900,Violet,Fairfield County,39.876,-82.744
02870,Fairfield,Butler County / Hamilton County,39.331,-84.543
05495,Miami,Clermont County,39.199,-84.244
04831,Liberty,Butler County,39.399,-84.411
05248,Marion,Marion County,40.602,-83.131
00206,Anderson,Hamilton County,39.088,-84.354
09014,Washington,Delaware County,40.149,-83.145
04232,Jackson,Stark County,40.863,-81.480
02271,Delaware,Delaware County,40.299,-83.068
03580,Grove City,Franklin County,39.881,-83.093
02255,Deerfield,Warren County,39.326,-84.301
07196,Reynoldsburg,Fairfield County / Franklin County / Licking County,39.961,-82.789
04660,Lancaster,Fairfield County,39.714,-82.599
02975,Findlay,Hancock County,41.044,-83.650
00903,Boardman,Mahoning County,41.022,-80.665
00523,Bath,Greene County,39.811,-84.017
09167,Westerville,Delaware County / Franklin County,40.123,-82.913
05529,Mifflin,Franklin County,40.026,-82.872
06188,Norwich,Franklin County,40.036,-83.151
03926,Hilliard,Franklin County,40.033,-83.158
01712,Clear Creek,Warren County,39.529,-84.204
04851,Lima,Allen County,40.743,-84.105
08067,Springfield,Hamilton County,39.244,-84.525
01149,Brunswick,Medina County,41.238,-81.842
05296,Mason,Warren County,39.360,-84.310
08239,Stow,Summit County,41.160,-81.440
09174,Westlake,Cuyahoga County,41.455,-81.918
04831,Liberty,Delaware County,40.189,-83.082
05304,Massillon,Stark County,40.797,-81.522
03133,Franklin,Warren County,39.542,-84.304
01869,Concord,Miami County,40.044,-84.244
03659,Hamilton,Warren County,39.317,-84.197
00970,Bowling Green,Wood County,41.375,-83.651
00342,Athens,Athens County,39.329,-82.124
08660,Truro,Franklin County,39.958,-82.807
04594,Lake,Stark County,40.945,-81.355
02274,Delhi,Hamilton County,39.102,-84.634
06628,Perry,Stark County,40.771,-81.468
06499,Paris,Union County,40.248,-83.380
07678,Scioto,Ross County,39.316,-82.996
04407,Kent,Portage County,41.154,-81.358
00519,Batavia,Clermont County,39.063,-84.168
03506,Green,Summit County,40.946,-81.483
08067,Springfield,Lucas County,41.619,-83.734
08652,Troy,Miami County,40.039,-84.203
05292,Marysville,Union County,40.236,-83.367
05132,Madison,Franklin County,39.836,-82.865
03273,Genoa,Delaware County,40.173,-82.898
00386,Avon,Lorain County,41.452,-82.035
06630,Perrysburg,Wood County,41.557,-83.627
06437,Oxford,Butler County,39.523,-84.761
00465,Barberton,Summit County,41.013,-81.605
07603,Sandusky,Erie County,41.449,-82.708
01519,Centerville,Greene County / Montgomery County,39.634,-84.146
09513,Zanesville,Muskingum County,39.940,-82.013
09059,Weathersfield,Trumbull County,41.169,-80.764
07287,Riverside,Montgomery County,39.780,-84.124
07963,Solon,Cuyahoga County,41.390,-81.441
09314,Willoughby,Lake County,41.640,-81.406
05211,Maple Heights,Cuyahoga County,41.415,-81.566
04074,Hudson,Summit County,41.240,-81.441
02870,Fairfield,Butler County,39.390,-84.524
01631,Chillicothe,Ross County,39.333,-82.982
00136,Alliance,Mahoning County / Stark County,40.911,-81.120
03724,Harrison,Montgomery County,39.823,-84.231
