phoneme,name,county,latitude,longitude
3562,Norman,Cleveland County,35.223,-97.439
1492,Edmond,Oklahoma County,35.653,-97.478
2766,Lawton,Comanche County,34.609,-98.390
3327,Moore,Cleveland County,35.340,-97.487
4774,Stillwater,Payne County,36.116,-97.058
4540,Shawnee,Pottawatomie County,35.327,-96.925
0447,Bixby,Tulsa County,35.946,-95.878
0164,Ardmore,Carter County,34.174,-97.144
5539,Yukon,Canadian County,35.507,-97.763
1408,Duncan,Stephens County,34.502,-97.958
1294,Del City,Oklahoma County,35.442,-97.441
3424,Mustang,Canadian County,35.384,-97.724
0411,Bethany,Oklahoma County,35.519,-97.632
4432,Sand Springs,Osage County,36.136,-96.132
1422,Durant,Bryan County,33.994,-96.371
0102,Altus,Jackson County,34.638,-99.334
0012,Ada,Pontotoc County,34.775,-96.678
3205,Miami,Ottawa County,36.875,-94.877
0951,Choctaw,Oklahoma County,35.498,-97.269
3526,Newcastle,McClain County,35.247,-97.600
5498,Woodward,Woodward County,36.434,-99.390
5261,Weatherford,Custer County,35.526,-98.708
1532,Elk City,Beckham County,35.412,-99.404
2094,Guthrie,Logan County,35.879,-97.425
0470,Blanchard,Grady County,35.152,-97.665
1012,Clinton,Custer County,35.507,-98.971
1067,Collinsville,Rogers County,36.374,-95.860
1224,Cushing,Payne County,35.985,-96.767
3887,Piedmont,Canadian County,35.675,-97.754
5181,Wagoner,Wagoner County,35.960,-95.369
4992,Tuttle,Grady County,35.291,-97.812
2628,Noble,Cleveland County,35.139,-97.395
4517,Seminole,Seminole County,35.225,-96.671
2075,Grove,Delaware County,36.594,-94.769
4071,Purcell,Cleveland County,35.024,-97.374
2158,Harrah,Oklahoma County,35.490,-97.164
4913,Tecumseh,Pottawatomie County,35.258,-96.937
0462,Blackwell,Kay County,36.804,-97.283
0121,Anadarko,Caddo County,35.073,-98.244
2383,Hugo,Choctaw County,34.011,-95.510
0104,Alva,Woods County,36.805,-98.666
4825,Sulphur,Murray County,34.508,-96.968
3856,Perry,Noble County,36.289,-97.288
3065,Marlow,Stephens County,34.631,-97.957
4477,Sayre,Beckham County,35.291,-99.640
0604,Bristow,Creek County,35.831,-96.391
3119,McLoud,Pottawatomie County,35.436,-97.091
4666,Spencer,Oklahoma County,35.523,-97.377
1524,Elgin,Comanche County,34.780,-98.292
4775,Stilwell,Adair County,35.815,-94.629
1810,Frederick,Tillman County,34.392,-99.018
4291,Roland,Sequoyah County,35.421,-94.515
1328,Dewey,Washington County,36.796,-95.936
2307,Hobart,Kiowa County,35.029,-99.093
3855,Perkins,Payne County,35.974,-97.034
1007,Cleveland,Pawnee County,36.310,-96.464
0208,Atoka,Atoka County,34.386,-96.128
2303,Hinton,Caddo County,35.471,-98.356
2898,Longtown,Pittsburg County,35.245,-95.513
0711,Cache,Comanche County,34.630,-98.629
4970,Tishomingo,Johnston County,34.236,-96.679
0721,Calera,Bryan County,33.935,-96.429
2516,Jones,Oklahoma County,35.566,-97.287
0890,Chandler,Lincoln County,35.702,-96.881
2840,Lindsay,Garvin County,34.835,-97.603
5037,Turley,Tulsa County,36.242,-95.976
