phoneme,name,county,latitude,longitude
0898,Charleston,Berkeley County,32.828,-79.973
1070,Columbia,Lexington County,34.041,-80.906
3389,Mount Pleasant,Charleston County,32.794,-79.863
4262,Rock Hill,York County,34.925,-81.025
2060,Greenville,Greenville County,34.853,-82.394
4632,Summerville,Berkeley County,33.006,-80.179
1976,Goose Creek,Berkeley County,32.981,-80.033
1736,Florence,Florence County,34.195,-79.763
2063,Greer,Greenville County,34.930,-82.238
4664,Spartanburg,Spartanburg County,34.950,-81.932
0500,Bluffton,Beaufort County,32.237,-80.860
0033,Aiken,Aiken County,33.560,-81.720
0681,Burgess,Horry County,33.607,-79.056
0124,Anderson,Anderson County,34.503,-82.650
4591,Simpsonville,Greenville County,34.737,-82.254
2810,Lexington,Lexington County,33.982,-81.236
1099,Conway,Horry County,33.836,-79.048
2062,Greenwood,Greenwood County,34.195,-82.162
1721,Five Forks,Greenville County,34.805,-82.230
5294,West Columbia,Lexington County,33.993,-81.074
4144,Red Hill,Horry County,33.778,-79.015
0393,Berea,Greenville County,34.885,-82.456
4523,Seven Oaks,Lexington County,34.049,-81.146
1861,Gantt,Greenville County,34.800,-82.424
0838,Cayce,Lexington County,33.950,-81.040
4006,Port Royal,Beaufort County,32.379,-80.693
3792,Parker,Greenville County,34.851,-82.453
0324,Beaufort,Beaufort County,32.432,-80.670
3693,Orangeburg,Orangeburg County,33.492,-80.856
3612,Oak Grove,Lexington County,33.972,-81.144
1863,Garden City,Horry County,33.593,-79.009
0510,Boiling Springs,Spartanburg County,35.047,-81.982
3525,Newberry,Newberry County,34.275,-81.619
4140,Red Bank,Lexington County,33.932,-81.238
2854,Little River,Horry County,33.873,-78.614
2759,Laurens,Laurens County,34.499,-82.014
4518,Seneca,Oconee County,34.686,-82.953
5532,York,York County,34.994,-81.242
2725,Lancaster,Lancaster County,34.720,-80.771
4448,Sans Souci,Greenville County,34.878,-82.424
1897,Georgetown,Georgetown County,33.377,-79.294
5067,Union,Union County,34.715,-81.624
0738,Camden,Kershaw County,34.247,-80.607
0697,Burton,Beaufort County,32.436,-80.724
1012,Clinton,Laurens County,34.473,-81.881
2177,Hartsville,Darlington County,34.374,-80.073
5099,Valley Falls,Spartanburg County,35.016,-81.975
5273,Welcome,Greenville County,34.827,-82.439
0870,Centerville,Anderson County,34.532,-82.704
0385,Bennettsville,Marlboro County,34.617,-79.685
1016,Clover,York County,35.111,-81.226
2966,Lyman,Spartanburg County,34.948,-82.127
3058,Marion,Marion County,34.178,-79.401
1343,Dillon,Dillon County,34.417,-79.371
1258,Darlington,Darlington County,34.300,-79.876
2685,Lake City,Florence County,33.871,-79.755
3887,Piedmont,Anderson County,34.706,-82.467
2330,Hollywood,Charleston County,32.734,-80.242
0375,Belvedere,Aiken County,33.531,-81.945
0871,Central,Pickens County,34.724,-82.781
0932,Chester,Chester County,34.705,-81.214
0920,Cheraw,Chesterfield County,34.698,-79.883
0001,Abbeville,Abbeville County,34.178,-82.379
1448,East Camden,Kershaw County,34.256,-80.575
3534,Newport,York County,34.990,-81.101
0374,Belton,Anderson County,34.523,-82.494
5491,Woodruff,Spartanburg County,34.740,-82.037
4853,Surfside Beach,Horry County,33.606,-78.973
0617,Brookdale,Orangeburg County,33.507,-80.823
1408,Duncan,Spartanburg County,34.938,-82.145
5409,Williamston,Anderson County,34.618,-82.478
