phoneme,name,county,latitude,longitude
3438,Nashville,Davidson County,36.169,-86.785
3174,Memphis,Shelby County,35.150,-90.049
2631,Knoxville,Knox County,35.961,-83.921
0909,Chattanooga,Hamilton County,35.046,-85.310
0983,Clarksville,Montgomery County,36.530,-87.359
3417,Murfreesboro,Rutherford County,35.846,-86.390
1804,Franklin,Williamson County,35.925,-86.869
2504,Johnson City,Carter County,36.342,-82.381
1115,Cordova,Shelby County,35.156,-89.776
2464,Jackson,Madison County,35.615,-88.814
2234,Hendersonville,Sumner County,36.305,-86.620
0281,Bartlett,Shelby County,35.205,-89.874
4604,Smyrna,Rutherford County,35.969,-86.529
4669,Spring Hill,Maury County,35.747,-86.917
1064,Collierville,Shelby County,35.042,-89.665
1007,Cleveland,Bradley County,35.160,-84.877
1854,Gallatin,Sumner County,36.388,-86.447
0578,Brentwood,Williamson County,36.033,-86.783
1070,Columbia,Maury County,35.615,-87.035
1902,Germantown,Shelby County,35.087,-89.810
2772,Lebanon,Wilson County,36.208,-86.291
0646,Brunswick,Shelby County,35.267,-89.769
3085,Maryville,Blount County,35.756,-83.970
3618,Oak Ridge,Anderson County,35.966,-84.291
3355,Morristown,Hamblen County,36.204,-83.300
0603,Bristol,Sullivan County,36.595,-82.189
1686,Farragut,Knox County,35.876,-84.180
4539,Shelbyville,Bedford County,35.483,-86.460
4678,Springfield,Robertson County,36.509,-86.885
1341,Dickson,Dickson County,36.077,-87.388
4522,Seymour,Blount County,35.883,-83.762
0170,Arlington,Shelby County,35.296,-89.661
0197,Athens,McMinn County,35.443,-84.593
3145,McMinnville,Warren County,35.683,-85.770
2703,Lakeland,Shelby County,35.231,-89.740
4026,Powell,Knox County,36.032,-84.028
5359,White House,Robertson County,36.465,-86.666
4010,Portland,Robertson County,36.597,-86.527
3013,Manchester,Coffee County,35.482,-86.089
2804,Lewisburg,Marshall County,35.449,-86.789
1194,Crossville,Cumberland County,35.949,-85.027
2177,Hartsville,Trousdale County,36.393,-86.157
4138,Red Bank,Hamilton County,35.112,-85.294
2761,Lawrenceburg,Lawrence County,35.242,-87.335
3208,Middle Valley,Hamilton County,35.196,-85.185
5067,Union City,Obion County,36.424,-89.057
3076,Martin,Weakley County,36.343,-88.850
3245,Millington,Shelby County,35.341,-89.897
3785,Paris,Henry County,36.302,-88.327
0207,Atoka,Tipton County,35.441,-89.778
1012,Clinton,Anderson County,36.103,-84.132
1661,Fairview,Williamson County,35.982,-87.121
0637,Brownsville,Haywood County,35.594,-89.262
5431,Winchester,Franklin County,35.186,-86.112
3626,Oakland,Fayette County,35.229,-89.515
0483,Bloomingdale,Sullivan County,36.585,-82.489
1151,Covington,Tipton County,35.564,-89.646
2163,Harrison,Hamilton County,35.114,-85.138
2483,Jefferson City,Jefferson County,36.122,-83.492
4065,Pulaski,Giles County,35.200,-87.031
3222,Milan,Gibson County,35.920,-88.759
2808,Lexington,Henderson County,35.651,-88.393
2383,Humboldt,Gibson County,35.827,-88.904
4229,Ripley,Lauderdale County,35.745,-89.530
2647,La Follette,Campbell County,36.383,-84.120
4464,Savannah,Hardin County,35.225,-88.249
1271,Dayton,Rhea County,35.494,-85.012
0958,Church Hill,Hawkins County,36.522,-82.713
2036,Green Hill,Wilson County,36.223,-86.549
1695,Fayetteville,Lincoln County,35.152,-86.571
2047,Greenbrier,Robertson County,36.428,-86.805
3533,Newport,Cocke County,35.967,-83.188
2965,Lynchburg,Moore County,35.289,-86.359
3412,Munford,Tipton County,35.449,-89.815
4867,Sweetwater,McMinn County,35.603,-84.471
2233,Henderson,Chester County,35.439,-88.641
3240,Millersville,Robertson County,36.397,-86.711
2919,Loudon,Loudon County,35.733,-84.334
2605,Kingston,Roane County,35.881,-84.509
1610,Erwin,Unicoi County,36.145,-82.417
2159,Harriman,Morgan County,35.930,-84.563
2671,Lafayette,Macon County,36.521,-86.026
4277,Rockwood,Roane County,35.866,-84.685
3376,Mount Carmel,Hawkins County,36.545,-82.661
2980,McKenzie,Carroll County,36.137,-88.507
1415,Dunlap,Sequatchie County,35.371,-85.391
3163,Medina,Gibson County,35.803,-88.775
0515,Bolivar,Hardeman County,35.256,-88.988
4602,Smithville,DeKalb County,35.961,-85.814
2991,Madisonville,Monroe County,35.520,-84.364
3960,Pleasant View,Cheatham County,36.394,-87.037
4655,Sparta,White County,35.926,-85.464
3386,Mount Pleasant,Maury County,35.534,-87.207
