phoneme,name,county,latitude,longitude
06982,Provo,Utah County,40.234,-111.659
08101,St. George,Washington County,37.104,-113.584
07605,Sandy,Salt Lake County,40.592,-111.884
06265,Ogden,Weber County,41.223,-111.974
04738,Layton,Davis County,41.060,-111.971
04776,Lehi,Utah County,40.392,-111.851
05553,Millcreek,Salt Lake County,40.687,-111.875
08433,Taylorsville,Salt Lake County,40.668,-111.939
03719,Herriman,Salt Lake County,40.514,-112.033
04948,Logan,Cache County,41.735,-111.834
02437,Draper,Salt Lake County / Utah County,40.495,-111.861
05856,Murray,Salt Lake County,40.667,-111.888
00958,Bountiful,Davis County,40.889,-111.881
07288,Riverton,Salt Lake County,40.522,-111.939
07636,Saratoga Springs,Utah County,40.349,-111.905
07441,Roy,Weber County,41.162,-112.026
06794,Pleasant Grove,Utah County,40.364,-111.739
01478,Cedar City,Iron County,37.677,-113.062
08073,Springville,Utah County,40.165,-111.611
05527,Midvale,Salt Lake County,40.611,-111.900
08385,Syracuse,Davis County,41.089,-112.065
01718,Clearfield,Davis County,41.111,-112.026
03973,Holladay,Salt Lake County,40.669,-111.825
09014,Washington,Washington County,37.131,-113.508
02921,Farmington,Davis County,40.980,-111.887
01741,Clinton,Davis County,41.140,-112.050
06558,Payson,Utah County,40.044,-111.732
04101,Hurricane,Washington County,37.175,-113.290
09129,West Haven,Weber County,41.203,-112.051
03899,Highland,Utah County,40.450,-111.770
00900,Bluffdale,Salt Lake County / Utah County,40.475,-111.940
03813,Heber,Wasatch County,40.507,-111.413
01519,Centerville,Davis County,40.918,-111.872
07924,Smithfield,Cache County,41.838,-111.833
08894,Vineyard,Utah County,40.297,-111.747
03479,Grantsville,Tooele County,40.600,-112.464
05220,Mapleton,Utah County,40.130,-111.579
04872,Lindon,Utah County,40.343,-111.721
09150,West Point,Davis County,41.118,-112.084
06808,Pleasant View,Weber County,41.318,-111.992
00154,Alpine,Utah County,40.453,-111.778
08854,Vernal,Uintah County,40.456,-109.529
03953,Hyrum,Cache County,41.634,-111.852
01485,Cedar Hills,Utah County,40.414,-111.759
07536,Salem,Utah County,40.053,-111.674
07284,Riverdale,Weber County,41.177,-112.004
04016,Hooper,Weber County,41.164,-112.122
06981,Providence,Cache County,41.706,-111.817
06500,Park City,Summit County / Wasatch County,40.652,-111.502
06958,Price,Carbon County,39.599,-110.811
07219,Richfield,Sevier County,38.772,-112.084
06774,Plain City,Weber County,41.298,-112.086
02771,Enoch,Iron County,37.773,-113.024
07622,Santa Clara,Washington County,37.133,-113.654
03730,Harrisville,Weber County,41.281,-111.988
