phoneme,name,county,latitude,longitude
3258,Milwaukee,Milwaukee County,43.063,-87.967
4093,Racine,Racine County,42.726,-87.783
0149,Appleton,Calumet County,44.279,-88.388
1472,Eau Claire,Chippewa County,44.820,-91.495
3715,Oshkosh,Winnebago County,44.025,-88.543
2475,Janesville,Rock County,42.683,-89.019
2645,La Crosse,La Crosse County,43.801,-91.240
3469,New Berlin,Waukesha County,42.976,-88.108
5247,Wausau,Marathon County,44.959,-89.630
2051,Greenfield,Milwaukee County,42.961,-88.013
1804,Franklin,Milwaukee County,42.889,-88.038
3609,Oak Creek,Milwaukee County,42.886,-87.863
4835,Sun Prairie,Dane County,43.184,-89.214
1721,Fitchburg,Dane County,42.961,-89.470
3386,Mount Pleasant,Racine County,42.697,-87.856
0720,Caledonia,Racine County,42.808,-87.924
5240,Watertown,Dodge County,43.189,-88.729
2367,Howard,Brown County,44.569,-88.072
3073,Marshfield,Marathon County,44.663,-90.172
1211,Cudahy,Milwaukee County,42.960,-87.861
4234,River Falls,Pierce County,44.861,-92.624
0359,Bellevue,Brown County,44.444,-87.920
2170,Hartford,Dodge County,43.322,-88.378
5368,Whitefish Bay,Milwaukee County,43.113,-87.900
2050,Greendale,Milwaukee County,42.941,-87.996
5377,Whitewater,Jefferson County,42.837,-88.734
0083,Allouez,Brown County,44.477,-88.016
4560,Shorewood,Milwaukee County,43.089,-87.888
2163,Harrison,Calumet County,44.192,-88.294
1943,Glendale,Milwaukee County,43.135,-87.936
4790,Stoughton,Dane County,42.917,-89.218
1769,Fort Atkinson,Jefferson County,42.929,-88.837
2060,Greenville,Outagamie County,44.300,-88.536
4197,Richfield,Washington County,43.256,-88.194
4854,Sussex,Waukesha County,43.134,-88.222
0688,Burlington,Racine County,42.675,-88.272
2848,Lisbon,Waukesha County,43.158,-88.250
2305,Hobart,Brown County,44.499,-88.150
3507,New Richmond,St. Croix County,45.123,-92.537
1540,Elkhorn,Walworth County,42.673,-88.545
4006,Portage,Columbia County,43.539,-89.463
4655,Sparta,Monroe County,43.944,-90.813
2172,Hartland,Waukesha County,43.105,-88.342
4697,St. Francis,Milwaukee County,42.968,-87.878
3193,Merrill,Lincoln County,45.181,-89.683
3132,McFarland,Dane County,43.013,-89.290
4191,Rice Lake,Barron County,45.506,-91.738
5433,Windsor,Dane County,43.218,-89.342
3969,Plymouth,Sheboygan County,43.749,-87.977
0099,Altoona,Eau Claire County,44.805,-91.443
3295,Monona,Dane County,43.062,-89.334
2377,Hudson,St. Croix County,44.983,-92.674
3407,Mukwonago,Walworth County,42.853,-88.321
4622,Somers,Kenosha County,42.640,-87.910
0187,Ashland,Ashland County,46.582,-90.872
3599,Norway,Racine County,42.797,-88.123
0372,Beloit,Rock County,42.553,-89.073
4230,Ripon,Fond du Lac County,43.842,-88.836
3407,Mukwonago,Waukesha County,42.890,-88.373
2482,Jefferson,Jefferson County,43.006,-88.807
5230,Washington,Eau Claire County,44.742,-91.401
2001,Grand Rapids,Wood County,44.379,-89.754
5130,Vernon,Waukesha County,42.904,-88.252
2592,Kimberly,Outagamie County,44.272,-88.339
1136,Cottage Grove,Dane County,43.076,-89.200
3498,New London,Outagamie County,44.396,-88.739
2464,Jackson,Washington County,43.324,-88.167
1890,Genesee,Waukesha County,42.953,-88.359
0065,Algoma,Winnebago County,44.023,-88.624
0654,Buchanan,Outagamie County,44.269,-88.237
3214,Middleton,Dane County,43.078,-89.570
1557,Elm Grove,Waukesha County,43.043,-88.079
5237,Waterford,Racine County,42.794,-88.250
2760,Lawrence,Brown County,44.399,-88.143
0618,Brookfield,Waukesha County,43.038,-88.172
2692,Lake Mills,Jefferson County,43.081,-88.912
5046,Twin Lakes,Kenosha County,42.531,-88.248
2671,Lafayette,Chippewa County,44.908,-91.295
2988,Madison,Dane County,43.041,-89.391
1816,Freedom,Outagamie County,44.386,-88.289
1485,Edgerton,Dane County,42.839,-89.070
3675,Onalaska,La Crosse County,43.935,-91.267
1633,Evansville,Rock County,42.780,-89.299
3257,Milton,Rock County,42.776,-88.944
0397,Berlin,Green Lake County,43.970,-88.950
5019,Troy,St. Croix County,44.905,-92.682
1081,Columbus,Columbia County,43.337,-89.030
1892,Geneva,Walworth County,42.630,-88.482
2382,Hull,Portage County,44.565,-89.559
5312,West Salem,La Crosse County,43.899,-91.081
0603,Bristol,Kenosha County,42.559,-88.049
3112,Mayville,Dodge County,43.494,-88.545
4455,Saratoga,Wood County,44.296,-89.803
4830,Summit,Waukesha County,43.046,-88.477
5069,Union Grove,Racine County,42.688,-88.051
1419,Dunn,Dane County,42.974,-89.313
0480,Bloomfield,Walworth County,42.549,-88.352
4538,Shelby,La Crosse County,43.769,-91.161
3639,Oconto,Oconto County,44.887,-87.865
5006,Trenton,Washington County,43.400,-88.095
1014,Clintonville,Waupaca County,44.621,-88.762
2317,Holland,La Crosse County,44.016,-91.315
5290,West Bend,Washington County,43.391,-88.233
0603,Bristol,Dane County,43.244,-89.175
0307,Bayside,Milwaukee County,43.183,-87.902
1991,Grafton,Ozaukee County,43.352,-87.946
4045,Prescott,Pierce County,44.749,-92.802
4623,Somerset,St. Croix County,45.145,-92.703
0994,Clayton,Winnebago County,44.201,-88.582
1377,Dover,Racine County,42.720,-88.121
3161,Medford,Taylor County,45.139,-90.340
3183,Menominee,Menominee County,44.991,-88.669
