phoneme,name,county,latitude,longitude
01618,Cheyenne,Laramie County,41.140,-104.820
01433,Casper,Natrona County,42.867,-106.313
03316,Gillette,Campbell County,44.291,-105.502
07322,Rock Springs,Sweetwater County,41.587,-109.203
07809,Sheridan,Sheridan County,44.797,-106.956
02833,Evanston,Uinta County,41.268,-110.963
03524,Green River,Sweetwater County,41.529,-109.466
04232,Jackson,Teton County,43.480,-110.762
07288,Riverton,Fremont County,43.025,-108.380
01759,Cody,Park County,44.526,-109.057
07086,Rawlins,Carbon County,41.791,-107.239
04664,Lander,Fremont County,42.833,-108.731
06918,Powell,Park County,44.754,-108.757
02415,Douglas,Converse County,42.760,-105.382
08596,Torrington,Goshen County,42.062,-104.184
09445,Worland,Washakie County,44.017,-107.955
01188,Buffalo,Johnson County,44.348,-106.699
05572,Mills,Natrona County,42.841,-106.366
09198,Wheatland,Platte County,42.054,-104.953
06051,Newcastle,Weston County,43.855,-104.205
02834,Evansville,Natrona County,42.860,-106.268
03365,Glenrock,Converse County,42.861,-105.872
05034,Lovell,Big Horn County,44.837,-108.390
06733,Pinedale,Sublette County,42.867,-109.861
00051,Afton,Lincoln County,42.725,-110.932
05093,Lyman,Uinta County,41.327,-110.293
07997,South Park,Teton County,43.422,-110.793
07635,Saratoga,Carbon County,41.455,-106.806
00254,Arapahoe,Fremont County,42.962,-108.490
09452,Wright,Campbell County,43.747,-105.471
05081,Lusk,Niobrara County,42.762,-104.452
09334,Wilson,Teton County,43.501,-110.875
05825,Mountain View,Uinta County,41.269,-110.340
03583,Grover,Lincoln County,42.792,-110.937
00154,Alpine,Lincoln County,43.164,-111.018
00513,Basin,Big Horn County,44.380,-108.039
07904,Sleepy Hollow,Campbell County,44.241,-105.422
03590,Guernsey,Platte County,42.270,-104.742
08315,Sundance,Crook County,44.406,-104.376
02461,Dubois,Fremont County,43.534,-109.630
08768,Upton,Weston County,44.100,-104.628
08232,Story,Sheridan County,44.575,-106.887
02226,Dayton,Sheridan County,44.875,-107.262
02007,Cowley,Big Horn County,44.883,-108.470
03670,Hanna,Carbon County,41.870,-106.562
06392,Osmond,Lincoln County,42.683,-110.932
05056,Lucerne,Hot Springs County,43.735,-108.176
00360,Auburn,Lincoln County,42.792,-111.003
00788,Byron,Big Horn County,44.796,-108.507
00566,Bear River,Uinta County,41.384,-111.026
01800,Cokeville,Lincoln County,42.082,-110.955
06497,Parkman,Sheridan County,44.957,-107.333
07935,Smoot,Lincoln County,42.620,-110.914
04074,Hudson,Fremont County,42.906,-108.583
07364,Rolling Hills,Converse County,42.903,-105.844
08475,Thayne,Lincoln County,42.921,-111.002
04587,LaGrange,Goshen County,41.640,-104.164
07878,Sinclair,Carbon County,41.775,-107.113
00754,Big Piney,Sublette County,42.538,-110.114
01230,Burns,Laramie County,41.193,-104.359
00158,Alta,Teton County,43.754,-111.037
00601,Bedford,Lincoln County,42.899,-110.933
07054,Ralston,Park County,44.716,-108.865
01505,Centennial,Albany County,41.298,-106.142
01225,Burlington,Big Horn County,44.447,-108.432
06112,Nordic,Lincoln County,43.079,-110.991
09153,West River,Washakie County,44.097,-107.981
03868,Hulett,Crook County,44.683,-104.602
01425,Kaycee,Johnson County,43.710,-106.639
03354,Glendo,Platte County,42.503,-105.026
03242,Garland,Park County,44.780,-108.660
06551,Pavillion,Fremont County,43.245,-108.690
07166,Reliance,Sweetwater County,41.669,-109.197
07320,Rock River,Albany County,41.741,-105.975
04304,Johnstown,Fremont County,43.118,-108.702
02931,Farson,Sweetwater County,42.111,-109.441
04376,Kelly,Teton County,43.623,-110.624
02604,Eden,Sweetwater County,42.051,-109.437
08334,Superior,Sweetwater County,41.760,-108.964
03151,Freedom,Lincoln County,42.985,-111.030
00088,Albin,Laramie County,41.418,-104.098
01394,Carpenter,Laramie County,41.046,-104.367
02613,Edgerton,Natrona County,43.413,-106.249
08687,Turnerville,Lincoln County,42.859,-110.902
09492,Yoder,Goshen County,41.917,-104.296
01719,Clearmont,Sheridan County,44.640,-106.381
07901,Slater,Platte County,41.873,-104.820
00932,Bondurant,Sublette County,43.203,-110.409
09262,Whiting,Platte County,42.012,-104.961
08429,Taylor,Lincoln County,42.069,-110.986
03469,Granger,Sweetwater County,41.594,-109.969
05203,Manville,Niobrara County,42.779,-104.618
02186,Daniel,Sublette County,42.864,-110.071
07794,Shell,Big Horn County,44.536,-107.780
01930,Cora,Sublette County,42.940,-109.980
06358,Orin,Converse County,42.653,-105.192
02337,Dixon,Carbon County,41.033,-107.536
02132,Kirby,Hot Springs County,43.804,-108.181
03746,Hartville,Platte County,42.327,-104.725
05389,McKinnon,Sweetwater County,41.028,-109.936
02882,Fairview,Lincoln County,42.689,-110.982
06334,Opal,Lincoln County,41.769,-110.326
07287,Riverside,Carbon County,41.217,-106.779
09340,Winchester,Washakie County,43.874,-108.142
05168,Mammoth,Park County,44.977,-110.702
06378,Osage,Weston County,43.981,-104.422
06412,Otto,Big Horn County,44.403,-108.274
03932,Hillsdale,Laramie County,41.213,-104.478
00082,Albany,Albany County,41.184,-106.132
02650,El Rancho,Platte County,42.268,-105.044
00955,Boulder,Sublette County,42.748,-109.718
04895,Little America,Sweetwater County,41.544,-109.859
04097,Huntley,Goshen County,41.933,-104.146
06809,Pleasantdale,Campbell County,44.076,-105.719
00309,Arvada,Sheridan County,44.654,-106.131
05020,Lost Springs,Converse County,42.766,-104.925
06833,Point of Rocks,Sweetwater County,41.678,-108.791
00050,Etna,Lincoln County,43.033,-111.011
00172,Alva,Crook County,44.695,-104.441
00285,Arlington,Carbon County,41.595,-106.208
00350,Atlantic City,Fremont County,42.497,-108.731
00457,Banner,Sheridan County,44.601,-106.865
00484,Barnum,Johnson County,43.664,-106.909
00525,Battle,Carbon County,41.156,-106.982
00734,Beulah,Crook County,44.544,-104.089
00947,Bordeaux,Platte County,41.936,-104.845
01195,Buford,Albany County,41.124,-105.302
01370,Carbon,Carbon County,41.849,-106.377
01410,Carter,Uinta County,41.438,-110.428
01686,Clark,Park County,44.899,-109.151
02258,Deerwood,Albany County,41.237,-106.132
02513,Dwyer,Platte County,42.242,-104.956
02950,Fenton,Big Horn County,44.398,-108.574
