id,name,state,country,level,population,latitude,longitude,wiki
4015,Morris,NJ,,city-us,23237,40.80,-74.49,17828
4009,Morris,IL,,city-us,7198,41.36,-88.41,869
4012,Morris,MN,,city-us,5206,45.59,-95.91,10104
4019,Morris,PA,,city-us,2759,40.95,-78.21,330
4008,Morris,CT,,city-us,2259,41.69,-73.21,43213
4007,Morris,AL,,city-us,2254,33.75,-86.81,4221
4017,Morris,OH,,city-us,2106,40.45,-82.51,1426
4018,Morris,OK,,city-us,1307,35.61,-95.86,3792
4023,Morris,PA,,city-us,909,40.04,-80.30,330
4013,Morris,MO,,city-us,665,37.28,-92.16,173
4020,Morris,PA,,city-us,554,39.97,-80.31,330
4016,Morris,NY,,city-us,525,42.55,-75.25,10382
4021,Morris,PA,,city-us,431,40.57,-78.16,330
4024,Morris,WI,,city-us,379,44.81,-89.04,1908
4014,Morris,ND,,city-us,47,48.24,-98.77,0
4011,Morris,KS,,city-us,19,37.17,-97.75,0
4010,Morris,IN,,city-us,0,39.28,-85.18,614
4022,Morris,PA,,city-us,0,41.59,-77.29,709
4025,Morris,GA,,city-us,0,31.79,-84.95,533
4026,Morris,WV,,city-us,0,38.51,-80.80,233
