city,state,population,latitude,longitude,town_matches,state_matches,city_matches,country_matches
New York,NY,8804190,40.714,-74.007,0,1,0,0
Los Angeles,CA,3898747,34.052,-118.243,0,0,1,0
Houston,TX,2304580,29.76,-95.363,7,0,1,0
Phoenix,AZ,1608139,33.448,-112.074,3,0,0,0
Philadelphia,PA,1603797,39.952,-75.164,3,0,0,0
San Antonio,TX,1434625,29.423,-98.49,1,0,7,0
San Diego,CA,1386932,32.716,-117.165,1,0,2,0
Dallas,TX,1304379,32.781,-96.797,6,0,0,0
San Jose,CA,1013240,37.336,-121.891,1,0,13,0
Austin,TX,961855,30.268,-97.743,4,0,0,0
Jacksonville,FL,949611,30.328,-81.657,10,0,0,0
Columbus,OH,905748,39.962,-83.001,14,0,0,0
Charlotte,NC,874579,35.227,-80.843,6,0,0,0
San Francisco,CA,873965,37.78,-122.414,0,0,9,0
Denver,CO,715522,39.739,-104.987,4,0,0,0
Washington,DC,689545,38.895,-77.036,25,1,1,0
Nashville,TN,689447,36.164,-86.783,8,0,0,0
El Paso,TX,678815,31.76,-106.488,1,0,2,0
Boston,MA,675647,42.359,-71.057,2,0,2,0
Portland,OR,652503,45.519,-122.679,9,0,1,0
Las Vegas,NV,641903,36.171,-115.144,1,0,0,0
Detroit,MI,639111,42.332,-83.047,5,0,0,0
Memphis,TN,633104,35.146,-90.052,5,0,0,0
Louisville,KY,633045,38.257,-85.757,9,0,0,0
Baltimore,MD,585708,39.289,-76.615,2,0,0,0
Fresno,CA,542107,36.737,-119.789,0,0,1,0
Sacramento,CA,524943,38.577,-121.496,1,0,1,0
Kansas City,MO,508090,39.104,-94.583,1,0,0,0
Mesa,AZ,504258,33.415,-111.831,1,0,0,0
Atlanta,GA,498715,33.749,-84.39,7,0,0,0
Omaha,NE,486051,41.26,-95.94,3,0,0,0
Raleigh,NC,467665,35.78,-78.639,2,0,0,0
Long Beach,CA,466742,33.768,-118.192,6,0,0,0
Miami,FL,442241,25.774,-80.192,4,0,0,0
Oakland,CA,440646,37.804,-122.271,15,0,0,0
Minneapolis,MN,429954,44.977,-93.272,1,0,0,0
Bakersfield,CA,403455,35.373,-119.019,2,0,0,0
Arlington,TX,394266,32.737,-97.107,15,0,0,0
Aurora,CO,386261,39.726,-104.847,15,0,5,0
Tampa,FL,384959,27.949,-82.458,1,0,0,0
Cleveland,OH,372624,41.5,-81.694,15,0,0,0
Lexington,KY,322570,38.047,-84.498,17,0,0,0
Stockton,CA,320804,37.955,-121.293,7,0,0,0
Henderson,NV,317610,36.03,-114.983,11,0,0,0
Riverside,CA,314998,33.983,-117.374,11,0,0,0
Newark,NJ,311549,40.736,-74.172,9,0,0,0
St Paul,MN,311527,44.946,-93.094,10,0,1,0
Santa Ana,CA,310227,33.745,-117.868,1,0,7,0
Cincinnati,OH,309317,39.105,-84.514,1,0,0,0
Irvine,CA,307670,33.684,-117.796,1,0,1,0
Orlando,FL,307573,28.543,-81.378,1,0,0,0
Pittsburgh,PA,302971,40.441,-80.003,6,0,0,0
St Louis,MO,301578,38.626,-90.191,2,0,0,0
Greensboro,NC,299035,36.073,-79.792,7,0,0,0
Anchorage,AK,291247,61.218,-149.885,1,0,0,0
Lincoln,NE,291082,40.809,-96.7,15,0,4,0
Plano,TX,285494,33.02,-96.698,2,0,0,0
Durham,NC,283506,35.995,-78.901,5,0,1,0
Buffalo,NY,278349,42.886,-78.878,11,0,0,0
Chandler,AZ,275987,33.306,-111.841,4,0,1,0
Toledo,OH,270871,41.651,-83.542,4,0,4,0
Madison,WI,269840,43.074,-89.383,23,0,0,0
Gilbert,AZ,267918,33.354,-111.79,6,0,0,0
Reno,NV,264165,39.529,-119.814,2,0,0,0
St Petersburg,FL,258308,27.771,-82.637,1,0,0,0
Irving,TX,256684,32.814,-96.946,2,0,0,0
Laredo,TX,255205,27.506,-99.503,1,0,1,0
Chesapeake,VA,249422,36.809,-76.271,2,0,0,0
Glendale,AZ,248325,33.539,-112.186,8,0,0,0
Garland,TX,246018,32.913,-96.639,6,0,0,0
Scottsdale,AZ,241361,33.495,-111.926,0,0,1,0
Norfolk,VA,238005,36.848,-76.292,3,0,0,0
Fremont,CA,230504,37.549,-121.988,8,0,0,0
Richmond,VA,226610,37.546,-77.453,17,0,5,0
San Bernardino,CA,222101,34.106,-117.292,0,0,1,0
Modesto,CA,218464,37.639,-120.997,1,0,0,0
Huntsville,AL,215006,34.73,-86.586,6,0,1,0
Des Moines,IA,214133,41.587,-93.626,2,0,0,0
Rochester,NY,211328,43.156,-77.613,12,0,1,0
Fayetteville,NC,208501,35.053,-78.878,8,0,0,0
Fontana,CA,208393,34.101,-117.436,1,0,1,0
Columbus,GA,206922,32.469,-84.988,14,0,0,0
Worcester,MA,206518,42.263,-71.802,1,0,2,0
Little Rock,AR,202591,34.747,-92.288,1,0,0,0
Augusta,GA,202081,33.476,-81.966,9,0,2,0
Birmingham,AL,200733,33.514,-86.806,4,0,1,0
Montgomery,AL,200603,32.378,-86.301,13,0,0,0
Frisco,TX,200509,33.151,-96.825,1,0,0,0
Grand Rapids,MI,198917,42.963,-85.668,3,0,0,0
Glendale,CA,196543,34.143,-118.258,8,0,0,0
Peoria,AZ,190985,33.582,-112.238,2,0,0,0
Providence,RI,190934,41.824,-71.413,3,0,0,0
Vancouver,WA,190915,45.63,-122.677,0,0,1,0
Knoxville,TN,190740,35.962,-83.918,4,0,0,0
Akron,OH,190469,41.085,-81.517,7,0,0,0
Brownsville,TX,186738,25.902,-97.498,6,0,0,0
Chattanooga,TN,181099,35.05,-85.31,1,0,0,0
Aurora,IL,180542,41.758,-88.315,15,0,5,0
Santa Rosa,CA,178127,38.44,-122.713,2,0,8,0
Salem,OR,175535,44.939,-123.032,17,0,1,0
Ontario,CA,175265,34.063,-117.651,3,0,0,0
Cary,NC,174721,35.787,-78.783,4,0,0,0
Lancaster,CA,173516,34.697,-118.148,12,0,1,0
Garden Grove,CA,171949,33.775,-117.941,1,0,0,0
Springfield,MO,169176,37.209,-93.292,21,0,1,0
Clarksville,TN,166722,36.528,-87.361,10,0,0,0
Salinas,CA,163542,36.678,-121.655,0,0,4,0
Hayward,CA,162954,37.671,-122.085,2,0,0,0
Paterson,NJ,159732,40.917,-74.172,6,0,0,0
Alexandria,VA,159467,38.805,-77.047,12,0,4,0
Macon,GA,157346,32.838,-83.628,4,0,1,0
Corona,CA,157136,33.876,-117.567,2,0,0,0
Kansas City,KS,156607,39.116,-94.627,1,0,0,0
Lakewood,CO,155984,39.705,-105.081,6,0,0,0
Springfield,MA,155929,42.101,-72.589,21,0,1,0
Sunnyvale,CA,155805,37.369,-122.037,1,0,0,0
Jackson,MS,153701,32.3,-90.186,18,0,0,0
Hollywood,FL,153067,26.011,-80.149,2,0,0,0
Murfreesboro,TN,152769,35.846,-86.392,2,0,0,0
Pasadena,TX,151950,29.691,-95.209,1,0,0,0
Bellevue,WA,151854,47.617,-122.202,10,0,0,0
Pomona,CA,151713,34.059,-117.752,2,0,0,0
Joliet,IL,150362,41.525,-88.082,1,0,0,0
Charleston,SC,150227,32.776,-79.931,9,0,0,0
Mesquite,TX,150108,32.767,-96.599,1,0,0,0
Rockford,IL,148655,42.271,-89.095,7,0,0,0
Bridgeport,CT,148654,41.198,-73.194,10,0,0,0
Syracuse,NY,148620,43.047,-76.149,6,0,0,0
Savannah,GA,147780,32.079,-81.091,5,0,0,0
Roseville,CA,147773,38.752,-121.288,5,0,0,0
Fullerton,CA,143617,33.87,-117.924,2,0,0,0
Surprise,AZ,143148,33.63,-112.377,1,0,0,0
Thornton,CO,141867,39.871,-104.972,5,0,1,0
Olathe,KS,141290,38.882,-94.82,1,0,0,0
Gainesville,FL,141085,29.652,-82.325,5,0,0,0
Orange,CA,139911,33.788,-117.853,8,0,2,0
Denton,TX,139869,33.215,-97.132,6,0,0,0
Warren,MI,139387,42.492,-83.028,13,0,0,0
Pasadena,CA,138699,34.148,-118.143,1,0,0,0
Waco,TX,138486,31.557,-97.132,4,0,0,0
Cedar Rapids,IA,137710,41.978,-91.664,1,0,0,0
Dayton,OH,137644,39.758,-84.191,14,0,0,0
Elizabeth,NJ,137298,40.665,-74.215,7,0,0,0
