country,latitude,longitude,population
Andorra,42.546245,1.601554,81057
United Arab Emirates,23.424076,53.847818,9282410
Afghanistan,33.93911,67.709953,32890171
Antigua and Barbuda,17.060816,-61.796428,100772
Anguilla,18.220554,-63.068615,15701
Albania,41.153332,20.168331,2829741
Armenia,40.069099,45.038189,2963900
Angola,-11.202692,17.873887,33086278
Argentina,-38.416097,-63.616672,47327407
American Samoa,-14.270972,-170.132217,49710
Austria,47.516231,14.550072,9090868
Australia,-25.274398,133.775136,26014782
Aruba,12.52111,-69.968338,111050
Azerbaijan,40.143105,47.576927,10204774
Bosnia and Herzegovina,43.915886,17.679076,3320954
Barbados,13.193887,-59.543198,282000
Bangladesh,23.684994,90.356331,165158616
Belgium,50.503887,4.469936,11671737
Burkina Faso,12.238333,-1.561593,21510181
Bulgaria,42.733883,25.48583,6520314
Bahrain,25.930414,50.637772,1501635
Burundi,-3.373056,29.918886,12574571
Benin,9.30769,2.315834,12506347
Bermuda,32.321384,-64.75737,64055
Brunei,4.535277,114.727669,429999
Bolivia,-16.290154,-63.588653,12006031
Brazil,-14.235004,-51.92528,215511309
Bahamas,25.03428,-77.39628,393450
Bhutan,27.514162,90.433601,763200
Botswana,-22.328474,24.684866,2410338
Belarus,53.709807,27.953389,9255524
Belize,17.189877,-88.49765,430191
Canada,56.130366,-106.346771,39042128
Central African Republic,6.611111,20.939444,5633412
Switzerland,46.818188,8.227512,8789726
Cook Islands,-21.236736,-159.777671,15040
Chile,-35.675147,-71.542969,19828563
Cameroon,7.369722,12.354722,24348251
China,35.86166,104.195397,1412600000
Colombia,4.570868,-74.297333,51049498
Costa Rica,9.748917,-83.753428,5163038
Cuba,21.521757,-77.781167,11113215
Cape Verde,16.002082,-24.013197,563198
Christmas Island,-10.447525,105.690449,1692
Cyprus,35.126413,33.429859,918100
Czech Republic,49.817492,15.472962,10525739
Germany,51.165691,10.451526,84079811
Djibouti,11.825138,42.590275,976107
Denmark,56.26392,9.501785,5928364
Dominica,15.414999,-61.370976,73000
Dominican Republic,18.735693,-70.162651,10535535
Algeria,28.033886,1.659626,45400000
Ecuador,-1.831239,-78.183406,18122584
Estonia,58.595272,25.013607,1331796
Egypt,26.820553,30.802498,104190993
Western Sahara,24.215527,-12.885834,576000
Eritrea,15.179384,39.782334,3684000
Spain,40.463667,-3.74922,47615034
Ethiopia,9.145,40.489673,105163988
Finland,61.92411,25.748151,5528796
Fiji,-16.578193,179.414413,898402
Micronesia,7.425554,150.550812,105754
Faroe Islands,61.892635,-6.911806,54159
France,46.227638,2.213749,67975000
Gabon,-0.803689,11.609444,2233272
United Kingdom,55.378051,-3.435973,67081234
Grenada,12.262776,-61.604171,125000
Georgia,42.315407,43.356892,3688600
Guernsey,49.465691,-2.585278,63823
Ghana,7.946527,-1.023194,30832019
Gibraltar,36.137741,-5.345374,33000
Greenland,71.706936,-42.604303,56619
Gambia,13.443182,-15.310139,2706000
Guinea,9.945587,-9.696645,12907395
Equatorial Guinea,1.650801,10.267895,1505588
Greece,39.074208,21.824312,10432481
Guatemala,15.783471,-90.230759,17109746
Guam,13.444304,144.793731,153836
Guinea-Bissau,11.803749,-15.180413,1646077
Guyana,4.860416,-58.93018,743699
Hong Kong,22.396428,114.109497,7403100
Honduras,15.199999,-86.241905,9546178
Croatia,45.1,15.2,3871833
Haiti,18.971187,-72.285215,11743017
Hungary,47.162494,19.503304,9689000
Indonesia,-0.789275,113.921327,275773800
Ireland,53.41291,-8.24389,5123536
Israel,31.046051,34.851612,9618620
Isle of Man,54.236107,-4.548056,84069
India,20.593684,78.96288,1375586000
Iraq,33.223191,43.679291,41190700
Iran,32.427908,53.688046,86018341
Iceland,64.963051,-19.020835,385230
Italy,41.87194,12.56738,58853482
Jersey,49.214439,-2.13125,107800
Jamaica,18.109581,-77.297508,2734093
Jordan,30.585164,36.238414,11362536
Japan,36.204824,138.252924,125104000
Kenya,-0.023559,37.906193,47564296
Kyrgyzstan,41.20438,74.766098,6800000
Cambodia,12.565679,104.990963,15552211
Kiribati,-3.370417,-168.734039,120740
Comoros,-11.875001,43.872219,758316
Saint Kitts and Nevis,17.357822,-62.782998,48000
North Korea,40.339852,127.510093,25660000
South Korea,35.907757,127.766922,51638809
Kuwait,29.31166,47.481766,4670713
Cayman Islands,19.513469,-80.566956,71105
Kazakhstan,48.019573,66.923684,19368720
Laos,19.85627,102.495496,7337783
Lebanon,33.854721,35.862285,5490000
Saint Lucia,13.909444,-60.978893,178696
Liechtenstein,47.166,9.555373,39308
Sri Lanka,7.873054,80.771797,22156000
Liberia,6.428055,-9.429499,4661010
Lesotho,-29.609988,28.233608,2306000
Lithuania,55.169438,23.881275,2839020
Luxembourg,49.815273,6.129583,645397
Latvia,56.879635,24.603189,1895400
Libya,26.3351,17.228331,6812000
Morocco,31.791702,-7.09262,36806538
Monaco,43.750298,7.412841,39150
Moldova,47.411631,28.369885,2597100
Montenegro,42.708678,19.37439,621306
Madagascar,-18.766947,46.869107,26923353
Marshall Islands,7.131474,171.184478,39262
Mali,17.570692,-3.996166,22594000
Mongolia,46.862496,103.846656,3472032
Macau,22.198745,113.543873,683200
Northern Mariana Islands,17.33083,145.38469,47329
Mauritania,21.00789,-10.940835,4271197
Montserrat,16.742498,-62.187366,4400
Malta,35.937496,14.375416,519562
Mauritius,-20.348404,57.552152,1266334
Maldives,3.202778,73.22068,383135
Malawi,-13.254308,34.301525,21507723
Mexico,23.634501,-102.552784,128533664
Malaysia,4.210484,101.975766,32757800
Mozambique,-18.665695,35.529562,31616078
Namibia,-22.95764,18.49041,2550226
New Caledonia,-20.904305,165.618042,273674
Niger,17.607789,8.081666,24112753
Norfolk Island,-29.040835,167.954712,2188
Nigeria,9.081999,8.675277,218541000
Nicaragua,12.865416,-85.207229,6595674
Netherlands,52.132633,5.291266,17773960
Norway,60.472024,8.468946,5475240
Nepal,28.394857,84.124008,29192480
Nauru,-0.522778,166.931503,11832
Niue,-19.054445,-169.867233,1549
New Zealand,-40.900557,174.885971,5135030
Oman,21.512583,55.923255,4527446
Panama,8.537981,-80.782127,4278500
Peru,-9.189967,-75.015152,33396698
French Polynesia,-17.679742,-149.406843,279890
Papua New Guinea,-6.314993,143.95555,9122994
Philippines,12.879721,121.774017,112812907
Pakistan,30.375321,69.345116,235825000
Poland,51.919438,19.145136,37979000
Saint Pierre and Miquelon,46.941936,-56.27111,5974
Pitcairn Islands,-24.703615,-127.439308,47
Puerto Rico,18.220833,-66.590149,3285874
Portugal,39.399872,-8.224454,10344802
Palau,7.51498,134.58252,16733
Paraguay,-23.442503,-58.443832,7353038
Qatar,25.354826,51.183884,2799202
Romania,45.943161,24.96676,19038098
Serbia,44.016521,21.005859,6797105
Russia,61.52401,105.318756,145100000
Rwanda,-1.940278,29.873888,12955768
Saudi Arabia,23.885942,45.079162,35013414
Solomon Islands,-9.64571,160.156194,728041
Seychelles,-4.679574,55.491977,100447
Sudan,12.862807,30.217636,44988615
Sweden,60.128161,18.643501,10514692
Singapore,1.352083,103.819836,5453600
Saint Helena,-24.143474,-10.030696,"Ascension and Tristan da Cunha"""
Slovenia,46.151241,14.995463,2108977
Slovakia,48.669026,19.699024,5431235
Sierra Leone,8.460555,-11.779889,8494260
San Marino,43.94236,12.457777,33785
Senegal,14.497401,-14.452362,17223497
Somalia,5.152149,46.199616,17598000
Suriname,3.919305,-56.027783,598000
São Tomé and Príncipe,0.18636,6.613081,214610
El Salvador,13.794185,-88.89653,6825935
Syria,34.802075,38.996815,22125000
Turks and Caicos Islands,21.694025,-71.797928,44542
Chad,15.454166,18.732207,16818391
Togo,8.619543,0.824782,7886000
Thailand,15.870032,100.992541,66870292
Tajikistan,38.861034,71.276093,9506000
Tokelau,-8.967363,-171.855881,1647
Turkmenistan,38.969719,59.556278,6431000
Tunisia,33.886917,9.537499,11803588
Tonga,-21.178986,-175.198242,100179
Turkey,38.963745,35.243322,84680273
Trinidad and Tobago,10.691803,-61.222503,1367558
Tuvalu,-7.109535,177.64933,10679
Taiwan,23.69781,120.960515,23375314
Tanzania,-6.369028,34.888822,61280743
Ukraine,48.379433,31.16558,41130432
Uganda,1.373333,32.290275,42885900
United States,37.09024,-95.712891,333332642
Uruguay,-32.522779,-55.765835,3554915
Uzbekistan,41.377491,64.585262,35934952
Vatican City,41.902916,12.453389,825
Saint Vincent and the Grenadines,12.984305,-61.287228,110696
Venezuela,6.42375,-66.58973,28302000
British Virgin Islands,18.420695,-64.639968,31000
U.S. Virgin Islands,18.335765,-64.896335,87146
Vietnam,14.058324,108.277199,98506193
Vanuatu,-15.376706,166.959158,301295
Wallis and Futuna,-13.768752,-177.156097,11369
Samoa,-13.759029,-172.104629,199853
Kosovo,42.602636,20.902977,1798188
Yemen,15.552727,48.516388,33697000
South Africa,-30.559482,22.937506,60604992
Zambia,-13.133897,27.849332,18400556
Zimbabwe,-19.015438,29.154857,15178979
