city,lat,lng,population
Tokyo,35.6839,139.7744,39105000
Jakarta,-6.2146,106.8451,35362000
Delhi,28.6667,77.2167,31870000
Manila,14.6000,120.9833,23971000
Sao Paulo,-23.5504,-46.6339,22495000
Seoul,37.5600,126.9900,22394000
Mumbai,19.0758,72.8775,22186000
Shanghai,31.1667,121.4667,22118000
Mexico City,19.4333,-99.1333,21505000
Guangzhou,23.1288,113.2590,21489000
Cairo,30.0444,31.2358,19787000
Beijing,39.9040,116.4075,19437000
Kolkata,22.5727,88.3639,18698000
Moscow,55.7558,37.6178,17693000
Bangkok,13.7500,100.5167,17573000
Dhaka,23.7289,90.3944,16839000
Buenos Aires,-34.5997,-58.3819,16216000
Osaka,34.7520,135.4582,15490000
Lagos,6.4500,3.4000,15487000
Istanbul,41.0100,28.9603,15311000
Karachi,24.8600,67.0100,15292000
Kinshasa,-4.3317,15.3139,15056000
Shenzhen,22.5350,114.0540,14678000
Bangalore,12.9791,77.5913,13999000
Ho Chi Minh City,10.8167,106.6333,13954000
Tehran,35.7000,51.4167,13819000
Rio de Janeiro,-22.9083,-43.1964,12486000
Chengdu,30.6600,104.0633,11920000
Baoding,38.8671,115.4845,11860000
Chennai,13.0825,80.2750,11564000
Lahore,31.5497,74.3436,11148000
London,51.5072,-0.1275,11120000
Paris,48.8566,2.3522,11027000
Tianjin,39.1467,117.2056,10932000
Linyi,35.0606,118.3425,10820000
Shijiazhuang,38.0422,114.5086,10784600
Zhengzhou,34.7492,113.6605,10136000
Nanyang,32.9987,112.5292,10013600
Hyderabad,17.3617,78.4747,9840000
Wuhan,30.5872,114.2881,9729000
Handan,36.6116,114.4894,9549700
Nagoya,35.1167,136.9333,9522000
Weifang,36.7167,119.1000,9373000
Lima,-12.0600,-77.0375,8992000
Zhoukou,33.6250,114.6418,8953172
Luanda,-8.8383,13.2344,8883000
Ganzhou,25.8292,114.9336,8677600
Tongshan,34.2610,117.1859,8669000
Kuala Lumpur,3.1478,101.6953,8639000
Heze,35.2333,115.4333,8287693
Chongqing,29.5500,106.5069,8261000
Hanoi,21.0245,105.8412,8246600
Fuyang,32.8986,115.8045,8200264
Changsha,28.1987,112.9709,8154700
Dongguan,23.0475,113.7493,8142000
Jining,35.4000,116.5667,8081905
Jinan,36.6667,116.9833,7967400
Pune,18.5196,73.8553,7948000
Foshan,23.0292,113.1056,7905700
Bogota,4.6126,-74.0705,7743955
Ahmedabad,23.0300,72.5800,7717000
Nanjing,32.0500,118.7667,7729000
Changchun,43.9000,125.2000,7674439
Tangshan,39.6292,118.1742,7577289
Cangzhou,38.3037,116.8452,7544300
Dar es Salaam,-6.8000,39.2833,7461000
Hefei,31.8639,117.2808,7457027
Hong Kong,22.3069,114.1831,7398000
Shaoyang,27.2418,111.4725,7370500
Zhanjiang,21.1967,110.4031,7332000
Shangqiu,34.4259,115.6467,7325300
Nantong,31.9829,120.8873,7283622
Yancheng,33.3936,120.1339,7260240
Nanning,22.8192,108.3150,7254100
Hengyang,26.8968,112.5857,7243400
Zhumadian,32.9773,114.0253,7231234
Shenyang,41.8039,123.4258,7208000
Xingtai,37.0659,114.4753,7104103
Xi'an,34.2667,108.9000,7090000
Santiago,-33.4500,-70.6667,7026000
Yantai,37.3997,121.2664,6968202
Riyadh,24.6500,46.7100,6889000
Luoyang,34.6587,112.4245,6888500
Kunming,25.0433,102.7061,6850000
Shangrao,28.4419,117.9633,6810700
Hangzhou,30.2500,120.1675,6713000
Bijie,27.3019,105.2863,6686100
Quanzhou,24.9139,118.5858,6480000
Wuxi,31.5667,120.2833,6372624
Huanggang,30.4500,114.8750,6333000
Maoming,21.6618,110.9178,6313200
Nanchong,30.7991,106.0784,6278614
Zunyi,27.7050,106.9336,6270700
Qujing,25.5102,103.8029,6155400
Baghdad,33.3500,44.4167,6107000
Xinyang,32.1264,114.0672,6109106
Jieyang,23.5533,116.3649,6089400
Khartoum,15.6031,32.5265,6017000
Madrid,40.4167,-3.7167,6006000
Allahabad,25.4500,81.8500,5954391
Yulin,22.6293,110.1507,5849700
Changde,29.0397,111.6839,5827200
Liaocheng,36.4500,115.9833,5789863
Qingdao,36.1167,120.4000,5775000
Nangandao,35.2992,113.8851,5708191
Xiangyang,32.0654,112.1531,5680000
Giza,29.9870,31.2118,5598402
Lu'an,31.7542,116.5078,5611701
Zhaotong,27.3328,103.7144,5591000
Yichun,27.8041,114.3830,5573200
Dezhou,37.4513,116.3105,5568235
Nairobi,-1.2864,36.8172,5545000
Nanchang,28.6842,115.8872,5545500
Tai'an,36.2001,117.0809,5494207
Dazhou,31.2152,107.4947,5468097
Guadalajara,20.6767,-103.3475,5437000
Yongzhou,26.4515,111.5953,5452100
Rangoon,16.7950,96.1600,5430000
Toronto,43.7417,-79.3733,5429524
Suihua,46.6384,126.9808,5418153
Saint Petersburg,59.9500,30.3167,5384342
Qiqihar,47.3398,123.9512,5367003
Suzhou,33.6333,116.9683,5352924
Shantou,23.3735,116.6941,5319028
Weinan,34.4996,109.4684,5286077
Changzhou,31.8122,119.9692,5278121
Singapore,1.3000,103.8000,5271000
Fuzhou,26.0769,119.2917,5245000
Pudong,31.2231,121.5397,5187200
Belo Horizonte,-19.9281,-43.9419,5159000
Zhangzhou,24.5093,117.6612,5140000
Yuncheng,35.0304,110.9980,5134779
Suzhou,31.3040,120.6164,5103000
Xianyang,34.3500,108.7167,5096001
Guilin,25.2667,110.2833,5085500
Taizhou,32.4831,119.9000,5031000
Abidjan,5.3364,-4.0267,4980000
Huaihua,27.5494,109.9592,4979600
Ji'an,27.1172,114.9793,4956600
Xiaoganzhan,30.9273,113.9110,4921000
Pingdingshan,33.7350,113.2999,4904701
Jiujiang,29.7048,116.0021,4896800
Surat,21.1700,72.8300,4875000
Guiyang,26.5794,106.7078,4881900
Alexandria,31.2000,29.9167,4870000
Bozhou,33.8626,115.7742,4850657
Sydney,-33.8650,151.2094,4840600
Huizhou,23.1115,114.4152,4830000
Huai'an,33.5000,119.1331,4799889
Chenzhou,25.7989,113.0267,4744500
Barcelona,41.3825,2.1769,4735000
Anqing,30.5000,117.0333,4723000
Suqian,33.9331,118.2831,4719178
Jiangmen,22.5833,113.0833,4630300
Mianyang,31.4669,104.7385,4613862
Harbin,45.7500,126.6333,4583000
Huanglongsi,34.7936,114.3403,4564900
Melbourne,-37.8136,144.9631,4529500
Zibo,36.7831,118.0497,4530597
Dalian,38.9000,121.6000,4480000
Hengshui,37.7348,115.6860,4472000
Yibin,28.7596,104.6400,4471896
Yangzhou,32.3912,119.4363,4459760
Timbio,2.3528,-76.6819,4444444
Johannesburg,-26.2044,28.0416,4434827
Yiyang,28.5833,112.3333,4413800
Guigang,23.0961,109.6092,4409200
Xinpu,34.5906,119.1801,4393482
Meizhou,24.2998,116.1191,4378800
Casablanca,33.5992,-7.6200,4370000
Langfang,39.5196,116.7006,4358839
Zhangjiakou,40.8108,114.8811,4345485
Chifeng,42.2663,118.9223,4341245
Linfen,36.0812,111.5087,4316610
Jiangguanchi,34.0244,113.8201,4307488
Kabul,34.5328,69.1658,4273156
Luzhou,28.8918,105.4409,4218427
Taiyuan,37.8733,112.5425,4201592
Zhaoqing,23.0500,112.4667,4151700
Xiaoxita,30.7083,111.2803,4137900
Xiamen,24.4797,118.0819,4110000
Fuzhou,27.9814,116.3577,4047200
Liuzhou,24.3264,109.4281,4041700
Zhuzhou,27.8407,113.1469,4020800
Amman,31.9500,35.9333,4007526
Jeddah,21.5428,39.1728,3976000
Chuzhou,32.3062,118.3115,3937868
Loudi,27.7378,111.9974,3931800
Deyang,31.1289,104.3950,3877000
Qingyuan,23.6842,113.0507,3874000
Kano,12.0000,8.5167,3848885
Wuhu,31.3340,118.3622,3842100
Yokohama,35.4333,139.6333,3757630
Binzhou,37.3806,118.0125,3748474
Baojishi,34.3609,107.1751,3738700
Zaozhuang,34.8667,117.5500,3729140
Neijiang,29.5872,105.0635,3702847
Baicheng,23.9010,106.6194,3669400
Berlin,52.5167,13.3833,3664088
Anshan,41.1066,122.9895,3645884
Lanzhou,36.0617,103.8318,3616163
Puyang,35.7639,115.0300,3598740
Jiaozuo,35.2290,113.2304,3590700
Hechi,24.6928,108.0850,3545700
Montreal,45.5089,-73.5617,3519595
Chengde,40.9739,117.9322,3473201
Busan,35.1000,129.0403,3453198
Algiers,36.7764,3.0586,3415811
Hanzhong,33.0794,107.0260,3416196
Shiyan,32.6351,110.7755,3398000
Lucknow,26.8470,80.9470,3382000
Siping,43.1715,124.3644,3385156
Yulinshi,38.2655,109.7388,3351436
Changzhi,36.1953,113.0970,3334565
Qinzhou,21.9500,108.6167,3304400
Bazhou,31.8576,106.7559,3283148
Qincheng,34.5809,105.7311,3262549
Zhongshan,22.5333,113.3500,3260000
Suining,30.5098,105.5737,3252619
Leshan,29.5854,103.7575,3235759
Faisalabad,31.4180,73.0790,3203846
Guang'an,30.4673,106.6336,3205476
Tongren,27.7233,109.1885,3168800
Bengbu,32.9354,117.3531,3164467
Santa Cruz,-17.7892,-63.1975,3151676
Qinhuangdao,39.9398,119.5881,3146300
Tongliao,43.6172,122.2640,3139153
Jinzhou,41.1144,121.1292,3126463
Zhenjiang,32.2109,119.4551,3113384
Urumqi,43.8225,87.6125,3112559
Heyuan,23.7503,114.6923,3093900
Jaipur,26.9167,75.8667,3073350
Xinzhou,38.4178,112.7233,3067501
Wuzhou,23.4833,111.3167,3061100
Addis Ababa,9.0272,38.7369,3041002
Chaoyang,41.5757,120.4486,3044641
Brasilia,-15.7939,-47.8828,3015268
Mashhad,36.3069,59.6042,3001184
Shaoguan,24.8011,113.5927,2997600
Kuwait City,29.3750,47.9800,2989000
Shanwei,22.7664,115.3331,2993600
Quezon City,14.6333,121.0333,2960048
Kyiv,50.4500,30.5236,2963199
Sanaa,15.3500,44.2000,2957000
Meishan,30.0575,103.8381,2950545
Guatemala City,14.6099,-90.5252,2934841
Incheon,37.4639,126.6486,2913024
Ningde,26.6617,119.5228,2910000
Daqing,46.5979,125.0080,2904532
Putian,25.4394,119.0103,2900000
Bandung,-6.9500,107.5667,2875673
Surabaya,-7.2458,112.7378,2885555
Salvador,-12.9708,-38.5108,2886698
Rome,41.8931,12.4828,2872800
La Paz,-16.4942,-68.1475,2867504
Hohhot,40.8151,111.6629,2866615
Xiangtan,27.8431,112.9228,2864800
Pyongyang,39.0300,125.7300,2863000
Taichung,24.1500,120.6667,2803894
Weihai,37.5000,122.1000,2804771
Rizhao,35.4164,119.4331,2801013
Mudanjiang,44.5861,129.5997,2798723
Kaohsiung,22.6167,120.3000,2773533
Guayaquil,-2.1900,-79.8875,2723665
Tieling,42.2841,123.8365,2717732
Cawnpore,26.4725,80.3311,2701324
Dingxi,35.5806,104.6263,2698624
Taipei,25.0478,121.5319,2684567
Nanping,26.6448,118.1728,2690000
Zigong,29.3498,104.7645,2678899
Chaozhou,23.6700,116.6300,2656600
Baotou,40.6562,109.8345,2650364
Gulou,26.0819,119.2981,2606000
Longyan,25.0881,117.0244,2640000
Ankang,32.6877,109.0235,2629906
Baoshan,25.1211,99.1690,2627000
Huludao,40.7094,120.8378,2623541
Antananarivo,-18.9386,47.5214,2610000
Yanjiang,30.1256,104.6397,2593843
Chattogram,22.3350,91.8325,2581643
Santo Domingo,18.4764,-69.8933,2581827
Sanming,26.2658,117.6302,2580000
Longba,33.5350,105.3490,2567718
Yangjiang,21.8556,111.9627,2555600
Jiamusi,46.8081,130.3653,2552097
Ibadan,7.3964,3.9167,2550593
Luohe,33.5830,114.0109,2544266
Lincang,23.8864,100.0871,2536000
Medellin,6.2447,-75.5748,2529403
Xuanzhou,30.9475,118.7518,2532938
Yunfu,22.9242,112.0353,2526900
Dubai,25.2697,55.3094,2502715
Mirzapur,25.1500,82.5800,2496970
Tashkent,41.3000,69.2667,2497900
Guangyuan,32.4353,105.8398,2484122
Cali,3.4400,-76.5197,2471474
Huangshi,30.2018,115.0326,2471700
Ouagadougou,12.3686,-1.5275,2453496
Daegu,35.8667,128.6000,2461002
Fortaleza,-3.7275,-38.5275,2452185
Yaounde,3.8578,11.5181,2440462
Douala,4.0500,9.7000,2446945
Jilin,43.8519,126.5481,2396000
Dandong,40.1167,124.3833,2444697
Lianshan,40.7523,120.8280,2426000
Yingkou,40.6653,122.2297,2428534
Nagpur,21.1539,79.0831,2405665
Omdurman,15.6167,32.4800,2395159
Bekasi,-6.2333,107.0000,2381053
Ghaziabad,28.6667,77.4167,2375820
Yuxi,24.3495,102.5432,2386000
Brisbane,-27.4678,153.0281,2360241
Anshun,26.2456,105.9340,2353100
Depok,-6.3940,106.8225,2330333
Shangzhou,33.8680,109.9244,2341742
Huainan,32.4831,117.0164,2333896
Kuaidamao,41.7302,125.9471,2324439
Accra,5.6037,-0.1870,2291352
Fukuoka,33.6000,130.4167,2280000
Jincheng,35.4906,112.8483,2279146
Vancouver,49.2500,-123.1000,2264823
Tangerang,-6.1783,106.6319,2237006
Sanmenxia,34.7736,111.1950,2234018
Laibin,23.7333,109.2333,2233900
Qinbaling,35.7278,107.6400,2211191
Xining,36.6239,101.7787,2208708
Ma'anshan,31.6858,118.5101,2202899
Yan'an,36.5952,109.4863,2187009
Baku,40.3667,49.8352,2181800
Gaoping,30.7824,106.1281,2174000
Harare,-17.8292,31.0522,2150000
Havana,23.1367,-82.3589,2141652
