NAME,Abbr,Latitude,Longitude,SUMLEV,REGION,DIVISION,STATE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022
Alabama,AL,32.6010112,-86.6807365,040,3,6,01,5024356,5031362,5049846,5074296,7006,18484,24450,0.1394407562,0.3673756728,0.4841731807,24,24,24,24,14,17,15,16,21,20
Alaska,AK,61.3025006,-158.7750198,040,4,9,02,733378,732923,734182,733583,-455,1259,-599,-0.062041676,0.1717779357,-0.081587399,48,48,48,48,34,32,34,36,29,38
Arizona,AZ,34.1682185,-111.930907,040,4,8,04,7151507,7179943,7264877,7359197,28436,84934,94320,0.3976224871,1.1829341821,1.2983014028,14,14,14,14,3,4,5,2,6,8
Arkansas,AR,34.7519275,-92.1313784,040,3,7,05,3011555,3014195,3028122,3045637,2640,13927,17515,0.0876623538,0.4620470806,0.5784113058,33,33,33,33,20,21,17,21,19,17
California,CA,37.2718745,-119.2704153,040,4,9,06,39538245,39501653,39142991,39029342,-36592,-358662,-113649,-0.092548367,-0.907967067,-0.290343168,1,1,1,1,50,51,50,40,50,42
Colorado,CO,38.9979339,-105.550567,040,4,8,08,5773733,5784865,5811297,5839926,11132,26432,28629,0.1928042048,0.4569164535,0.4926438969,21,21,21,21,9,11,12,12,20,19
Connecticut,CT,41.5187835,-72.757507,040,1,1,09,3605942,3597362,3623355,3626205,-8580,25993,2850,-0.237940599,0.7225572517,0.0786563834,29,29,29,29,45,13,29,47,13,32
Delaware,DE,39.145251,-75.4189206,040,3,5,10,989957,992114,1004807,1018396,2157,12693,13589,0.2178882517,1.2793892637,1.3523990179,45,45,45,45,22,23,20,10,4,7
District of Columbia,DC,38.8993487,-77.0145666,040,3,5,11,689546,670868,668791,671803,-18678,-2077,3012,-2.708738793,-0.309598908,0.4503649122,49,49,49,49,47,39,28,51,45,21
Florida,FL,27.9757279,-83.8330166,040,3,5,12,21538226,21589602,21828069,22244823,51376,238467,416754,0.2385340371,1.1045456049,1.9092572962,3,3,3,3,2,2,2,9,9,1
Georgia,GA,32.6781248,-83.2229757,040,3,5,13,10711937,10729828,10788029,10912876,17891,58201,124847,0.1670192795,0.542422488,1.1572734927,8,8,8,8,5,6,4,14,18,12
Hawaii,HI,20.46,-157.505,040,4,9,15,1455273,1451043,1447154,1440196,-4230,-3889,-6958,-0.290667112,-0.268014111,-0.480805775,40,40,40,40,41,41,40,48,41,47
Idaho,ID,45.4945756,-114.1424303,040,4,8,16,1839092,1849202,1904314,1939033,10110,55112,34719,0.5497278005,2.9803125889,1.8231762199,38,38,38,38,11,8,10,1,1,2
Illinois,IL,39.739318,-89.504139,040,2,3,17,12812545,12786580,12686469,12582032,-25965,-100111,-104437,-0.202652947,-0.782938049,-0.823215664,6,6,6,6,48,49,49,46,49,50
Indiana,IN,39.7662195,-86.441277,040,2,3,18,6785668,6788799,6813532,6833037,3131,24733,19505,0.0461413674,0.3643206994,0.2862685609,17,17,17,17,18,14,16,27,22,24
Iowa,IA,41.9383166,-93.389798,040,2,4,19,3190372,3190571,3197689,3200517,199,7118,2828,0.0062375171,0.223094863,0.0884388694,31,31,31,31,31,27,30,31,27,31
Kansas,KS,38.4987789,-98.3200779,040,2,4,20,2937847,2937919,2937922,2937150,72,3,-772,0.0024507743,0.0001021131,-0.026277076,35,35,35,35,32,35,35,32,35,34
Kentucky,KY,37.8222935,-85.7682399,040,3,6,21,4505893,4507445,4506589,4512310,1552,-856,5721,0.0344437828,-0.018990803,0.1269474541,26,26,26,26,23,36,25,30,36,29
Louisiana,LA,30.9733766,-91.4299097,040,3,7,22,4657749,4651664,4627098,4590241,-6085,-24566,-36857,-0.130642506,-0.528112091,-0.796546777,25,25,25,25,42,46,47,44,48,49
Maine,ME,45.2185133,-69.0148656,040,1,1,23,1362341,1363557,1377238,1385340,1216,13681,8102,0.0892581226,1.0033317272,0.5882788596,42,42,42,42,24,22,23,20,10,15
Maryland,MD,38.8063524,-77.2684162,040,3,5,24,6177213,6173205,6174610,6164660,-4008,1405,-9950,-0.06488363,0.0227596524,-0.161143781,18,18,18,19,40,31,44,38,34,41
Massachusetts,MA,42.0629398,-71.718067,040,1,1,25,7029949,6995729,6989690,6981974,-34220,-6039,-7716,-0.486774513,-0.086324099,-0.110391162,15,15,15,16,49,43,41,50,39,39
Michigan,MI,44.9435598,-86.4158049,040,2,3,26,10077325,10069577,10037504,10034113,-7748,-32073,-3391,-0.076885483,-0.318513876,-0.033783299,10,10,10,10,43,47,38,39,46,35
Minnesota,MN,46.4418595,-93.3655146,040,2,4,27,5706504,5709852,5711471,5717184,3348,1619,5713,0.0586698967,0.0283545003,0.1000267707,22,22,22,22,17,30,26,25,33,30
Mississippi,MS,32.5851062,-89.8772196,040,3,6,28,2961288,2958141,2949586,2940057,-3147,-8555,-9529,-0.106271325,-0.289201901,-0.323062287,34,34,34,34,39,44,43,42,44,45
Missouri,MO,38.3046615,-92.437099,040,2,4,29,6154920,6153998,6169823,6177957,-922,15825,8134,-0.014979886,0.2571499048,0.1318352244,19,19,19,18,35,20,22,33,25,28
Montana,MT,46.6797995,-110.044783,040,4,8,30,1084197,1087075,1106227,1122867,2878,19152,16640,0.2654499136,1.7617919647,1.504212065,44,44,43,43,19,16,18,6,2,6
Nebraska,NE,41.5008195,-99.680902,040,2,4,31,1961489,1962642,1963554,1967923,1153,912,4369,0.0587818744,0.0464679753,0.2225047032,37,37,37,37,25,33,27,24,32,25
Nevada,NV,38.502032,-117.0230604,040,4,8,32,3104624,3115648,3146402,3177772,11024,30754,31370,0.3550832565,0.987081981,0.9970118249,32,32,32,32,10,10,11,4,11,13
New Hampshire,NH,44.0012306,-71.5799231,040,1,1,33,1377518,1378587,1387505,1395231,1069,8918,7726,0.0776033417,0.6468942475,0.5568268222,41,41,41,41,27,25,24,22,15,18
New Jersey,NJ,40.1430058,-74.7311156,040,1,2,34,9289031,9271689,9267961,9261699,-17342,-3728,-6262,-0.186693316,-0.040208424,-0.067566102,11,11,11,11,46,40,39,45,37,36
New Mexico,NM,34.1662325,-106.0260685,040,4,8,35,2117527,2118390,2116677,2113344,863,-1713,-3333,0.0407550884,-0.080863297,-0.157463798,36,36,36,36,28,38,37,29,38,40
New York,NY,40.7056258,-73.97968,040,1,2,36,20201230,20108296,19857492,19677151,-92934,-250804,-180341,-0.460041295,-1.247266302,-0.908176118,4,4,4,4,51,50,51,49,51,51
North Carolina,NC,35.2145629,-79.8912675,040,3,5,37,10439414,10449445,10565885,10698973,10031,116440,133088,0.0960877689,1.1143175547,1.2596010651,9,9,9,9,12,3,3,19,8,9
North Dakota,ND,47.4678819,-100.3022655,040,2,4,38,779091,779518,777934,779261,427,-1584,1327,0.0548074615,-0.203202492,0.1705800235,47,47,47,47,30,37,32,26,40,27
Ohio,OH,40.1903624,-82.6692525,040,2,3,39,11799374,11797517,11764342,11756058,-1857,-33175,-8284,-0.015738123,-0.28120324,-0.070416178,7,7,7,7,37,48,42,34,43,37
Oklahoma,OK,35.3097654,-98.7165585,040,3,7,40,3959346,3964912,3991225,4019800,5566,26313,28575,0.1405787724,0.6636465072,0.7159456057,28,28,28,28,15,12,13,15,14,14
Oregon,OR,44.1419049,-120.5380993,040,4,9,41,4237291,4244795,4256301,4240137,7504,11506,-16164,0.1770942803,0.2710613822,-0.379766375,27,27,27,27,13,24,46,13,24,46
Pennsylvania,PA,40.9945928,-77.6046984,040,1,2,42,13002689,12994440,13012059,12972008,-8249,17619,-40051,-0.063440724,0.1355887595,-0.307799096,5,5,5,5,44,18,48,37,30,44
Rhode Island,RI,41.5827282,-71.5064508,040,1,1,44,1097371,1096345,1096985,1093734,-1026,640,-3251,-0.093496183,0.058375785,-0.296357744,43,43,44,44,36,34,36,41,31,43
South Carolina,SC,33.62505,-80.9470381,040,3,5,45,5118429,5131848,5193266,5282634,13419,61418,89368,0.262170287,1.1968008406,1.7208438774,23,23,23,23,7,5,6,7,5,3
South Dakota,SD,44.2126995,-100.2471641,040,2,4,46,886677,887799,896164,909824,1122,8365,13660,0.1265398787,0.9422177768,1.5242745747,46,46,46,46,26,26,19,18,12,5
Tennessee,TN,35.830521,-85.9785989,040,3,6,47,6910786,6925619,6968351,7051339,14833,42732,82988,0.2146354988,0.6170134395,1.1909273801,16,16,16,15,6,9,7,11,17,11
Texas,TX,31.1693363,-100.0768425,040,3,7,48,29145428,29232474,29558864,30029572,87046,326390,470708,0.2986609083,1.1165322511,1.5924427948,2,2,2,2,1,1,1,5,7,4
