name,phoneme,starter
Aaronsburg,0000,
Abbeville,0001,
Abbot,0002,
Abbotsford,0003,
Abbott,0002,
Aberdeen,0004,3
Abernathy,0005,
Abilene,0006,2
Abingdon,0007,
Ackley,0008,
Ackworth,0009,
Acme,0010,
Acton,0011,
Acworth,0009,
Ada,0012,
Adair,0013,
Adams,0014,
Adamsburg,0015,
Adamstown,0016,
Adamsville,0017,
Addie,0018,
Addison,0019,
Addy,0018,
Adel,0020,
Adell,0020,
Adelphi,0021,
Aden,0022,
Adrian,0023,
Advance,0024,
Affton,0025,
Africa,0026,
Afton,0025,
Agate,0027,
Agency,0028,
Agenda,0029,
Agnew,0030,
Agra,0031,
Agua Dulce,0032,
Aiken,0033,
Ainsworth,0034,
Airmont,0035,
Airville,0036,
Ajax,0037,
Akron,0038,
Alabama,0040,
Alamo,0041,
Alaska,0042,
Alba,0043,
Albany,0044,3
Albert,0045,
Alberta,0046,
Alberton,0047,
Albertville,0048,
Albion,0049,
Albuquerque,0050,
Alden,0051,
Alder,0052,
Alderson,0053,
Aldine,0054,
Aledo,0055,
Aleman,0056,
Alexander,0057,
Alexandria,0058,4
Alexis,0059,
Alfalfa,0060,
Alford,0061,
Alfred,0062,
Alger,0063,
Algiers,0064,
Algoma,0065,
Algona,0066,
Algonquin,0067,
Alhambra,0068,
Alice,0069,
Allegany,0070,
Alleman,0056,
Allen,0071,
Allendale,0072,
Allenhurst,0073,
Allenport,0074,
Allensville,0075,
Allenton,0076,
Allentown,0077,2
Allenville,0078,
Allenwood,0079,
Allerton,0080,
Alliance,0081,
Allison,0082,
Allouez,0083,
Allport,0084,
Alma,0085,
Almena,0086,
Almond,0087,
Almont,0088,
Aloha,0089,
Alpena,0090,
Alpha,0091,
Alpine,0092,2
Alsen,0093,
Alta,0094,
Alta Vista,0095,
Altamont,0096,
Alto,0097,
Alton,0098,
Altona,0099,
Altoona,0100,
Alturas,0101,
Altus,0102,
Alum Creek,0103,
Alva,0104,
Alvarado,0105,
Alvin,0106,
Alvord,0107,
Amber,0108,
Ambler,0109,
Amboy,0110,
Ambrose,0111,
Amelia,0112,
Americus,0113,
Ames,0114,
Amherst,0115,3
Amistad,0116,
Amity,0117,
Ammon,0118,
Amsterdam,0119,
Anaconda,0120,
Anadarko,0121,
Anchorage,0122,
Andalusia,0123,
Anderson,0124,3
Andersonville,0125,
Andover,0126,4
Andrews,0127,
Aneta,0128,
Angelica,0129,
Angola,0130,
Angora,0131,
Anguilla,0132,
Anna,0133,
Annandale,0134,
Annapolis,0135,
Annetta,0128,
Anniston,0136,
Anoka,0137,
Ansley,0139,
Anson,0140,
Ansonia,0141,
Antelope,0142,
Anthony,0143,
Antioch,0144,
Antrim,0145,
Antwerp,0146,
Apple Creek,0147,
Apple Valley,0148,2
Applegate,0149,
Appleton,0150,
Aquilla,0151,
Arab,0152,
Arabi,0153,
Aragon,0154,
Arapahoe,0155,
Ararat,0156,
Arbela,0157,
Arcade,0158,
Arcadia,0159,2
Archer,0160,
Arco,0161,
Arcola,0162,
Arden,0163,
Ardmore,0164,2
Ardon,0163,
Ardsley,0165,
Argonne,0166,
Argyle,0167,
Arkadelphia,0168,
Arkansas City,0169,
Arkoe,0161,
Arkwright,0170,
Arlington,0171,4
Arlington Heights,0172,
Armenia,0173,
Armington,0174,
Armstrong,0175,
Arnett,0176,
Arnold,0177,
Arrington,0178,
Arroyo Hondo,0179,
Artesia,0180,
Arthur,0181,
Arvada,0182,
Asbury,0183,
Ashburn,0184,
Ashby,0185,
Asheville,0186,
Ashford,0187,
Ashland,0188,5
Ashley,0189,
Ashton,0190,
Ashville,0186,
Ashwood,0191,
Aspinwall,0192,
Assumption,0193,
Astor,0194,
Astoria,0195,
Asuncion,0196,
Atco,0197,
Athens,0198,4
Atherton,0199,
Athol,0200,
Atkins,0201,
Atkinson,0202,
Atlanta,0203,
Atlantic,0204,
Atlantic Beach,0205,
Atlantic City,0206,
