level,name,nameRaw,state,country,population,latitude,longitude,phoneme
town,Houston,Houston,Texas,,2304580,29.76,-95.363,HH Y UW1 - S T AH0 N
town,Phoenix,Phoenix,Arizona,,1608139,33.448,-112.074,F IY1 - N IH0 K S
town,Philadelphia,Philadelphia,Pennsylvania,,1603797,39.952,-75.164,F IH2 - L AH0 - D EH1 L - F IY0 - AH0
town,San Antonio,San Antonio,Texas,,1434625,29.423,-98.49,S AE2 - N AE0 N - T OW1 - N IH0 OW0
town,San Diego,San Diego,California,,1386932,32.716,-117.165,S AE0 N - D IY1 EH0 - G OW0
town,Dallas,Dallas,Texas,,1304379,32.781,-96.797,D AE1 - L AH0 S
town,San Jose,San Jose,California,,1013240,37.336,-121.891,S AE1 N - JH OW0 Z
town,Austin,Austin,Texas,,961855,30.268,-97.743,AO1 - S T AH0 N
town,Jacksonville,Jacksonville,Florida,,949611,30.328,-81.657,JH AE1 K - S AH0 N - V IH2 L
town,Columbus,Columbus,Ohio,,905748,39.962,-83.001,K AH0 - L AH1 M - B AH0 S
town,Charlotte,Charlotte,North Carolina,,874579,35.227,-80.843,SH AA1 R - L AH0 T
town,Denver,Denver,Colorado,,715522,39.739,-104.987,D EH1 N - V ER0
town,Washington,Washington,Washington DC,,689545,38.895,-77.036,W AA1 - SH IH0 NG - T AH0 N
town,Nashville,Nashville,Tennessee,,689447,36.164,-86.783,N AE1 SH - V IH0 L
town,El Paso,El Paso,Texas,,678815,31.76,-106.488,EH0 L - P AE1 - Z OW0
town,Boston,Boston,Massachusetts,,675647,42.359,-71.057,B AA1 - S T AH0 N
town,Portland,Portland,Oregon,,652503,45.519,-122.679,P AO1 R T - L AH0 N D
town,Las Vegas,Las Vegas,Nevada,,641903,36.171,-115.144,L AE0 S - V EH1 - G AE0 S
town,Detroit,Detroit,Michigan,,639111,42.332,-83.047,D IH0 - T R OY1 T
town,Memphis,Memphis,Tennessee,,633104,35.146,-90.052,M EH1 M - F AH0 S
town,Louisville,Louisville,Kentucky,,633045,38.257,-85.757,L UW1 - IY0 - V IH2 L
town,Baltimore,Baltimore,Maryland,,585708,39.289,-76.615,B AO1 L - T AH0 - M AO2 R
town,Milwaukee,Milwaukee,Wisconsin,,577222,43.042,-87.905,M IH0 L - W AO1 - K IY0
town,Sacramento,Sacramento,California,,524943,38.577,-121.496,S AE2 - K R AH0 - M EH1 N - T OW0
town,Kansas City,Kansas City,Missouri,,508090,39.104,-94.583,K AE0 N - S AE1 - S IH0 - T IY0
town,Mesa,Mesa,Arizona,,504258,33.415,-111.831,M EY1 - S AH0
town,Atlanta,Atlanta,Georgia,,498715,33.749,-84.39,AE0 T - L AE1 N - T AH0
town,Omaha,Omaha,Nebraska,,486051,41.26,-95.94,OW1 - M AH0 - HH AA2
town,Raleigh,Raleigh,North Carolina,,467665,35.78,-78.639,R AO1 - L IY0
town,Long Beach,Long Beach,California,,466742,33.768,-118.192,L AO1 NX - B IY0 CH
town,Miami,Miami,Florida,,442241,25.774,-80.192,M AY0 - AE1 - M IY0
town,Oakland,Oakland,California,,440646,37.804,-122.271,OW1 K - L AH0 N D
town,Minneapolis,Minneapolis,Minnesota,,429954,44.977,-93.272,M IH2 - N IY0 - AE1 - P AH0 - L IH0 S
town,Bakersfield,Bakersfield,California,,403455,35.373,-119.019,B EY1 - K ER0 Z - F IY2 L D
town,Arlington,Arlington,Texas,,394266,32.737,-97.107,AA1 R - L IH0 NG - T AH0 N
town,Aurora,Aurora,Colorado,,386261,39.726,-104.847,ER0 - AO1 - R AH0
town,Tampa,Tampa,Florida,,384959,27.949,-82.458,T AE1 M - P AH0
town,Cleveland,Cleveland,Ohio,,372624,41.5,-81.694,K L IY1 V - L AH0 N D
town,Lexington,Lexington,Kentucky,,322570,38.047,-84.498,L EH1 K - S IH0 NG - T AH0 N
town,Stockton,Stockton,California,,320804,37.955,-121.293,S T AA1 K - T AH0 N
town,Henderson,Henderson,Nevada,,317610,36.03,-114.983,HH EH1 N - D ER0 - S AH0 N
town,Riverside,Riverside,California,,314998,33.983,-117.374,R IH1 - V ER0 - S AY2 D
town,Newark,Newark,New Jersey,,311549,40.736,-74.172,N UW1 - ER0 K
town,St Paul,St Paul,Minnesota,,311527,44.946,-93.094,S T P AO1 L
town,Santa Ana,Santa Ana,California,,310227,33.745,-117.868,S AE0 N - T AE1 - N AH0
town,Cincinnati,Cincinnati,Ohio,,309317,39.105,-84.514,S IH2 N - S AH0 - N AE1 - T IY0
town,Irvine,Irvine,California,,307670,33.684,-117.796,ER1 - V AY0 N
town,Orlando,Orlando,Florida,,307573,28.543,-81.378,AO0 R - L AE1 N - D OW0
town,Pittsburgh,Pittsburgh,Pennsylvania,,302971,40.441,-80.003,P IH1 T S - B ER0 G
town,St Louis,St Louis,Missouri,,301578,38.626,-90.191,S T L AW1 IH0 Z
town,Greensboro,Greensboro,North Carolina,,299035,36.073,-79.792,G R IY1 N Z - B ER0 - R OW0
town,Anchorage,Anchorage,Alaska,,291247,61.218,-149.885,AE1 NG - K ER0 - AH0 JH
town,Lincoln,Lincoln,Nebraska,,291082,40.809,-96.7,L IH1 NG - K AH0 N
town,Plano,Plano,Texas,,285494,33.02,-96.698,P L EY1 - N OW0
town,Durham,Durham,North Carolina,,283506,35.995,-78.901,D ER1 - AH0 M
town,Buffalo,Buffalo,New York,,278349,42.886,-78.878,B AH1 - F AH0 - L OW2
town,Chandler,Chandler,Arizona,,275987,33.306,-111.841,CH AE1 N D - L ER0
town,Toledo,Toledo,Ohio,,270871,41.651,-83.542,T AH0 - L IY1 - D OW0
town,Madison,Madison,Wisconsin,,269840,43.074,-89.383,M AE1 - D AH0 - S AH0 N
town,Gilbert,Gilbert,Arizona,,267918,33.354,-111.79,G IH1 L - B ER0 T
town,Reno,Reno,Nevada,,264165,39.529,-119.814,R IY1 - N OW0
town,St Petersburg,St Petersburg,Florida,,258308,27.771,-82.637,S T P IY0 - T ER1 S - B ER0 G
