phoneme,name,county,latitude,longitude
00203,Anchorage,Anchorage Municipality,61.218,-149.900
02863,Fairbanks,Fairbanks North Star Borough,64.838,-147.716
04338,Juneau,Juneau City and Borough,58.302,-134.420
00408,Badger,Fairbanks North Star Borough,64.800,-147.533
01819,College,Fairbanks North Star Borough,64.857,-147.803
07885,Sitka,Sitka City and Borough,57.053,-135.330
05411,Meadow Lakes,Matanuska-Susitna Borough,61.625,-149.601
08177,Steele Creek,Fairbanks North Star Borough,64.926,-147.435
03263,Gateway,Matanuska-Susitna Borough,61.573,-149.241
00727,Bethel,Bethel Census Area,60.792,-161.756
06472,Palmer,Matanuska-Susitna Borough,61.600,-149.113
08187,Sterling,Kenai Peninsula Borough,60.537,-150.765
04000,Homer,Kenai Peninsula Borough,59.642,-151.548
04527,Kodiak,Kodiak Island Borough,57.790,-152.407
02990,Fishhook,Matanuska-Susitna Borough,61.731,-149.284
08781,Valdez,Chugach Census Area,61.084,-146.317
01251,Butte,Matanuska-Susitna Borough,61.542,-149.033
06104,Nome,Nome Census Area,64.501,-165.406
06642,Petersburg,Petersburg Borough,56.811,-132.951
00753,Big Lake,Matanuska-Susitna Borough,61.545,-149.818
02809,Ester,Fairbanks North Star Borough,64.847,-148.014
07247,Ridgeway,Kenai Peninsula Borough,60.532,-151.085
07751,Seward,Kenai Peninsula Borough,60.104,-149.442
01937,Cordova,Chugach Census Area,60.530,-145.642
04050,Houston,Matanuska-Susitna Borough,61.630,-149.818
09315,Willow,Matanuska-Susitna Borough,61.747,-150.037
03634,Haines,Haines Borough,59.229,-135.444
00564,Bear Creek,Kenai Peninsula Borough,60.164,-149.395
02019,Craig,Prince of Wales-Hyder Census Area,55.476,-133.148
03807,Healy,Denali Borough,63.857,-148.966
07592,Sand Point,Aleutians East Borough,55.340,-160.497
06806,Pleasant Valley,Fairbanks North Star Borough,64.881,-146.869
03685,Happy Valley,Kenai Peninsula Borough,59.947,-151.732
08938,Wainwright,North Slope Borough,70.637,-160.038
03606,Gustavus,Hoonah-Angoon Census Area,58.413,-135.737
08175,Stebbins,Nome Census Area,63.522,-162.288
05826,Mountain Village,Kusilvak Census Area,62.086,-163.729
08118,St. Mary's,Kusilvak Census Area,62.063,-163.244
05712,Moose Creek,Fairbanks North Star Borough,64.710,-147.144
01169,Buckland,Northwest Arctic Borough,65.980,-161.123
05269,Marshall,Kusilvak Census Area,61.878,-162.081
08124,St. Paul,Aleutians West Census Area,57.122,-170.275
03209,Galena,Yukon-Koyukuk Census Area,64.733,-156.928
08120,St. Michael,Nome Census Area,63.478,-162.039
08714,Two Rivers,Fairbanks North Star Borough,64.872,-147.038
04463,King Salmon,Bristol Bay Borough,58.688,-156.661
07656,Saxman,Ketchikan Gateway Borough,55.318,-131.596
02674,Elim,Nome Census Area,64.618,-162.261
05379,McGrath,Yukon-Koyukuk Census Area,62.956,-155.596
09271,Whittier,Chugach Census Area,60.777,-148.664
00182,Ambler,Northwest Arctic Borough,67.086,-157.851
02451,Dry Creek,Southeast Fairbanks Census Area,63.653,-144.665
03497,Grayling,Yukon-Koyukuk Census Area,62.904,-160.065
03979,Hollis,Prince of Wales-Hyder Census Area,55.557,-132.636
01929,Copperville,Unorganized Borough,62.072,-145.415
03996,Holy Cross,Yukon-Koyukuk Census Area,62.199,-159.771
00206,Anderson,Denali Borough,64.344,-149.187
02238,Deering,Northwest Arctic Borough,66.076,-162.717
03120,Fox,Fairbanks North Star Borough,64.958,-147.618
08952,Wales,Nome Census Area,65.609,-168.088
09318,Willow Creek,Copper River Census Area,61.830,-145.199
