phoneme,name,county,latitude,longitude
2395,Huntsville,Limestone County,34.782,-86.533
3316,Montgomery,Montgomery County,32.367,-86.300
0440,Birmingham,Jefferson County,33.527,-86.797
0214,Auburn,Lee County,32.610,-85.481
2990,Madison,Limestone County,34.711,-86.762
1281,Decatur,Limestone County,34.573,-86.990
1736,Florence,Lauderdale County,34.800,-87.677
4044,Prattville,Autauga County,32.449,-86.449
1845,Gadsden,Etowah County,34.014,-86.007
3686,Opelika,Lee County,32.645,-85.378
3591,Northport,Tuscaloosa County,33.229,-87.577
1597,Enterprise,Coffee County,31.327,-85.844
1256,Daphne,Baldwin County,30.604,-87.904
0198,Athens,Limestone County,34.803,-86.972
2345,Homewood,Jefferson County,33.472,-86.801
0409,Bessemer,Jefferson County,33.402,-86.954
3836,Pelham,Shelby County,33.286,-86.810
1652,Fairhope,Baldwin County,30.523,-87.903
0048,Albertville,Marshall County,34.268,-86.209
3749,Oxford,Calhoun County,33.597,-85.868
1744,Foley,Baldwin County,30.407,-87.684
2230,Helena,Jefferson County,33.283,-86.879
0136,Anniston,Calhoun County,33.660,-85.832
4052,Prichard,Mobile County,30.739,-88.079
4516,Selma,Dallas County,32.407,-87.021
5021,Troy,Pike County,31.809,-85.970
0721,Calera,Chilton County,33.122,-86.746
3236,Millbrook,Autauga County,32.501,-86.374
1867,Gardendale,Jefferson County,33.660,-86.813
0864,Center Point,Jefferson County,33.646,-86.684
0914,Chelsea,Shelby County,33.340,-86.630
2176,Hartselle,Morgan County,34.443,-86.935
2480,Jasper,Walker County,33.831,-87.278
3750,Ozark,Dale County,31.459,-85.640
3325,Moody,St. Clair County,33.591,-86.491
2448,Irondale,Jefferson County,33.538,-86.707
2469,Jacksonville,Calhoun County,33.814,-85.761
1625,Eufaula,Barbour County,31.891,-85.145
2777,Leeds,Jefferson County,33.547,-86.571
4357,Russellville,Franklin County,34.508,-87.729
5096,Valley,Chambers County,32.819,-85.179
1763,Forestdale,Jefferson County,33.574,-86.903
4661,Spanish Fort,Baldwin County,30.675,-87.915
0989,Clay,Jefferson County,33.697,-86.608
0503,Boaz,Etowah County,34.199,-86.155
4104,Rainbow City,Etowah County,33.955,-86.042
4385,Saks,Calhoun County,33.708,-85.844
1650,Fairfield,Jefferson County,33.475,-86.919
3156,Meadowbrook,Shelby County,33.404,-86.691
3955,Pleasant Grove,Jefferson County,33.491,-86.970
4659,Southside,Calhoun County,33.891,-86.018
4543,Sheffield,Colbert County,34.765,-87.699
5043,Tuscumbia,Colbert County,34.731,-87.703
0123,Andalusia,Covington County,31.308,-86.483
0152,Arab,Cullman County,34.332,-86.501
2060,Greenville,Butler County,31.830,-86.618
3313,Montevallo,Shelby County,33.101,-86.864
5342,Wetumpka,Elmore County,32.544,-86.212
3926,Pinson,Jefferson County,33.689,-86.683
2828,Lincoln,Talladega County,33.613,-86.118
2124,Hamilton,Marion County,34.142,-87.989
4254,Robertsdale,Baldwin County,30.554,-87.712
3680,Oneonta,Blount County,33.948,-86.473
4467,Satsuma,Mobile County,30.853,-88.056
4389,Salem,Lee County,32.597,-85.239
0938,Chickasaw,Mobile County,30.764,-88.075
0415,Beulah,Lee County,32.711,-85.182
2278,Highland Lakes,Shelby County,33.398,-86.648
3301,Monroeville,Monroe County,31.528,-87.325
3330,Moores Mill,Madison County,34.844,-86.518
4106,Rainsville,DeKalb County,34.494,-85.848
1941,Glencoe,Calhoun County,33.948,-85.934
4156,Redland,Elmore County,32.481,-86.144
4250,Roanoke,Randolph County,33.151,-85.372
0581,Brewton,Escambia County,31.105,-87.072
2335,Holtville,Elmore County,32.636,-86.327
4692,Springville,St. Clair County,33.775,-86.472
1240,Daleville,Dale County,31.310,-85.713
5438,Winfield,Fayette County,33.935,-87.791
3887,Piedmont,Calhoun County,33.928,-85.615
2466,Jackson,Clarke County,31.509,-87.894
2362,Horton,Marshall County,34.201,-86.297
3388,Mount Olive,Jefferson County,33.684,-86.875
2108,Haleyville,Marion County,34.234,-87.618
0017,Adamsville,Jefferson County,33.601,-86.956
1080,Columbiana,Shelby County,33.178,-86.607
1693,Fayette,Fayette County,33.685,-87.831
1891,Geneva,Geneva County,31.033,-85.864
2213,Hazel Green,Madison County,34.924,-86.567
0058,Alexandria,Calhoun County,33.766,-85.884
3910,Pine Level,Autauga County,32.584,-86.466
2594,Kimberly,Jefferson County,33.773,-86.814
1726,Flat Rock,Jackson County,34.770,-85.694
1140,Cottondale,Tuscaloosa County,33.190,-87.452
2702,Lake View,Jefferson County,33.288,-87.133
0652,Bryant,Jackson County,34.944,-85.632
4941,Thomasville,Clarke County,31.913,-87.736
0862,Centre,Cherokee County,34.152,-85.679
2333,Holt,Tuscaloosa County,33.230,-87.486
1513,Elba,Coffee County,31.415,-86.068
5262,Weaver,Calhoun County,33.752,-85.811
2227,Heflin,Cleburne County,33.649,-85.587
1635,Evergreen,Conecuh County,31.433,-86.957
3369,Moulton,Lawrence County,34.481,-87.293
5073,Union Springs,Bullock County,32.144,-85.715
3058,Marion,Perry County,32.632,-87.319
2864,Livingston,Sumter County,32.584,-88.187
2671,Ladonia,Russell County,32.466,-85.089
3373,Moundville,Hale County,32.997,-87.628
1232,Dadeville,Tallapoosa County,32.831,-85.764
0577,Brent,Bibb County,32.937,-87.165
3494,New Hope,Madison County,34.537,-86.394
1437,Eagle Point,Shelby County,33.393,-86.676
0876,Centreville,Bibb County,32.945,-87.139
2959,Luverne,Crenshaw County,31.717,-86.264
2170,Hartford,Geneva County,31.102,-85.697
2648,La Fayette,Chambers County,32.900,-85.401
1971,Good Hope,Cullman County,34.116,-86.864
5013,Trinity,Lawrence County,34.597,-87.081
2841,Lineville,Clay County,33.311,-85.754
5532,York,Sumter County,32.486,-88.296
0001,Abbeville,Henry County,31.572,-85.250
0186,Ashville,St. Clair County,33.837,-86.254
0597,Brighton,Jefferson County,33.434,-86.947
1366,Dora,Walker County,33.729,-87.090
0994,Clayton,Barbour County,31.878,-85.450
4907,Taylor,Geneva County,31.169,-85.476
0589,Bridgeport,Jackson County,34.948,-85.714
3355,Morris,Jefferson County,33.748,-86.809
4245,Riverside,St. Clair County,33.606,-86.204
0187,Ashford,Houston County,31.183,-85.236
4743,Stapleton,Baldwin County,30.743,-87.793
2056,Greensboro,Hale County,32.705,-87.596
5373,Whitesboro,Etowah County,34.163,-86.069
5112,Vance,Bibb County,33.174,-87.227
4604,Slocomb,Geneva County,31.108,-85.594
0644,Brundidge,Pike County,31.720,-85.816
2849,Lipscomb,Jefferson County,33.426,-86.927
5075,Uniontown,Perry County,32.450,-87.514
1067,Collinsville,Cherokee County,34.267,-85.869
1516,Elberta,Baldwin County,30.414,-87.598
5154,Vincent,Shelby County,33.383,-86.403
0188,Ashland,Clay County,33.274,-85.836
4762,Stevenson,Jackson County,34.869,-85.839
1168,Creola,Mobile County,30.892,-88.040
2027,Graysville,Jefferson County,33.621,-86.971
3049,Marbury,Autauga County,32.701,-86.471
2838,Linden,Marengo County,32.306,-87.798
5132,Vernon,Lamar County,33.757,-88.109
5430,Wilsonville,Shelby County,33.234,-86.484
