phoneme,name,county,latitude,longitude
2853,Little Rock,Pulaski County,34.746,-92.290
1695,Fayetteville,Washington County,36.063,-94.157
1778,Fort Smith,Sebastian County,35.386,-94.399
4676,Springdale,Benton County,36.191,-94.155
2515,Jonesboro,Craighead County,35.842,-90.704
4287,Rogers,Benton County,36.332,-94.119
1099,Conway,Faulkner County,35.089,-92.442
0392,Bentonville,Benton County,36.373,-94.209
2362,Hot Springs,Garland County,34.504,-93.055
0390,Benton,Saline County,34.565,-92.587
4550,Sherwood,Pulaski County,34.815,-92.224
0350,Bella Vista,Benton County,36.467,-94.266
4355,Russellville,Pope County,35.278,-93.134
4925,Texarkana,Miller County,33.442,-94.038
2467,Jacksonville,Pulaski County,34.866,-92.110
0710,Cabot,Lonoke County,34.975,-92.017
5106,Van Buren,Crawford County,35.437,-94.348
0652,Bryant,Saline County,34.596,-92.489
0868,Centerton,Benton County,36.360,-94.285
4571,Siloam Springs,Benton County,36.188,-94.540
1509,El Dorado,Union County,33.208,-92.666
3056,Marion,Crittenden County,35.215,-90.196
2163,Harrison,Boone County,36.230,-93.108
3396,Mountain Home,Baxter County,36.335,-92.385
1755,Forrest City,St. Francis County,35.008,-90.790
0294,Batesville,Independence County,35.770,-91.641
2995,Magnolia,Columbia County,33.267,-93.239
3008,Malvern,Hot Spring County,34.362,-92.813
0738,Camden,Ouachita County,33.585,-92.834
0167,Arkadelphia,Clark County,34.121,-93.054
2934,Lowell,Benton County,36.255,-94.131
2062,Greenwood,Sebastian County,35.216,-94.256
0983,Clarksville,Johnson County,35.471,-93.467
2349,Hope,Hempstead County,33.667,-93.592
3314,Monticello,Drew County,33.629,-91.791
5439,Wynne,Cross County,35.225,-90.787
1683,Farmington,Washington County,36.042,-94.247
4810,Stuttgart,Arkansas County,34.500,-91.553
3533,Newport,Jackson County,35.605,-91.282
3971,Pocahontas,Randolph County,36.261,-90.971
4036,Prairie Grove,Washington County,35.976,-94.318
3825,Pea Ridge,Benton County,36.454,-94.115
3713,Osceola,Mississippi County,35.705,-89.970
