phoneme,name,county,latitude,longitude
3880,Phoenix,Maricopa County,33.448,-112.074
3196,Mesa,Maricopa County,33.422,-111.823
0890,Chandler,Maricopa County,33.306,-111.841
1914,Gilbert,Maricopa County,33.353,-111.789
1943,Glendale,Maricopa County,33.539,-112.186
3851,Peoria,Maricopa County,33.786,-112.308
4852,Surprise,Maricopa County,33.631,-112.333
0655,Buckeye,Maricopa County,33.370,-112.584
5537,Yuma,Yuma County,32.725,-114.624
0232,Avondale,Maricopa County,33.436,-112.350
0812,Casas Adobes,Pima County,32.323,-110.995
3053,Maricopa,Pinal County,33.058,-112.048
4045,Prescott,Yavapai County,34.540,-112.469
4409,San Luis,Yuma County,32.487,-114.782
1510,El Mirage,Maricopa County,33.590,-112.327
2598,Kingman,Mohave County,35.189,-114.053
1737,Florence,Pinal County,33.031,-111.387
2043,Green Valley,Pima County,31.854,-110.994
3551,Nogales,Santa Cruz County,31.340,-110.934
3508,New River,Maricopa County,33.916,-112.136
3824,Payson,Gila County,34.231,-111.325
1375,Douglas,Cochise County,31.345,-109.545
5088,Vail,Pima County,32.048,-110.712
1103,Coolidge,Pinal County,32.978,-111.518
3782,Paradise Valley,Maricopa County,33.531,-111.943
4371,Saddlebrooke,Pinal County,32.540,-110.856
1141,Cottonwood,Yavapai County,34.739,-112.010
0743,Camp Verde,Yavapai County,34.564,-111.854
3884,Picture Rocks,Pima County,32.346,-111.246
5444,Winslow,Navajo County,35.024,-110.697
1965,Golden Valley,Mohave County,35.223,-114.223
3755,Page,Coconino County,36.915,-111.456
1954,Globe,Gila County,33.394,-110.787
2241,Hereford,Cochise County,31.437,-110.248
5405,Williamson,Yavapai County,34.690,-112.541
0967,Citrus Park,Maricopa County,33.549,-112.444
0387,Benson,Cochise County,31.968,-110.295
4930,Thatcher,Graham County,32.849,-109.759
2082,Guadalupe,Maricopa County,33.371,-111.963
0835,Cave Creek,Maricopa County,33.833,-111.951
4830,Summit,Pima County,32.067,-110.951
0443,Bisbee,Cochise County,31.448,-109.928
2312,Holbrook,Navajo County,34.902,-110.158
4949,Three Points,Pima County,32.077,-111.314
0976,Clarkdale,Yavapai County,34.771,-112.058
4401,San Carlos,Gila County,33.345,-110.453
4905,Taylor,Navajo County,34.465,-110.091
2694,Lake of the Woods,Navajo County,34.164,-109.990
1010,Clifton,Greenlee County,33.051,-109.296
1771,Fort Defiance,Apache County,35.744,-109.076
1125,Cornville,Yavapai County,34.718,-111.922
4706,St. Johns,Apache County,34.506,-109.361
3790,Parker,La Paz County,34.150,-114.289
5403,Williams,Coconino County,35.249,-112.191
5093,Valle Vista,Mohave County,35.411,-113.863
4149,Red Rock,Pinal County,32.575,-111.325
2836,Linden,Navajo County,34.296,-110.093
1325,Desert Hills,Mohave County,34.554,-114.372
1076,Colorado City,Mohave County,36.990,-112.976
4849,Superior,Pinal County,33.294,-111.096
5281,Wellton,Yuma County,32.673,-114.147
4227,Rio Verde,Maricopa County,33.723,-111.676
0238,Bagdad,Yavapai County,34.581,-113.205
4508,Sells,Pima County,31.912,-111.881
0329,Beaver Dam,Mohave County,36.899,-113.933
1780,Fort Valley,Coconino County,35.323,-111.740
0462,Blackwater,Pinal County,33.031,-111.583
3571,North Fork,Navajo County,34.011,-109.960
4471,Scenic,Mohave County,36.794,-114.013
2545,Kearny,Pinal County,33.057,-110.911
3900,Pine,Gila County,34.384,-111.455
2614,Kirkland,Yavapai County,34.417,-112.712
4673,Spring Valley,Yavapai County,34.345,-112.159
3203,Miami,Gila County,33.399,-110.869
4695,St. David,Cochise County,31.904,-110.214
4144,Red Lake,Coconino County,35.361,-112.172
1814,Fredonia,Coconino County,36.946,-112.527
3337,Morenci,Greenlee County,33.079,-109.365
3793,Parks,Coconino County,35.261,-111.949
4290,Roll,Yuma County,32.752,-113.989
3009,Mammoth,Pinal County,32.723,-110.641
3105,Mayer,Yavapai County,34.398,-112.236
4515,Seven Mile,Navajo County,33.785,-109.957
0992,Claypool,Gila County,33.411,-110.843
3148,McNary,Apache County,34.092,-109.851
0494,Blue Ridge,Coconino County,34.634,-111.110
4801,Strawberry,Gila County,34.408,-111.493
0739,Cameron,Coconino County,35.876,-111.413
5398,Wilhoit,Yavapai County,34.426,-112.587
3403,Mountainaire,Coconino County,35.085,-111.666
3923,Pinon,Navajo County,36.101,-110.226
1860,Ganado,Apache County,35.711,-109.542
0498,Bluewater,La Paz County,34.169,-114.265
1846,Gadsden,Yuma County,32.554,-114.785
5088,Valle,Coconino County,35.624,-112.135
4426,Sanders,Apache County,35.216,-109.334
4450,Santa Rosa,Pima County,32.324,-112.041
4719,St. Michaels,Apache County,35.645,-109.096
3454,Nelson,Pima County,32.429,-111.270
4507,Seligman,Yavapai County,35.326,-112.877
5381,Wittmann,Maricopa County,33.776,-112.528
1410,Duncan,Greenlee County,32.721,-109.105
4102,Rainbow City,Navajo County,33.873,-109.976
4329,Round Rock,Apache County,36.513,-109.473
5204,Walnut Creek,Mohave County,35.131,-114.127
1404,Dudleyville,Pinal County,32.917,-110.724
0692,Burnside,Apache County,35.751,-109.625
4619,Solomon,Graham County,32.813,-109.634
5034,Turkey Creek,Navajo County,33.801,-109.946
4262,Rock Point,Apache County,36.718,-109.626
4706,St. Johns,Maricopa County,33.308,-112.197
5137,Vicksburg,La Paz County,33.744,-113.752
2203,Hayden,Gila County,32.995,-110.780
4885,Tacna,Yuma County,32.698,-113.954
4331,Round Valley,Gila County,34.188,-111.302
3915,Pinedale,Navajo County,34.300,-110.233
2490,Jerome,Yavapai County,34.749,-112.114
0871,Central,Graham County,32.868,-109.793
5529,York,Greenlee County,32.894,-109.203
4734,Stanfield,Pinal County,32.883,-111.962
0848,Cedar Creek,Gila County,33.896,-110.174
0542,Bowie,Cochise County,32.326,-109.487
4406,San Jose,Graham County,32.820,-109.592
4755,Steamboat,Apache County,35.751,-109.848
5130,Vernon,Apache County,34.258,-109.693
1779,Fort Thomas,Graham County,33.037,-109.965
3881,Picacho,Pinal County,32.716,-111.495
0950,Chloride,Mohave County,35.414,-114.199
4414,San Miguel,Pima County,31.613,-111.782
2417,Indian Wells,Navajo County,35.406,-110.085
1141,Cottonwood,Apache County,36.073,-109.892
1205,Crystal Beach,Mohave County,34.571,-114.393
1393,Dripping Springs,Gila County,33.105,-110.755
1526,Elgin,Santa Cruz County,31.660,-110.525
3355,Morristown,Maricopa County,33.857,-112.623
5488,Woodruff,Navajo County,34.781,-110.043
4015,Poston,La Paz County,33.991,-114.396
4563,Shumway,Navajo County,34.406,-110.073
1288,Deer Creek,Gila County,34.069,-111.352
0091,Alpine,Apache County,33.848,-109.143
