phoneme,name,county,latitude,longitude
2912,Los Angeles,Los Angeles County,34.052,-118.244
4403,San Diego,San Diego County,32.715,-117.157
4406,San Jose,Santa Clara County,37.339,-121.895
1827,Fresno,Fresno County,36.748,-119.772
4369,Sacramento,Sacramento County,38.582,-121.494
2889,Long Beach,Los Angeles County,33.767,-118.189
3626,Oakland,Alameda County,37.804,-122.271
0247,Bakersfield,Kern County,35.373,-119.019
4779,Stockton,San Joaquin County,37.958,-121.291
4243,Riverside,Riverside County,33.953,-117.396
4442,Santa Ana,Orange County,33.746,-117.868
2449,Irvine,Orange County,33.669,-117.823
0957,Chula Vista,San Diego County,32.640,-117.084
1821,Fremont,Alameda County,37.548,-121.989
3282,Modesto,Stanislaus County,37.639,-120.997
1748,Fontana,San Bernardino County,34.092,-117.435
1943,Glendale,Los Angeles County,34.143,-118.255
1536,Elk Grove,Sacramento County,38.409,-121.372
3682,Ontario,San Bernardino County,34.063,-117.651
4450,Santa Rosa,Sonoma County,38.440,-122.714
3636,Oceanside,San Diego County,33.196,-117.379
1865,Garden Grove,Orange County,33.774,-117.941
2723,Lancaster,Los Angeles County,34.698,-118.137
3768,Palmdale,Los Angeles County,34.579,-118.116
2208,Hayward,Alameda County,37.669,-122.081
1127,Corona,Riverside County,33.875,-117.566
4843,Sunnyvale,Santa Clara County,37.369,-122.036
4314,Roseville,Placer County,38.752,-121.288
3988,Pomona,Los Angeles County,34.055,-117.752
5164,Visalia,Tulare County,36.330,-119.292
1843,Fullerton,Orange County,33.870,-117.925
3689,Orange,Orange County,33.788,-117.853
3807,Pasadena,Los Angeles County,34.148,-118.145
4443,Santa Clara,Santa Clara County,37.354,-121.955
1090,Concord,Contra Costa County,37.978,-122.031
1020,Clovis,Fresno County,36.825,-119.703
1651,Fairfield,Solano County,38.249,-122.040
0395,Berkeley,Alameda County,37.872,-122.273
4201,Richmond,Contra Costa County,37.936,-122.348
0782,Carlsbad,San Diego County,33.158,-117.351
0143,Antioch,Contra Costa County,38.005,-121.806
1378,Downey,Los Angeles County,33.940,-118.133
4447,Santa Maria,Santa Barbara County,34.953,-120.436
3180,Menifee,Riverside County,33.728,-117.146
0679,Burbank,Los Angeles County,34.181,-118.309
2425,Inglewood,Los Angeles County,33.962,-118.353
0939,Chico,Butte County,39.728,-121.837
4413,San Mateo,San Mateo County,37.563,-122.326
2253,Hesperia,San Bernardino County,34.426,-117.301
3598,Norwalk,Los Angeles County,33.902,-118.082
5165,Vista,San Diego County,33.200,-117.243
4998,Tracy,San Joaquin County,37.740,-121.425
4410,San Marcos,San Diego County,33.143,-117.166
