phoneme,name,county,latitude,longitude
1411,Denver,Denver County,39.739,-104.985
0226,Aurora,Adams County,39.704,-104.720
2869,Lakewood,Jefferson County,39.705,-105.081
5065,Thornton,Adams County,39.920,-104.941
0185,Arvada,Adams County,39.834,-105.150
5443,Westminster,Adams County,39.880,-105.062
2188,Greeley,Weld County,40.423,-104.709
0918,Centennial,Arapahoe County,39.579,-104.877
0544,Boulder,Boulder County,40.015,-105.271
3073,Loveland,Larimer County,40.398,-105.075
0879,Castle Rock,Douglas County,39.372,-104.856
2146,Grand Junction,Mesa County,39.064,-108.551
0751,Parker,Douglas County,39.519,-104.761
3007,Littleton,Arapahoe County,39.590,-105.020
0608,Brighton,Adams County,39.966,-104.794
5539,Windsor,Larimer County,40.478,-104.915
1705,Englewood,Arapahoe County,39.648,-104.988
1053,Erie,Boulder County,40.040,-105.038
2829,Lafayette,Boulder County,39.994,-105.090
1921,Fountain,El Paso County,38.682,-104.701
1743,Evans,Weld County,40.376,-104.692
3071,Louisville,Boulder County,39.978,-105.132
3453,Montrose,Montrose County,38.478,-107.876
1083,Clifton,Mesa County,39.092,-108.449
2109,Golden,Jefferson County,39.756,-105.221
1516,Durango,La Plata County,37.275,-107.880
2668,Johnstown,Larimer County,40.384,-104.968
1945,Frederick,Weld County,40.099,-104.937
3036,Lone Tree,Douglas County,39.531,-104.862
4888,Sterling,Logan County,40.626,-103.208
4974,Superior,Boulder County,39.931,-105.159
5388,Wellington,Larimer County,40.704,-105.009
1911,Fort Morgan,Morgan County,40.250,-103.800
0983,Cherry Creek,Arapahoe County,39.635,-104.883
0403,Berkley,Adams County,39.804,-105.026
3455,Monument,El Paso County,39.092,-104.873
1784,Falcon,El Paso County,38.933,-104.608
1611,Edwards,Eagle County,39.645,-106.594
1772,Fairmount,Jefferson County,39.793,-105.171
4654,Severance,Weld County,40.524,-104.851
1748,Evergreen,Jefferson County,39.633,-105.317
1399,Delta,Delta County,38.742,-108.069
4287,Redlands,Mesa County,39.079,-108.636
1414,Derby,Adams County,39.839,-104.919
1239,Craig,Moffat County,40.515,-107.546
1213,Cortez,Montezuma County,37.349,-108.586
5589,Woodmoor,El Paso County,39.101,-104.847
3382,Milliken,Weld County,40.329,-104.855
2258,Gypsum,Eagle County,39.647,-106.952
5128,Trinidad,Las Animas County,37.169,-104.501
0247,Bailey,Park County,39.405,-105.472
5583,Woodland Park,Teller County,38.994,-105.057
1974,Fruitvale,Mesa County,39.082,-108.497
2873,Lamar,Prowers County,38.087,-102.621
5163,Twin Lakes,Adams County,39.825,-105.005
1526,Eagle,Eagle County,39.655,-106.829
2251,Gunnison,Gunnison County,38.546,-106.925
0825,Carbondale,Garfield County,39.402,-107.211
0236,Avon,Eagle County,39.631,-106.522
4518,Sheridan,Arapahoe County,39.647,-105.025
1570,Eaton,Weld County,40.530,-104.711
4521,Salida,Chaffee County,38.535,-105.999
3292,Mead,Weld County,40.233,-104.999
0585,Breckenridge,Summit County,39.482,-106.038
3334,Meridian,Douglas County,39.552,-104.859
1596,Edgewater,Jefferson County,39.753,-105.064
3610,New Castle,Garfield County,39.573,-107.536
5203,Vail,Eagle County,39.640,-106.374
2089,Glendale,Arapahoe County,39.705,-104.934
2029,Genesee,Jefferson County,39.686,-105.273
0295,Basalt,Eagle County,39.369,-107.049
1867,Florence,Fremont County,38.390,-105.119
4411,Rocky Ford,Otero County,38.053,-103.720
