phoneme,name,county,latitude,longitude
0589,Bridgeport,Fairfield County,41.187,-73.196
4734,Stamford,Fairfield County,41.080,-73.546
3492,New Haven,New Haven County,41.311,-72.925
2170,Hartford,Tolland County,41.766,-72.682
5238,Waterbury,New Haven County,41.559,-73.037
3599,Norwalk,Fairfield County,41.093,-73.420
1246,Danbury,Fairfield County,41.399,-73.478
3474,New Britain,Hartford County,41.677,-72.786
5298,West Hartford,Hartford County,41.767,-72.755
2061,Greenwich,Fairfield County,41.045,-73.634
1650,Fairfield,Fairfield County,41.176,-73.272
2121,Hamden,New Haven County,41.397,-72.922
0603,Bristol,New Haven County,41.682,-72.941
3193,Meriden,New Haven County,41.537,-72.795
3015,Manchester,Hartford County,41.775,-72.524
5299,West Haven,New Haven County,41.272,-72.968
3230,Milford,New Haven County,41.225,-73.061
4799,Stratford,Fairfield County,41.206,-73.128
3218,Middletown,Middlesex County,41.549,-72.657
5203,Wallingford,New Haven County,41.459,-72.805
4656,Southington,Hartford County,41.607,-72.879
1590,Enfield,Hartford County,41.984,-72.556
4550,Shelton,Fairfield County,41.305,-73.139
3601,Norwich,New London County,41.548,-72.089
2074,Groton,Southeastern Connecticut ,41.348,-72.031
5023,Trumbull,Fairfield County,41.273,-73.212
4990,Torrington,Litchfield County,41.834,-73.131
3532,Newington,Hartford County,41.687,-72.731
5132,Vernon,Tolland County,41.838,-72.459
5435,Windsor,Hartford County,41.871,-72.675
0931,Cheshire,New Haven County,41.512,-72.904
3502,New Milford,Western Connecticut ,41.601,-73.423
0568,Branford,New Haven County,41.280,-72.786
1452,East Haven,New Haven County,41.293,-72.859
3499,New London,New London County,41.333,-72.096
3537,Newtown,Fairfield County,41.400,-73.294
5338,Westport,Fairfield County,41.121,-73.343
5341,Wethersfield,Hartford County,41.702,-72.669
1682,Farmington,Hartford County,41.730,-72.842
3031,Mansfield,Tolland County,41.789,-72.228
4212,Ridgefield,Western Connecticut ,41.318,-73.500
5434,Windham,New London County,41.714,-72.169
3574,North Haven,New Haven County,41.381,-72.856
5242,Watertown,Naugatuck Valley ,41.617,-73.114
1918,Guilford,New Haven County,41.339,-72.706
1257,Darien,Fairfield County,41.052,-73.480
0479,Bloomfield,Hartford County,41.844,-72.741
4282,Rocky Hill,Hartford County,41.657,-72.662
0410,Bethel,Fairfield County,41.370,-73.389
0397,Berlin,Hartford County,41.605,-72.778
5239,Waterford,Southeastern Connecticut ,41.352,-72.147
0232,Avon,Hartford County,41.787,-72.852
0141,Ansonia,New Haven,41.344,-73.070
3299,Monroe,Fairfield County,41.339,-73.223
3323,Montville,New London County,41.464,-72.156
5431,Wilton,Fairfield County,41.211,-73.441
4788,Stonington,Southeastern Connecticut ,41.364,-71.911
5412,Willimantic,Windham County,41.717,-72.212
2990,Madison,New Haven County,41.344,-72.625
0618,Brookfield,Fairfield County,41.470,-73.395
3948,Plainville,Hartford County,41.674,-72.854
4529,Seymour,New Haven County,41.385,-73.084
1548,Ellington,Tolland County,41.914,-72.446
5462,Wolcott,New Haven County,41.595,-72.969
4816,Suffield,Hartford County,42.000,-72.679
1050,Colchester,Southeastern Connecticut ,41.557,-72.344
2775,Ledyard,New London County,41.431,-72.020
3945,Plainfield,Windham County,41.694,-71.901
4978,Tolland,Tolland County,41.883,-72.359
1186,Cromwell,Middlesex County,41.617,-72.662
3690,Orange,New Haven County,41.285,-73.025
1012,Clinton,Lower Connecticut River Valley ,41.295,-72.530
1451,East Hampton,Lower Connecticut River Valley ,41.568,-72.510
3749,Oxford,New Haven County,41.444,-73.148
1320,Derby,New Haven County,41.326,-73.083
1149,Coventry,Tolland County,41.780,-72.344
3971,Plymouth,New Haven County,41.666,-73.027
4731,Stafford,Tolland County,41.984,-72.308
2071,Griswold,New London County,41.585,-71.921
1459,East Windsor,Hartford County,41.904,-72.564
1994,Granby,Hartford County,41.971,-72.830
5335,Weston,Western Connecticut ,41.227,-73.367
4630,Somers,Capitol ,41.993,-72.454
5433,Winchester,Litchfield County,41.927,-73.109
0764,Canton,Hartford County,41.859,-72.911
5476,Woodbury,New Haven County,41.562,-73.206
2568,Kensington,Hartford County,41.626,-72.769
0688,Burlington,Hartford County,41.749,-72.949
3629,Oakville,Litchfield County,41.589,-73.090
4012,Portland,Middlesex County,41.599,-72.589
4440,Sandy Hook,Fairfield County,41.409,-73.243
4061,Prospect,New Haven County,41.499,-72.976
2074,Groton,New London County,41.325,-72.067
4075,Putnam,Windham County,41.908,-71.870
4942,Thompson,Windham County,41.990,-71.867
4245,Riverside,Fairfield County,41.030,-73.584
2225,Hebron,Tolland County,41.659,-72.393
5474,Woodbridge,New Haven County,41.364,-73.004
4139,Redding,Fairfield County,41.305,-73.393
0621,Brooklyn,Windham County,41.787,-71.957
2895,Long Hill,Fairfield County,41.267,-73.228
5495,Woodstock,Windham County,41.966,-72.023
2852,Litchfield,Litchfield County,41.741,-73.193
4943,Thompsonville,Hartford County,41.992,-72.597
3213,Middlebury,New Haven County,41.525,-73.123
4277,Rockville,Tolland County,41.867,-72.451
1462,Easton,Fairfield County,41.265,-73.300
4940,Thomaston,New Haven County,41.665,-73.096
1423,Durham,Middlesex County,41.469,-72.685
4212,Ridgefield,Fairfield County,41.270,-73.493
