phoneme,name,county,latitude,longitude
09329,Wilmington,New Castle County,39.746,-75.547
02419,Dover,Kent County,39.158,-75.524
06047,Newark,New Castle County,39.684,-75.750
05519,Middletown,New Castle County,39.450,-75.716
00409,Bear,New Castle County,39.629,-75.658
03335,Glasgow,New Castle County,39.605,-75.745
01113,Brookside,New Castle County,39.667,-75.727
07936,Smyrna,Kent County / New Castle County,39.292,-75.607
05540,Milford,Kent County / Sussex County,38.910,-75.422
07708,Seaford,Sussex County,38.641,-75.611
06162,North Star,New Castle County,39.761,-75.719
03279,Georgetown,Sussex County,38.690,-75.385
06692,Pike Creek,New Castle County,39.731,-75.704
05573,Millsboro,Sussex County,38.592,-75.291
02612,Edgemoor,New Castle County,39.750,-75.500
02731,Elsmere,New Castle County,39.739,-75.598
05968,New Castle,New Castle County,39.662,-75.566
01309,Camden,Kent County,39.113,-75.542
04714,Laurel,Sussex County,38.556,-75.571
01709,Clayton,Kent County / New Castle County,39.274,-75.632
03720,Harrington,Kent County,38.924,-75.578
05583,Milton,Sussex County,38.778,-75.310
07726,Selbyville,Sussex County,38.460,-75.221
08607,Townsend,New Castle County,39.395,-75.692
03548,Greenville,New Castle County,39.779,-75.598
06250,Ocean View,Sussex County,38.545,-75.089
01063,Bridgeville,Sussex County,38.743,-75.604
02279,Delmar,Sussex County,38.457,-75.577
07290,Riverview,Kent County,39.026,-75.511
05576,Millville,Sussex County,38.550,-75.123
09467,Wyoming,Kent County,39.118,-75.559
02947,Felton,Kent County,39.008,-75.578
00644,Bellefonte,New Castle County,39.766,-75.509
03552,Greenwood,Sussex County,38.807,-75.591
00729,Bethany Beach,Sussex County,38.540,-75.055
04861,Lincoln,Sussex County,38.870,-75.423
06065,Newport,New Castle County,39.714,-75.609
03131,Frankford,Sussex County,38.517,-75.235
02698,Ellendale,Sussex County,38.807,-75.423
00265,Arden,New Castle County,39.809,-75.487
04050,Houston,Kent County,38.918,-75.505
06263,Odessa,New Castle County,39.457,-75.661
00965,Bowers,Kent County,39.062,-75.403
05144,Magnolia,Kent County,39.071,-75.476
00727,Bethel,Sussex County,38.571,-75.620
04409,Kenton,Kent County,39.228,-75.663
04898,Little Creek,Kent County,39.167,-75.448
09429,Woodside,Kent County,39.072,-75.568
04779,Leipsic,Kent County,39.241,-75.517
08899,Viola,Kent County,39.043,-75.572
02921,Farmington,Kent County,38.869,-75.579
00031,Adams Crossroads,Sussex County,38.797,-75.701
00034,Adamsville,Kent County,38.831,-75.689
00213,Angola,Sussex County,38.669,-75.189
00327,Ashland,New Castle County,39.800,-75.657
00347,Atlanta,Sussex County,38.709,-75.678
00538,Bayard,Sussex County,38.500,-75.132
00649,Bellevue,New Castle County,39.771,-75.484
00659,Belltown,Sussex County,38.747,-75.178
00667,Belvedere,New Castle County,39.722,-75.616
00717,Berrytown,Kent County,39.013,-75.594
00814,Blackbird,New Castle County,39.371,-75.659
00839,Blanchard,Sussex County,38.821,-75.652
00876,Blue Ball,New Castle County,39.777,-75.545
01082,Broad Creek,Sussex County,38.586,-75.584
01135,Brownsville,Kent County,38.914,-75.680
01344,Cannon,Sussex County,38.699,-75.615
01352,Canterbury,Kent County,39.042,-75.556
01394,Carpenter,New Castle County,39.818,-75.464
01474,Cedar Beach,Sussex County,38.933,-75.317
01479,Cedar Creek,Sussex County,38.868,-75.380
01519,Centerville,New Castle County,39.821,-75.617
01649,Christiana,New Castle County,39.665,-75.660
01697,Clarksville,Sussex County,38.549,-75.148
01869,Concord,Sussex County,38.642,-75.555
01911,Cool Spring,Sussex County,38.732,-75.248
02081,Cross Keys,Sussex County,38.566,-75.368
02490,Dunleith,New Castle County,39.709,-75.556
02719,Elmhurst,New Castle County,39.731,-75.590
02877,Fairmount,Sussex County,38.666,-75.221
02941,Federalsburg,Sussex County,38.828,-75.429
02967,Fieldsboro,New Castle County,39.417,-75.659
03494,Gravel Hill,Sussex County,38.714,-75.316
03507,Green Acres,New Castle County,39.790,-75.497
03517,Green Meadow,New Castle County,39.790,-75.518
03529,Greenbank,New Castle County,39.739,-75.636
03873,Hickman,Kent County,38.833,-75.723
03923,Hillcrest,New Castle County,39.763,-75.507
04134,Indian Beach,Sussex County,38.686,-75.073
04289,Jimtown,Sussex County,38.732,-75.187
04297,Johnson,Sussex County,38.475,-75.139
04493,Kirkwood,New Castle County,39.572,-75.696
04878,Lynnfield,New Castle County,39.789,-75.508
04901,Little Hell,Kent County,39.042,-75.457
04926,Lowe,Sussex County,38.525,-75.509
05037,Loveville,New Castle County,39.771,-75.664
05270,Marshallton,New Castle County,39.726,-75.654
05290,Marydel,Kent County,39.112,-75.744
05334,Mayfield,New Castle County,39.797,-75.508
05375,McDonough,New Castle County,39.491,-75.650
05413,Meadowbrook,New Castle County,39.753,-75.723
05422,Mechanicsville,New Castle County,39.717,-75.784
05528,Midway,Sussex County,38.728,-75.129
05543,Mill Creek,New Castle County,39.785,-75.705
05575,Milltown,New Castle County,39.731,-75.666
05617,Mission,Sussex County,38.546,-75.354
05702,Moores Corner,Kent County,39.209,-75.606
05801,Mount Pleasant,New Castle County,39.511,-75.711
05900,Nassau,Sussex County,38.752,-75.188
06160,North Shores,Sussex County,38.736,-75.084
06223,Oak Orchard,Sussex County,38.596,-75.173
06237,Oakley,Sussex County,38.806,-75.489
06320,Omar,Sussex County,38.527,-75.200
06421,Overbrook,Sussex County,38.767,-75.215
06431,Owens,Sussex County,38.806,-75.526
06637,Perth,New Castle County,39.804,-75.524
06642,Petersburg,Kent County,39.049,-75.648
06737,Pinetown,Sussex County,38.745,-75.224
06812,Pleasantville,New Castle County,39.664,-75.626
06887,Porter,New Castle County,39.600,-75.690
07003,Quakertown,Sussex County,38.755,-75.159
07006,Quarryville,New Castle County,39.779,-75.487
07123,Red Lion,New Castle County,39.608,-75.664
07166,Reliance,Sussex County,38.635,-75.706
07287,Riverside,New Castle County,39.796,-75.466
07333,Rockland,New Castle County,39.796,-75.572
07439,Roxana,Sussex County,38.496,-75.170
07602,Sandtown,Kent County,39.033,-75.719
07693,Scotts Corner,Sussex County,38.781,-75.667
07790,Shellburne,New Castle County,39.781,-75.512
08151,Stanton,New Castle County,39.716,-75.641
08167,State Road,New Castle County,39.651,-75.623
08211,Stockley,Sussex County,38.641,-75.340
08376,Sycamore,Sussex County,38.596,-75.491
08428,Tavistock,New Castle County,39.806,-75.558
08498,Thompsonville,Kent County,38.999,-75.390
08856,Vernon,Kent County,38.893,-75.653
08994,Ward,Sussex County,38.485,-75.478
09011,Warwick,Sussex County,38.603,-75.231
09182,Westover Hills,New Castle County,39.763,-75.591
09248,Whiteleysburg,Kent County,38.958,-75.732
09256,Whitesville,Sussex County,38.459,-75.427
09308,Williamsville,Kent County,38.896,-75.510
09308,Williamsville,Sussex County,38.460,-75.133
09319,Willow Grove,Kent County,39.071,-75.628
09330,Wilmont,New Castle County,39.807,-75.537
09404,Woodbrook,New Castle County,39.794,-75.558
09407,Wooddale,New Castle County,39.766,-75.637
09411,Woodland,Sussex County,38.600,-75.658
09412,Woodland Beach,Kent County,39.333,-75.475
09496,Yorklyn,New Castle County,39.808,-75.676
09528,Zoar,Sussex County,38.647,-75.297
