phoneme,name,county,latitude,longitude
2469,Jacksonville,Duval County,30.332,-81.656
3205,Miami,Miami-Dade County,25.774,-80.194
4896,Tampa,Hillsborough County,27.948,-82.458
3703,Orlando,Orange County,28.538,-81.379
4383,St. Petersburg,Pinellas County,27.771,-82.679
5296,West End,Miami-Dade County,25.632,-80.435
2330,Hollywood,Broward County,26.011,-80.149
1848,Gainesville,Alachua County,29.652,-82.325
3276,Miramar,Broward County,25.987,-80.232
1002,Clearwater,Pinellas County,27.966,-82.800
2705,Lakeland,Polk County,28.039,-81.950
0564,Brandon,Hillsborough County,27.938,-82.286
4677,Spring Hill,Hernando County,28.477,-82.525
1262,Davie,Broward County,26.063,-80.233
4247,Riverview,Hillsborough County,27.866,-82.326
4847,Sunrise,Broward County,26.172,-80.262
3950,Plantation,Broward County,26.128,-80.233
3171,Melbourne,Brevard County,28.084,-80.608
3907,Pine Hills,Orange County,28.558,-81.453
2741,Largo,Pinellas County,27.909,-82.787
3206,Miami Beach,Miami-Dade County,25.791,-80.130
2342,Homestead,Miami-Dade County,25.469,-80.478
2560,Kendall,Miami-Dade County,25.667,-80.357
5335,Weston,Broward County,26.100,-80.400
5290,Wesley Chapel,Pasco County,28.240,-82.328
4701,St. Cloud,Osceola County,28.249,-81.281
5277,Wellington,Palm Beach County,26.659,-80.241
3767,Palm Harbor,Pinellas County,28.084,-82.754
2533,Jupiter,Palm Beach County,26.934,-80.094
4446,Sanford,Seminole County,28.801,-81.273
3578,North Miami,Miami-Dade County,25.890,-80.187
5322,Westchester,Miami-Dade County,25.755,-80.327
3851,Pensacola,Escambia County,30.421,-87.217
1144,Country Club,Miami-Dade County,25.939,-80.311
1790,Four Corners,Lake County,28.333,-81.647
4971,Titusville,Brevard County,28.612,-80.808
5078,University,Hillsborough County,28.077,-82.433
3638,Ocoee,Orange County,28.569,-81.544
0970,Clermont,Lake County,28.549,-81.773
2044,Greenacres,Palm Beach County,26.624,-80.125
3445,Navarre,Santa Rosa County,30.401,-86.863
3742,Oviedo,Seminole County,28.670,-81.208
4055,Princeton,Miami-Dade County,25.536,-80.397
2727,Land O' Lakes,Pasco County,28.219,-82.458
4249,Riviera Beach,Palm Beach County,26.775,-80.058
2754,Lauderdale Lakes,Broward County,26.166,-80.208
3794,Parkland,Broward County,26.310,-80.237
3778,Panama City,Bay County,30.159,-85.660
2710,Lakeside,Clay County,30.130,-81.768
5078,University,Orange County,28.590,-81.204
1454,East Lake,Pinellas County,28.100,-82.697
5449,Winter Park,Orange County,28.600,-81.339
0820,Casselberry,Seminole County,28.678,-81.328
