phoneme,name,county,latitude,longitude
0202,Atlanta,DeKalb County,33.763,-84.423
0218,Augusta,Richmond County,33.361,-82.075
1079,Columbus,Muscogee County,32.461,-84.988
2981,Macon,Bibb County,32.809,-83.694
4463,Savannah,Chatham County,32.084,-81.100
0197,Athens,Clarke County,33.952,-83.367
4631,South Fulton,Fulton County,33.601,-84.551
4435,Sandy Springs,Fulton County,33.924,-84.379
4317,Roswell,Cobb County,34.039,-84.351
0044,Albany,Dougherty County,31.579,-84.156
3050,Marietta,Cobb County,33.953,-84.550
4603,Smyrna,Cobb County,33.884,-84.514
0617,Brookhaven,DeKalb County,33.858,-84.340
1845,Gainesville,Hall County,34.298,-83.824
3253,Milton,Fulton County,34.132,-84.301
1627,Evans,Columbia County,33.534,-82.131
4182,Rome,Floyd County,34.257,-85.165
5019,Tucker,DeKalb County,33.855,-84.217
5485,Woodstock,Cherokee County,34.101,-84.519
1372,Douglasville,Douglas County,33.752,-84.748
0762,Canton,Cherokee County,34.237,-84.491
1240,Dalton,Whitfield County,34.770,-84.970
3073,Martinez,Columbia County,33.517,-82.076
1401,Duluth,Gwinnett County,34.003,-84.145
2670,LaGrange,Troup County,33.039,-85.031
2758,Lawrenceville,Gwinnett County,33.956,-83.988
3125,McDonough,Henry County,33.447,-84.147
4768,Stockbridge,Henry County,33.544,-84.234
0794,Carrollton,Carroll County,33.580,-85.077
5060,Union City,Fulton County,33.587,-84.542
4811,Sugar Hill,Gwinnett County,34.106,-84.034
1279,Decatur,DeKalb County,33.775,-84.296
2065,Griffin,Spalding County,33.247,-84.264
0803,Cartersville,Bartow County,34.165,-84.800
0009,Acworth,Cobb County,34.066,-84.677
3848,Perry,Houston County,32.472,-83.726
1758,Forest Park,Clayton County,33.622,-84.369
1691,Fayetteville,Fayette County,33.449,-84.455
2599,Kingsland,Camden County,30.800,-81.690
4932,Thomasville,Thomas County,30.837,-83.979
4711,St. Marys,Camden County,30.731,-81.546
0868,Centerville,Gwinnett County,33.804,-84.043
0670,Buford,Gwinnett County,34.120,-83.990
3550,Norcross,Gwinnett County,33.941,-84.214
4197,Richmond Hill,Bryan County,31.938,-81.303
2323,Holly Springs,Cherokee County,34.174,-84.501
0720,Calhoun,Gordon County,34.503,-84.951
3232,Milledgeville,Baldwin County,33.080,-83.232
1643,Fairburn,Fulton County,33.567,-84.581
1396,Dublin,Laurens County,32.540,-82.904
0112,Americus,Sumter County,32.072,-84.233
3292,Monroe,Walton County,33.795,-83.713
4235,Riverdale,Clayton County,33.573,-84.413
2874,Loganville,Gwinnett County,33.837,-83.896
0644,Brunswick,Glynn County,31.150,-81.491
0980,Clarkston,DeKalb County,33.810,-84.240
1239,Dallas,Paulding County,33.924,-84.841
1149,Covington,Newton County,33.597,-83.860
0244,Bainbridge,Decatur County,30.904,-84.575
2478,Jefferson,Jackson County,34.117,-83.572
1060,College Park,Clayton County,33.641,-84.463
5243,Waycross,Pierce County,31.211,-82.358
3396,Mountain Park,Gwinnett County,33.844,-84.129
1894,Georgetown,Chatham County,31.983,-81.227
1371,Douglas,Coffee County,31.509,-82.850
4215,Rincon,Effingham County,32.296,-81.235
