phoneme,name,latitude,longitude
04344,Kailua,21.402,-157.739
04344,Kailua,19.639,-155.990
08937,Waimea,20.023,-155.672
05825,Mountain View,19.553,-155.104
08936,Wailua,22.049,-159.335
04414,Keokea,20.705,-156.357
06966,Princeville,22.218,-159.479
08937,Waimea,21.957,-159.669
06304,Olinda,20.827,-156.289
08910,Volcano,19.428,-155.235
03670,Hana,20.774,-156.014
07714,Seaview,19.408,-154.924
08722,ʻUalapuʻe,21.062,-156.831
08722,Ualapue,21.072,-156.835
03624,Haena,22.218,-159.561
03624,Hāʻena,22.221,-159.561
04414,Keokea,19.419,-155.883
06574,Pearl City,21.391,-157.972
08936,Wailua,20.846,-156.135
