phoneme,name,county,latitude,longitude
1320,Des Moines,Polk County,41.573,-93.610
0853,Cedar Rapids,Linn County,42.008,-91.644
1259,Davenport,Scott County,41.524,-90.578
5232,Waterloo,Black Hawk County,42.493,-92.343
0113,Ames,Story County,42.035,-93.620
1398,Dubuque,Dubuque County,42.501,-90.665
3052,Marion,Linn County,42.034,-91.598
3067,Marshalltown,Marshall County,42.049,-92.908
3083,Mason City,Cerro Gordo County,43.154,-93.201
1768,Fort Dodge,Webster County,42.497,-94.168
1010,Clinton,Clinton County,41.844,-90.189
2503,Johnston,Polk County,41.673,-93.698
0686,Burlington,Des Moines County,40.808,-91.113
3570,North Liberty,Johnson County,41.749,-91.598
0099,Altoona,Polk County,41.644,-93.465
2066,Grimes,Dallas County,41.678,-93.802
2415,Indianola,Warren County,41.358,-93.557
3529,Newton,Jasper County,41.700,-93.048
3592,Norwalk,Polk County,41.492,-93.702
0524,Boone,Boone County,42.060,-93.880
3710,Oskaloosa,Mahaska County,41.296,-92.644
4652,Spencer,Clay County,43.141,-95.144
3948,Pleasant Hill,Polk County,41.584,-93.520
3831,Pella,Mahaska County,41.405,-92.917
5243,Waverly,Bremer County,42.726,-92.475
0793,Carroll,Carroll County,42.066,-94.867
1647,Fairfield,Jefferson County,41.009,-91.963
3382,Mount Pleasant,Henry County,40.964,-91.558
1308,Denison,Crawford County,42.018,-95.355
0519,Bondurant,Polk County,41.701,-93.462
3848,Perry,Dallas County,41.839,-94.107
0995,Clear Lake,Cerro Gordo County,43.138,-93.379
1173,Creston,Union County,41.059,-94.361
2627,Knoxville,Marion County,41.321,-93.109
0895,Charles City,Floyd County,43.066,-92.672
5224,Washington,Washington County,41.299,-91.693
3456,Nevada,Story County,42.023,-93.452
0203,Atlantic,Cass County,41.404,-95.014
1521,Eldridge,Scott County,41.658,-90.585
0020,Adel,Dallas County,41.614,-94.017
3684,Orange City,Sioux County,43.007,-96.058
2406,Independence,Buchanan County,42.469,-91.889
0182,Asbury,Dubuque County,42.514,-90.752
3975,Polk City,Polk County,41.771,-93.713
4141,Red Oak,Montgomery County,41.010,-95.226
3707,Osceola,Clarke County,41.034,-93.766
1328,DeWitt,Clinton County,41.823,-90.538
4534,Sheldon,O'Brien County,43.180,-95.844
4655,Spirit Lake,Dickinson County,43.422,-95.102
0066,Algona,Kossuth County,43.070,-94.233
0868,Centerville,Appanoose County,40.734,-92.874
4951,Tiffin,Johnson County,41.706,-91.663
1948,Glenwood,Mills County,41.047,-95.743
5428,Windsor Heights,Polk County,41.598,-93.708
0919,Cherokee,Cherokee County,42.749,-95.552
3009,Manchester,Delaware County,42.484,-91.455
5151,Vinton,Benton County,42.169,-92.024
2145,Harlan,Shelby County,41.653,-95.326
4537,Shenandoah,Fremont County,40.758,-95.372
2379,Humboldt,Humboldt County,42.721,-94.215
2395,Huxley,Story County,41.895,-93.601
3386,Mount Vernon,Linn County,41.922,-91.417
2126,Hampton,Franklin County,42.742,-93.202
1751,Forest City,Hancock County,43.257,-93.637
