phoneme,name,county,latitude,longitude
0512,Boise,Ada County,43.614,-116.203
3192,Meridian,Ada County,43.612,-116.392
0719,Caldwell,Canyon County,43.663,-116.687
2805,Lewiston,Nez Perce County,46.417,-117.018
1434,Eagle,Ada County,43.695,-116.354
3362,Moscow,Latah County,46.732,-117.000
0117,Ammon,Bonneville County,43.470,-111.967
3396,Mountain Home,Elmore County,43.133,-115.691
2203,Hayden,Kootenai County,47.766,-116.787
4742,Star,Ada County,43.701,-116.491
2490,Jerome,Jerome County,42.724,-114.519
0457,Blackfoot,Bingham County,43.190,-112.345
1864,Garden City,Ada County,43.622,-116.238
0686,Burley,Cassia County,42.537,-113.791
3214,Middleton,Canyon County,43.707,-116.620
1585,Emmett,Gem County,43.873,-116.499
1838,Fruitland,Payette County,44.008,-116.917
4348,Rupert,Minidoka County,42.619,-113.677
4047,Preston,Franklin County,42.096,-111.877
2592,Kimberly,Twin Falls County,42.534,-114.365
0674,Buhl,Twin Falls County,42.599,-114.759
2826,Lincoln,Bonneville County,43.513,-111.964
4689,St. Anthony,Fremont County,43.966,-111.682
2581,Ketchum,Blaine County,43.681,-114.364
2009,Grangeville,Idaho County,45.927,-116.122
4389,Salmon,Lemhi County,45.176,-113.896
4614,Soda Springs,Caribou County,42.654,-111.605
5282,Wendell,Gooding County,42.776,-114.704
2435,Iona,Bonneville County,43.526,-111.933
3316,Montpelier,Bear Lake County,42.322,-111.298
4815,Sugar City,Madison County,43.873,-111.748
0359,Bellevue,Blaine County,43.464,-114.261
4661,Spirit Lake,Kootenai County,47.966,-116.869
2552,Kellogg,Shoshone County,47.538,-116.119
5138,Victor,Teton County,43.603,-111.111
3800,Parma,Canyon County,43.785,-116.943
4836,Sun Valley,Blaine County,43.697,-114.352
0004,Aberdeen,Bingham County,42.944,-112.838
3916,Pinehurst,Shoshone County,47.539,-116.237
4561,Shoshone,Lincoln County,42.936,-114.406
5395,Wilder,Canyon County,43.677,-116.912
3505,New Plymouth,Payette County,43.970,-116.819
3336,Moreland,Bingham County,43.223,-112.442
2139,Hansen,Twin Falls County,42.531,-114.301
1804,Franklin,Franklin County,42.014,-111.807
3967,Plummer,Benewah County,47.335,-116.889
1890,Genesee,Latah County,46.551,-116.925
2077,Groveland,Bingham County,43.220,-112.372
4243,Riverside,Bingham County,43.197,-112.435
0813,Cascade,Valley County,44.516,-116.042
2105,Hagerman,Gooding County,42.812,-114.899
0189,Ashton,Fremont County,44.072,-111.448
1988,Grace,Caribou County,42.576,-111.731
1377,Dover,Bonner County,48.252,-116.611
0160,Arco,Butte County,43.637,-113.300
5019,Troy,Latah County,46.737,-116.770
1141,Cottonwood,Idaho County,46.048,-116.350
2359,Horseshoe Bend,Boise County,43.915,-116.198
2054,Greenleaf,Canyon County,43.671,-116.816
2213,Hazelton,Jerome County,42.596,-114.136
5199,Wallace,Shoshone County,47.474,-115.928
3627,Oakley,Cassia County,42.243,-113.882
4016,Potlatch,Latah County,46.922,-116.898
2192,Hauser,Kootenai County,47.773,-117.028
0199,Athol,Kootenai County,47.948,-116.708
0777,Carey,Blaine County,43.308,-113.945
1705,Fernwood,Benewah County,47.112,-116.393
3409,Mullan,Shoshone County,47.470,-115.802
1378,Downey,Bannock County,42.429,-112.124
3785,Paris,Bear Lake County,42.227,-111.401
4251,Roberts,Jefferson County,43.720,-112.126
1716,Firth,Bingham County,43.305,-112.183
5333,Weston,Franklin County,42.037,-111.979
1271,Dayton,Franklin County,42.113,-111.994
1401,Dubois,Clark County,44.176,-112.231
1898,Georgetown,Bear Lake County,42.482,-111.371
2979,Mackay,Custer County,43.915,-113.613
3887,Pierce,Clearwater County,46.491,-115.799
1651,Fairfield,Camas County,43.347,-114.792
2004,Grand View,Owyhee County,42.990,-116.093
4197,Richfield,Lincoln County,43.049,-114.156
1010,Clifton,Franklin County,42.190,-112.008
2807,Lewisville,Jefferson County,43.696,-112.011
0471,Blanchard,Bonner County,48.017,-116.984
1866,Garden Valley,Boise County,44.090,-115.952
1481,Eden,Jerome County,42.606,-114.211
0287,Basalt,Bingham County,43.315,-112.164
0737,Cambridge,Washington County,44.573,-116.676
0255,Bancroft,Caribou County,42.720,-111.886
3790,Parker,Fremont County,43.959,-111.758
5431,Winchester,Lewis County,46.240,-116.624
2559,Kendrick,Latah County,46.614,-116.647
2451,Irwin,Bonneville County,43.409,-111.299
4867,Sweetwater,Nez Perce County,46.372,-116.793
1365,Donnelly,Valley County,44.731,-116.078
0476,Bliss,Gooding County,42.927,-114.950
2323,Hollister,Twin Falls County,42.353,-114.575
5286,Worley,Kootenai County,47.401,-116.917
0049,Albion,Cassia County,42.413,-113.578
4271,Rockland,Power County,42.573,-112.877
3661,Oldtown,Bonner County,48.179,-117.038
2163,Harrison,Kootenai County,47.454,-116.785
3418,Murphy,Owyhee County,43.218,-116.552
0484,Bloomington,Bear Lake County,42.192,-111.401
3219,Midvale,Washington County,44.471,-116.735
3676,Onaway,Latah County,46.928,-116.891
2455,Island Park,Fremont County,44.424,-111.371
4269,Rockford,Bingham County,43.190,-112.535
4691,St. Charles,Bear Lake County,42.114,-111.389
3007,Malta,Cassia County,42.306,-113.369
3324,Moore,Butte County,43.736,-113.366
3830,Peck,Nez Perce County,46.475,-116.424
1538,Elk River,Clearwater County,46.784,-116.180
1701,Ferdinand,Idaho County,46.152,-116.389
0386,Bennington,Bear Lake County,42.391,-111.322
4737,Stanley,Custer County,44.217,-114.939
4053,Princeton,Latah County,46.914,-116.834
1534,Elk City,Idaho County,45.827,-115.437
2349,Hope,Bonner County,48.248,-116.307
2123,Hamer,Jefferson County,43.927,-112.206
0703,Butte City,Butte County,43.610,-113.244
3940,Placerville,Boise County,43.943,-115.947
4751,State Line,Kootenai County,47.705,-117.037
3747,Oxford,Franklin County,42.259,-112.021
2934,Lowell,Idaho County,46.144,-115.597
4658,Spencer,Clark County,44.360,-112.187
2284,Hill City,Camas County,43.301,-115.051
0227,Avery,Shoshone County,47.250,-115.802
2879,Lowman,Boise County,44.084,-115.621
1396,Drummond,Fremont County,43.999,-111.345
0994,Clayton,Custer County,44.259,-114.400
0258,Banks,Boise County,44.080,-116.124
0522,Bone,Bonneville County,43.313,-111.795
0202,Atlanta,Elmore County,43.802,-115.127
0308,Bayview,Kootenai County,47.980,-116.560
0398,Bern,Bear Lake County,42.340,-111.386
0424,Big Creek,Shoshone County,47.514,-116.067
0784,Carmen,Lemhi County,45.242,-113.893
0837,Cavendish,Clearwater County,46.560,-116.434
1351,Dixie,Idaho County,45.554,-115.461
1727,Flat Rock,Fremont County,44.501,-111.336
1892,Geneva,Bear Lake County,42.359,-111.065
2013,Grant,Jefferson County,43.641,-112.013
2062,Greenwood,Jerome County,42.577,-114.049
2063,Greer,Clearwater County,46.390,-116.175
2181,Harvard,Latah County,46.917,-116.730
2217,Headquarters,Clearwater County,46.630,-115.809
2312,Holbrook,Oneida County,42.162,-112.654
2665,Laclede,Bonner County,48.170,-116.756
2745,Last Chance,Fremont County,44.367,-111.402
