phoneme,name,county,latitude,longitude
0226,Aurora,DuPage County,41.763,-88.290
2671,Joliet,Kendall County,41.518,-88.149
4401,Rockford,Ogle County,42.259,-89.063
1639,Elgin,Cook County,42.039,-88.326
3979,Peoria,Peoria County,40.694,-89.589
1023,Cicero,Cook County,41.846,-87.754
0493,Bloomington,McLean County,40.484,-88.994
1744,Evanston,Cook County,42.041,-87.690
0175,Arlington Heights,Cook County,42.088,-87.981
1369,Decatur,Macon County,39.840,-88.955
3889,Palatine,Cook County,42.110,-88.034
0415,Berwyn,Cook County,41.851,-87.794
3694,Normal,McLean County,40.514,-88.991
0717,Oak Park,Cook County,41.885,-87.784
5458,Wheaton,DuPage County,41.866,-88.107
2098,Glenview,Cook County,42.070,-87.788
4069,Plainfield,Kendall County,41.630,-88.245
1672,Elmhurst,Cook County,41.897,-87.944
0688,Buffalo Grove,Cook County,42.166,-87.962
3423,Moline,Rock Island County,41.507,-90.515
0366,Belleville,St. Clair County,38.520,-89.984
0289,Bartlett,Cook County,41.961,-88.178
1290,Crystal Lake,McHenry County,42.241,-88.316
4221,Quincy,Adams County,39.936,-91.410
3917,Park Ridge,Cook County,42.011,-87.841
5460,Wheeling,Cook County,42.130,-87.921
0845,Carpentersville,Kane County,42.121,-88.258
4393,Rock Island,Rock Island County,41.509,-90.579
0697,Oswego,Kendall County,41.683,-88.339
3719,Northbrook,Cook County,42.128,-87.829
5571,Woodridge,Cook County,41.737,-88.044
4819,St. Charles,DuPage County,41.919,-88.311
3739,O'Fallon,St. Clair County,38.592,-89.911
3960,Pekin,Peoria County,40.569,-89.625
3678,Niles,Cook County,42.019,-87.803
2450,Highland Park,Lake County,42.182,-87.800
0069,Algonquin,Kane County,42.159,-88.322
0698,Burbank,Cook County,41.734,-87.779
1338,Danville,Vermilion County,40.124,-87.630
2881,Lansing,Cook County,41.565,-87.539
2556,Huntley,Kane County,42.161,-88.435
3743,Oak Forest,Cook County,41.603,-87.744
0301,Batavia,DuPage County,41.848,-88.311
5594,Woodstock,McHenry County,42.315,-88.449
0100,Alton,Madison County,38.891,-90.184
5647,Zion,Lake County,42.446,-87.833
1147,Collinsville,Madison County,38.676,-90.006
3313,Melrose Park,Cook County,41.901,-87.857
5444,Westmont,DuPage County,41.796,-87.976
1678,Elmwood Park,Cook County,41.921,-87.809
2999,Lisle,DuPage County,41.801,-88.075
1953,Freeport,Stephenson County,42.297,-89.621
3254,Maywood,Cook County,41.879,-87.843
4443,Roselle,Cook County,41.980,-88.086
5634,Yorkville,Kendall County,41.641,-88.447
0492,Bloomingdale,DuPage County,41.958,-88.081
5260,Villa Park,DuPage County,41.890,-87.989
1341,Darien,DuPage County,41.746,-87.981
0825,Carbondale,Jackson County,37.722,-89.224
3448,Montgomery,Kane County,41.721,-88.358
1452,Dolton,Cook County,41.639,-87.607
1937,Frankfort,Cook County,41.507,-87.871
1859,Harvey,Cook County,41.610,-87.647
2843,Lake Forest,Lake County,42.259,-87.841
1383,Deerfield,Cook County,42.166,-87.852
0630,Brookfield,Cook County,41.824,-87.852
2512,Homewood,Cook County,41.557,-87.666
3857,Ottawa,LaSalle County,41.346,-88.843
3239,Matteson,Cook County,41.504,-87.713
4460,Round Lake,Lake County,42.353,-88.093
4996,Sycamore,DeKalb County,41.989,-88.687
0377,Bellwood,Cook County,41.881,-87.883
1939,Franklin Park,Cook County,41.935,-87.866
4695,Shorewood,Will County,41.520,-88.202
0828,Cary,McHenry County,42.212,-88.238
2629,Jacksonville,Morgan County,39.734,-90.229
2104,Godfrey,Madison County,38.956,-90.187
2878,Lemont,Cook County,41.667,-87.984
2473,Hinsdale,Cook County,41.801,-87.928
3240,Mattoon,Coles County,39.483,-88.373
0760,Marion,Williamson County,37.731,-88.933
5433,Westchester,Cook County,41.851,-87.882
1227,Country Club Hills,Cook County,41.568,-87.720
2809,La Grange,Cook County,41.805,-87.869
0567,Bradley,Kankakee County,41.142,-87.861
5334,Warrenville,DuPage County,41.818,-88.173
3523,Mount Vernon,Jefferson County,38.317,-88.903
4689,Shiloh,St. Clair County,38.561,-89.897
2988,Lindenhurst,Lake County,42.411,-88.026
4985,Swansea,St. Clair County,38.534,-89.989
2438,Hickory Hills,Cook County,41.726,-87.825
1896,Forest Park,Cook County,41.879,-87.814
3357,Midlothian,Cook County,41.625,-87.718
1171,Lincoln,Logan County,40.148,-89.365
3722,Northlake,Cook County,41.917,-87.896
4928,Streator,LaSalle County,41.125,-88.830
2692,Justice,Cook County,41.744,-87.838
1613,Effingham,Effingham County,39.120,-88.543
4073,Plano,Kendall County,41.663,-88.537
4254,Rantoul,Champaign County,40.308,-88.156
0934,Centralia,Clinton County,38.522,-89.124
4369,River Forest,Cook County,41.898,-87.814
3201,Markham,Cook County,41.594,-87.695
0731,Troy,Madison County,38.729,-89.883
5352,Waterloo,Monroe County,38.336,-90.150
1150,Columbia,Monroe County,38.458,-90.216
1932,Fox Lake,Lake County,42.428,-88.184
2170,Summit,Cook County,41.788,-87.810
1260,Crestwood,Cook County,41.661,-87.753
0286,Barrington,Cook County,42.152,-88.129
1792,Riverdale,Cook County,41.643,-87.636
0730,Highland,Madison County,38.739,-89.671
3989,Peru,Bureau County,41.347,-89.133
3141,Mahomet,Champaign County,40.195,-88.404
2353,Harvard,McHenry County,42.422,-88.614
2621,Itasca,DuPage County,41.975,-88.007
4387,Rochelle,Lee County,41.920,-89.062
2587,Ingleside,Lake County,42.381,-88.139
4944,Sugar Grove,Kane County,41.761,-88.444
5529,Willowbrook,DuPage County,41.770,-87.936
4376,Riverside,Cook County,41.835,-87.823
3115,Lynwood,Cook County,41.526,-87.539
4603,Savoy,Champaign County,40.055,-88.252
4391,Rock Falls,Whiteside County,41.780,-89.689
2088,Glencoe,Cook County,42.135,-87.758
2099,Glenwood,Cook County,41.543,-87.602
1262,Crete,Cook County,41.441,-87.624
3040,Long Grove,Lake County,42.178,-87.998
3226,Maryville,Madison County,38.724,-89.956
2466,Hillside,Cook County,41.878,-87.903
2617,Island Lake,Lake County,42.279,-88.200
0620,Broadview,Cook County,41.864,-87.853
2982,Lincolnshire,Lake County,42.190,-87.908
3915,Park City,Lake County,42.348,-87.884
0920,Chester,Randolph County,37.914,-89.822
3193,Marengo,McHenry County,42.249,-88.608
2595,Inverness,Cook County,42.118,-88.096
4567,Sandwich,DeKalb County,41.650,-88.619
5195,University Park,Cook County,41.447,-87.713
4896,Stickney,Cook County,41.821,-87.783
1085,Clinton,De Witt County,40.154,-88.965
5228,Vandalia,Fayette County,38.961,-89.094
3509,Mount Carmel,Wabash County,38.411,-87.761
3000,Litchfield,Montgomery County,39.175,-89.654
2220,Greenville,Bond County,38.892,-89.413
2663,Johnsburg,McHenry County,42.380,-88.242
1228,Countryside,Cook County,41.783,-87.878
2861,Lakemoor,Lake County,42.339,-88.203
0292,Bartonville,Peoria County,40.650,-89.652
0858,Carterville,Williamson County,37.760,-89.077
1100,Coal City,Grundy County,41.279,-88.280
5528,Willow Springs,Cook County,41.741,-87.860
2847,Lake Holiday,LaSalle County,41.613,-88.672
2329,Spring Grove,McHenry County,42.444,-88.236
4801,Spring Valley,Bureau County,41.328,-89.200
2453,Highwood,Lake County,42.200,-87.809
0379,Belmont,DuPage County,41.793,-88.038
0403,Berkeley,Cook County,41.889,-87.903
4026,Pinckneyville,Perry County,38.080,-89.382
1740,Eureka,Woodford County,40.721,-89.273
