phoneme,name,county,latitude,longitude
2697,Kansas City,Wyandotte County,39.114,-94.627
3785,Olathe,Johnson County,38.881,-94.819
0741,Lawrence,Douglas County,38.972,-95.235
4670,Shawnee,Johnson County,39.042,-94.720
3158,Manhattan,Pottawatomie County,39.188,-96.606
0916,Salina,Saline County,38.840,-97.611
2561,Hutchinson,Reno County,38.061,-97.930
2923,Leavenworth,Leavenworth County,39.311,-94.922
2924,Leawood,Johnson County,38.967,-94.617
1446,Dodge City,Ford County,37.753,-100.017
1414,Derby,Sedgwick County,37.546,-97.269
4401,Rockford,Sedgwick County,37.523,-97.210
2689,Junction City,Geary County,39.029,-96.831
2379,Hays,Ellis County,38.879,-99.327
0809,Pittsburg,Crawford County,37.411,-94.705
0660,Bruno,Butler County,37.687,-97.105
0129,Andover,Butler County,37.714,-97.136
4750,Soldier,Shawnee County,39.155,-95.661
2185,Great Bend,Barton County,38.364,-98.765
4376,Riverside,Sedgwick County,37.585,-97.290
0172,Arkansas City,Cowley County,37.062,-97.038
0727,Winfield,Cowley County,37.240,-96.996
2382,Haysville,Sedgwick County,37.564,-97.352
2881,Lansing,Leavenworth County,39.249,-94.900
0744,Mission,Shawnee County,38.999,-95.785
2258,Gypsum,Sedgwick County,37.602,-97.200
0744,Mission,Johnson County,39.028,-94.656
1141,Salem,Sedgwick County,37.510,-97.318
3933,Parsons,Labette County,37.340,-95.261
0223,Augusta,Butler County,37.687,-96.977
5343,Smoky Hill,Geary County,39.053,-96.898
1117,Coffeyville,Montgomery County,37.037,-95.616
2097,Madison,Riley County,39.211,-96.809
4797,Spring Hill,Johnson County,38.757,-94.821
3915,Park City,Sedgwick County,37.800,-97.318
0787,Independence,Montgomery County,37.224,-95.708
0348,Bel Aire,Sedgwick County,37.776,-97.247
1736,Eudora,Douglas County,38.912,-95.110
3900,Palmyra,Douglas County,38.798,-95.147
0213,Attica,Sedgwick County,37.698,-97.545
5388,Wellington,Sumner County,37.265,-97.372
0716,Valley Center,Sedgwick County,37.835,-97.373
3912,Park,Sedgwick County,37.785,-97.429
4173,Pratt,Pratt County,37.644,-98.738
0006,Abilene,Dickinson County,38.917,-97.214
1362,De Soto,Johnson County,38.972,-94.951
3145,Maize,Sedgwick County,37.779,-97.467
5177,Ulysses,Grant County,37.581,-101.355
1999,Garden City,Finney County,38.037,-100.897
0714,Wamego,Pottawatomie County,39.206,-96.299
1126,Colby,Thomas County,39.396,-101.052
2163,Grant,Sedgwick County,37.872,-97.316
5342,Pleasant,Butler County,37.600,-97.091
2103,Goddard,Sedgwick County,37.660,-97.575
1172,Concordia,Cloud County,39.571,-97.663
0786,Louisburg,Miami County,38.619,-94.681
0714,Wamego,Pottawatomie County,39.205,-96.310
4827,St. George,Pottawatomie County,39.220,-96.403
1612,Edwardsville,Wyandotte County,39.061,-94.820
2120,Goodland,Sherman County,39.351,-101.710
4303,Reno,Reno County,38.053,-97.975
5514,Williamsport,Shawnee County,38.910,-95.698
4439,Rose Hill,Butler County,37.558,-97.135
1059,Clay Center,Clay County,39.377,-97.125
4620,Scott City,Scott County,38.483,-100.907
1696,Emma,Harvey County,38.130,-97.427
4256,St. Marys,Pottawatomie County,39.225,-96.080
3411,Mission Hills,Johnson County,39.018,-94.617
3117,Lyons,Rice County,38.345,-98.202
2966,Washington,Crawford County,37.507,-94.694
2427,Hesston,Harvey County,38.138,-97.431
0252,Baker,Crawford County,37.363,-94.737
0785,Marysville,Marshall County,39.841,-96.647
0380,Beloit,Mitchell County,39.456,-98.106
1968,Frontenac,Crawford County,37.456,-94.689
3681,Ninnescah,Sedgwick County,37.524,-97.541
1057,Holton,Jackson County,39.465,-95.736
0218,Auburn,Shawnee County,38.914,-95.843
3430,Monmouth,Shawnee County,38.935,-95.570
1938,Franklin,Franklin County,38.698,-95.122
2758,Kingman,Kingman County,37.646,-98.114
0362,Belle Plaine,Sumner County,37.424,-97.292
2966,Washington,Doniphan County,39.776,-94.942
1161,Columbus,Cherokee County,37.169,-94.844
2168,Sherman,Leavenworth County,39.015,-94.988
3492,Morton,Sedgwick County,37.612,-97.746
3729,Norton,Norton County,39.834,-99.892
4256,St. Marys,Pottawatomie County,39.194,-96.064
1985,Galena,Cherokee County,37.076,-94.640
2464,Hillsboro,Marion County,38.352,-97.204
1998,Garden,Cherokee County,37.041,-94.685
2965,Union,Sedgwick County,37.780,-97.536
1073,Clearwater,Sedgwick County,37.503,-97.504
4138,Richland,Butler County,37.513,-97.088
5110,Towanda,Butler County,37.773,-96.988
1171,Lincoln,Linn County,38.341,-94.689
2074,Girard,Crawford County,37.511,-94.838
2871,Lakin,Kearny County,37.996,-101.271
0785,Marysville,Miami County,38.669,-94.859
2004,Gardner,Johnson County,38.776,-94.899
1024,Cimarron,Gray County,37.791,-100.290
3500,Mound,McPherson County,38.214,-97.532
4888,Sterling,Rice County,38.210,-98.207
3158,Manhattan,Riley County,39.140,-96.529
2303,Scott,Bourbon County,37.827,-94.680
2334,Newton,Harvey County,38.046,-97.309
2484,Holcomb,Finney County,37.986,-100.989
0977,Cheney,Sedgwick County,37.630,-97.783
0988,Cherryvale,Montgomery County,37.270,-95.552
3846,Oskaloosa,Jefferson County,39.218,-95.312
3778,Ohio,Sedgwick County,37.524,-97.424
3759,Oakley,Logan County,39.031,-100.884
3774,Ogden,Riley County,39.124,-96.684
0432,Big Creek,Ellis County,38.867,-99.365
2330,Seneca,Nemaha County,39.834,-96.064
5299,Wakarusa,Douglas County,38.926,-95.245
1948,Fredonia,Wilson County,37.534,-95.827
2327,Herington,Dickinson County,38.697,-96.807
4192,Prospect,Butler County,37.833,-96.759
2193,Jefferson,Geary County,39.002,-96.768
0146,Anthony,Harper County,37.153,-98.031
2571,Illinois,Sedgwick County,37.604,-97.542
4138,Richland,Miami County,38.672,-94.987
3876,Oxford,Johnson County,38.829,-94.663
