phoneme,name,county,latitude,longitude
2921,Louisville,Jefferson County,38.254,-85.759
2804,Lexington,Fayette,38.050,-84.459
4260,Rockdale,Boyd County,38.419,-82.698
0542,Bowling Green,Warren County,36.990,-86.444
1149,Covington,Kenton County,39.084,-84.509
1894,Georgetown,Scott County,38.210,-84.559
4195,Richmond,Madison County,37.748,-84.295
1733,Florence,Boone County,38.999,-84.627
1528,Elizabethtown,Hardin County,37.694,-85.859
2406,Independence,Kenton County,38.943,-84.544
1799,Frankfort,Franklin County,38.201,-84.873
2229,Henderson,Henderson County,37.836,-87.590
3748,Paducah,McCracken County,37.083,-88.600
4088,Radcliff,Hardin County,37.840,-85.949
0187,Ashland,Boyd County,38.478,-82.638
2987,Madisonville,Hopkins County,37.328,-87.499
5425,Winchester,Clark County,37.990,-84.180
0686,Burlington,Boone County,39.028,-84.724
3387,Mount Washington,Bullitt County,38.050,-85.546
4711,St. Matthews,Jefferson County,38.253,-85.656
4533,Shelbyville,Shelby County,38.212,-85.224
3414,Murray,Calloway County,36.610,-88.315
1253,Danville,Boyle County,37.646,-84.772
1775,Fort Thomas,Campbell County,39.075,-84.447
0392,Berea,Madison County,37.569,-84.296
4551,Shively,Jefferson County,38.200,-85.823
1927,Glasgow,Barren County,36.996,-85.912
3527,Newport,Campbell County,39.091,-84.496
4617,Somerset,Pulaski County,37.092,-84.604
2757,Lawrenceburg,Anderson County,38.037,-84.897
0745,Campbellsville,Taylor County,37.343,-85.342
2832,Lyndon,Jefferson County,38.257,-85.602
5127,Versailles,Woodford County,38.053,-84.730
0058,Alexandria,Campbell County,38.960,-84.388
3779,Paris,Bourbon County,38.210,-84.253
2646,La Grange,Oldham County,38.408,-85.379
1800,Franklin,Simpson County,36.722,-86.577
3103,Mayfield,Graves County,36.742,-88.637
3211,Middletown,Jefferson County,38.245,-85.539
1567,Elsmere,Kenton County,39.013,-84.605
2164,Harrodsburg,Mercer County,37.762,-84.843
3106,Maysville,Mason County,38.641,-83.744
2292,Hillview,Bullitt County,38.070,-85.686
1772,Fort Mitchell,Kenton County,39.059,-84.547
1484,Edgewood,Kenton County,39.019,-84.582
3605,Oak Grove,Christian County,36.665,-87.443
1110,Corbin,Knox County,36.932,-84.101
3383,Mount Sterling,Montgomery County,38.056,-83.943
5059,Union,Boone County,38.946,-84.680
2879,London,Laurel County,37.129,-84.083
3887,Pikeville,Pike County,37.479,-82.519
1724,Flatwoods,Greenup County,38.523,-82.717
4349,Russellville,Logan County,36.845,-86.887
2271,Highland Heights,Campbell County,39.033,-84.452
1228,Cynthiana,Harrison County,38.390,-84.294
2768,Lebanon,Marion County,37.570,-85.253
1175,Crestwood,Oldham County,38.324,-85.472
1049,Cold Spring,Campbell County,39.022,-84.440
4047,Princeton,Caldwell County,37.109,-87.882
2220,Hebron,Boone County,39.066,-84.701
5419,Wilmore,Jessamine County,37.862,-84.662
0870,Central City,Muhlenberg County,37.294,-87.123
3310,Monticello,Wayne County,36.830,-84.849
1268,Dayton,Campbell County,39.113,-84.473
5205,Walton,Boone County,38.862,-84.615
0358,Bellevue,Campbell County,39.106,-84.479
0659,Buckner,Oldham County,38.384,-85.440
5398,Williamsburg,Whitley County,36.743,-84.160
2205,Hazard,Perry County,37.250,-83.193
1068,Columbia,Adair County,37.103,-85.306
0389,Benton,Marshall County,36.857,-88.350
5332,Westwood,Boyd County,38.483,-82.670
4053,Prospect,Jefferson County,38.347,-85.609
2056,Greenville,Muhlenberg County,37.201,-87.179
1674,Farley,McCracken County,37.046,-88.569
2941,Ludlow,Kenton County,39.093,-84.547
1169,Crescent Springs,Kenton County,39.051,-84.582
4480,Scottsville,Allen County,36.753,-86.191
5402,Williamstown,Grant County,38.640,-84.573
2719,Lancaster,Garrard County,37.620,-84.578
0794,Carrollton,Carroll County,38.681,-85.179
2022,Grayson,Carter County,38.333,-82.948
4348,Russell,Greenup County,38.517,-82.698
4641,Southgate,Campbell County,39.072,-84.473
4729,Stanford,Lincoln County,37.531,-84.662
0328,Beaver Dam,Ohio County,37.402,-86.876
5296,West Liberty,Morgan County,37.921,-83.260
3781,Park Hills,Kenton County,39.071,-84.532
0984,Claryville,Campbell County,38.919,-84.395
4732,Stanton,Powell County,37.846,-83.858
5389,Wilder,Campbell County,39.056,-84.487
4577,Simpsonville,Shelby County,38.223,-85.355
4058,Providence,Webster County,37.398,-87.763
3052,Marion,Crittenden County,37.333,-88.081
2409,Indian Hills,Jefferson County,38.273,-85.663
4672,Springfield,Washington County,37.685,-85.222
4343,Rush,Boyd County,38.298,-82.748
1579,Eminence,Henry County,38.370,-85.181
0711,Cadiz,Trigg County,36.865,-87.835
2166,Hartford,Ohio County,37.451,-86.909
2917,Louisa,Lawrence County,38.114,-82.603
0121,Anchorage,Jefferson County,38.267,-85.533
3338,Morgantown,Butler County,37.226,-86.684
3386,Mount Vernon,Rockcastle County,37.353,-84.340
2142,Hardinsburg,Breckinridge County,37.780,-86.461
1840,Fulton,Fulton County,36.504,-88.874
0832,Cave City,Barren County,37.137,-85.957
2445,Irvine,Estill County,37.701,-83.974
4085,Raceland,Greenup County,38.540,-82.728
2255,Hickman,Fulton County,36.571,-89.186
1476,Eddyville,Lyon County,37.094,-88.080
1352,Doe Valley,Meade County,37.957,-86.117
0622,Brooks,Bullitt County,38.061,-85.710
2525,Junction City,Boyle County,37.585,-84.789
2460,Jackson,Breathitt County,37.553,-83.384
1671,Falmouth,Pendleton County,38.677,-84.330
3085,Masonville,Daviess County,37.675,-87.035
2053,Greensburg,Green County,37.261,-85.499
0779,Carlisle,Nicholas County,38.312,-84.027
1394,Dry Ridge,Grant County,38.682,-84.590
1539,Elkton,Todd County,36.810,-87.154
2287,Hillsboro,Fleming County,38.293,-83.659
1531,Elk Creek,Spencer County,38.100,-85.371
2809,Liberty,Casey County,37.318,-84.939
1214,Cumberland,Harlan County,36.978,-82.989
2482,Jenkins,Letcher County,37.173,-82.631
2470,Jamestown,Russell County,36.985,-85.063
1234,Daisy,Perry County,37.113,-83.093
0044,Albany,Clinton County,36.691,-85.135
5219,Warsaw,Gallatin County,38.783,-84.902
2145,Harlan,Harlan County,36.843,-83.322
2480,Jeffersonville,Montgomery County,37.974,-83.842
3216,Midway,Woodford County,38.151,-84.684
1492,Edmonton,Metcalfe County,36.980,-85.612
5366,Whitesburg,Letcher County,37.118,-82.827
3913,Pineville,Bell County,36.762,-83.695
0213,Auburn,Logan County,36.864,-86.710
4803,Sturgis,Union County,37.547,-87.984
5126,Verona,Boone County,38.818,-84.661
3009,Manchester,Clay County,37.154,-83.762
5499,Worthington,Greenup County,38.548,-82.724
0216,Audubon Park,Jefferson County,38.204,-85.725
2090,Guthrie,Todd County,36.648,-87.166
1052,Coldstream,Jefferson County,38.315,-85.524
4902,Taylorsville,Spencer County,38.032,-85.342
1010,Clinton,Hickman County,36.667,-88.993
2446,Irvington,Breckinridge County,37.880,-86.284
2856,Livermore,McLean County,37.493,-87.132
3941,Plano,Warren County,36.880,-86.418
0989,Clay City,Powell County,37.859,-83.919
0218,Augusta,Bracken County,38.772,-84.006
0611,Brodhead,Rockcastle County,37.404,-84.414
