phoneme,name,county,latitude,longitude
00524,Baton Rouge,East Baton Rouge Parish,30.451,-91.155
04584,Lafayette,Lafayette Parish,30.224,-92.020
04399,Kenner,Jefferson Parish,29.994,-90.242
05658,Monroe,Ouachita Parish,32.509,-92.119
00106,Alexandria,Rapides Parish,31.311,-92.445
06942,Prairieville,Ascension Parish,30.303,-90.972
01520,Central,East Baton Rouge Parish,30.554,-91.037
04685,Laplace,St. John the Baptist Parish,30.067,-90.480
07906,Slidell,St. Tammany Parish,30.275,-89.781
08464,Terrytown,Jefferson Parish,29.910,-90.033
07482,Ruston,Lincoln Parish,32.523,-92.638
03752,Harvey,Jefferson Parish,29.904,-90.077
08290,Sulphur,Calcasieu Parish,30.237,-93.377
07801,Shenandoah,East Baton Rouge Parish,30.401,-91.001
03664,Hammond,Tangipahoa Parish,30.504,-90.461
02807,Estelle,Jefferson Parish,29.846,-90.107
03562,Gretna,Jefferson Parish,29.915,-90.054
09504,Youngsville,Lafayette Parish,30.100,-91.990
06740,Pineville,Rapides Parish,31.322,-92.434
05069,Luling,St. Charles Parish,29.932,-90.366
07281,River Ridge,Jefferson Parish,29.960,-90.216
00541,Bayou Blue,Lafourche Parish,29.634,-90.673
01673,Claiborne,Ouachita Parish,32.516,-92.192
05175,Mandeville,St. Tammany Parish,30.358,-90.066
09142,West Monroe,Ouachita Parish,32.518,-92.148
03392,Gonzales,Ascension Parish,30.239,-90.920
00423,Baker,East Baton Rouge Parish,30.588,-91.168
05587,Minden,Webster Parish,32.615,-93.287
02095,Crowley,Acadia Parish,30.214,-92.375
02003,Covington,St. Tammany Parish,30.475,-90.101
05760,Moss Bluff,Calcasieu Parish,30.303,-93.191
09422,Woodmere,Jefferson Parish,29.858,-90.080
00541,Bayou Blue,Lafourche Parish,29.632,-90.669
05726,Morgan City,St. Martin Parish,29.710,-91.192
00003,Abbeville,Vermilion Parish,29.975,-92.134
07028,Raceland,Lafourche Parish,29.727,-90.599
08538,Timberlane,Jefferson Parish,29.877,-90.032
04263,Jefferson,Jefferson Parish,29.966,-90.153
04273,Jennings,Jefferson Davis Parish,30.222,-92.657
00518,Bastrop,Morehouse Parish,32.756,-91.872
02826,Eunice,Acadia Parish,30.490,-92.419
07184,Reserve,St. John the Baptist Parish,30.054,-90.552
07687,Scott,Lafayette Parish,30.236,-92.095
08127,St. Rose,St. Charles Parish,29.947,-90.323
01054,Bridge City,Jefferson Parish,29.933,-90.170
07044,Rayne,Acadia Parish,30.235,-92.268
06229,Oakdale,Allen Parish,30.816,-92.660
02388,Donaldsonville,Ascension Parish,30.101,-90.993
02724,Elmwood,Jefferson Parish,29.957,-90.190
03133,Franklin,St. Mary Parish,29.796,-91.501
08955,Walker,Livingston Parish,30.488,-90.861
03496,Gray,Terrebonne Parish,29.698,-90.786
06532,Patterson,St. Mary Parish,29.693,-91.302
07671,Schriever,Terrebonne Parish,29.742,-90.810
04772,Leesville,Vernon Parish,31.144,-93.261
08900,Violet,St. Bernard Parish,29.896,-89.898
00388,Avondale,Jefferson Parish,29.913,-90.204
06872,Port Allen,West Baton Rouge Parish,30.452,-91.210
05256,Marksville,Avoyelles Parish,31.128,-92.066
09359,Winnsboro,Franklin Parish,32.163,-91.721
05682,Monticello,East Baton Rouge Parish,30.489,-91.049
08068,Springhill,Webster Parish,33.006,-93.467
09174,Westlake,Calcasieu Parish,30.242,-93.251
00723,Berwick,St. Mary Parish,29.695,-91.219
05194,Mansfield,De Soto Parish,32.038,-93.700
03766,Haughton,Bossier Parish,32.533,-93.504
01135,Brownsville,Ouachita Parish,32.487,-92.154
04314,Jonesboro,Jackson Parish,32.241,-92.716
00251,Arabi,St. Bernard Parish,29.954,-90.005
00543,Bayou Vista,St. Mary Parish,29.690,-91.271
07229,Richwood,Ouachita Parish,32.449,-92.085
00438,Ball,Rapides Parish,31.415,-92.412
02589,Eastwood,Bossier Parish,32.556,-93.567
08873,Vidalia,Concordia Parish,31.565,-91.426
04267,Jena,LaSalle Parish,31.683,-92.134
04232,Jackson,East Feliciana Parish,30.837,-91.218
03136,Franklinton,Washington Parish,30.847,-90.153
00839,Blanchard,Caddo Parish,32.581,-93.893
09079,Welsh,Jefferson Davis Parish,30.236,-92.823
07096,Rayville,Richland Parish,32.477,-91.755
04189,Iowa,Calcasieu Parish,30.237,-93.014
08898,Vinton,Calcasieu Parish,30.191,-93.581
03552,Greenwood,Caddo Parish,32.443,-93.973
08330,Sunset,St. Landry Parish,30.411,-92.068
08909,Vivian,Caddo Parish,32.872,-93.987
06109,Norco,St. Charles Parish,29.999,-90.412
00260,Arcadia,Bienville Parish,32.549,-92.920
09177,Westminster,East Baton Rouge Parish,30.414,-91.088
06575,Pearl River,St. Tammany Parish,30.376,-89.748
