phoneme,name,county,latitude,longitude
0542,Boston,Suffolk County,42.358,-71.060
2342,Worcester,Worcester County,42.263,-71.802
1066,Springfield,Hampden County,42.101,-72.590
0777,Cambridge,Middlesex County,42.375,-71.106
3080,Lowell,Middlesex County,42.633,-71.316
0622,Brockton,Plymouth County,42.083,-71.018
4221,Quincy,Norfolk County,42.253,-71.002
3601,New Bedford,Bristol County,41.636,-70.934
2993,Lynn,Essex County,42.467,-70.949
1788,Fall River,Bristol County,41.701,-71.155
0741,Lawrence,Essex County,42.707,-71.163
2334,Newton,Middlesex County,42.337,-71.209
4755,Somerville,Middlesex County,42.388,-71.100
2369,Haverhill,Essex County,42.776,-71.077
3148,Malden,Middlesex County,42.425,-71.066
5321,Waltham,Middlesex County,42.376,-71.236
0633,Brookline,Norfolk County,42.324,-71.142
2192,Medford,Middlesex County,42.418,-71.106
5025,Taunton,Bristol County,41.900,-71.090
4313,Revere,Suffolk County,42.408,-71.012
5453,Weymouth,Norfolk County,42.207,-70.944
1002,Chicopee,Hampden County,42.149,-72.608
3953,Peabody,Essex County,42.528,-70.929
1747,Everett,Middlesex County,42.408,-71.054
0174,Arlington,Middlesex County,42.415,-71.156
1141,Salem,Essex County,42.520,-70.897
4061,Pittsfield,Berkshire County,42.450,-73.245
0425,Beverly,Essex County,42.558,-70.880
1850,Fitchburg,Worcester County,42.583,-71.802
3203,Marlborough,Middlesex County,42.346,-71.552
5436,Westfield,Hampden County,42.125,-72.750
0118,Amherst,Hampshire County,42.364,-72.507
4697,Shrewsbury,Worcester County,42.285,-71.714
0974,Chelsea,Suffolk County,42.392,-71.033
0571,Braintree,Norfolk County,42.206,-71.002
2504,Holyoke,Hampden County,42.204,-72.616
0973,Chelmsford,Middlesex County,42.597,-71.370
2284,Watertown,Middlesex County,42.369,-71.178
4250,Randolph,Norfolk County,42.179,-71.053
2959,Lexington,Middlesex County,42.447,-71.225
1938,Franklin,Norfolk County,42.085,-71.411
3582,Needham,Norfolk County,42.282,-71.242
3734,Norwood,Norfolk County,42.187,-71.196
1548,Tewksbury,Middlesex County,42.612,-71.228
3366,Milford,Worcester County,42.159,-71.521
2102,Gloucester,Essex County,42.616,-70.662
3312,Melrose,Middlesex County,42.458,-71.066
3718,Northampton,Hampshire County,42.325,-72.641
4916,Stoughton,Norfolk County,42.119,-71.104
0605,Bridgewater,Plymouth County,41.972,-70.979
4600,Saugus,Essex County,42.468,-71.014
5426,West Springfield,Hampden County,42.125,-72.650
3395,Milton,Norfolk County,42.242,-71.082
1337,Danvers,Essex County,42.575,-70.930
5300,Wakefield,Middlesex County,42.504,-71.064
0379,Belmont,Middlesex County,42.396,-71.179
0707,Burlington,Middlesex County,42.505,-71.196
4269,Reading,Middlesex County,42.526,-71.095
1376,Dedham,Norfolk County,42.242,-71.166
5625,Yarmouth,Barnstable County,41.675,-70.226
1564,Easton,Bristol County,42.039,-71.109
0813,Canton,Norfolk County,42.176,-71.125
5437,Westford,Middlesex County,42.586,-71.440
0012,Acton,Middlesex County,42.484,-71.438
3170,Mansfield,Bristol County,42.017,-71.216
5532,Wilmington,Middlesex County,42.546,-71.174
4908,Stoneham,Middlesex County,42.480,-71.100
2388,Winchester,Middlesex County,42.452,-71.137
2004,Gardner,Worcester County,42.575,-71.998
3091,Ludlow,Hampden County,42.184,-72.458
3187,Marblehead,Essex County,42.500,-70.858
2485,Holden,Worcester County,42.356,-71.863
2165,Hudson,Middlesex County,42.389,-71.546
2140,Grafton,Worcester County,42.209,-71.684
3729,Norton,Bristol County,41.965,-71.182
4940,Sudbury,Middlesex County,42.383,-71.421
0192,Ashland,Middlesex County,42.258,-71.474
5554,Winthrop,Suffolk County,42.376,-70.971
3967,Pembroke,Plymouth County,42.068,-70.806
0951,Somerset,Bristol County,41.770,-71.129
1168,Concord,Middlesex County,42.463,-71.365
4403,Rockland,Plymouth County,42.129,-70.909
4776,Southbridge,Worcester County,42.060,-72.034
2211,Greenfield,Franklin County,42.588,-72.600
5379,Webster,Worcester County,42.047,-71.846
4985,Swansea,Bristol County,41.758,-71.214
0218,Auburn,Worcester County,42.199,-71.846
5448,Westport,Bristol County,41.580,-71.082
5450,Westwood,Norfolk County,42.220,-71.217
1521,Duxbury,Plymouth County,42.044,-70.706
1766,Fairhaven,Bristol County,41.634,-70.871
5489,Whitman,Plymouth County,42.079,-70.939
4264,Raynham,Bristol County,41.930,-71.046
2302,Hanover,Plymouth County,42.123,-70.856
0342,Bedford,Middlesex County,42.499,-71.282
3374,Millbury,Worcester County,42.192,-71.778
5364,Wayland,Middlesex County,42.360,-71.361
0963,Charlton,Worcester County,42.134,-71.968
3306,Medway,Norfolk County,42.156,-71.430
2991,Lynnfield,Essex County,42.534,-71.038
3700,North Adams,Berkshire County,42.701,-73.109
4297,Rehoboth,Bristol County,41.847,-71.245
3898,Palmer,Hampden County,42.189,-72.306
1496,Dudley,Worcester County,42.054,-71.935
2868,Lakeville,Plymouth County,41.834,-70.957
0861,Carver,Plymouth County,41.875,-70.747
2291,Weston,Middlesex County,42.361,-71.303
3692,Norfolk,Norfolk County,42.116,-71.329
2483,Holbrook,Norfolk County,42.155,-71.009
2935,Leicester,Worcester County,42.238,-71.912
3249,Maynard,Middlesex County,42.433,-71.450
2547,Hull,Plymouth County,42.340,-70.883
3007,Littleton,Middlesex County,42.536,-71.491
4072,Plainville,Norfolk County,42.013,-71.336
