phoneme,name,county,latitude,longitude
00448,Baltimore,Baltimore city,39.290,-76.612
01835,Columbia,Howard County,39.240,-76.839
03288,Germantown,Montgomery County,39.173,-77.272
07867,Silver Spring,Montgomery County,39.002,-77.021
03145,Frederick,Frederick County,39.414,-77.411
08949,Waldorf,Charles County,38.625,-76.939
07340,Rockville,Montgomery County,39.084,-77.153
00730,Bethesda,Montgomery County,38.981,-77.100
00969,Bowie,Prince George's County,38.943,-76.730
07749,Severn,Anne Arundel County,39.137,-76.698
00333,Aspen Hill,Montgomery County,39.080,-77.073
09199,Wheaton,Montgomery County,39.040,-77.055
06904,Potomac,Montgomery County,39.018,-77.209
03629,Hagerstown,Washington County,39.642,-77.720
09417,Woodlawn,Baltimore County,39.323,-76.728
00220,Annapolis,Anne Arundel County,38.978,-76.492
01741,Clinton,Prince George's County,38.764,-76.896
06316,Olney,Montgomery County,39.153,-77.067
01823,College Park,Prince George's County,38.981,-76.937
07544,Salisbury,Wicomico County,38.361,-75.599
06526,Pasadena,Anne Arundel County,39.107,-76.571
06513,Parkville,Baltimore County,39.377,-76.540
05506,Middle River,Baltimore County,39.334,-76.439
01390,Carney,Baltimore County,39.394,-76.524
02068,Crofton,Anne Arundel County,39.002,-76.687
04714,Laurel,Prince George's County,39.099,-76.848
01693,Clarksburg,Montgomery County,39.239,-77.279
03091,Fort Washington,Prince George's County,38.707,-77.023
02873,Fairland,Montgomery County,39.076,-76.958
00297,Arnold,Anne Arundel County,39.032,-76.503
02616,Edgewood,Harford County,39.419,-76.294
02695,Elkridge,Howard County,39.213,-76.714
01315,Camp Springs,Prince George's County,38.804,-76.907
05562,Millersville,Anne Arundel County,39.059,-76.648
04109,Hyattsville,Prince George's County,38.956,-76.946
07396,Rosedale,Baltimore County,39.320,-76.516
09177,Westminster,Carroll County,39.575,-76.996
07706,Seabrook,Prince George's County,38.968,-76.845
04622,Lake Shore,Anne Arundel County,39.107,-76.485
02125,Cumberland,Allegany County,39.653,-78.763
03061,Forest Hill,Harford County,39.585,-76.388
07138,Redland,Montgomery County,39.145,-77.144
01303,Calverton,Montgomery County / Prince George's County,39.058,-76.951
03512,Green Haven,Anne Arundel County,39.138,-76.542
02582,Easton,Talbot County,38.774,-76.076
02956,Ferndale,Anne Arundel County,39.183,-76.640
03924,Hillcrest Heights,Prince George's County,38.833,-76.959
00040,Adelphi,Prince George's County,39.003,-76.972
02177,Damascus,Montgomery County,39.288,-77.204
00008,Aberdeen,Harford County,39.510,-76.164
08295,Summerfield,Prince George's County,38.905,-76.868
03360,Glenmont,Montgomery County,39.058,-77.050
02696,Elkton,Cecil County,39.607,-75.833
07417,Rossville,Baltimore County,39.338,-76.480
01111,Brooklyn Park,Anne Arundel County,39.228,-76.616
03342,Glenn Dale,Prince George's County,38.988,-76.821
09230,White Oak,Montgomery County,39.040,-76.993
01816,Colesville,Montgomery County,39.076,-77.002
03034,Flower Hill,Montgomery County,39.159,-77.172
01292,California,St. Mary's County,38.300,-76.507
04427,Kettering,Prince George's County,38.885,-76.815
05967,New Carrollton,Prince George's County,38.970,-76.880
01308,Cambridge,Dorchester County,38.563,-76.079
07479,Russett,Anne Arundel County,39.108,-76.803
03526,Green Valley,Frederick County,39.309,-77.297
03680,Hanover,Anne Arundel County,39.193,-76.724
08770,Urbana,Frederick County,39.326,-77.351
04319,Joppa,Harford County,39.434,-76.358
05624,Mitchellville,Prince George's County,38.925,-76.743
07293,Riviera Beach,Anne Arundel County,39.167,-76.508
04689,Largo,Prince George's County,38.898,-76.830
07385,Rosaryville,Prince George's County,38.757,-76.810
03085,Fort Meade,Anne Arundel County,39.106,-76.743
00617,Bel Air,Harford County,39.536,-76.348
09183,Westphalia,Prince George's County,38.845,-76.811
03070,Forestville,Prince George's County,38.845,-76.875
04282,Jessup,Anne Arundel County / Howard County,39.149,-76.776
00977,Boyds,Montgomery County,39.184,-77.313
04563,La Plata,Charles County,38.529,-76.975
03639,Halfway,Washington County,39.621,-77.759
03170,Friendly,Prince George's County,38.752,-76.979
05261,Marlton,Prince George's County,38.774,-76.790
01009,Brandywine,Prince George's County,38.697,-76.848
05774,Mount Airy,Carroll County / Frederick County,39.375,-77.154
03247,Garrison,Baltimore County,39.406,-76.761
02900,Fallston,Harford County,39.515,-76.411
09228,White Marsh,Baltimore County,39.384,-76.432
00829,Bladensburg,Prince George's County,38.939,-76.934
04679,Lansdowne,Baltimore County,39.245,-76.661
02614,Edgewater,Anne Arundel County,38.957,-76.550
08192,Stevensville,Queen Anne's County,38.981,-76.314
05339,Mayo,Anne Arundel County,38.888,-76.512
03112,Four Corners,Montgomery County,39.020,-77.013
09401,Woodbine,Carroll County,39.361,-77.062
01149,Brunswick,Frederick County,39.314,-77.628
07648,Savage,Howard County,39.138,-76.824
09417,Woodlawn,Prince George's County,38.950,-76.891
02887,Fairwood,Prince George's County,38.955,-76.777
07285,Riverdale Park,Prince George's County,38.963,-76.932
03184,Frostburg,Allegany County,39.658,-78.928
09431,Woodstock,Baltimore County,39.329,-76.872
03058,Forest Glen,Montgomery County,39.015,-77.055
06248,Ocean City,Worcester County,38.337,-75.085
01606,Chesapeake Beach,Calvert County,38.686,-76.535
08956,Walkersville,Frederick County,39.486,-77.352
03668,Hampstead,Carroll County,39.605,-76.850
07287,Riverside,Harford County,39.474,-76.241
08061,Spring Ridge,Frederick County,39.401,-77.352
07864,Silver Hill,Prince George's County,38.842,-76.946
03186,Fruitland,Wicomico County,38.322,-75.620
01611,Chestertown,Kent County,39.209,-76.067
03376,Goddard,Prince George's County,38.986,-76.853
05172,Manchester,Carroll County,39.661,-76.885
00012,Abingdon,Harford County,39.462,-76.279
03195,Fulton,Howard County,39.151,-76.923
05519,Middletown,Frederick County,39.444,-77.545
00702,Berlin,Worcester County,38.323,-75.218
03669,Hampton,Baltimore County,39.423,-76.585
08065,Springdale,Prince George's County,38.938,-76.839
02299,Denton,Caroline County,38.885,-75.827
09424,Woodmore,Prince George's County,38.921,-76.803
01525,Centreville,Queen Anne's County,39.042,-76.066
02234,Deale,Anne Arundel County,38.777,-76.555
04476,Kingsville,Baltimore County,39.449,-76.418
06633,Perryville,Cecil County,39.560,-76.071
04569,La Vale,Allegany County,39.656,-78.811
01609,Chester,Queen Anne's County,38.975,-76.289
08377,Sykesville,Carroll County,39.374,-76.968
06796,Pleasant Hills,Harford County,39.480,-76.394
06137,North East,Cecil County,39.600,-75.941
08105,St. James,Washington County,39.563,-77.758
05442,Melwood,Prince George's County,38.802,-76.842
04138,Indian Head,Charles County,38.600,-77.162
02279,Delmar,Wicomico County,38.456,-75.577
01036,Brentwood,Prince George's County,38.943,-76.957
03384,Golden Beach,St. Mary's County,38.490,-76.682
01752,Clover Hill,Frederick County,39.457,-77.427
04096,Huntingtown,Calvert County,38.616,-76.613
08811,Van Lear,Washington County,39.536,-77.753
02941,Federalsburg,Caroline County,38.694,-75.772
07271,Rising Sun,Cecil County,39.698,-76.063
03060,Forest Heights,Prince George's County,38.810,-76.998
04263,Jefferson,Frederick County,39.362,-77.532
04079,Hughesville,Charles County,38.533,-76.784
08761,University Park,Prince George's County,38.970,-76.942
05662,Monrovia,Frederick County,39.372,-77.272
02488,Dunkirk,Calvert County,38.722,-76.661
06833,Point of Rocks,Frederick County,39.276,-77.539
00033,Adamstown,Frederick County,39.311,-77.475
00503,Bartonsville,Frederick County,39.393,-77.358
06130,North Beach,Calvert County,38.707,-76.531
07944,Snow Hill,Worcester County,38.177,-75.393
01483,Cedar Heights,Prince George's County,38.903,-76.908
04971,Long Beach,Calvert County,38.461,-76.469
02226,Dayton,Howard County,39.294,-77.069
04406,Kensington,Montgomery County,39.026,-77.076
09305,Williamsport,Washington County,39.601,-77.821
07011,Queensland,Prince George's County,38.793,-76.791
03542,Greensboro,Caroline County,38.974,-75.805
05422,Mechanicsville,St. Mary's County,38.443,-76.744
02333,Dickerson,Montgomery County,39.220,-77.424
00407,Baden,Prince George's County,38.659,-76.778
06234,Oakland,Garrett County,39.408,-79.407
05871,Myersville,Frederick County,39.505,-77.566
04475,Kingstown,Queen Anne's County,39.205,-76.051
02305,Derwood,Montgomery County,39.117,-77.161
07369,Romancoke,Queen Anne's County,38.881,-76.336
07242,Ridgely,Caroline County,38.948,-75.884
06769,Pittsville,Wicomico County,38.395,-75.413
06009,New Market,Frederick County,39.383,-77.269
03671,Hancock,Washington County,39.699,-78.180
00617,Bel Air,Allegany County,39.573,-78.850
01568,Charlestown,Cecil County,39.574,-75.975
08036,Spencerville,Montgomery County,39.114,-76.978
06043,New Windsor,Carroll County,39.542,-77.108
01297,Callaway,St. Mary's County,38.238,-76.519
07008,Queen Anne,Prince George's County,38.899,-76.678
00970,Bowling Green,Allegany County,39.624,-78.804
03212,Galesville,Anne Arundel County,38.843,-76.544
05738,Morningside,Prince George's County,38.830,-76.891
08618,Trappe,Talbot County,38.658,-76.058
07967,Somerset,Montgomery County,38.966,-77.096
09428,Woodsboro,Frederick County,39.533,-77.315
03814,Hebron,Wicomico County,38.420,-75.688
05809,Mount Vernon,Somerset County,38.245,-75.822
08121,St. Michaels,Talbot County,38.785,-76.224
00116,Algonquin,Dorchester County,38.583,-76.106
01465,Cavetown,Washington County,39.644,-77.586
03479,Grantsville,Garrett County,39.695,-79.151
02604,Eden,Somerset County,38.281,-75.651
01660,Church Hill,Queen Anne's County,39.141,-75.986
06906,Potomac Park,Allegany County,39.612,-78.806
07012,Queenstown,Queen Anne's County,38.991,-76.158
07780,Sharptown,Wicomico County,38.543,-75.719
06955,Preston,Caroline County,38.713,-75.910
01499,Cedarville,Prince George's County,38.663,-76.802
05804,Mount Savage,Allegany County,39.696,-78.880
06437,Oxford,Talbot County,38.687,-76.172
05773,Mount Aetna,Washington County,39.602,-77.624
07778,Sharpsburg,Washington County,39.458,-77.749
02700,Ellerslie,Allegany County,39.721,-78.774
00792,Bishopville,Worcester County,38.443,-75.194
05570,Millington,Kent County / Queen Anne's County,39.257,-75.842
02879,Fairplay,Washington County,39.536,-77.748
03209,Galena,Kent County,39.341,-75.879
08102,St. George Island,St. Mary's County,38.120,-76.484
02875,Fairlee,Kent County,39.223,-76.172
05523,Midland,Allegany County,39.590,-78.950
06849,Pomfret,Charles County,38.577,-77.031
00587,Beaver Creek,Washington County,39.584,-77.642
04824,Lewistown,Frederick County,39.538,-77.416
00501,Barton,Allegany County,39.531,-79.018
02195,Danville,Allegany County,39.506,-78.928
03172,Friendsville,Garrett County,39.664,-79.405
00125,Allen,Wicomico County,38.287,-75.688
07085,Rawlings,Allegany County,39.535,-78.883
02877,Fairmount,Somerset County,38.090,-75.817
06047,Newark,Worcester County,38.251,-75.291
03171,Friendship,Anne Arundel County,38.737,-76.589
01715,Clear Spring,Washington County,39.656,-77.932
05526,Midlothian,Allegany County,39.634,-78.950
05887,Nanticoke,Wicomico County,38.272,-75.905
