phoneme,name,county,latitude,longitude
4142,Portland,Cumberland County,43.661,-70.255
2956,Lewiston,Androscoggin County,44.100,-70.215
0263,Bangor,Penobscot County,44.801,-68.778
0218,Auburn,Androscoggin County,44.098,-70.231
4576,Sanford,York County,43.439,-70.774
0661,Brunswick,Cumberland County,43.896,-69.973
4503,Saco,York County,43.501,-70.443
5431,Westbrook,Cumberland County,43.677,-70.371
0223,Augusta,Kennebec County,44.311,-69.779
5538,Windham,Cumberland County,43.795,-70.405
5355,Waterville,Kennebec County,44.552,-69.632
5630,York,York County,43.165,-70.591
3835,Orono,Penobscot County,44.882,-68.739
5390,Wells,York County,43.311,-70.633
2998,Lisbon,Androscoggin County,44.020,-70.079
5103,Topsham,Sagadahoc County,43.965,-69.956
5625,Yarmouth,Cumberland County,43.788,-70.156
0303,Bath,Sagadahoc County,43.911,-69.821
4179,Presque Isle,Aroostook County,46.681,-68.016
1953,Freeport,Cumberland County,43.845,-70.090
1299,Cumberland,Cumberland County,43.787,-70.251
1667,Ellsworth,Hancock County,44.543,-68.419
0737,Buxton,York County,43.636,-70.539
2182,Gray,Cumberland County,43.905,-70.368
0414,Berwick,York County,43.299,-70.842
1372,Winslow,Kennebec County,44.524,-69.577
2292,Hampden,Penobscot County,44.733,-68.883
1805,Farmington,Franklin County,44.677,-70.141
2130,Gorham,Cumberland County,43.680,-70.444
3788,Old Town,Penobscot County,44.934,-68.645
0829,Caribou,Aroostook County,46.861,-68.012
4403,Rockland,Knox County,44.104,-69.109
0350,Belfast,Waldo County,44.426,-69.006
1642,Eliot,York County,43.147,-70.774
1546,Lebanon,York County,43.400,-70.913
2361,Hermon,Penobscot County,44.820,-68.917
0644,Fairfield,Somerset County,44.652,-69.661
3758,Oakland,Kennebec County,44.579,-69.733
5554,Winthrop,Kennebec County,44.310,-69.963
1057,Houlton,Aroostook County,46.140,-67.842
2004,Gardiner,Kennebec County,44.230,-69.775
4108,Poland,Androscoggin County,44.048,-70.394
4478,Rumford,Oxford County,44.560,-70.625
0778,Camden,Knox County,44.222,-69.063
3914,Paris,Oxford County,44.248,-70.491
3732,Norway,Oxford County,44.226,-70.610
0678,Bucksport,Hancock County,44.642,-68.760
5331,Warren,Knox County,44.128,-69.244
1171,Lincoln,Penobscot County,45.355,-68.440
2492,Hollis,York County,43.631,-70.614
4699,Sidney,Kennebec County,44.438,-69.756
2097,Madison,Somerset County,44.826,-69.800
2642,Jay,Franklin County,44.517,-70.202
2087,Glenburn,Penobscot County,44.893,-68.845
3746,Oak Hill,Cumberland County,43.590,-70.334
3110,Lyman,York County,43.500,-70.648
4262,Raymond,Cumberland County,43.918,-70.468
1007,China,Kennebec County,44.414,-69.535
3876,Oxford,Oxford County,44.145,-70.473
0752,Durham,Androscoggin County,43.956,-70.132
3430,Monmouth,Kennebec County,44.233,-70.015
4061,Pittsfield,Somerset County,44.770,-69.434
5536,Wilton,Franklin County,44.628,-70.249
1425,Dexter,Penobscot County,45.041,-69.282
4405,Rockport,Knox County,44.170,-69.093
3000,Litchfield,Kennebec County,44.172,-69.934
4335,Richmond,Sagadahoc County,44.117,-69.830
1085,Clinton,Kennebec County,44.665,-69.541
2485,Holden,Penobscot County,44.762,-68.676
0353,Belgrade,Kennebec County,44.523,-69.838
5600,Woolwich,Sagadahoc County,43.960,-69.769
3667,Newport,Penobscot County,44.867,-69.219
3366,Milford,Penobscot County,44.993,-68.576
0755,Calais,Washington County,45.189,-67.279
2837,Lake Arrowhead,York County,43.664,-70.735
1804,Farmingdale,Kennebec County,44.261,-69.828
4063,Pittston,Kennebec County,44.180,-69.704
2951,Levant,Penobscot County,44.877,-68.997
1200,Corinth,Penobscot County,44.980,-69.011
0614,Bristol,Lincoln County,43.892,-69.473
0834,Carmel,Penobscot County,44.800,-69.003
0500,Blue Hill,Hancock County,44.402,-68.528
0974,Chelsea,Kennebec County,44.266,-69.730
3408,Minot,Androscoggin County,44.138,-70.336
5058,Thomaston,Knox County,44.108,-69.171
3343,Mexico,Oxford County,44.553,-70.495
0398,Benton,Kennebec County,44.591,-69.518
0012,Acton,York County,43.537,-70.940
5539,Windsor,Kennebec County,44.315,-69.571
4827,St. George,Knox County,43.909,-69.233
2193,Jefferson,Lincoln County,44.172,-69.515
4268,Readfield,Kennebec County,44.384,-69.950
2296,Hancock,Hancock County,44.525,-68.285
2054,Harrison,Cumberland County,44.103,-70.652
3156,Manchester,Kennebec County,44.342,-69.862
5476,Whitefield,Lincoln County,44.198,-69.620
2965,Union,Knox County,44.229,-69.287
2984,Lincolnville,Waldo County,44.295,-69.066
3392,Milo,Piscataquis County,45.270,-68.988
2926,Leeds,Androscoggin County,44.295,-70.133
3832,Orland,Hancock County,44.576,-68.670
1579,Eddington,Penobscot County,44.806,-68.611
0795,Canaan,Somerset County,44.782,-69.546
4006,Phippsburg,Sagadahoc County,43.741,-69.826
3010,Livermore,Androscoggin County,44.412,-70.216
1357,Dayton,York County,43.551,-70.574
4815,St. Albans,Somerset County,44.927,-69.387
5220,Van Buren,Aroostook County,47.181,-68.008
0050,Albion,Kennebec County,44.508,-69.445
3900,Palmyra,Somerset County,44.843,-69.368
3123,Machias,Washington County,44.696,-67.444
2877,Lamoine,Hancock County,44.492,-68.320
1481,Dresden,Lincoln County,44.086,-69.737
3523,Mount Vernon,Kennebec County,44.466,-69.960
4250,Randolph,Kennebec County,44.237,-69.751
2136,Gouldsboro,Hancock County,44.431,-68.077
1795,Falmouth,Cumberland County,43.730,-70.242
1843,Hope,Knox County,44.241,-69.189
1376,Dedham,Hancock County,44.701,-68.558
0645,Brownfield,Oxford County,43.931,-70.919
4978,Surry,Hancock County,44.467,-68.507
3662,Newfield,York County,43.638,-70.876
2475,Hiram,Oxford County,43.849,-70.831
1132,Wales,Androscoggin County,44.151,-70.062
5124,Trenton,Hancock County,44.466,-68.391
4139,Porter,Oxford County,43.838,-70.947
3655,Newburgh,Penobscot County,44.705,-69.013
0958,Charleston,Penobscot County,45.078,-69.031
2966,Washington,Knox County,44.261,-69.392
3890,Palermo,Waldo County,44.396,-69.431
1371,Waterford,Oxford County,44.203,-70.722
1938,Franklin,Hancock County,44.601,-68.244
3723,Northport,Waldo County,44.359,-68.990
5122,Tremont,Hancock County,44.257,-68.458
4164,Pownal,Cumberland County,43.904,-70.182
0255,Baldwin,Cumberland County,43.839,-70.745
1207,Cornish,York County,43.767,-70.809
