phoneme,name,county,latitude,longitude
1325,Detroit,Wayne County,42.331,-83.046
2001,Grand Rapids,Kent County,42.963,-85.668
5221,Warren,Macomb County,42.500,-83.005
2726,Lansing,Clinton County,42.714,-84.561
1279,Dearborn,Wayne County,42.322,-83.176
2865,Livonia,Wayne County,42.368,-83.353
2986,Macomb,Macomb County,42.659,-82.931
5021,Troy,Oakland County,42.606,-83.150
5331,Westland,Wayne County,42.324,-83.400
1731,Flint,Genesee County,43.013,-83.687
5521,Wyoming,Kent County,42.913,-85.705
2536,Kalamazoo,Kalamazoo County,42.292,-85.587
5239,Waterford,Oakland County,42.662,-83.388
4907,Taylor,Wayne County,42.241,-83.270
3994,Pontiac,Oakland County,42.639,-83.291
2572,Kentwood,Kent County,42.869,-85.645
0296,Battle Creek,Calhoun County,42.321,-85.180
4008,Portage,Kalamazoo County,42.201,-85.580
4316,Roseville,Macomb County,42.497,-82.937
4375,Saginaw,Saginaw County,43.419,-83.951
0933,Chesterfield,Macomb County,42.671,-82.809
3220,Midland,Bay County,43.625,-84.232
1085,Commerce,Oakland County,42.579,-83.488
2831,Lincoln Park,Wayne County,42.251,-83.179
1464,Eastpointe,Macomb County,42.468,-82.955
2319,Holland,Allegan County,42.768,-86.099
0299,Bay City,Bay County,43.594,-83.889
2466,Jackson,Jackson County,42.246,-84.401
5362,White Lake,Oakland County,42.648,-83.496
4655,Southgate,Wayne County,42.214,-83.194
0697,Burton,Genesee County,42.999,-83.616
3617,Oak Park,Oakland County,42.459,-83.183
1759,Forest Hills,Kent County,42.948,-85.492
2991,Madison Heights,Oakland County,42.486,-83.105
3971,Plymouth,Wayne County,42.374,-83.496
1863,Garden City,Wayne County,42.326,-83.331
2429,Inkster,Wayne County,42.294,-83.310
2333,Holt,Ingham County,42.641,-84.515
5197,Walker,Kent County,43.001,-85.768
5232,Washington,Macomb County,42.750,-83.032
4301,Romulus,Wayne County,42.222,-83.397
5517,Wyandotte,Wayne County,42.214,-83.150
5251,Waverly,Eaton County,42.739,-84.621
3749,Oxford,Oakland County,42.845,-83.293
0440,Birmingham,Oakland County,42.547,-83.211
1889,Genesee,Genesee County,43.097,-83.646
3389,Mount Pleasant,Isabella County,43.598,-84.768
2120,Hamburg,Livingston County,42.463,-83.848
0023,Adrian,Lenawee County,41.898,-84.037
3068,Marquette,Marquette County,46.544,-87.395
3299,Monroe,Monroe County,41.916,-83.398
4483,Scio,Washtenaw County,42.303,-83.836
3387,Mount Morris,Genesee County,43.092,-83.760
1869,Garfield,Grand Traverse County,44.721,-85.641
0597,Brighton,Livingston County,42.559,-83.728
2275,Highland,Oakland County,42.650,-83.617
1703,Ferndale,Oakland County,42.461,-83.135
5008,Trenton,Wayne County,42.139,-83.178
5254,Wayne,Wayne County,42.281,-83.386
3230,Milford,Oakland County,42.568,-83.611
0720,Caledonia,Kent County,42.796,-85.496
4678,Spring Lake,Ottawa County,43.069,-86.206
2172,Hartland,Livingston County,42.649,-83.741
1330,DeWitt,Clinton County,42.815,-84.540
3594,Northview,Kent County,43.039,-85.613
0395,Berkley,Oakland County,42.503,-83.184
1088,Comstock,Kalamazoo County,42.297,-85.499
1808,Fraser,Macomb County,42.539,-82.949
4686,Springfield,Oakland County,42.752,-83.500
1055,Coldwater,Branch County,41.940,-85.001
0295,Bath,Clinton County,42.819,-84.417
0012,Ada,Kent County,42.975,-85.492
4851,Superior,Washtenaw County,42.294,-83.606
4258,Rochester,Oakland County,42.681,-83.134
4247,Riverview,Wayne County,42.174,-83.179
2321,Holly,Oakland County,42.834,-83.628
5545,Zeeland,Ottawa County,42.813,-85.958
3468,New Baltimore,Macomb County,42.681,-82.737
1698,Fenton,Genesee County,42.801,-83.718
3546,Niles,Berrien County,41.835,-86.248
2439,Ionia,Ionia County,42.987,-85.071
1682,Farmington,Oakland County,42.464,-83.376
0987,Clawson,Oakland County,42.533,-83.146
4811,Sturgis,St. Joseph County,41.799,-85.419
1743,Flushing,Genesee County,43.096,-83.875
0418,Beverly Hills,Oakland County,42.524,-83.223
1726,Flat Rock,Monroe County,42.098,-83.270
2720,Lambertville,Monroe County,41.766,-83.628
0090,Alpena,Alpena County,45.062,-83.433
2372,Howell,Livingston County,42.607,-83.929
0589,Bridgeport,Saginaw County,43.347,-83.875
2897,Long Lake,Grand Traverse County,44.720,-85.751
3086,Marysville,St. Clair County,42.913,-82.487
4380,St. Joseph,Berrien County,42.069,-86.480
5340,Westwood,Kalamazoo County,42.303,-85.634
0085,Alma,Gratiot County,43.379,-84.660
2593,Kimball,St. Clair County,42.949,-82.571
0334,Bedford,Calhoun County,42.373,-85.238
0901,Charlotte,Eaton County,42.564,-84.836
2060,Greenville,Montcalm County,43.178,-85.253
4393,Saline,Washtenaw County,42.167,-83.782
2737,Lapeer,Lapeer County,43.051,-83.319
2279,Highland Park,Wayne County,42.406,-83.097
0338,Beecher,Genesee County,43.090,-83.694
4201,Richland,Kalamazoo County,42.376,-85.474
4290,Rogersville,Genesee County,43.091,-83.527
4913,Tecumseh,Lenawee County,42.004,-83.945
3588,Northfield,Washtenaw County,42.401,-83.743
3185,Menominee,Menominee County,45.108,-87.614
3088,Mason,Ingham County,42.579,-84.444
2294,Hillsdale,Hillsdale County,41.920,-84.631
0207,Atlas,Genesee County,42.921,-83.509
