phoneme,name,county,latitude,longitude
3271,Minneapolis,Hennepin County,44.980,-93.264
4724,St. Paul,Ramsey County,44.944,-93.093
4258,Rochester,Olmsted County,44.022,-92.470
0483,Bloomington,Hennepin County,44.841,-93.298
1403,Duluth,St. Louis County,46.783,-92.107
0623,Brooklyn Park,Hennepin County,45.094,-93.356
3971,Plymouth,Hennepin County,45.011,-93.456
5476,Woodbury,Washington County,44.924,-92.959
2714,Lakeville,Dakota County,44.650,-93.243
0464,Blaine,Anoka County,45.171,-93.206
3040,Maple Grove,Hennepin County,45.072,-93.456
4701,St. Cloud,Benton County,45.527,-94.171
1431,Eagan,Dakota County,44.804,-93.167
0693,Burnsville,Dakota County,44.768,-93.278
1104,Coon Rapids,Anoka County,45.120,-93.288
0148,Apple Valley,Dakota County,44.732,-93.218
1488,Edina,Hennepin County,44.890,-93.350
3024,Mankato,Blue Earth County,44.171,-93.976
3333,Moorhead,Clay County,46.874,-96.768
3044,Maplewood,Ramsey County,44.953,-92.995
1136,Cottage Grove,Washington County,44.828,-92.944
4199,Richfield,Hennepin County,44.883,-93.283
4316,Roseville,Ramsey County,45.006,-93.157
4470,Savage,Scott County,44.779,-93.336
0126,Andover,Anoka County,45.233,-93.291
4114,Ramsey,Anoka County,45.261,-93.450
3622,Oakdale,Washington County,44.963,-92.965
4314,Rosemount,Dakota County,44.739,-93.126
0224,Austin,Mower County,43.667,-92.975
1536,Elk River,Sherburne County,45.304,-93.567
5445,Winona,Winona County,44.050,-91.639
1682,Farmington,Dakota County,44.640,-93.144
3473,New Brighton,Ramsey County,45.066,-93.202
1204,Crystal,Hennepin County,45.033,-93.360
1965,Golden Valley,Hennepin County,45.010,-93.349
2185,Hastings,Dakota County,44.732,-92.855
3729,Otsego,Wright County,45.274,-93.591
3494,New Hope,Hennepin County,45.038,-93.387
3588,Northfield,Dakota County,44.453,-93.176
1760,Forest Lake,Washington County,45.279,-92.985
4774,Stillwater,Washington County,45.056,-92.806
4382,St. Michael,Wright County,45.210,-93.665
2354,Hopkins,Hennepin County,44.925,-93.463
0137,Anoka,Anoka County,45.198,-93.387
0667,Buffalo,Wright County,45.172,-93.875
2383,Hugo,Washington County,45.160,-92.993
2400,Hutchinson,McLeod County,44.888,-94.370
3317,Monticello,Wright County,45.306,-93.794
0058,Alexandria,Douglas County,45.885,-95.378
0560,Brainerd,Crow Wing County,46.358,-94.201
3515,New Ulm,Brown County,44.312,-94.461
5508,Worthington,Nobles County,43.620,-95.596
3071,Marshall,Lyon County,44.447,-95.788
4289,Rogers,Hennepin County,45.189,-93.553
0427,Big Lake,Sherburne County,45.332,-93.746
4725,St. Peter,Nicollet County,44.324,-93.958
2001,Grand Rapids,Itasca County,47.237,-93.530
3570,North Branch,Chisago County,45.511,-92.980
5141,Victoria,Carver County,44.859,-93.662
1656,Fairmont,Martin County,43.652,-94.461
0737,Cambridge,Isanti County,45.573,-93.224
3370,Mound,Hennepin County,44.937,-93.666
2853,Little Falls,Morrison County,45.976,-94.362
3612,Oak Grove,Anoka County,45.341,-93.327
4376,St. Anthony,Hennepin County,45.030,-93.215
0298,Baxter,Crow Wing County,46.343,-94.287
