phoneme,name,county,latitude,longitude
2697,Kansas City,Cass County,39.122,-94.555
4839,St. Louis,St. Louis city,38.627,-90.198
1066,Springfield,Christian County,37.194,-93.293
1150,Columbia,Boone County,38.952,-92.334
0787,Independence,Clay County,39.085,-94.352
3739,O'Fallon,St. Charles County,38.811,-90.700
4835,St. Joseph,Buchanan County,39.769,-94.847
4819,St. Charles,St. Charles County,38.784,-90.481
0506,Blue Springs,Jackson County,39.017,-94.282
1871,Florissant,St. Louis County,38.789,-90.323
2678,Joplin,Jasper County,37.075,-94.501
0994,Chesterfield,St. Louis County,38.663,-90.577
2644,Jefferson City,Callaway County,38.567,-92.175
3760,Oakville,St. Louis County,38.470,-90.305
5504,Wildwood,St. Louis County,38.583,-90.663
0794,Liberty,Clay County,39.246,-94.419
4265,Raytown,Jackson County,39.009,-94.464
2776,Kirkwood,St. Louis County,38.583,-90.407
3309,Mehlville,St. Louis County,38.508,-90.323
1827,Gladstone,Clay County,39.204,-94.555
2156,Grandview,Jackson County,38.886,-94.533
2390,Hazelwood,St. Louis County,38.771,-90.371
0382,Belton,Cass County,38.812,-94.532
3877,Ozark,Christian County,37.021,-93.206
4638,Sedalia,Pettis County,38.704,-93.228
0180,Arnold,Jefferson County,38.433,-90.378
4422,Rolla,Phelps County,37.951,-91.771
5333,Warrensburg,Johnson County,38.763,-93.736
4306,Republic,Christian County,37.169,-93.413
0026,Affton,St. Louis County,38.551,-90.333
1168,Concord,St. Louis County,38.525,-90.357
1263,Creve Coeur,St. Louis County,38.661,-90.423
1828,Ferguson,St. Louis County,38.744,-90.305
1805,Farmington,St. Francois County,37.781,-90.422
3156,Manchester,St. Louis County,38.597,-90.509
2300,Hannibal,Marion County,39.710,-91.394
1063,Clayton,St. Louis County,38.643,-90.324
4702,Sikeston,New Madrid County,36.885,-89.587
3866,Overland,St. Louis County,38.701,-90.362
0859,Carthage,Jasper County,37.176,-94.310
1589,Jackson,Cape Girardeau County,37.382,-89.666
1546,Lebanon,Laclede County,37.681,-92.664
2966,Washington,Franklin County,38.558,-91.012
3212,Marshall,Saline County,39.123,-93.197
0731,Troy,Lincoln County,38.979,-90.981
5376,Webb City,Jasper County,37.146,-94.463
2648,Jennings,St. Louis County,38.719,-90.260
0580,Branson,Stone County,36.612,-93.292
1978,Fulton,Callaway County,38.847,-91.948
3593,Neosho,Newton County,36.869,-94.368
2965,Union,Franklin County,38.450,-91.008
1260,Crestwood,St. Louis County,38.557,-90.382
